,contest,precinct_name,contest_id,office,choice,candidate,vote
0,20,ALPINE,999999,Race Statistics,999999,Number of Precincts,1
1,20,ALPINE,999999,Race Statistics,999998,Number of Precincts Reporting,1
2,20,ALPINE,10,President - Dem,999999,Number of Precincts for Race,1
3,20,ALPINE,10,President - Dem,999998,Number of Precincts Reporting,1
4,20,ALPINE,10,President - Dem,999997,Registered Voters,80
5,20,ALPINE,10,President - Dem,999996,Times Counted,41
6,20,ALPINE,10,President - Dem,10,"De La Fuente, Roque",0
7,20,ALPINE,10,President - Dem,20,"Steinberg, Michael",1
8,20,ALPINE,10,President - Dem,30,"Sanders, Bernie",20
9,20,ALPINE,10,President - Dem,40,"O'Malley, Martin J.",2
10,20,ALPINE,10,President - Dem,50,"Clinton, Hillary",15
11,20,ALPINE,10,President - Dem,60,"Hewes, Henry",0
12,20,ALPINE,20,President - Rep,999999,Number of Precincts for Race,1
13,20,ALPINE,20,President - Rep,999998,Number of Precincts Reporting,1
14,20,ALPINE,20,President - Rep,999997,Registered Voters,181
15,20,ALPINE,20,President - Rep,999996,Times Counted,107
16,20,ALPINE,20,President - Rep,10,"Santorum, Rick",0
17,20,ALPINE,20,President - Rep,20,"Cook, Tim",0
18,20,ALPINE,20,President - Rep,30,"Paul, Rand",0
19,20,ALPINE,20,President - Rep,40,"Rubio, Marco",2
20,20,ALPINE,20,President - Rep,50,"Graham, Lindsey",0
21,20,ALPINE,20,President - Rep,60,"Kasich, John R.",13
22,20,ALPINE,20,President - Rep,70,"Bush, Jeb",0
23,20,ALPINE,20,President - Rep,80,"Trump, Donald J.",55
24,20,ALPINE,20,President - Rep,90,"Fiorina, Carly",0
25,20,ALPINE,20,President - Rep,100,"Pataki, George E.",0
26,20,ALPINE,20,President - Rep,110,"Cruz, Ted",37
27,20,ALPINE,20,President - Rep,120,"Huckabee, Mike",0
28,20,ALPINE,20,President - Rep,130,"Christie, Chris",0
29,20,ALPINE,20,President - Rep,140,"Carson, Ben",0
30,20,ALPINE,30,President - Gre,999999,Number of Precincts for Race,1
31,20,ALPINE,30,President - Gre,999998,Number of Precincts Reporting,1
32,20,ALPINE,30,President - Gre,999997,Registered Voters,0
33,20,ALPINE,30,President - Gre,999996,Times Counted,0
34,20,ALPINE,30,President - Gre,10,"Mesplay, Kent",0
35,20,ALPINE,30,President - Gre,20,"Stein, Jill",0
36,30,CANYON,999999,Race Statistics,999999,Number of Precincts,1
37,30,CANYON,999999,Race Statistics,999998,Number of Precincts Reporting,1
38,30,CANYON,10,President - Dem,999999,Number of Precincts for Race,1
39,30,CANYON,10,President - Dem,999998,Number of Precincts Reporting,1
40,30,CANYON,10,President - Dem,999997,Registered Voters,1939
41,30,CANYON,10,President - Dem,999996,Times Counted,515
42,30,CANYON,10,President - Dem,10,"De La Fuente, Roque",3
43,30,CANYON,10,President - Dem,20,"Steinberg, Michael",9
44,30,CANYON,10,President - Dem,30,"Sanders, Bernie",143
45,30,CANYON,10,President - Dem,40,"O'Malley, Martin J.",4
46,30,CANYON,10,President - Dem,50,"Clinton, Hillary",351
47,30,CANYON,10,President - Dem,60,"Hewes, Henry",4
48,30,CANYON,20,President - Rep,999999,Number of Precincts for Race,1
49,30,CANYON,20,President - Rep,999998,Number of Precincts Reporting,1
50,30,CANYON,20,President - Rep,999997,Registered Voters,330
51,30,CANYON,20,President - Rep,999996,Times Counted,53
52,30,CANYON,20,President - Rep,10,"Santorum, Rick",0
53,30,CANYON,20,President - Rep,20,"Cook, Tim",1
54,30,CANYON,20,President - Rep,30,"Paul, Rand",3
55,30,CANYON,20,President - Rep,40,"Rubio, Marco",5
56,30,CANYON,20,President - Rep,50,"Graham, Lindsey",1
57,30,CANYON,20,President - Rep,60,"Kasich, John R.",0
58,30,CANYON,20,President - Rep,70,"Bush, Jeb",2
59,30,CANYON,20,President - Rep,80,"Trump, Donald J.",13
60,30,CANYON,20,President - Rep,90,"Fiorina, Carly",0
61,30,CANYON,20,President - Rep,100,"Pataki, George E.",0
62,30,CANYON,20,President - Rep,110,"Cruz, Ted",22
63,30,CANYON,20,President - Rep,120,"Huckabee, Mike",0
64,30,CANYON,20,President - Rep,130,"Christie, Chris",3
65,30,CANYON,20,President - Rep,140,"Carson, Ben",3
66,30,CANYON,30,President - Gre,999999,Number of Precincts for Race,1
67,30,CANYON,30,President - Gre,999998,Number of Precincts Reporting,1
68,30,CANYON,30,President - Gre,999997,Registered Voters,1
69,30,CANYON,30,President - Gre,999996,Times Counted,0
70,30,CANYON,30,President - Gre,10,"Mesplay, Kent",0
71,30,CANYON,30,President - Gre,20,"Stein, Jill",0
72,50,CHINLE,999999,Race Statistics,999999,Number of Precincts,1
73,50,CHINLE,999999,Race Statistics,999998,Number of Precincts Reporting,1
74,50,CHINLE,10,President - Dem,999999,Number of Precincts for Race,1
75,50,CHINLE,10,President - Dem,999998,Number of Precincts Reporting,1
76,50,CHINLE,10,President - Dem,999997,Registered Voters,979
77,50,CHINLE,10,President - Dem,999996,Times Counted,263
78,50,CHINLE,10,President - Dem,10,"De La Fuente, Roque",0
79,50,CHINLE,10,President - Dem,20,"Steinberg, Michael",1
80,50,CHINLE,10,President - Dem,30,"Sanders, Bernie",79
81,50,CHINLE,10,President - Dem,40,"O'Malley, Martin J.",5
82,50,CHINLE,10,President - Dem,50,"Clinton, Hillary",178
83,50,CHINLE,10,President - Dem,60,"Hewes, Henry",0
84,50,CHINLE,20,President - Rep,999999,Number of Precincts for Race,1
85,50,CHINLE,20,President - Rep,999998,Number of Precincts Reporting,1
86,50,CHINLE,20,President - Rep,999997,Registered Voters,179
87,50,CHINLE,20,President - Rep,999996,Times Counted,41
88,50,CHINLE,20,President - Rep,10,"Santorum, Rick",1
89,50,CHINLE,20,President - Rep,20,"Cook, Tim",0
90,50,CHINLE,20,President - Rep,30,"Paul, Rand",0
91,50,CHINLE,20,President - Rep,40,"Rubio, Marco",2
92,50,CHINLE,20,President - Rep,50,"Graham, Lindsey",0
93,50,CHINLE,20,President - Rep,60,"Kasich, John R.",7
94,50,CHINLE,20,President - Rep,70,"Bush, Jeb",4
95,50,CHINLE,20,President - Rep,80,"Trump, Donald J.",13
96,50,CHINLE,20,President - Rep,90,"Fiorina, Carly",0
97,50,CHINLE,20,President - Rep,100,"Pataki, George E.",0
98,50,CHINLE,20,President - Rep,110,"Cruz, Ted",12
99,50,CHINLE,20,President - Rep,120,"Huckabee, Mike",0
100,50,CHINLE,20,President - Rep,130,"Christie, Chris",0
101,50,CHINLE,20,President - Rep,140,"Carson, Ben",1
102,50,CHINLE,30,President - Gre,999999,Number of Precincts for Race,1
103,50,CHINLE,30,President - Gre,999998,Number of Precincts Reporting,1
104,50,CHINLE,30,President - Gre,999997,Registered Voters,2
105,50,CHINLE,30,President - Gre,999996,Times Counted,0
106,50,CHINLE,30,President - Gre,10,"Mesplay, Kent",0
107,50,CHINLE,30,President - Gre,20,"Stein, Jill",0
108,90,CONCHO,999999,Race Statistics,999999,Number of Precincts,1
109,90,CONCHO,999999,Race Statistics,999998,Number of Precincts Reporting,1
110,90,CONCHO,10,President - Dem,999999,Number of Precincts for Race,1
111,90,CONCHO,10,President - Dem,999998,Number of Precincts Reporting,1
112,90,CONCHO,10,President - Dem,999997,Registered Voters,312
113,90,CONCHO,10,President - Dem,999996,Times Counted,122
114,90,CONCHO,10,President - Dem,10,"De La Fuente, Roque",3
115,90,CONCHO,10,President - Dem,20,"Steinberg, Michael",1
116,90,CONCHO,10,President - Dem,30,"Sanders, Bernie",73
117,90,CONCHO,10,President - Dem,40,"O'Malley, Martin J.",2
118,90,CONCHO,10,President - Dem,50,"Clinton, Hillary",42
119,90,CONCHO,10,President - Dem,60,"Hewes, Henry",1
120,90,CONCHO,20,President - Rep,999999,Number of Precincts for Race,1
121,90,CONCHO,20,President - Rep,999998,Number of Precincts Reporting,1
122,90,CONCHO,20,President - Rep,999997,Registered Voters,774
123,90,CONCHO,20,President - Rep,999996,Times Counted,471
124,90,CONCHO,20,President - Rep,10,"Santorum, Rick",0
125,90,CONCHO,20,President - Rep,20,"Cook, Tim",0
126,90,CONCHO,20,President - Rep,30,"Paul, Rand",0
127,90,CONCHO,20,President - Rep,40,"Rubio, Marco",8
128,90,CONCHO,20,President - Rep,50,"Graham, Lindsey",0
129,90,CONCHO,20,President - Rep,60,"Kasich, John R.",16
130,90,CONCHO,20,President - Rep,70,"Bush, Jeb",0
131,90,CONCHO,20,President - Rep,80,"Trump, Donald J.",285
132,90,CONCHO,20,President - Rep,90,"Fiorina, Carly",1
133,90,CONCHO,20,President - Rep,100,"Pataki, George E.",0
134,90,CONCHO,20,President - Rep,110,"Cruz, Ted",157
135,90,CONCHO,20,President - Rep,120,"Huckabee, Mike",0
136,90,CONCHO,20,President - Rep,130,"Christie, Chris",0
137,90,CONCHO,20,President - Rep,140,"Carson, Ben",4
138,90,CONCHO,30,President - Gre,999999,Number of Precincts for Race,1
139,90,CONCHO,30,President - Gre,999998,Number of Precincts Reporting,1
140,90,CONCHO,30,President - Gre,999997,Registered Voters,5
141,90,CONCHO,30,President - Gre,999996,Times Counted,4
142,90,CONCHO,30,President - Gre,10,"Mesplay, Kent",0
143,90,CONCHO,30,President - Gre,20,"Stein, Jill",4
144,100,CORNFIELDS,999999,Race Statistics,999999,Number of Precincts,1
145,100,CORNFIELDS,999999,Race Statistics,999998,Number of Precincts Reporting,1
146,100,CORNFIELDS,10,President - Dem,999999,Number of Precincts for Race,1
147,100,CORNFIELDS,10,President - Dem,999998,Number of Precincts Reporting,1
148,100,CORNFIELDS,10,President - Dem,999997,Registered Voters,540
149,100,CORNFIELDS,10,President - Dem,999996,Times Counted,190
150,100,CORNFIELDS,10,President - Dem,10,"De La Fuente, Roque",0
151,100,CORNFIELDS,10,President - Dem,20,"Steinberg, Michael",4
152,100,CORNFIELDS,10,President - Dem,30,"Sanders, Bernie",53
153,100,CORNFIELDS,10,President - Dem,40,"O'Malley, Martin J.",2
154,100,CORNFIELDS,10,President - Dem,50,"Clinton, Hillary",129
155,100,CORNFIELDS,10,President - Dem,60,"Hewes, Henry",2
156,100,CORNFIELDS,20,President - Rep,999999,Number of Precincts for Race,1
157,100,CORNFIELDS,20,President - Rep,999998,Number of Precincts Reporting,1
158,100,CORNFIELDS,20,President - Rep,999997,Registered Voters,53
159,100,CORNFIELDS,20,President - Rep,999996,Times Counted,12
160,100,CORNFIELDS,20,President - Rep,10,"Santorum, Rick",1
161,100,CORNFIELDS,20,President - Rep,20,"Cook, Tim",0
162,100,CORNFIELDS,20,President - Rep,30,"Paul, Rand",0
163,100,CORNFIELDS,20,President - Rep,40,"Rubio, Marco",1
164,100,CORNFIELDS,20,President - Rep,50,"Graham, Lindsey",0
165,100,CORNFIELDS,20,President - Rep,60,"Kasich, John R.",2
166,100,CORNFIELDS,20,President - Rep,70,"Bush, Jeb",0
167,100,CORNFIELDS,20,President - Rep,80,"Trump, Donald J.",1
168,100,CORNFIELDS,20,President - Rep,90,"Fiorina, Carly",0
169,100,CORNFIELDS,20,President - Rep,100,"Pataki, George E.",0
170,100,CORNFIELDS,20,President - Rep,110,"Cruz, Ted",5
