,county,precinct,office,district,candidate,party,election_day,early_voting,provisional,votes
0,Yavapai,201,President,,TRUMP / PENCE,REP,3449,536,21,4006
1,Yavapai,201,President,,CLINTON / KAINE,DEM,2067,250,4,2321
2,Yavapai,201,President,,JOHNSON / WELD,LBT,223,42,5,270
3,Yavapai,201,President,,STEIN / BARAKA,GRN,62,11,3,76
4,Yavapai,201,President,,WRITE-IN 900,,97,26,0,123
5,Yavapai,201,U.S. Senate,,"MCCAIN, JOHN",REP,3573,562,24,4159
6,Yavapai,201,U.S. Senate,,"KIRKPATRICK, ANN",DEM,1889,236,6,2131
7,Yavapai,201,U.S. Senate,,"SWING, GARY",GRN,295,50,2,347
8,Yavapai,201,U.S. Senate,,WRITE-IN 133,,50,2,0,52
9,Yavapai,201,U.S. House,4.0,"GOSAR, PAUL",REP,3686,565,24,4275
10,Yavapai,201,U.S. House,4.0,"WEISSER, MIKEL",DEM,1876,236,5,2117
11,Yavapai,201,U.S. House,4.0,WRITE-IN 234,,10,5,0,15
12,Yavapai,201,State Senate,1.0,"FANN, KAREN",REP,4145,651,25,4821
13,Yavapai,201,State Senate,1.0,WRITE-IN 235,,52,15,0,67
14,Yavapai,201,State Representative,1.0,"CAMPBELL, NOEL",REP,3522,454,21,3997
15,Yavapai,201,State Representative,1.0,"STRINGER, DAVID",REP,3014,436,16,3466
16,Yavapai,201,State Representative,1.0,"PIERSON, PETER",DEM,2117,254,6,2377
17,Yavapai,201,State Representative,1.0,"KNAUER, HARYAKSHA GREGOR",GRN,605,96,3,704
18,Yavapai,201,State Representative,1.0,WRITE-IN 240,,14,4,0,18
19,Yavapai,201,CORPORATION COMMISSIONER,,"BURNS, ROBERT BOB""""",REP,3266,447,16,3729
20,Yavapai,201,CORPORATION COMMISSIONER,,"DUNN, BOYD",REP,2668,369,12,3049
21,Yavapai,201,CORPORATION COMMISSIONER,,"TOBIN, ANDY",REP,3138,466,17,3621
22,Yavapai,201,CORPORATION COMMISSIONER,,"CHABIN, TOM",DEM,1964,235,7,2206
23,Yavapai,201,CORPORATION COMMISSIONER,,"MUNDELL, WILLIAM BILL""""",DEM,2075,241,7,2323
24,Yavapai,201,CORPORATION COMMISSIONER,,WRITE-IN 134,,24,7,0,31
25,Yavapai,201,BOARD OF SUPERVISORS - DIST. 1,,"SIMMONS, ROWLE",REP,3895,620,27,4542
26,Yavapai,201,BOARD OF SUPERVISORS - DIST. 1,,WRITE-IN 204,,56,12,0,68
27,Yavapai,201,COUNTY ASSESSOR,,"SIMMONS, JUDD",REP,3613,598,28,4239
28,Yavapai,201,COUNTY ASSESSOR,,WRITE-IN 135,,156,7,0,163
29,Yavapai,201,COUNTY ATTORNEY,,"POLK, SHEILA",REP,3956,607,28,4591
30,Yavapai,201,COUNTY ATTORNEY,,WRITE-IN 136,,49,11,0,60
31,Yavapai,201,COUNTY RECORDER,,"HOFFMAN, LESLIE M",REP,3849,599,25,4473
32,Yavapai,201,COUNTY RECORDER,,WRITE-IN 137,,15,6,0,21
33,Yavapai,201,COUNTY SCHOOL SUPERINTENDENT,,"CARTER, TIM",REP,3830,619,25,4474
34,Yavapai,201,COUNTY SCHOOL SUPERINTENDENT,,WRITE-IN 138,,36,8,0,44
35,Yavapai,201,COUNTY SHERIFF,,"MASCHER, SCOTT",REP,3881,617,27,4525
36,Yavapai,201,COUNTY SHERIFF,,WRITE-IN 143,,28,8,0,36
37,Yavapai,201,COUNTY TREASURER,,"JACOBS, ROSS",REP,3898,619,26,4543
38,Yavapai,201,COUNTY TREASURER,,WRITE-IN 199,,15,6,1,22
39,Yavapai,201,JUDGE OF SUPERIOR COURT - DIV. 4,,"TREBESCH, PATRICIA",,3518,562,20,4100
40,Yavapai,201,JUDGE OF SUPERIOR COURT - DIV. 4,,WRITE-IN 179,,19,4,2,25
41,Yavapai,201,JUDGE OF SUPERIOR COURT - DIV. 7,,"BLUFF, MICHAEL",,3436,555,20,4011
