Unnamed: 0,contest,precinct,contest_id,office,choice,candidate,vote,county
0,20,"=""ALPINE""",999999,Race Statistics,999999,Number of Precincts,1,APACHE
1,20,"=""ALPINE""",999999,Race Statistics,999998,Number of Precincts Reporting,1,APACHE
2,20,"=""ALPINE""",10,President - Dem,999999,Number of Precincts for Race,1,APACHE
3,20,"=""ALPINE""",10,President - Dem,999998,Number of Precincts Reporting,1,APACHE
4,20,"=""ALPINE""",10,President - Dem,999997,Registered Voters,80,APACHE
5,20,"=""ALPINE""",10,President - Dem,999996,Times Counted,41,APACHE
6,20,"=""ALPINE""",10,President - Dem,10,"De La Fuente, Roque",0,APACHE
7,20,"=""ALPINE""",10,President - Dem,20,"Steinberg, Michael",1,APACHE
8,20,"=""ALPINE""",10,President - Dem,30,"Sanders, Bernie",20,APACHE
9,20,"=""ALPINE""",10,President - Dem,40,"O'Malley, Martin J.",2,APACHE
10,20,"=""ALPINE""",10,President - Dem,50,"Clinton, Hillary",15,APACHE
11,20,"=""ALPINE""",10,President - Dem,60,"Hewes, Henry",0,APACHE
12,20,"=""ALPINE""",20,President - Rep,999999,Number of Precincts for Race,1,APACHE
13,20,"=""ALPINE""",20,President - Rep,999998,Number of Precincts Reporting,1,APACHE
14,20,"=""ALPINE""",20,President - Rep,999997,Registered Voters,181,APACHE
15,20,"=""ALPINE""",20,President - Rep,999996,Times Counted,107,APACHE
16,20,"=""ALPINE""",20,President - Rep,10,"Santorum, Rick",0,APACHE
17,20,"=""ALPINE""",20,President - Rep,20,"Cook, Tim",0,APACHE
18,20,"=""ALPINE""",20,President - Rep,30,"Paul, Rand",0,APACHE
19,20,"=""ALPINE""",20,President - Rep,40,"Rubio, Marco",2,APACHE
20,20,"=""ALPINE""",20,President - Rep,50,"Graham, Lindsey",0,APACHE
21,20,"=""ALPINE""",20,President - Rep,60,"Kasich, John R.",13,APACHE
22,20,"=""ALPINE""",20,President - Rep,70,"Bush, Jeb",0,APACHE
23,20,"=""ALPINE""",20,President - Rep,80,"Trump, Donald J.",55,APACHE
24,20,"=""ALPINE""",20,President - Rep,90,"Fiorina, Carly",0,APACHE
25,20,"=""ALPINE""",20,President - Rep,100,"Pataki, George E.",0,APACHE
26,20,"=""ALPINE""",20,President - Rep,110,"Cruz, Ted",37,APACHE
27,20,"=""ALPINE""",20,President - Rep,120,"Huckabee, Mike",0,APACHE
28,20,"=""ALPINE""",20,President - Rep,130,"Christie, Chris",0,APACHE
29,20,"=""ALPINE""",20,President - Rep,140,"Carson, Ben",0,APACHE
30,20,"=""ALPINE""",30,President - Gre,999999,Number of Precincts for Race,1,APACHE
31,20,"=""ALPINE""",30,President - Gre,999998,Number of Precincts Reporting,1,APACHE
32,20,"=""ALPINE""",30,President - Gre,999997,Registered Voters,0,APACHE
33,20,"=""ALPINE""",30,President - Gre,999996,Times Counted,0,APACHE
34,20,"=""ALPINE""",30,President - Gre,10,"Mesplay, Kent",0,APACHE
35,20,"=""ALPINE""",30,President - Gre,20,"Stein, Jill",0,APACHE
36,30,"=""CANYON""",999999,Race Statistics,999999,Number of Precincts,1,APACHE
37,30,"=""CANYON""",999999,Race Statistics,999998,Number of Precincts Reporting,1,APACHE
38,30,"=""CANYON""",10,President - Dem,999999,Number of Precincts for Race,1,APACHE
39,30,"=""CANYON""",10,President - Dem,999998,Number of Precincts Reporting,1,APACHE
40,30,"=""CANYON""",10,President - Dem,999997,Registered Voters,1939,APACHE
41,30,"=""CANYON""",10,President - Dem,999996,Times Counted,515,APACHE
42,30,"=""CANYON""",10,President - Dem,10,"De La Fuente, Roque",3,APACHE
43,30,"=""CANYON""",10,President - Dem,20,"Steinberg, Michael",9,APACHE
44,30,"=""CANYON""",10,President - Dem,30,"Sanders, Bernie",143,APACHE
45,30,"=""CANYON""",10,President - Dem,40,"O'Malley, Martin J.",4,APACHE
46,30,"=""CANYON""",10,President - Dem,50,"Clinton, Hillary",351,APACHE
47,30,"=""CANYON""",10,President - Dem,60,"Hewes, Henry",4,APACHE
48,30,"=""CANYON""",20,President - Rep,999999,Number of Precincts for Race,1,APACHE
49,30,"=""CANYON""",20,President - Rep,999998,Number of Precincts Reporting,1,APACHE
50,30,"=""CANYON""",20,President - Rep,999997,Registered Voters,330,APACHE
51,30,"=""CANYON""",20,President - Rep,999996,Times Counted,53,APACHE
52,30,"=""CANYON""",20,President - Rep,10,"Santorum, Rick",0,APACHE
53,30,"=""CANYON""",20,President - Rep,20,"Cook, Tim",1,APACHE
54,30,"=""CANYON""",20,President - Rep,30,"Paul, Rand",3,APACHE
55,30,"=""CANYON""",20,President - Rep,40,"Rubio, Marco",5,APACHE
56,30,"=""CANYON""",20,President - Rep,50,"Graham, Lindsey",1,APACHE
57,30,"=""CANYON""",20,President - Rep,60,"Kasich, John R.",0,APACHE
58,30,"=""CANYON""",20,President - Rep,70,"Bush, Jeb",2,APACHE
59,30,"=""CANYON""",20,President - Rep,80,"Trump, Donald J.",13,APACHE
60,30,"=""CANYON""",20,President - Rep,90,"Fiorina, Carly",0,APACHE
61,30,"=""CANYON""",20,President - Rep,100,"Pataki, George E.",0,APACHE
62,30,"=""CANYON""",20,President - Rep,110,"Cruz, Ted",22,APACHE
63,30,"=""CANYON""",20,President - Rep,120,"Huckabee, Mike",0,APACHE
64,30,"=""CANYON""",20,President - Rep,130,"Christie, Chris",3,APACHE
65,30,"=""CANYON""",20,President - Rep,140,"Carson, Ben",3,APACHE
66,30,"=""CANYON""",30,President - Gre,999999,Number of Precincts for Race,1,APACHE
67,30,"=""CANYON""",30,President - Gre,999998,Number of Precincts Reporting,1,APACHE
68,30,"=""CANYON""",30,President - Gre,999997,Registered Voters,1,APACHE
69,30,"=""CANYON""",30,President - Gre,999996,Times Counted,0,APACHE
70,30,"=""CANYON""",30,President - Gre,10,"Mesplay, Kent",0,APACHE
71,30,"=""CANYON""",30,President - Gre,20,"Stein, Jill",0,APACHE
72,50,"=""CHINLE""",999999,Race Statistics,999999,Number of Precincts,1,APACHE
73,50,"=""CHINLE""",999999,Race Statistics,999998,Number of Precincts Reporting,1,APACHE
74,50,"=""CHINLE""",10,President - Dem,999999,Number of Precincts for Race,1,APACHE
75,50,"=""CHINLE""",10,President - Dem,999998,Number of Precincts Reporting,1,APACHE
76,50,"=""CHINLE""",10,President - Dem,999997,Registered Voters,979,APACHE
77,50,"=""CHINLE""",10,President - Dem,999996,Times Counted,263,APACHE
78,50,"=""CHINLE""",10,President - Dem,10,"De La Fuente, Roque",0,APACHE
79,50,"=""CHINLE""",10,President - Dem,20,"Steinberg, Michael",1,APACHE
80,50,"=""CHINLE""",10,President - Dem,30,"Sanders, Bernie",79,APACHE
81,50,"=""CHINLE""",10,President - Dem,40,"O'Malley, Martin J.",5,APACHE
82,50,"=""CHINLE""",10,President - Dem,50,"Clinton, Hillary",178,APACHE
83,50,"=""CHINLE""",10,President - Dem,60,"Hewes, Henry",0,APACHE
84,50,"=""CHINLE""",20,President - Rep,999999,Number of Precincts for Race,1,APACHE
85,50,"=""CHINLE""",20,President - Rep,999998,Number of Precincts Reporting,1,APACHE
86,50,"=""CHINLE""",20,President - Rep,999997,Registered Voters,179,APACHE
87,50,"=""CHINLE""",20,President - Rep,999996,Times Counted,41,APACHE
88,50,"=""CHINLE""",20,President - Rep,10,"Santorum, Rick",1,APACHE
89,50,"=""CHINLE""",20,President - Rep,20,"Cook, Tim",0,APACHE
90,50,"=""CHINLE""",20,President - Rep,30,"Paul, Rand",0,APACHE
91,50,"=""CHINLE""",20,President - Rep,40,"Rubio, Marco",2,APACHE
92,50,"=""CHINLE""",20,President - Rep,50,"Graham, Lindsey",0,APACHE
93,50,"=""CHINLE""",20,President - Rep,60,"Kasich, John R.",7,APACHE
94,50,"=""CHINLE""",20,President - Rep,70,"Bush, Jeb",4,APACHE
95,50,"=""CHINLE""",20,President - Rep,80,"Trump, Donald J.",13,APACHE
96,50,"=""CHINLE""",20,President - Rep,90,"Fiorina, Carly",0,APACHE
97,50,"=""CHINLE""",20,President - Rep,100,"Pataki, George E.",0,APACHE
