contest,choice,precinct_id,vote,polling_place_votes,early_votes,late_early_votes,provisional_votes,party_name,contest_name,candidate,precinct_designation,precinct,votes_allowed,referendum_flag
0,0,0,786,0,0,0,0,0,,Registered Voters,REGISTERED VOTERS,Red Butte,0,
0,0,0,116,0,0,0,0,0,,Registered Voters,REGISTERED VOTERS,Painted Desert,0,
0,0,0,17,0,0,0,0,0,,Registered Voters,REGISTERED VOTERS,Hubbell,0,
0,0,0,555,0,0,0,0,0,,Registered Voters,REGISTERED VOTERS,Black Buttes,0,
0,0,0,148,0,0,0,0,0,,Registered Voters,REGISTERED VOTERS,Cedar Valley,0,
0,0,0,57,0,0,0,0,0,,Registered Voters,REGISTERED VOTERS,Stone Butte,0,
0,0,0,520,0,0,0,0,0,,Registered Voters,REGISTERED VOTERS,Pioneer,0,
0,0,0,259,0,0,0,0,0,,Registered Voters,REGISTERED VOTERS,Antelope,0,
0,0,0,82,0,0,0,0,0,,Registered Voters,REGISTERED VOTERS,Juniper,0,
0,0,1,68,0,0,0,0,0,,Registered Voters,REGISTERED VOTERS,Bison,0,
0,0,1,189,0,0,0,0,0,,Registered Voters,REGISTERED VOTERS,Mogollon,0,
0,0,1,78,0,0,0,0,0,,Registered Voters,REGISTERED VOTERS,Woodland,0,
0,0,1,539,0,0,0,0,0,,Registered Voters,REGISTERED VOTERS,Sitgreaves,0,
0,0,1,807,0,0,0,0,0,,Registered Voters,REGISTERED VOTERS,Sunrise,0,
0,0,0,121,0,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN PARTY,REGISTERED VOTERS - REPUBLICAN PARTY,Red Butte,0,
0,0,0,15,0,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN PARTY,REGISTERED VOTERS - REPUBLICAN PARTY,Painted Desert,0,
0,0,0,8,0,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN PARTY,REGISTERED VOTERS - REPUBLICAN PARTY,Hubbell,0,
0,0,0,126,0,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN PARTY,REGISTERED VOTERS - REPUBLICAN PARTY,Black Buttes,0,
