contest,choice,precinct_id,vote,polling_place_votes,early_votes,provisional_votes,party_name,contest_name,candidate,precinct,precinct_name,subjurisdiction,votes_allowed,referendum_flag
0,0,0,2509,0,0,0,,Registered Voters,REGISTERED VOTERS,1,0,,,
0,0,0,4337,0,0,0,,Registered Voters,REGISTERED VOTERS,2,0,,,
0,0,0,2970,0,0,0,,Registered Voters,REGISTERED VOTERS,3,0,,,
0,0,0,2962,0,0,0,,Registered Voters,REGISTERED VOTERS,4,0,,,
0,0,0,1664,0,0,0,,Registered Voters,REGISTERED VOTERS,5,0,,,
0,0,0,4208,0,0,0,,Registered Voters,REGISTERED VOTERS,6,0,,,
0,0,0,2152,0,0,0,,Registered Voters,REGISTERED VOTERS,7,0,,,
0,0,0,3363,0,0,0,,Registered Voters,REGISTERED VOTERS,8,0,,,
0,0,0,3308,0,0,0,,Registered Voters,REGISTERED VOTERS,9,0,,,
0,0,1,2896,0,0,0,,Registered Voters,REGISTERED VOTERS,10,0,,,
0,0,1,3858,0,0,0,,Registered Voters,REGISTERED VOTERS,11,0,,,
0,0,1,4474,0,0,0,,Registered Voters,REGISTERED VOTERS,12,0,,,
0,0,1,1380,0,0,0,,Registered Voters,REGISTERED VOTERS,13,0,,,
0,0,1,1733,0,0,0,,Registered Voters,REGISTERED VOTERS,14,0,,,
0,0,1,2499,0,0,0,,Registered Voters,REGISTERED VOTERS,15,0,,,
0,0,1,4022,0,0,0,,Registered Voters,REGISTERED VOTERS,16,0,,,
0,0,1,2955,0,0,0,,Registered Voters,REGISTERED VOTERS,17,0,,,
0,0,1,3730,0,0,0,,Registered Voters,REGISTERED VOTERS,18,0,,,
0,0,1,3974,0,0,0,,Registered Voters,REGISTERED VOTERS,19,0,,,
0,0,2,3798,0,0,0,,Registered Voters,REGISTERED VOTERS,20,0,,,
0,0,2,3454,0,0,0,,Registered Voters,REGISTERED VOTERS,21,0,,,
0,0,2,4660,0,0,0,,Registered Voters,REGISTERED VOTERS,22,0,,,
0,0,2,4224,0,0,0,,Registered Voters,REGISTERED VOTERS,23,0,,,
0,0,2,2677,0,0,0,,Registered Voters,REGISTERED VOTERS,24,0,,,
0,0,2,3840,0,0,0,,Registered Voters,REGISTERED VOTERS,25,0,,,
0,0,2,1311,0,0,0,,Registered Voters,REGISTERED VOTERS,26,0,,,
0,0,2,2570,0,0,0,,Registered Voters,REGISTERED VOTERS,27,0,,,
0,0,2,1533,0,0,0,,Registered Voters,REGISTERED VOTERS,28,0,,,
0,0,2,3051,0,0,0,,Registered Voters,REGISTERED VOTERS,29,0,,,
0,0,3,3827,0,0,0,,Registered Voters,REGISTERED VOTERS,30,0,,,
0,0,3,3979,0,0,0,,Registered Voters,REGISTERED VOTERS,31,0,,,
0,0,3,3097,0,0,0,,Registered Voters,REGISTERED VOTERS,32,0,,,
0,0,3,3973,0,0,0,,Registered Voters,REGISTERED VOTERS,33,0,,,
0,0,3,4124,0,0,0,,Registered Voters,REGISTERED VOTERS,34,0,,,
0,0,3,1619,0,0,0,,Registered Voters,REGISTERED VOTERS,35,0,,,
0,0,3,3390,0,0,0,,Registered Voters,REGISTERED VOTERS,36,0,,,
0,0,3,3323,0,0,0,,Registered Voters,REGISTERED VOTERS,37,0,,,
0,0,3,4223,0,0,0,,Registered Voters,REGISTERED VOTERS,38,0,,,
0,0,3,3027,0,0,0,,Registered Voters,REGISTERED VOTERS,39,0,,,
0,0,4,1510,0,0,0,,Registered Voters,REGISTERED VOTERS,40,0,,,
0,0,4,4194,0,0,0,,Registered Voters,REGISTERED VOTERS,41,0,,,
0,0,4,2184,0,0,0,,Registered Voters,REGISTERED VOTERS,42,0,,,
0,0,4,1930,0,0,0,,Registered Voters,REGISTERED VOTERS,43,0,,,
0,0,4,4212,0,0,0,,Registered Voters,REGISTERED VOTERS,44,0,,,
0,0,4,3250,0,0,0,,Registered Voters,REGISTERED VOTERS,45,0,,,
0,0,4,1629,0,0,0,,Registered Voters,REGISTERED VOTERS,46,0,,,
0,0,4,1905,0,0,0,,Registered Voters,REGISTERED VOTERS,47,0,,,
0,0,4,4614,0,0,0,,Registered Voters,REGISTERED VOTERS,48,0,,,
0,0,4,4477,0,0,0,,Registered Voters,REGISTERED VOTERS,49,0,,,
0,0,5,2556,0,0,0,,Registered Voters,REGISTERED VOTERS,50,0,,,
0,0,5,3732,0,0,0,,Registered Voters,REGISTERED VOTERS,51,0,,,
0,0,5,2236,0,0,0,,Registered Voters,REGISTERED VOTERS,52,0,,,
0,0,5,2279,0,0,0,,Registered Voters,REGISTERED VOTERS,53,0,,,
0,0,5,4146,0,0,0,,Registered Voters,REGISTERED VOTERS,54,0,,,
0,0,5,2167,0,0,0,,Registered Voters,REGISTERED VOTERS,55,0,,,
0,0,5,2524,0,0,0,,Registered Voters,REGISTERED VOTERS,56,0,,,
0,0,5,2496,0,0,0,,Registered Voters,REGISTERED VOTERS,57,0,,,
0,0,5,4034,0,0,0,,Registered Voters,REGISTERED VOTERS,58,0,,,
0,0,5,3383,0,0,0,,Registered Voters,REGISTERED VOTERS,59,0,,,
0,0,6,2346,0,0,0,,Registered Voters,REGISTERED VOTERS,60,0,,,
0,0,6,3651,0,0,0,,Registered Voters,REGISTERED VOTERS,61,0,,,
0,0,6,2839,0,0,0,,Registered Voters,REGISTERED VOTERS,62,0,,,
0,0,6,2463,0,0,0,,Registered Voters,REGISTERED VOTERS,63,0,,,
0,0,6,3136,0,0,0,,Registered Voters,REGISTERED VOTERS,64,0,,,
0,0,6,2299,0,0,0,,Registered Voters,REGISTERED VOTERS,65,0,,,
0,0,6,4572,0,0,0,,Registered Voters,REGISTERED VOTERS,66,0,,,
0,0,6,4175,0,0,0,,Registered Voters,REGISTERED VOTERS,67,0,,,
0,0,6,3193,0,0,0,,Registered Voters,REGISTERED VOTERS,68,0,,,
0,0,6,3799,0,0,0,,Registered Voters,REGISTERED VOTERS,69,0,,,
0,0,7,3702,0,0,0,,Registered Voters,REGISTERED VOTERS,70,0,,,
0,0,7,1976,0,0,0,,Registered Voters,REGISTERED VOTERS,71,0,,,
0,0,7,3142,0,0,0,,Registered Voters,REGISTERED VOTERS,72,0,,,
0,0,7,3943,0,0,0,,Registered Voters,REGISTERED VOTERS,73,0,,,
0,0,7,4336,0,0,0,,Registered Voters,REGISTERED VOTERS,74,0,,,
0,0,7,2734,0,0,0,,Registered Voters,REGISTERED VOTERS,75,0,,,
0,0,7,3291,0,0,0,,Registered Voters,REGISTERED VOTERS,76,0,,,
0,0,7,881,0,0,0,,Registered Voters,REGISTERED VOTERS,77,0,,,
0,0,7,2133,0,0,0,,Registered Voters,REGISTERED VOTERS,78,0,,,
0,0,7,2082,0,0,0,,Registered Voters,REGISTERED VOTERS,79,0,,,
0,0,8,253,0,0,0,,Registered Voters,REGISTERED VOTERS,80,0,,,
0,0,8,115,0,0,0,,Registered Voters,REGISTERED VOTERS,81,0,,,
0,0,8,2765,0,0,0,,Registered Voters,REGISTERED VOTERS,82,0,,,
0,0,8,2329,0,0,0,,Registered Voters,REGISTERED VOTERS,83,0,,,
0,0,8,2142,0,0,0,,Registered Voters,REGISTERED VOTERS,84,0,,,
0,0,8,2428,0,0,0,,Registered Voters,REGISTERED VOTERS,85,0,,,
0,0,8,4082,0,0,0,,Registered Voters,REGISTERED VOTERS,86,0,,,
0,0,8,2629,0,0,0,,Registered Voters,REGISTERED VOTERS,87,0,,,
0,0,8,386,0,0,0,,Registered Voters,REGISTERED VOTERS,88,0,,,
0,0,8,127,0,0,0,,Registered Voters,REGISTERED VOTERS,89,0,,,
0,0,9,143,0,0,0,,Registered Voters,REGISTERED VOTERS,90,0,,,
0,0,9,3055,0,0,0,,Registered Voters,REGISTERED VOTERS,91,0,,,
0,0,9,1870,0,0,0,,Registered Voters,REGISTERED VOTERS,92,0,,,
0,0,9,2538,0,0,0,,Registered Voters,REGISTERED VOTERS,93,0,,,
0,0,9,1033,0,0,0,,Registered Voters,REGISTERED VOTERS,94,0,,,
0,0,9,3497,0,0,0,,Registered Voters,REGISTERED VOTERS,95,0,,,
0,0,9,3451,0,0,0,,Registered Voters,REGISTERED VOTERS,96,0,,,
0,0,9,3407,0,0,0,,Registered Voters,REGISTERED VOTERS,97,0,,,
0,0,9,2665,0,0,0,,Registered Voters,REGISTERED VOTERS,98,0,,,
0,0,9,2810,0,0,0,,Registered Voters,REGISTERED VOTERS,99,0,,,
0,0,10,1117,0,0,0,,Registered Voters,REGISTERED VOTERS,100,0,,,
0,0,10,2196,0,0,0,,Registered Voters,REGISTERED VOTERS,101,0,,,
0,0,10,120,0,0,0,,Registered Voters,REGISTERED VOTERS,102,0,,,
0,0,10,2121,0,0,0,,Registered Voters,REGISTERED VOTERS,103,0,,,
0,0,10,3454,0,0,0,,Registered Voters,REGISTERED VOTERS,104,0,,,
0,0,10,531,0,0,0,,Registered Voters,REGISTERED VOTERS,105,0,,,
0,0,10,800,0,0,0,,Registered Voters,REGISTERED VOTERS,106,0,,,
0,0,10,2780,0,0,0,,Registered Voters,REGISTERED VOTERS,107,0,,,
0,0,10,189,0,0,0,,Registered Voters,REGISTERED VOTERS,108,0,,,
0,0,10,808,0,0,0,,Registered Voters,REGISTERED VOTERS,109,0,,,
