,contest,choice,precinct_id,vote,early_votes,polling_place_votes,late_early_votes,provisional_votes,party_name,contest_name,choice_name,precinct_designation,precinct,precinct_bs,votes_allowed,referendum_flag
0,0,0,0,1083,0,0,0,0,,Registered Voters,REGISTERED VOTERS,0,KEARNY,0,,
1,0,0,0,472,0,0,0,0,,Registered Voters,REGISTERED VOTERS,0,DUDLEYVILLE,0,,
2,0,0,0,1345,0,0,0,0,,Registered Voters,REGISTERED VOTERS,0,SAN MANUEL,0,,
3,0,0,0,756,0,0,0,0,,Registered Voters,REGISTERED VOTERS,0,MAMMOTH,0,,
4,0,0,0,2059,0,0,0,0,,Registered Voters,REGISTERED VOTERS,0,ORACLE,0,,
5,0,0,0,5529,0,0,0,0,,Registered Voters,REGISTERED VOTERS,0,SADDLEBROOKE,0,,
6,0,0,0,1892,0,0,0,0,,Registered Voters,REGISTERED VOTERS,0,ARIZONA CITY,0,,
7,0,0,1,1146,0,0,0,0,,Registered Voters,REGISTERED VOTERS,1,TOLTEC SOUTH,0,,
8,0,0,1,188,0,0,0,0,,Registered Voters,REGISTERED VOTERS,1,PICACHO,0,,
9,0,0,1,1373,0,0,0,0,,Registered Voters,REGISTERED VOTERS,1,ELOY,0,,
10,0,0,1,1062,0,0,0,0,,Registered Voters,REGISTERED VOTERS,1,TOLTEC,0,,
11,0,0,1,1002,0,0,0,0,,Registered Voters,REGISTERED VOTERS,1,RED ROCK,0,,
12,0,0,1,729,0,0,0,0,,Registered Voters,REGISTERED VOTERS,1,COOLIDGE NE,0,,
13,0,0,1,1515,0,0,0,0,,Registered Voters,REGISTERED VOTERS,1,COOLIDGE NW,0,,
14,0,0,1,1244,0,0,0,0,,Registered Voters,REGISTERED VOTERS,1,COOLIDGE SOUTH,0,,
15,0,0,2,541,0,0,0,0,,Registered Voters,REGISTERED VOTERS,2,CENTRAL ARIZONA COLLEGE,0,,
16,0,0,2,442,0,0,0,0,,Registered Voters,REGISTERED VOTERS,2,ELEVEN MILE CORNER,0,,
17,0,0,2,1766,0,0,0,0,,Registered Voters,REGISTERED VOTERS,2,FLORENCE NORTH,0,,
18,0,0,2,780,0,0,0,0,,Registered Voters,REGISTERED VOTERS,2,CACTUS FOREST,0,,
19,0,0,2,1440,0,0,0,0,,Registered Voters,REGISTERED VOTERS,2,JOHNSON RANCH,0,,
20,0,0,2,2279,0,0,0,0,,Registered Voters,REGISTERED VOTERS,2,POSTON BUTTE,0,,
21,0,0,2,1589,0,0,0,0,,Registered Voters,REGISTERED VOTERS,2,QUEEN CREEK,0,,
22,0,0,2,496,0,0,0,0,,Registered Voters,REGISTERED VOTERS,2,SACATON,0,,
