county,precinct,office,district,party,candidate,votes
Adams,4253001245,President,,Democratic Party,Hillary Clinton / Tim Kaine,63
Adams,4253001245,President,,Republican Party,Donald J. Trump / Michael R. Pence,259
Adams,4253001245,President,,American Constitution Party,Darrell L. Castle / Scott N. Bradley,0
Adams,4253001245,President,,Libertarian Party,Gary Johnson / Bill Weld,12
Adams,4253001245,President,,Green Party,Jill Stein / Ajamu Baraka,0
Adams,4253001245,President,,Approval Voting Party,Frank Atwood / Blake Huber,0
Adams,4253001245,President,,American Delta Party,"""Rocky"" Roque De La Fuente / Michael Steinberg",0
Adams,4253001245,President,,Prohibition Party,James Hedges / Bill Bayes,0
Adams,4253001245,President,,America's Party,Tom Hoefling / Steve Schulin,0
Adams,4253001245,President,,Veterans Party of America,Chris Keniston / Deacon Taylor,0
Adams,4253001245,President,,Socialist Workers Party,Alyson Kennedy / Osborne Hart,0
Adams,4253001245,President,,Independent American Party,Kyle Kenley Kopitke / Nathan R. Sorenson,1
Adams,4253001245,President,,Kotlikoff for President,Laurence Kotlikoff / Edward Leamer,0
Adams,4253001245,President,,Socialism and Liberation,Gloria Estela La Riva / Dennis J. Banks,0
Adams,4253001245,President,,Nonviolent Resistance/Pacifist,Bradford Lyttle / Hannah Walsh,0
Adams,4253001245,President,,Independent People of Colorado,Joseph Allen Maldonado / Douglas K. Terranova,0
Adams,4253001245,President,,American Solidarity Party,Michael A. Maturen / Juan Munoz,0
Adams,4253001245,President,,Unaffiliated,Evan McMullin / Nathan Johnson,0
Adams,4253001245,President,,Unaffiliated,Ryan Alan Scott / Bruce Kendall Barnard,0
Adams,4253001245,President,,Nutrition Party,Rod Silva / Richard C. Silva,0
Adams,4253001245,President,,Unaffiliated,Mike Smith / Daniel White,0
Adams,4253001245,President,,Socialist Party USA,Emidio Soltysik / Angela Nicole Walker,0
Adams,4253001245,President,,Green / Democratic,Bruce Lohmiller / J.R. Smith,0
Adams,4253001245,President,,Unaffiliated / Libertarian,Thomas J. Nieman / Bernie Jackson,0
Adams,4253001245,President,,Unaffiliated / Republican,Corey Sterner / Jeff Ryan,0
Adams,4253001245,President,,Republican Party,"David Perry / Eric ""Rick"" Seiley",0
Adams,4253001245,President,,Unaffiliated,Brian Anthony Perry / Michael Byron Nelson,0
Adams,4253001245,President,,Unaffiliated,Cherunda Fox / Roger Kushner,0
Adams,4253001245,U.S. Senate,,Democratic Party,Michael Bennet,81
Adams,4253001245,U.S. Senate,,Republican Party,Darryl Glenn,229
Adams,4253001245,U.S. Senate,,Libertarian Party,Lily Tang Williams,5
Adams,4253001245,U.S. Senate,,Green Party,Arn Menconi,0
Adams,4253001245,U.S. Senate,,Unity Party of Colorado,Bill Hammons,0
Adams,4253001245,U.S. Senate,,Unaffiliated,Dan Chapin,1
Adams,4253001245,U.S. Senate,,Unaffiliated,Paul Noel Fiorino,0
Adams,4253001245,U.S. Senate,,Unaffiliated,Don Willoughby,0
Adams,4253001245,U.S. House,4,Democratic Party,Bob Seay,59
Adams,4253001245,U.S. House,4,Republican Party,Ken Buck,249
Adams,4253001245,U.S. House,4,Libertarian Party,Bruce Griffith,10
Adams,4253001245,U.S. House,4,Republican Party,Donald Howbert,0
Adams,4253001245,State Senate,25,Democratic Party,Jenise May,56
Adams,4253001245,State Senate,25,Republican Party,Kevin Priola,260
Adams,4253001245,State Representative,30,Democratic Party,Dafna Michaelson Jenet,62
Adams,4253001245,State Representative,30,Republican Party,JoAnn Windholz,252
Adams,4253001245,District Attorney,17,Democratic Party,Dave Young,70
Adams,4253001245,District Attorney,17,Republican Party,Molly Falk Jansen,235
Adams,4253001245,Supreme Court,,,William Hood,0
Adams,4253001245,Court of Appeals,,,Karen M. Ashby,0
Adams,4253001245,Court of Appeals,,,Michael H. Berger,0
Adams,4253001245,Court of Appeals,,,Steven L. Bernard,0
Adams,4253001245,Court of Appeals,,,Stephanie E. Dunn,0
Adams,4253001245,Court of Appeals,,,David Furman,0
Adams,4253001245,Court of Appeals,,,Robert D. Hawthorne,0
Adams,4253001245,Court of Appeals,,,Jerry N. Jones,0
Adams,4253001245,Court of Appeals,,,Anthony J. Navarro,0
Adams,4253001245,Court of Appeals,,,Gilbert M. Rom�n,0
Adams,4253001245,Court of Appeals,,,Diana Terry,0
Adams,4255601241,President,,Democratic Party,Hillary Clinton / Tim Kaine,1
Adams,4255601241,President,,Republican Party,Donald J. Trump / Michael R. Pence,29
Adams,4255601241,President,,American Constitution Party,Darrell L. Castle / Scott N. Bradley,0
