Precinct,gen_con_CASTLE,gen_rep_TRUMP,gen_lib_JOHNSON,gen_dem_CLINTON,gen_gre_STEIN,gen_ind_FUENTE,pri_dem_SANDERS,pri_dem_CLINTON,pri_dem_OMALLEY,pri_rep_CARSON,pri_rep_FIORINA,pri_rep_CHRISTIE,pri_rep_TRUMP,pri_rep_BUSH,pri_rep_GILMORE,pri_rep_KASICH,pri_rep_GRAHAM,pri_rep_RUBIO,pri_rep_HUCKABEE,pri_rep_PAUL,pri_rep_SANTORUM,pri_rep_CRUZ,gen_total,rep_pri_total,dem_pri_total
1200101 First Baptist Church of Waldo,2,637,28,357,5,0,104,131,8,3,0,0,163,3,0,12,0,35,0,2,0,76,1043,294,243
1200102 LaCrosse Town Hall,2,839,29,668,18,0,149,237,10,4,0,2,152,5,0,7,0,64,0,0,0,110,1592,344,396
1200103 Alachua Recreation Center,5,1711,105,1114,34,2,278,258,39,7,3,0,354,6,0,51,1,150,2,4,2,190,3017,770,575
1200104 Newberry United Methodist Church,7,1483,75,687,11,1,161,183,22,15,1,1,375,8,0,15,0,130,0,1,0,190,2305,736,366
1200105 First Lutheran Church,2,544,101,1409,29,1,457,307,8,1,0,0,76,0,0,41,0,125,0,1,0,44,2115,288,772
1200106 Newberry Municipal Building,12,1263,65,762,13,2,143,224,19,6,1,0,277,10,0,36,1,110,0,0,0,184,2144,625,386
1200107 Ignite Life Center,1,259,54,1253,50,2,427,191,5,1,0,1,49,0,0,10,0,35,0,0,0,11,1656,107,623
1200108 Hawthorne City Hall,2,768,39,636,10,1,154,235,14,3,0,0,177,6,0,18,0,45,0,0,0,57,1473,306,403
1200109 Island Grove Baptist Church,0,279,11,117,2,0,48,32,7,1,0,1,77,2,0,3,0,13,0,0,0,16,415,113,87
1200110 Micanopy Town Hall,1,551,35,623,13,0,204,227,11,3,0,0,115,6,0,23,0,61,0,1,0,66,1238,275,442
1200111 Archer Community Center,5,964,50,1044,13,2,242,363,20,10,2,0,223,5,0,16,0,98,0,1,0,120,2110,475,625
1200112 Parkview Baptist Church,7,335,49,1292,47,1,442,287,10,3,0,0,76,8,0,14,0,38,1,2,0,36,1758,178,739
1200113 Mt. Carmel Baptist Church,3,58,4,1472,10,0,152,534,4,0,0,0,8,3,0,1,0,6,0,0,0,3,1568,21,690
1200114 Eliam Baptist Church,4,579,22,281,8,0,112,66,10,2,1,0,137,3,0,8,0,50,0,1,1,60,907,263,188
1200115 Windsor Baptist Church,1,371,22,263,3,0,68,70,6,2,0,0,69,1,0,5,0,29,0,2,0,61,672,169,144
1200116 BestWestern Gateway Grand Hotel,5,899,56,819,14,0,172,197,10,5,1,0,219,6,0,50,0,160,1,1,0,107,1842,550,379
1200117 Elks Lodge #990,3,609,80,1390,39,1,367,387,23,5,0,1,135,10,0,43,0,108,0,1,0,62,2175,365,777
1200118 Kanapaha Presbyterian Church,1,811,71,1163,10,0,192,293,1,3,1,1,158,14,0,40,0,146,0,0,0,107,2107,470,486
1200119 Springhill Baptist Church,2,100,25,1038,25,0,297,254,1,0,0,0,23,1,0,6,0,16,0,0,0,7,1215,53,552
1200120 High Springs Civic Center,3,1500,64,913,23,4,223,284,16,11,0,0,262,14,0,30,0,144,1,1,1,181,2552,645,523
1200121 The Greenhouse Church,9,837,77,1235,33,2,380,275,11,6,3,0,174,4,1,26,0,124,1,3,0,102,2245,444,666
1200122 First Church Of The Nazarene,8,894,82,1415,28,2,334,372,9,6,0,1,170,9,0,41,0,156,2,3,0,111,2485,499,715
1200123 American Cancer Society Hope Lodge,3,306,39,872,21,1,239,137,5,3,0,0,50,4,0,18,0,60,0,4,0,25,1272,164,381
1200124 Gainesville Baptist Church,2,472,67,1107,22,0,342,335,26,4,0,0,101,6,0,34,0,91,1,4,0,68,1715,309,703
1200125 SFC Center for Innov. & Econ. Dev.,1,269,69,1320,34,1,354,170,2,1,0,0,19,0,1,13,0,57,0,1,0,16,1725,108,526
1200126 Westside Recreation Center,1,319,44,935,17,1,281,254,3,1,1,0,63,1,0,31,0,76,1,2,0,28,1354,204,538
1200127 Thelma Boltin Activity Center,7,331,74,2110,45,0,735,496,14,4,1,0,69,7,0,19,0,56,0,4,1,41,2608,202,1245
1200128 McPherson Recreation Center,0,159,17,1829,16,1,252,651,6,2,0,0,28,3,0,4,1,14,0,1,0,17,2055,70,909
1200129 Haile Meeting Hall,5,1024,57,1081,11,1,196,311,10,3,0,0,229,12,0,73,0,203,0,2,0,112,2230,634,517
1200130 Greater Bethel A.M.E. Church,4,288,22,1545,20,2,237,466,5,1,0,1,34,0,0,4,0,32,0,0,1,26,1907,99,708
1200131 J. Wayne Reitz Union,4,943,156,2554,39,2,500,151,2,2,0,0,51,2,0,39,0,210,0,3,0,48,3740,355,653
1200132 LifeSouth Community Blood Centers,6,691,122,1653,56,4,553,298,9,3,0,0,121,9,0,33,0,113,1,3,0,91,2596,374,860
1200133 Highlands Presbyterian Church,0,0,0,0,0,0,278,494,8,1,0,0,51,0,0,9,0,27,1,2,0,35,0,126,780
1200133 Ironwood Clubhouse,1,230,30,1566,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1884,0,0
1200134 Fairbanks Baptist Church,1,517,16,399,7,0,73,105,8,0,0,0,91,3,0,4,0,39,0,0,0,23,959,160,186
1200135 Southwest United Methodist Church,1,531,31,666,9,0,151,187,14,3,0,0,124,10,0,31,0,88,1,0,0,54,1261,311,352
1200136 Doyle Conner Building,3,525,99,1577,42,3,343,120,5,1,0,0,48,1,0,16,0,92,0,2,0,41,2279,201,468
1200137 Unitarian Universalist Fellowship,2,682,49,1005,19,0,281,302,12,7,1,0,176,5,0,33,0,105,1,1,0,70,1788,399,595
