precinct,pri_dem_CLINTON,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_STEINBERG,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_R.KASICH,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_dem_CLINTON,gen_rep_TRUMP,rep_primary_total,dem_primary_total,general_total
Appling1B,23,1,12,1,5,34,0,108,1,0,3,12,0,0,0,54,0,165,92,685,382,37,777
Appling1C,14,1,5,0,3,28,0,88,0,1,2,9,0,2,0,45,0,125,42,496,303,20,538
Appling2,284,3,41,1,3,28,0,45,0,0,0,7,0,0,0,27,0,96,742,427,206,329,1169
Appling3A,1,0,3,0,0,10,0,41,0,0,0,4,0,0,0,13,0,48,4,209,116,4,213
Appling3A1,11,0,6,0,3,26,0,68,0,0,2,4,0,0,0,18,0,59,17,319,180,17,336
Appling3B,39,2,6,0,2,8,0,22,0,0,2,1,0,0,0,14,0,24,98,101,73,47,199
Appling3C,47,3,19,1,4,36,0,125,0,0,1,13,0,2,0,76,0,135,154,670,392,70,824
Appling4A,3,0,4,0,3,11,1,46,0,0,1,5,0,0,0,25,0,53,14,261,145,7,275
Appling4B,2,0,2,0,4,16,0,71,0,0,2,3,0,0,0,27,0,72,7,305,195,4,312
Appling4C,2,0,3,0,0,10,0,55,0,0,1,2,0,0,0,33,0,67,10,284,168,5,294
Appling4D,24,0,7,0,2,44,0,99,0,0,0,12,0,2,0,55,0,164,83,624,378,31,707
Appling5A,17,0,16,1,3,23,0,66,0,0,2,1,0,0,0,35,0,126,68,530,256,34,598
Appling5B,20,1,10,1,0,14,0,47,0,0,0,5,0,0,0,22,0,81,79,336,169,32,415
Appling5C,4,0,9,0,0,16,1,33,0,0,1,5,0,0,0,18,0,76,24,247,150,13,271
AtkinsonAxson,7,0,2,0,0,12,1,48,0,0,0,3,0,0,0,17,0,103,29,375,184,9,404
AtkinsonPearson City,77,0,9,0,2,6,0,12,0,0,0,3,0,0,0,6,0,51,275,164,80,86,439
AtkinsonPearson County,37,0,20,1,0,17,0,78,0,0,0,3,0,0,0,33,0,282,136,850,413,58,986
AtkinsonWillacoochee,80,0,18,1,2,12,0,45,1,0,0,5,0,0,0,17,0,186,257,489,268,99,746
BaconDouglas,88,2,31,3,4,47,2,147,0,1,3,33,0,0,0,137,2,437,477,1578,813,124,2055
BaconNew Lacy,9,1,9,0,1,23,1,71,0,0,2,8,0,0,0,56,0,184,58,696,346,19,754
BaconTaylor,8,0,10,0,2,20,0,66,1,0,0,3,0,0,0,25,0,120,30,521,237,18,551
BaconWare,2,0,6,0,1,16,0,32,0,0,1,6,0,0,0,14,0,106,25,328,176,8,353
BaconWarnock,6,0,2,0,0,4,0,25,0,0,1,7,0,0,0,14,0,57,18,241,108,8,259
BakerAnna,8,0,6,0,0,0,0,10,0,0,0,0,0,0,0,4,0,30,32,73,44,14,105
BakerElmodel,59,1,4,0,0,4,0,23,0,0,0,1,0,0,0,9,0,34,133,124,71,64,257
BakerHoggard Mill,49,0,10,0,0,4,0,1,0,0,0,3,0,0,0,6,0,31,105,92,45,59,197
BakerMilford,43,0,7,0,2,8,1,18,0,0,1,2,0,1,0,6,0,46,74,133,85,50,207
BakerNewton,145,2,21,2,1,9,0,35,2,0,2,2,0,1,0,17,0,121,306,353,190,170,659
BaldwinBoddie,182,2,55,1,2,3,0,17,0,0,0,5,0,1,0,24,0,26,534,124,78,240,658
BaldwinCity Hall Annex,116,1,27,0,1,4,0,21,0,0,0,5,0,2,0,19,0,40,303,178,92,144,481
BaldwinCoopers,96,0,45,0,6,45,1,87,0,0,0,10,0,2,0,62,0,199,273,682,412,141,955
BaldwinCourthouse,44,0,35,0,0,7,0,19,0,0,0,7,0,0,0,24,0,21,167,127,78,79,294
BaldwinEast Baldwin,382,2,103,0,9,53,1,146,0,0,2,29,0,4,0,111,0,335,1011,1313,690,487,2324
BaldwinEast Hardwick,178,0,21,1,0,12,0,11,0,0,0,0,0,0,0,6,0,31,532,111,60,200,643
BaldwinFire Dept,285,1,67,0,5,7,0,20,0,0,0,7,0,1,0,52,0,49,643,227,141,353,870
BaldwinMeriweather,197,1,63,0,2,45,1,133,0,0,0,24,0,0,0,137,2,316,604,1063,660,261,1667
BaldwinNorth Baldwin,253,3,70,2,4,63,2,188,0,0,3,43,0,1,0,233,1,461,615,1624,999,328,2239
BaldwinNorth Milledgeville,240,3,90,1,3,34,0,76,0,0,3,21,0,1,0,123,1,221,669,757,483,334,1426
BaldwinScottsboro,69,0,21,1,3,22,1,42,0,0,0,2,0,0,0,23,0,102,219,386,195,91,605
BaldwinSouth Milledgeville,200,1,44,0,1,5,0,8,0,0,0,6,0,0,0,26,0,24,524,131,70,245,655
BaldwinWest Baldwin,225,1,45,3,2,29,1,78,1,0,1,24,0,0,0,77,0,153,539,608,366,274,1147
BaldwinWest Hardwick,569,0,78,1,7,21,0,37,0,0,0,1,0,0,0,45,0,92,1337,366,203,648,1703
BanksAnderson,23,1,30,0,1,31,0,106,3,0,3,16,0,1,0,54,1,232,84,737,448,54,821
