Precinct,gen_aip_HOEFLING,gen_asp_MATUREN,gen_con_CASTLE,gen_dem_CLINTON,gen_gre_STEIN,gen_ind_KOTLIKOFF,gen_ind_MCMULLIN,gen_lib_JOHNSON,gen_pro_HEDGES,gen_psl_LARIVA,gen_ref_FUENTE,gen_rep_TRUMP,gen_sep_WHITE,gen_soc_SOLTYSIK,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_total,rep_pri_total,dem_pri_total
001-000,0,0,1,544,28,0,8,73,0,0,0,1916,0,0,412,0,374,16,22,2,416,0,8,308,2,18,0,1330,2570,2122,786
001-001,2,1,7,9923,312,0,101,914,0,0,0,13165,0,0,8128,76,5258,64,252,46,2816,26,24,2724,64,86,10,8704,24425,14816,13462
001-002,0,4,3,6231,209,0,69,571,0,0,0,7008,0,0,4678,38,3694,32,74,12,1584,6,12,1444,22,60,6,4350,14095,7602,8410
001-003,0,0,3,6365,192,2,67,483,0,0,0,4859,0,0,5028,34,3310,24,70,16,1128,10,10,1158,12,36,4,2802,11971,5270,8372
001-004,0,1,0,5297,154,0,50,406,0,0,1,4235,0,0,4512,42,2880,24,66,12,834,14,6,1082,20,18,2,2614,10144,4692,7434
001-005,0,0,4,4909,154,0,34,404,0,0,0,3819,0,0,4378,52,2754,30,50,12,868,6,2,1004,20,50,6,2350,9324,4398,7184
001-006,0,1,2,4343,101,0,29,251,0,0,0,2229,0,0,3814,20,2062,12,54,4,478,6,4,430,10,24,4,1122,6956,2148,5896
001-007,0,0,1,2301,73,1,22,223,0,0,0,2563,0,0,1960,34,1266,28,36,8,494,8,10,556,6,20,6,1606,5184,2778,3260
001-008,0,4,1,2388,93,1,30,256,0,0,0,2704,0,0,1644,24,1856,12,40,14,524,8,6,678,8,24,6,1668,5477,2988,3524
001-009,1,0,2,1676,61,1,17,181,0,0,0,1888,0,0,1308,12,1092,12,36,2,332,6,4,368,2,12,2,1146,3827,1922,2412
001-010,0,1,3,1940,72,1,31,205,0,0,0,1936,0,0,1628,20,1386,8,28,4,384,2,2,536,2,18,4,1280,4189,2268,3034
