Precinct,gen_dem_CLINTON,gen_gre_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_OMALLEY,pri_dem_SANDERS,pri_lib_FELDMAN,pri_lib_HALE,pri_lib_INCE,pri_lib_JOHNSON,pri_lib_KERBEL,pri_lib_PERRY,pri_lib_REID,pri_lib_SMITH,pri_lib_WAYMIRE,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GILMORE,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PAUL,pri_rep_PETERSEN,pri_rep_ROBINSON,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_total,rep_pri_total,dem_pri_total
37101,411,10,50,1865,108,1,11,118,0,0,0,3,0,0,0,0,0,2,7,1,396,0,0,1,29,2,0,0,36,0,296,2336,770,238
37101ONE STOP ARCHER LODGE,2630,8,260,6185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9083,0,0
37101ONE STOP BENSON,925,0,93,4220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5238,0,0
37101ONE STOP CLAYTON,5499,18,308,6811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12636,0,0
37101ONE STOP CLEVELAND,3450,17,276,6225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9968,0,0
37101ONE STOP SMITHFIELD,6499,11,265,8408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15183,0,0
37101PR04,151,0,6,390,82,2,3,48,0,0,0,0,0,0,1,0,0,1,5,0,79,0,0,1,10,0,0,0,9,0,147,547,252,135
37101PR07,221,2,21,1007,159,1,7,136,0,0,0,1,0,0,0,0,0,1,14,1,291,0,0,0,21,1,0,0,32,1,267,1251,629,303
37101PR08,93,0,7,716,45,2,8,130,0,0,0,0,0,0,0,0,0,1,2,0,207,0,0,3,11,1,0,0,15,0,220,816,460,185
37101PR09,276,1,40,594,346,1,4,267,0,0,0,6,0,0,0,0,1,2,10,0,462,2,0,3,113,5,0,0,96,0,497,911,1190,618
37101PR10A,269,6,25,242,299,2,4,238,0,0,0,0,1,0,0,0,2,1,3,0,189,0,0,1,34,1,0,1,27,0,152,542,409,543
37101PR10B,122,1,27,315,141,1,1,111,0,0,0,4,0,0,0,0,0,0,11,0,232,0,0,2,32,1,0,0,29,0,213,465,520,254
37101PR11A,186,3,30,406,277,2,4,177,0,1,0,1,0,0,0,0,0,3,2,1,244,0,0,1,49,2,0,0,22,1,225,625,550,460
37101PR11B,277,0,39,463,378,1,2,266,0,0,0,5,1,0,0,0,0,1,3,0,400,0,0,1,64,0,0,0,74,0,321,779,864,647
37101PR12A,235,1,52,500,288,0,10,173,0,0,0,2,0,0,0,0,0,1,8,2,401,1,0,0,55,2,0,0,42,0,339,788,851,471
37101PR12B,275,1,51,542,309,2,3,231,0,0,0,2,0,0,0,0,0,4,7,0,393,0,1,2,78,1,0,0,61,0,330,869,877,545
37101PR13,142,0,19,590,112,2,4,115,0,0,0,1,0,0,0,0,0,1,11,0,278,1,0,2,28,1,0,0,32,0,268,751,622,233
37101PR14,112,1,24,618,74,1,6,100,0,0,0,0,0,0,0,0,0,3,2,0,244,0,0,1,22,1,0,0,24,1,284,755,582,181
37101PR19,159,1,7,567,93,2,9,85,0,0,0,0,0,0,0,0,0,1,7,1,135,0,0,0,6,1,0,0,13,0,195,734,359,189
37101PR20,398,2,28,760,200,0,6,162,0,0,0,1,0,0,0,0,1,3,2,0,276,0,0,1,21,1,0,0,17,0,222,1188,543,368
37101PR21,120,0,13,744,82,1,8,102,0,0,0,2,0,0,0,0,0,2,6,2,321,0,0,1,15,2,0,0,16,0,230,877,595,193
37101PR22,239,3,17,856,155,3,11,161,0,0,0,0,0,0,0,0,0,2,15,0,268,0,0,2,43,1,0,0,39,1,353,1115,724,330
37101PR23A,258,5,55,841,202,5,5,167,0,0,0,2,0,0,0,0,1,4,12,1,413,1,0,1,47,2,0,0,50,1,340,1159,872,379
37101PR23B,285,1,48,800,168,0,5,158,0,0,0,1,0,0,0,0,0,1,5,0,389,0,1,2,40,1,0,0,36,0,315,1134,790,331
37101PR24,357,1,14,258,273,2,6,134,0,0,0,0,0,0,0,0,0,0,5,1,92,0,0,1,22,0,0,0,9,0,123,630,253,415
37101PR25,303,0,23,320,239,0,4,130,0,0,0,3,0,0,0,0,0,0,1,0,136,0,0,2,11,0,0,0,20,0,149,646,319,373
37101PR26,299,1,9,171,378,0,13,129,0,0,0,0,0,0,0,0,0,2,1,1,81,0,0,1,20,1,0,0,10,0,133,480,250,520
37101PR27A,173,0,10,185,180,1,7,105,0,0,0,0,0,0,0,0,0,0,3,0,110,1,0,0,26,0,0,0,22,0,127,368,289,293
37101PR27B,225,2,21,381,223,1,2,155,0,0,0,1,0,0,0,0,0,2,4,0,194,0,0,1,26,0,0,0,23,0,207,629,457,381
37101PR28,226,2,32,543,289,1,18,190,0,1,0,1,0,0,0,0,0,5,7,1,334,0,0,0,125,2,0,0,49,1,320,803,844,498
37101PR29A,229,3,62,556,227,0,8,271,0,0,0,5,0,0,0,0,0,3,5,2,581,1,0,0,93,2,1,0,78,0,402,850,1168,506
37101PR29B,372,3,61,834,466,0,12,400,0,0,1,5,1,0,0,0,0,4,12,3,744,3,1,1,153,3,1,1,122,0,577,1270,1625,878
37101PR30,304,1,26,562,290,1,10,176,0,0,0,3,0,0,0,0,0,0,5,0,261,0,0,2,30,1,0,0,32,0,263,893,594,477
