precinct,pri_dem_CLINTON,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_KASICH,pri_rep_TRUMP,gen_dem_CLINTON,gen_rep_TRUMP,rep_primary_total,dem_primary_total,general_total
Bernalillo1,60,93,3,6,15,0,9,64,346,311,97,153,657
Bernalillo10,65,65,1,5,9,2,7,35,287,223,59,130,510
Bernalillo101,35,186,2,1,3,0,2,10,341,57,18,221,398
Bernalillo102,27,105,0,0,2,1,1,6,231,35,10,132,266
Bernalillo103,91,96,1,1,5,0,1,15,490,125,23,187,615
Bernalillo104,20,25,0,0,0,0,0,1,115,14,1,45,129
Bernalillo105,33,23,0,0,1,0,0,1,151,30,2,56,181
Bernalillo106,116,71,2,2,3,0,6,11,396,91,24,187,487
Bernalillo107,89,101,3,1,6,1,3,11,336,61,25,190,397
Bernalillo108,50,36,5,1,1,1,7,30,161,131,45,86,292
Bernalillo109,9,7,0,0,0,0,0,2,25,16,2,16,41
Bernalillo11,179,145,5,2,7,1,12,52,495,201,79,324,696
Bernalillo110,87,82,6,2,16,1,6,46,337,249,77,169,586
Bernalillo111,132,129,5,2,18,1,6,68,521,377,100,261,898
Bernalillo112,141,130,1,7,24,4,10,112,513,469,158,271,982
Bernalillo113,77,91,4,3,5,5,10,66,309,288,93,168,597
Bernalillo114,196,161,12,14,28,6,31,164,675,750,255,357,1425
Bernalillo115,203,177,10,5,36,0,15,186,885,873,252,380,1758
Bernalillo116,66,69,1,3,10,1,3,63,238,278,81,135,516
Bernalillo117,175,152,4,6,49,6,14,156,698,777,235,327,1475
Bernalillo118,82,100,3,8,11,1,9,114,454,528,146,182,982
Bernalillo119,193,199,3,3,21,0,12,101,763,468,140,392,1231
Bernalillo12,120,120,1,0,10,1,7,44,394,184,63,240,578
Bernalillo120,167,132,1,3,11,0,5,69,586,359,89,299,945
Bernalillo121,191,129,5,1,7,1,9,34,488,141,57,320,629
Bernalillo122,65,108,2,0,0,0,3,6,217,44,11,173,261
Bernalillo123,80,171,1,2,4,0,2,12,383,65,21,251,448
Bernalillo124,47,105,0,1,1,1,3,1,251,37,7,152,288
Bernalillo125,84,128,0,0,4,1,1,11,307,68,17,212,375
Bernalillo127,121,141,6,1,13,1,9,102,598,602,132,262,1200
Bernalillo128,64,82,3,1,9,1,9,59,246,277,82,146,523
Bernalillo129,47,54,0,1,4,1,5,46,217,234,57,101,451
Bernalillo13,149,104,3,2,6,5,12,45,348,166,73,253,514
Bernalillo131,38,65,2,2,2,1,1,8,179,47,16,103,226
Bernalillo132,38,98,1,0,0,0,5,4,255,54,10,136,309
Bernalillo133,44,55,0,1,0,0,1,5,202,42,7,99,244
Bernalillo134,200,227,4,5,20,2,12,108,870,577,151,427,1447
Bernalillo135,79,90,0,0,3,0,1,9,295,56,13,169,351
Bernalillo136,114,103,2,3,13,0,3,35,487,231,56,217,718
Bernalillo137,43,74,2,6,10,2,1,12,293,154,33,117,447
Bernalillo138,95,74,1,0,5,0,4,33,443,168,43,169,611
Bernalillo139,79,44,0,0,3,1,1,16,220,114,21,123,334
Bernalillo14,71,93,1,4,5,0,5,42,317,186,57,164,503
Bernalillo140,52,63,0,1,4,0,0,21,305,131,26,115,436
Bernalillo141,73,66,2,1,11,1,0,35,346,159,50,139,505
Bernalillo142,104,102,1,3,8,0,4,37,490,243,53,206,733
Bernalillo143,40,40,3,0,3,0,1,8,226,81,15,80,307
Bernalillo144,77,61,1,0,5,0,1,34,317,202,41,138,519
Bernalillo15,85,74,2,3,6,2,11,53,340,246,77,159,586
Bernalillo150,243,156,3,2,4,5,26,45,596,189,85,399,785
Bernalillo151,136,138,2,2,3,2,1,21,409,118,31,274,527
Bernalillo152,117,116,3,1,4,1,6,17,337,105,32,233,442
Bernalillo153,108,118,1,2,7,2,2,24,334,131,38,226,465
Bernalillo154,212,169,4,1,5,2,6,28,681,205,46,381,886
Bernalillo16,58,78,0,4,5,1,3,34,246,148,47,136,394
Bernalillo161,42,47,0,2,3,1,2,10,214,69,18,89,283
Bernalillo162,115,152,3,3,1,4,3,14,445,92,28,267,537
Bernalillo163,56,64,1,3,4,1,0,13,212,46,22,120,258
Bernalillo164,53,97,0,0,2,0,3,14,247,69,19,150,316
Bernalillo165,77,120,2,0,4,1,1,17,291,40,25,197,331
Bernalillo166,59,117,2,0,6,0,3,8,234,39,19,176,273
Bernalillo17,137,148,2,7,11,3,4,48,422,246,75,285,668
Bernalillo170,101,130,3,4,11,0,6,88,506,429,112,231,935
Bernalillo171,110,105,3,1,15,1,10,86,498,381,116,215,879
Bernalillo18,126,104,4,1,8,0,6,36,415,217,55,230,632
Bernalillo180,66,58,0,1,4,1,7,26,190,77,39,124,267
Bernalillo181,213,156,0,3,5,2,8,37,591,164,55,369,755
Bernalillo182,80,64,2,1,12,2,3,12,238,112,32,144,350
Bernalillo183,159,178,2,3,9,1,4,42,479,184,61,337,663
Bernalillo184,104,86,4,4,3,0,6,23,291,95,40,190,386
Bernalillo185,222,176,5,0,14,1,12,42,626,201,74,398,827
Bernalillo186,144,130,3,1,11,1,3,21,485,171,40,274,656
Bernalillo187,145,108,1,1,4,0,3,28,416,118,37,253,534
Bernalillo19,135,135,6,12,25,3,19,132,565,604,197,270,1169
Bernalillo191,70,75,2,3,9,0,1,19,222,89,34,145,311
Bernalillo192,80,92,0,1,3,0,0,19,288,74,23,172,362
Bernalillo193,58,98,4,0,2,1,1,26,270,102,34,156,372
Bernalillo194,83,78,0,3,2,0,3,20,303,119,28,161,422
Bernalillo195,64,73,2,1,4,0,0,13,209,70,20,137,279
Bernalillo196,39,37,4,1,5,0,3,10,176,68,23,76,244
Bernalillo197,66,78,1,0,3,1,0,16,304,99,21,144,403
Bernalillo2,65,66,3,2,13,1,8,57,288,270,84,131,558
Bernalillo20,164,113,2,3,16,0,10,93,486,381,124,277,867
Bernalillo21,191,161,5,5,23,3,12,110,653,506,158,352,1159
Bernalillo211,38,35,1,1,2,0,0,8,173,40,12,73,213
Bernalillo212,76,62,0,0,0,1,0,9,267,46,10,138,313
Bernalillo214,49,109,3,0,2,0,1,7,280,45,13,158,325
Bernalillo215,29,92,0,1,1,0,2,4,218,39,8,121,257
Bernalillo216,81,71,1,0,3,0,5,16,279,76,25,152,355
Bernalillo217,17,14,0,0,0,0,0,4,60,17,4,31,77
Bernalillo22,81,86,3,5,12,3,11,80,317,278,114,167,595
Bernalillo221,90,149,1,0,1,2,0,11,427,80,15,239,507
Bernalillo223,27,95,0,0,1,0,1,1,208,19,3,122,227
Bernalillo224,33,63,0,0,0,0,1,6,176,32,7,96,208
Bernalillo225,23,33,0,2,0,0,0,2,91,17,4,56,108
Bernalillo226,42,44,0,0,2,0,0,1,163,22,3,86,185
Bernalillo23,140,114,1,5,18,1,8,66,453,353,99,254,806
Bernalillo24,175,182,2,3,25,1,12,102,653,498,145,357,1151
Bernalillo241,26,112,0,2,2,0,1,8,228,35,13,138,263
Bernalillo242,38,156,1,0,1,0,0,5,282,33,7,194,315
Bernalillo243,35,182,1,0,1,1,4,4,342,47,11,217,389
Bernalillo244,109,169,1,2,2,1,3,21,455,64,30,278,519
Bernalillo245,73,143,0,2,0,0,1,7,331,45,10,216,376
Bernalillo246,27,52,1,1,2,0,0,4,183,33,8,79,216
Bernalillo25,144,133,4,6,19,4,13,96,574,471,142,277,1045
Bernalillo251,74,98,1,0,0,0,1,12,280,49,14,172,329
Bernalillo252,101,83,2,0,2,1,5,15,321,54,25,184,375
Bernalillo253,115,156,1,1,5,0,2,27,490,115,36,271,605
Bernalillo254,115,157,0,2,3,1,12,16,442,101,34,272,543
Bernalillo255,107,172,2,0,3,1,2,19,443,98,27,279,541
Bernalillo256,95,140,2,0,2,1,3,11,351,62,19,235,413
Bernalillo257,0,0,0,0,0,0,0,0,0,0,0,0,0
Bernalillo258,7,18,1,0,5,0,3,38,99,174,47,25,273
Bernalillo26,163,149,2,3,5,3,4,88,551,327,105,312,878
Bernalillo27,83,87,3,1,6,0,2,31,361,157,43,170,518
Bernalillo271,75,154,1,0,7,1,4,15,336,93,28,229,429
Bernalillo272,88,116,0,0,2,1,5,15,341,54,23,204,395
Bernalillo273,112,114,2,4,5,1,3,27,409,116,42,226,525
Bernalillo274,73,109,1,1,4,2,2,15,298,47,25,182,345
Bernalillo275,68,106,1,1,8,0,1,28,390,171,39,174,561
Bernalillo278,43,50,2,0,7,2,0,32,169,116,43,93,285
Bernalillo28,56,67,0,0,8,1,3,17,258,129,29,123,387
Bernalillo281,54,74,1,3,1,0,0,6,212,58,11,128,270
Bernalillo282,84,90,2,0,6,2,5,23,332,140,38,174,472
Bernalillo283,32,50,0,0,2,1,0,12,151,51,15,82,202
Bernalillo284,62,71,3,1,5,2,6,14,230,113,31,133,343
Bernalillo285,43,50,1,2,9,0,2,16,193,87,30,93,280
Bernalillo286,72,86,3,2,10,2,0,30,385,164,47,158,549
Bernalillo287,39,58,2,0,2,0,1,10,198,77,15,97,275
Bernalillo289,214,161,17,18,42,4,45,244,848,899,370,375,1747
Bernalillo29,78,83,4,2,5,2,2,54,356,207,69,161,563
Bernalillo290,52,23,7,3,11,2,15,69,120,165,107,75,285
Bernalillo291,59,62,3,3,3,2,3,31,211,177,45,121,388
Bernalillo292,113,140,4,4,14,3,12,91,494,392,128,253,886
Bernalillo293,107,83,5,2,5,2,3,49,379,207,66,190,586
Bernalillo294,54,54,9,3,17,4,32,123,218,323,188,108,541
Bernalillo295,67,56,1,2,8,0,15,75,233,259,101,123,492
Bernalillo296,43,38,2,2,8,0,4,36,175,131,52,81,306
Bernalillo297,86,100,3,2,9,1,5,55,343,251,75,186,594
Bernalillo298,80,88,3,5,13,1,6,37,362,252,65,168,614
Bernalillo299,78,99,6,1,15,2,17,77,345,290,118,177,635
Bernalillo3,86,95,2,2,14,0,4,66,381,352,88,181,733
Bernalillo30,292,168,9,4,25,4,33,165,870,624,240,460,1494
Bernalillo300,40,40,3,0,8,2,3,24,164,143,40,80,307
Bernalillo301,71,51,4,2,14,3,7,41,246,226,71,122,472
Bernalillo302,178,150,7,9,33,1,40,173,613,619,263,328,1232
Bernalillo303,56,40,2,2,7,1,5,33,184,114,50,96,298
Bernalillo304,59,46,2,2,7,2,10,37,202,175,60,105,377
Bernalillo305,62,84,5,1,6,0,5,37,299,155,54,146,454
Bernalillo306,43,52,2,2,5,1,4,33,151,152,47,95,303
Bernalillo307,73,63,0,0,14,0,11,52,265,219,77,136,484
Bernalillo308,53,45,2,3,11,3,4,46,179,174,69,98,353
Bernalillo31,90,58,1,1,1,0,0,17,346,64,20,148,410
Bernalillo311,48,97,1,0,4,2,5,25,269,94,37,145,363
Bernalillo312,56,133,0,0,3,0,3,21,319,85,27,189,404
Bernalillo313,36,58,2,1,0,1,0,14,171,68,18,94,239
Bernalillo314,71,98,0,2,7,1,8,23,244,163,41,169,407
Bernalillo315,48,70,2,0,7,2,10,29,212,140,50,118,352
Bernalillo316,92,79,5,2,12,1,8,45,263,172,73,171,435
Bernalillo317,45,67,2,3,7,1,2,36,197,101,51,112,298
Bernalillo318,51,49,0,0,3,1,0,16,293,114,20,100,407
Bernalillo32,90,88,3,0,1,0,1,25,381,145,30,178,526
Bernalillo321,46,63,1,3,3,0,1,11,199,69,19,109,268
Bernalillo322,33,56,1,0,2,0,2,14,150,66,19,89,216
Bernalillo323,36,66,2,0,2,2,3,18,252,101,27,102,353
Bernalillo324,139,129,5,9,16,3,12,102,527,387,147,268,914
Bernalillo326,64,61,1,2,7,0,2,17,248,80,29,125,328
Bernalillo327,45,63,2,4,7,0,2,30,266,163,45,108,429
Bernalillo328,116,134,7,6,16,2,20,125,489,437,176,250,926
Bernalillo329,48,52,2,0,4,0,0,20,212,132,26,100,344
Bernalillo33,162,84,1,2,5,1,1,18,503,143,28,246,646
Bernalillo330,28,39,3,0,3,0,2,27,160,100,35,67,260
Bernalillo331,25,49,0,1,5,1,0,15,190,77,22,74,267
Bernalillo332,71,90,0,2,9,2,5,55,239,207,73,161,446
Bernalillo333,103,78,8,6,27,2,34,149,364,436,226,181,800
Bernalillo34,68,30,0,0,1,0,0,10,219,88,11,98,307
Bernalillo341,88,102,2,0,3,0,7,23,294,72,35,190,366
Bernalillo342,32,97,0,1,1,0,2,5,209,25,9,129,234
Bernalillo343,92,154,1,1,2,2,6,13,347,59,25,246,406
Bernalillo344,124,165,5,2,2,0,7,30,451,118,46,289,569
Bernalillo345,130,163,3,7,9,1,11,27,544,146,58,293,690
Bernalillo346,32,60,2,1,4,1,0,19,200,109,27,92,309
Bernalillo347,48,76,1,0,8,0,2,31,231,152,42,124,383
Bernalillo35,58,56,1,1,9,1,2,25,215,104,39,114,319
Bernalillo351,78,100,0,2,2,1,4,3,271,29,12,178,300
Bernalillo352,105,116,0,2,2,3,2,17,353,68,26,221,421
