county,precinct,office,district,candidate,party,votes
New York,"=""1/65""",President,NYC,Manually Counted Emergency,,0
New York,"=""1/65""",President,NYC,Absentee / Military,,33
New York,"=""1/65""",President,NYC,Federal,,10
New York,"=""1/65""",President,NYC,Special Presidential,,0
New York,"=""1/65""",President,NYC,Affidavit,,10
New York,"=""1/65""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,425
New York,"=""1/65""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,69
New York,"=""1/65""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,5
New York,"=""1/65""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,5
New York,"=""1/65""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,5
New York,"=""1/65""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,6
New York,"=""1/65""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,4
New York,"=""1/65""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,11
New York,"=""1/65""",President,NYC,Scattered,,6
New York,"=""2/65""",President,NYC,Manually Counted Emergency,,0
New York,"=""2/65""",President,NYC,Absentee / Military,,36
New York,"=""2/65""",President,NYC,Federal,,5
New York,"=""2/65""",President,NYC,Special Presidential,,0
New York,"=""2/65""",President,NYC,Affidavit,,11
New York,"=""2/65""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,592
New York,"=""2/65""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,110
New York,"=""2/65""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,6
New York,"=""2/65""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,7
New York,"=""2/65""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,6
New York,"=""2/65""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,11
New York,"=""2/65""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,3
New York,"=""2/65""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,10
New York,"=""2/65""",President,NYC,Scattered,,8
New York,"=""3/65""",President,NYC,Manually Counted Emergency,,0
New York,"=""3/65""",President,NYC,Absentee / Military,,27
New York,"=""3/65""",President,NYC,Federal,,6
New York,"=""3/65""",President,NYC,Special Presidential,,0
New York,"=""3/65""",President,NYC,Affidavit,,15
New York,"=""3/65""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,422
New York,"=""3/65""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,52
New York,"=""3/65""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,5
New York,"=""3/65""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,5
New York,"=""3/65""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,3
New York,"=""3/65""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,5
New York,"=""3/65""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,2
New York,"=""3/65""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,7
New York,"=""3/65""",President,NYC,Scattered,,5
New York,"=""4/65""",President,NYC,Manually Counted Emergency,,0
New York,"=""4/65""",President,NYC,Absentee / Military,,37
New York,"=""4/65""",President,NYC,Federal,,9
New York,"=""4/65""",President,NYC,Special Presidential,,0
New York,"=""4/65""",President,NYC,Affidavit,,8
New York,"=""4/65""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,596
New York,"=""4/65""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,98
New York,"=""4/65""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,4
New York,"=""4/65""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,8
New York,"=""4/65""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,10
New York,"=""4/65""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,8
New York,"=""4/65""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,6
New York,"=""4/65""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,12
New York,"=""4/65""",President,NYC,Scattered,,15
New York,"=""5/65""",President,NYC,Manually Counted Emergency,,0
New York,"=""5/65""",President,NYC,Absentee / Military,,15
New York,"=""5/65""",President,NYC,Federal,,4
New York,"=""5/65""",President,NYC,Special Presidential,,0
New York,"=""5/65""",President,NYC,Affidavit,,9
New York,"=""5/65""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,318
New York,"=""5/65""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,50
New York,"=""5/65""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,5
New York,"=""5/65""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,0
New York,"=""5/65""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,5
New York,"=""5/65""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,0
New York,"=""5/65""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,4
New York,"=""5/65""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,6
New York,"=""5/65""",President,NYC,Scattered,,2
New York,"=""6/65""",President,NYC,Manually Counted Emergency,,0
New York,"=""6/65""",President,NYC,Absentee / Military,,32
New York,"=""6/65""",President,NYC,Federal,,8
New York,"=""6/65""",President,NYC,Special Presidential,,0
New York,"=""6/65""",President,NYC,Affidavit,,15
New York,"=""6/65""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,427
New York,"=""6/65""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,124
New York,"=""6/65""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,8
New York,"=""6/65""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,9
New York,"=""6/65""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,10
New York,"=""6/65""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,7
New York,"=""6/65""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,4
New York,"=""6/65""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,6
New York,"=""6/65""",President,NYC,Scattered,,10
New York,"=""7/65""",President,NYC,Manually Counted Emergency,,0
New York,"=""7/65""",President,NYC,Absentee / Military,,29
New York,"=""7/65""",President,NYC,Federal,,2
New York,"=""7/65""",President,NYC,Special Presidential,,0
