county,precinct,office,district,candidate,party,votes
Richmond,"=""1/61""",President,NYC,Manually Counted Emergency,,0
Richmond,"=""1/61""",President,NYC,Absentee / Military,,40
Richmond,"=""1/61""",President,NYC,Federal,,12
Richmond,"=""1/61""",President,NYC,Special Presidential,,0
Richmond,"=""1/61""",President,NYC,Affidavit,,31
Richmond,"=""1/61""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,601
Richmond,"=""1/61""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,100
Richmond,"=""1/61""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,15
Richmond,"=""1/61""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,27
Richmond,"=""1/61""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,37
Richmond,"=""1/61""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,3
Richmond,"=""1/61""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,8
Richmond,"=""1/61""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,3
Richmond,"=""1/61""",President,NYC,Scattered,,11
Richmond,"=""2/61""",President,NYC,Manually Counted Emergency,,0
Richmond,"=""2/61""",President,NYC,Absentee / Military,,18
Richmond,"=""2/61""",President,NYC,Federal,,0
Richmond,"=""2/61""",President,NYC,Special Presidential,,0
Richmond,"=""2/61""",President,NYC,Affidavit,,7
Richmond,"=""2/61""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,347
Richmond,"=""2/61""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,26
Richmond,"=""2/61""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,1
Richmond,"=""2/61""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,1
Richmond,"=""2/61""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,11
Richmond,"=""2/61""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,4
Richmond,"=""2/61""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,1
Richmond,"=""2/61""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
Richmond,"=""3/61""",President,NYC,Manually Counted Emergency,,0
Richmond,"=""3/61""",President,NYC,Absentee / Military,,44
Richmond,"=""3/61""",President,NYC,Federal,,10
Richmond,"=""3/61""",President,NYC,Special Presidential,,0
Richmond,"=""3/61""",President,NYC,Affidavit,,25
Richmond,"=""3/61""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,650
