Precinct,gen_dem_CLINTON,gen_gre_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP,pri_dem_CLINTON,pri_dem_SANDERS,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_TRUMP,gen_total,rep_pri_total,dem_pri_total
410011,222,18,44,565,0,0,0,0,0,849,0,0
4100113,93,3,17,568,0,0,0,0,0,681,0,0
4100114,4,0,1,77,0,0,0,0,0,82,0,0
4100115,72,2,14,330,0,0,0,0,0,418,0,0
4100117,94,6,43,406,0,0,0,0,0,549,0,0
4100118,4,2,2,69,0,0,0,0,0,77,0,0
4100119,46,4,19,170,0,0,0,0,0,239,0,0
410012,209,17,47,520,0,0,0,0,0,793,0,0
4100120,13,0,4,38,0,0,0,0,0,55,0,0
4100121,14,4,10,130,0,0,0,0,0,158,0,0
4100122,163,9,23,370,0,0,0,0,0,565,0,0
4100124,161,4,27,513,0,0,0,0,0,705,0,0
4100125,55,3,12,208,0,0,0,0,0,278,0,0
4100126,6,1,1,78,0,0,0,0,0,86,0,0
410013,202,21,39,611,0,0,0,0,0,873,0,0
410014,222,24,52,745,0,0,0,0,0,1043,0,0
410015,217,16,58,820,0,0,0,0,0,1111,0,0
41001Baker 1,0,0,0,0,63,102,0,44,216,0,260,165
41001Baker 2,0,0,0,0,58,74,70,45,156,0,271,132
41001Baker 3,0,0,0,0,45,92,56,30,220,0,306,137
41001Baker 4,0,0,0,0,68,93,88,36,284,0,408,161
41001Baker 5,0,0,0,0,56,118,94,54,297,0,445,174
41001Baker Country 13,0,0,0,0,20,37,74,44,242,0,360,57
41001Durkee 14,0,0,0,0,0,2,10,0,37,0,47,2
41001Eagle Valley 15,0,0,0,0,26,33,29,26,118,0,173,59
41001Haines 17,0,0,0,0,22,28,52,59,153,0,264,50
41001Hereford 18,0,0,0,0,2,1,7,2,36,0,45,3
41001Huntington 19,0,0,0,0,22,13,3,2,48,0,53,35
41001Irondyke 20,0,0,0,0,6,3,1,4,12,0,17,9
41001Keating 21,0,0,0,0,2,15,18,6,58,0,82,17
41001Pine Valley 22,0,0,0,0,42,70,27,41,114,0,182,112
