precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_SANDERS,pri_dem_STEWART,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_RUBIO,pri_rep_TRUMP,gen_dem_CLINTON,gen_rep_TRUMP,rep_primary_total,dem_primary_total,general_total
Barrington 0101,214,0,251,0,34,92,2,115,1027,522,243,465,1549
Barrington 0102,336,0,347,0,29,119,2,138,1331,683,288,683,2014
Barrington 0103,313,0,216,0,25,153,4,124,1136,469,306,529,1605
Barrington 0104,316,1,299,0,23,158,3,173,1328,611,357,616,1939
Barrington 0105,311,1,286,1,33,178,3,137,1290,590,351,599,1880
Bristol 0202,289,0,395,0,44,115,3,181,371,185,343,684,556
Bristol 0203,487,0,455,1,53,172,4,305,1152,806,534,943,1958
Bristol 0205,389,1,452,2,40,125,5,290,800,727,460,844,1527
Burrillville 0302,171,1,322,2,48,47,4,302,421,715,401,496,1136
Burrillville 0303,147,0,296,0,41,74,1,322,564,880,438,443,1444
Burrillville 0305,133,0,231,2,31,76,4,300,348,579,411,366,927
Central Falls 0408,850,2,580,3,14,17,1,93,471,98,125,1435,569
Charlestown 0501,226,0,444,3,41,91,1,247,581,521,380,673,1102
Charlestown 0503,187,0,297,0,25,110,3,228,550,453,366,484,1003
Coventry 0603,250,0,411,2,47,78,3,380,649,820,508,663,1469
Coventry 0605,216,1,379,3,69,122,3,455,398,598,649,599,996
Coventry 0607,230,0,397,0,51,113,3,377,628,706,544,627,1334
Coventry 0611,271,2,392,1,63,124,2,513,426,512,702,666,938
Coventry 0613,227,2,440,1,41,76,1,333,383,452,451,670,835
Cranston 0701,420,2,578,1,46,54,3,335,934,410,438,1001,1344
Cranston 0706,540,1,608,1,69,287,4,1078,633,1156,1438,1150,1789
Cranston 0726,598,3,852,2,72,122,6,446,643,370,646,1455,1013
Cranston 0727,876,2,1255,1,66,177,5,365,507,230,613,2134,737
Cranston 0728,509,2,603,1,62,194,10,713,9,2,979,1115,11
Cranston 0731,495,1,577,0,77,145,3,774,696,880,999,1073,1576
Cumberland 0801,505,5,694,6,77,188,6,403,512,441,674,1210,953
Cumberland 0808,667,4,841,4,114,317,5,625,942,942,1061,1516,1884
Cumberland 0812,636,3,879,2,81,145,3,383,687,501,612,1520,1188
East Greenwich 0903,762,0,735,1,105,616,11,824,920,559,1556,1498,1479
East Providence 1004,780,3,826,6,66,171,4,383,864,549,624,1615,1413
East Providence 1007,574,2,684,4,58,90,2,281,100,56,431,1264,156
East Providence 1008,470,4,593,1,34,35,1,197,955,409,267,1068,1364
East Providence 1015,665,1,975,2,87,165,2,410,369,219,664,1643,588
Exeter 1103,239,1,450,1,80,164,3,484,565,762,731,691,1327
Federal Precinct #1,1499,6,1191,18,156,249,13,499,376,30,917,2714,406
Federal Precinct #2,1089,4,1084,16,150,249,11,613,261,23,1023,2193,284
Foster 1201,144,2,341,0,50,105,1,357,523,705,513,487,1228
Glocester 1303,306,2,694,1,118,150,3,684,136,233,955,1003,369
Hopkinton 1401,243,1,549,4,89,99,4,431,727,986,623,797,1713
Jamestown 1501,542,1,686,0,53,230,3,319,1112,547,605,1229,1659
Johnston 1601,123,2,145,3,17,15,1,94,439,548,127,273,987
Johnston 1602,481,4,603,7,36,53,1,416,465,628,506,1095,1093
Johnston 1609,623,0,782,6,56,71,7,554,429,611,688,1411,1040
Johnston 1613,104,1,130,0,33,37,2,131,389,695,203,235,1084
Lincoln 1703,249,0,306,0,37,101,1,262,559,565,401,555,1124
Lincoln 1706,372,0,448,2,53,148,3,479,186,174,683,822,360
Lincoln 1707,271,1,391,1,48,139,2,359,178,189,548,664,367
Lincoln 1711,116,2,181,1,29,35,1,90,332,239,155,300,571
Little Compton 1801,255,0,314,0,40,113,3,268,1156,814,424,569,1970
Middletown 1901,141,1,167,0,13,79,2,107,699,467,201,309,1166
Middletown 1902,319,1,424,0,60,126,1,219,851,543,406,744,1394
Middletown 1905,233,1,384,1,63,83,6,198,717,555,350,619,1272
Narragansett 2001,467,1,543,1,50,196,4,392,115,87,642,1012,202
Narragansett 2002,454,4,678,1,64,208,0,367,1042,791,639,1137,1833
New Shoreham 2201,107,0,196,1,10,29,2,50,605,213,91,304,818
Newport 2104,277,0,404,1,35,71,2,117,337,110,225,682,447
Newport 2105,516,1,685,0,48,158,1,206,863,368,413,1202,1231
Newport 2106,376,3,463,0,34,155,3,263,983,472,455,842,1455
North Kingstown 2301,305,1,411,2,76,261,5,415,638,664,757,719,1302
North Kingstown 2302,386,0,535,1,69,195,2,358,871,733,624,922,1604
North Kingstown 2304,347,2,541,2,85,215,1,354,946,788,655,892,1734
North Kingstown 2307,416,2,698,3,71,281,6,377,1153,702,735,1119,1855
North Providence 2409,543,3,706,3,50,50,3,284,281,221,387,1255,502
North Providence 2410,559,4,660,1,65,76,5,316,430,408,462,1224,838
North Providence 2413,600,1,691,6,31,79,4,360,321,276,474,1298,597
North Smithfield 2502,220,0,344,1,78,139,2,388,574,847,607,565,1421
North Smithfield 2503,298,1,410,1,68,119,3,371,555,600,561,710,1155
Pawtucket 2601,158,0,191,2,11,19,2,68,230,94,100,351,324
Pawtucket 2603,182,0,243,2,10,19,0,77,848,351,106,427,1199
Pawtucket 2605,208,0,82,1,7,1,0,17,450,69,25,291,519
Pawtucket 2608,581,0,575,2,25,45,1,104,1063,231,175,1158,1294
Pawtucket 2609,39,0,25,1,0,1,0,4,135,38,5,65,173
Pawtucket 2610,158,0,98,1,2,2,0,14,134,19,18,257,153
Pawtucket 2611,103,2,73,3,2,2,0,8,490,91,12,181,581
Pawtucket 2614,331,0,311,2,12,16,1,75,771,234,104,644,1005
Pawtucket 2616,151,3,137,3,10,11,2,68,99,77,91,294,176
Pawtucket 2617,88,0,101,0,4,4,1,27,195,59,36,189,254
Pawtucket 2618,230,1,247,4,14,29,2,111,871,531,156,482,1402
Pawtucket 2620,302,1,376,3,27,36,0,152,886,479,215,682,1365
Pawtucket 2623,92,0,146,0,8,18,0,45,236,126,71,238,362
