precinct,pri_dem_CLINTON,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GILMORE,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_NICOLL,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_dem_CLINTON,gen_dem_O'MALLEY,gen_dem_SANDERS,gen_rep_BUSH,gen_rep_CARSON,gen_rep_CHRISTIE,gen_rep_CRUZ,gen_rep_FIORINA,gen_rep_GILMORE,gen_rep_GRAHAM,gen_rep_HUCKABEE,gen_rep_KASICH,gen_rep_NICOLL,gen_rep_PATAKI,gen_rep_PAUL,gen_rep_RUBIO,gen_rep_SANTORUM,gen_rep_TRUMP,rep_primary_total,dem_primary_total,general_total
ANDERSONAndersonville,64,1,39,2,55,3,170,0,0,0,4,24,0,0,1,120,0,304,64,1,39,2,55,3,170,0,0,0,4,24,0,0,1,120,0,304,683,104,787
ANDERSONBriceville,11,1,10,0,4,0,44,0,0,0,0,2,0,0,0,10,0,58,11,1,10,0,4,0,44,0,0,0,0,2,0,0,0,10,0,58,118,22,140
ANDERSONBull Run,106,5,102,7,79,1,196,1,1,0,1,31,0,0,3,162,1,316,106,5,102,7,79,1,196,1,1,0,1,31,0,0,3,162,1,316,799,213,1012
ANDERSONClaxton,94,3,58,5,40,2,187,2,0,0,2,23,0,0,1,118,1,282,94,3,58,5,40,2,187,2,0,0,2,23,0,0,1,118,1,282,663,155,818
ANDERSONClinton,159,2,94,10,77,0,154,2,0,0,4,44,0,0,3,201,1,326,159,2,94,10,77,0,154,2,0,0,4,44,0,0,3,201,1,326,822,255,1077
ANDERSONClinton High,87,2,39,2,23,0,98,2,0,0,4,23,0,1,1,98,0,191,87,2,39,2,23,0,98,2,0,0,4,23,0,1,1,98,0,191,443,128,571
ANDERSONClinton Middle,19,1,26,1,17,1,66,0,0,0,0,5,0,0,0,47,0,107,19,1,26,1,17,1,66,0,0,0,0,5,0,0,0,47,0,107,244,46,290
ANDERSONDutch Valley,23,1,21,1,10,1,30,1,0,0,0,3,0,0,1,28,0,75,23,1,21,1,10,1,30,1,0,0,0,3,0,0,1,28,0,75,150,45,195
ANDERSONEmory Valley,216,4,166,19,43,0,141,1,0,0,0,81,0,0,2,218,0,189,216,4,166,19,43,0,141,1,0,0,0,81,0,0,2,218,0,189,694,386,1080
ANDERSONFairview,25,1,27,2,21,0,78,0,0,0,1,6,0,0,0,53,0,128,25,1,27,2,21,0,78,0,0,0,1,6,0,0,0,53,0,128,289,53,342
