precinct,pri_dem_CLINTON,pri_dem_SANDERS,pri_rep_CARSON,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_TRUMP,gen_dem_CLINTON,gen_dem_SANDERS,gen_rep_CARSON,gen_rep_CRUZ,gen_rep_KASICH,gen_rep_TRUMP,rep_primary_total,dem_primary_total,general_total
Adams111,11,6,2,6,2,45,0,0,109,0,0,0,55,17,109
Adams112,14,10,2,6,1,41,96,26,0,0,0,0,50,24,122
Adams113,17,11,8,8,2,59,0,0,0,117,0,0,77,28,117
Adams114,16,19,1,10,13,44,0,0,54,0,0,113,68,35,167
Adams115,18,11,4,5,11,53,48,0,0,0,0,0,73,29,48
Adams121,5,11,8,3,6,76,0,0,0,19,0,0,93,16,19
Adams122,9,7,3,11,6,55,0,0,0,0,137,16,75,16,153
Adams211,3,2,0,3,0,14,0,29,0,0,0,0,17,5,29
Adams212,6,9,0,4,4,51,0,0,0,0,14,0,59,15,14
Adams221,0,0,2,2,5,27,0,0,63,0,0,0,36,0,63
Adams222,0,0,3,3,1,15,34,4,0,0,0,0,22,0,38
Adams311,17,20,0,0,0,0,0,0,0,176,0,0,0,37,176
Adams313,0,0,0,0,0,0,0,0,2,0,0,25,0,0,27
Adams321,3,4,2,4,1,32,15,0,0,0,0,0,39,7,15
Adams322,2,2,0,0,0,0,0,0,0,5,0,0,0,4,5
Adams323,0,0,2,4,0,17,0,0,0,0,43,6,23,0,49
Adams325,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8
Adams411,0,0,0,0,0,0,0,0,0,0,21,0,0,0,21
Adams412,28,37,10,11,2,55,0,0,124,0,0,0,78,65,124
Adams413,51,19,1,9,4,46,121,140,0,0,0,0,60,70,261
Adams414,26,21,3,16,7,53,0,0,0,163,0,0,79,47,163
Adams415,21,21,4,21,4,60,0,0,89,0,0,132,89,42,221
Adams416,28,17,3,3,2,29,99,0,0,0,0,0,37,45,99
Adams511,26,15,0,2,1,16,0,0,0,67,0,0,19,41,67
Adams512,17,12,2,8,2,49,0,0,0,0,116,59,61,29,175
Adams514,17,9,1,18,4,60,0,170,0,0,0,0,83,26,170
Adams515,11,12,1,13,1,48,0,0,0,0,43,0,63,23,43
Adams516,5,10,4,5,5,88,0,0,208,0,0,0,102,15,208
Asotin1,7,18,4,13,2,71,153,32,0,0,0,0,90,25,185
Asotin101,41,29,6,7,0,73,0,0,0,91,0,0,86,70,91
Asotin102,24,28,3,2,8,73,0,0,0,0,185,73,86,52,258
Asotin202,47,58,6,16,12,67,0,179,0,0,0,0,101,105,179
Asotin203,46,39,3,12,11,55,0,0,0,0,136,0,81,85,136
Asotin204,38,40,8,5,2,94,0,0,208,0,0,0,109,78,208
Asotin205,36,30,2,10,8,47,130,102,0,0,0,0,67,66,232
Asotin206,45,43,8,14,7,82,0,0,0,177,0,0,111,88,177
Asotin207,41,27,4,7,3,55,0,0,103,0,0,126,69,68,229
Asotin208,47,39,3,6,6,70,118,0,0,0,0,0,85,86,118
Asotin3,17,14,3,7,9,84,0,0,0,163,0,0,103,31,163
Asotin301,40,36,5,8,15,128,0,0,0,132,0,0,156,76,132
Asotin302,70,52,9,19,15,196,0,0,0,0,415,189,239,122,604
Asotin304,53,33,5,15,9,87,0,212,0,0,0,0,116,86,212
Asotin305,60,65,17,23,7,215,0,0,0,0,181,0,262,125,181
Asotin306,86,55,18,11,16,171,0,0,365,0,0,0,216,141,365
Asotin307,58,47,13,18,6,126,278,137,0,0,0,0,163,105,415
