precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_HEWES,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_STEINBERG,pri_grn_MESPLAY,pri_grn_STEIN,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_COOK,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP
APACHECANYON,351,3,4,4,143,9,0,0,2,3,3,1,22,0,1,0,0,0,3,5,0,13
APACHEFORT,365,7,3,8,218,5,0,1,6,5,1,1,52,1,0,2,8,1,2,7,1,28
APACHEGANADO,287,3,2,3,93,7,0,0,1,0,0,0,12,0,0,0,2,0,0,1,0,9
APACHEMANY,265,3,7,1,69,4,0,0,2,0,0,0,6,0,0,0,0,0,0,2,0,1
APACHEMEXICAN,23,0,0,0,1,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
APACHEOAK,97,0,2,1,30,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2
APACHEPUERCO,146,1,2,6,99,6,0,0,1,6,0,2,22,0,1,0,6,1,1,6,0,28
APACHERED,69,6,1,0,42,2,0,0,1,2,1,1,12,0,0,1,3,0,1,6,0,5
APACHEROCK,167,0,1,2,60,0,4,10,1,2,0,1,5,0,0,1,0,0,1,0,1,1
APACHEROUGH,93,1,2,0,39,3,0,0,1,1,1,0,4,0,1,0,0,0,0,0,0,1
APACHEROUND,135,1,1,3,27,2,0,0,2,0,2,0,2,0,0,0,0,0,1,0,1,1
APACHEST.,348,19,4,11,267,11,1,1,12,11,2,1,239,0,0,1,18,1,6,20,2,188
APACHETEEC,65,0,1,2,22,1,0,0,0,0,0,0,5,0,1,0,3,0,0,3,1,4
APACHEWIDE,121,1,1,1,34,4,0,0,0,2,0,0,2,0,0,0,1,0,0,1,0,3
APACHEWINDOW,219,0,1,0,138,0,1,0,3,1,1,0,21,0,0,1,4,0,3,2,0,16
LA PAZ058 QUARTZSITE 2,43,2,0,2,38,1,0,0,3,14,0,0,39,2,0,2,9,0,2,9,0,163
LA PAZ064 QUARTZSITE 3,24,0,1,0,15,0,0,0,0,2,0,0,22,0,0,0,4,0,2,8,0,100
MOHAVE219-LAKE HAVASU N.,387,8,3,11,287,5,0,0,13,30,4,1,425,2,0,9,126,0,6,133,0,1788
MOHAVE220-LAKE HAVASU S.,944,21,7,22,658,19,0,3,18,76,8,3,1203,6,3,8,349,0,15,383,5,4138
PINALAPACHE JUNCTION,145,3,3,2,115,1,0,0,2,8,0,0,118,0,1,1,20,0,0,32,0,320
PINALAPACHE JUNCTION N. CENTRA,151,4,1,3,121,0,0,0,0,7,1,0,168,0,2,0,38,1,2,34,0,347
PINALCASA GRANDE S CEN,319,5,7,13,157,3,0,0,5,7,0,0,113,0,0,1,23,0,1,23,0,180
PINALSADDLEBROOKE,996,4,1,10,352,3,0,1,6,47,2,0,666,6,0,0,525,1,4,401,2,1265
