precinct,pri_dem_CLINTON,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_STEINBERG,pri_ind_COLE,pri_ind_HENDRIX,pri_ind_III,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_DAVIS,pri_rep_FIELDS,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_R.KASICH,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_dem_CLINTON,gen_lib_JOHNSON,gen_rep_TRUMP,rep_primary_total,dem_primary_total,general_total
APPLING1B,23,1,12,1,0,0,0,5,34,0,108,0,0,1,0,3,12,0,0,0,54,0,165,92,9,685,382,37,786
APPLING1C,14,1,5,0,0,0,0,3,28,0,88,0,0,0,1,2,9,0,2,0,45,0,125,42,5,496,303,20,543
APPLING2,284,3,41,1,0,0,0,3,28,0,45,0,0,0,0,0,7,0,0,0,27,0,96,742,10,427,206,329,1179
APPLING3A,1,0,3,0,0,0,0,0,10,0,41,0,0,0,0,0,4,0,0,0,13,0,48,4,4,209,116,4,217
APPLING3A1,11,0,6,0,0,0,0,3,26,0,68,0,0,0,0,2,4,0,0,0,18,0,59,17,1,319,180,17,337
APPLING3B,39,2,6,0,0,0,0,2,8,0,22,0,0,0,0,2,1,0,0,0,14,0,24,98,1,101,73,47,200
APPLING3C,47,3,19,1,0,0,0,4,36,0,125,0,0,0,0,1,13,0,2,0,76,0,135,154,14,670,392,70,838
APPLING4A,3,0,4,0,0,0,0,3,11,1,46,0,0,0,0,1,5,0,0,0,25,0,53,14,1,261,145,7,276
APPLING4B,2,0,2,0,0,0,0,4,16,0,71,0,0,0,0,2,3,0,0,0,27,0,72,7,0,305,195,4,312
APPLING4C,2,0,3,0,0,0,0,0,10,0,55,0,0,0,0,1,2,0,0,0,33,0,67,10,2,284,168,5,296
APPLING4D,24,0,7,0,0,0,0,2,44,0,99,0,0,0,0,0,12,0,2,0,55,0,164,83,10,624,378,31,717
APPLING5A,17,0,16,1,0,0,0,3,23,0,66,0,0,0,0,2,1,0,0,0,35,0,126,68,12,530,256,34,610
APPLING5B,20,1,10,1,0,0,0,0,14,0,47,0,0,0,0,0,5,0,0,0,22,0,81,79,3,336,169,32,418
APPLING5C,4,0,9,0,0,0,0,0,16,1,33,0,0,0,0,1,5,0,0,0,18,0,76,24,5,247,150,13,276
ATKINSONAXSON,7,0,2,0,0,0,0,0,12,1,48,0,0,0,0,0,3,0,0,0,17,0,103,29,4,375,184,9,408
ATKINSONPEARSON CITY,77,0,9,0,0,0,0,2,6,0,12,0,0,0,0,0,3,0,0,0,6,0,51,275,9,164,80,86,448
ATKINSONPEARSON COUNTY,37,0,20,1,0,0,0,0,17,0,78,0,0,0,0,0,3,0,0,0,33,0,282,136,6,850,413,58,992
ATKINSONWILLACOOCHEE,80,0,18,1,0,0,0,2,12,0,45,0,0,1,0,0,5,0,0,0,17,0,186,257,16,489,268,99,762
BACONDOUGLAS,88,2,31,3,0,0,0,4,47,2,147,0,0,0,1,3,33,0,0,0,137,2,437,477,27,1578,813,124,2082
BACONNEW LACY,9,1,9,0,0,0,0,1,23,1,71,0,0,0,0,2,8,0,0,0,56,0,184,58,5,696,346,19,759
BACONTAYLOR,8,0,10,0,0,0,0,2,20,0,66,0,0,1,0,0,3,0,0,0,25,0,120,30,12,521,237,18,563
BACONWARE,2,0,6,0,0,0,0,1,16,0,32,0,0,0,0,1,6,0,0,0,14,0,106,25,2,328,176,8,355
BACONWARNOCK,6,0,2,0,0,0,0,0,4,0,25,0,0,0,0,1,7,0,0,0,14,0,57,18,1,241,108,8,260
BAKERANNA,8,0,6,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,30,32,0,73,44,14,105
BAKERELMODEL,59,1,4,0,0,0,0,0,4,0,23,0,0,0,0,0,1,0,0,0,9,0,34,133,4,124,71,64,261
BAKERHOGGARD MILL,49,0,10,0,0,0,0,0,4,0,1,0,0,0,0,0,3,0,0,0,6,0,31,105,3,92,45,59,200
