precinct,pri_dem_CLINTON,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_STEINBERG,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP
BARROW08 HOLSENBECK ELEMENTARY SCHOOL,72,1,54,0,1,48,0,209,0,1,1,15,0,1,103,1,322
BIBBVINEVILLE 7,157,0,57,0,3,19,0,46,0,0,0,22,0,1,63,0,80
BROOKSBARWICK/DRYLAKE,13,0,6,0,0,10,0,29,0,0,0,2,0,0,10,0,43
BROOKSE.BROOKS/BRIGGS,54,1,47,0,2,30,0,111,0,0,3,18,0,0,64,0,282
BROOKSPAVO/WILLIAMS,22,1,11,0,0,9,1,36,0,0,1,4,0,1,14,0,70
BROOKSS.BROOKS/NANKIN,16,0,7,0,1,9,0,34,0,0,0,3,0,0,28,0,130
BRYANPUBLIC SAFETY COMPLEX,76,1,63,1,4,23,1,100,1,0,0,7,0,1,74,0,110
BRYANRH REC COMPLEX,84,0,75,2,2,31,1,89,0,0,0,26,0,0,128,0,139
CHARLTONFOLKSTON FIRE STATION,15,1,16,0,3,19,1,35,0,0,0,1,0,1,25,0,95
CHATHAM1-05 JEA BUILDING,185,0,193,0,2,22,1,87,1,0,1,44,0,1,118,0,135
CHATHAM1-06 CENTRAL CHUR OF CHRIST,168,0,114,0,9,44,3,121,0,1,1,71,0,2,206,0,195
CHATHAM1-08 GRACE UNITED METH CHUR,112,1,96,1,5,21,0,100,0,0,0,52,0,2,126,0,164
CHATHAM1-09 IMMANUEL BAPT CHURCH,65,1,32,0,1,3,1,26,0,0,0,2,0,0,19,0,49
CHATHAM1-10 SAINT THOMAS EPISCOPAL CHURCH,52,1,49,0,4,22,2,99,0,0,0,48,1,1,112,0,119
CHATHAM1-12 ISLE OF HOPE BAPTIST,89,1,40,2,6,35,2,153,4,0,1,113,0,0,267,0,213
CHATHAM1-14 ST LUKE CHURCH,103,2,63,0,9,24,1,151,2,0,0,48,0,0,131,0,152
CHATHAM1-16 FERGUSON AVE BAPTIST,143,1,74,2,5,52,1,278,0,0,0,85,0,3,186,0,324
CHATHAM2-02 BLACKSHEAR COMM CTR,172,1,120,0,1,2,0,17,0,1,0,17,0,0,32,0,34
CHATHAM2-04 FELLOWSHIP OF LOVE,626,0,137,0,3,0,1,12,0,1,0,1,0,0,17,0,9
CHATHAM2-05 HOLY SPIRIT LUTHERAN,350,1,220,2,0,11,1,11,0,0,0,3,1,1,27,0,20
CHATHAM2-06 ELI WHITNEY,76,0,20,0,0,2,0,4,0,2,0,0,0,0,5,0,14
CHATHAM2-07 CHRIST COMM. CHURCH,446,4,155,0,5,12,1,31,0,0,1,23,0,3,35,0,51
CHATHAM2-09 THE SALVATION ARMY,560,2,189,1,2,10,1,36,0,0,0,14,0,2,25,0,48
CHATHAM2-11 S GARDENS CHRISTIAN,265,0,68,0,3,4,0,17,0,2,0,5,0,0,21,0,26
CHATHAM2-12 WILLIAMS COURT APTS,171,2,193,0,2,3,0,9,1,0,0,3,0,0,22,0,33
CHATHAM3-03 ELI WHITNEY,132,1,30,0,1,1,0,7,0,0,1,1,0,0,7,0,8
CHATHAM3-04 FIRST AFRICAN BAPTIST,323,0,39,1,0,3,0,7,0,0,0,1,1,0,5,0,13
CHATHAM3-05 ALDERSGATE YOUTH CENT,200,1,116,0,5,10,0,44,0,0,0,4,0,1,38,1,53
CHATHAM3-09 COKESBURY METHODIST,55,0,28,0,3,9,0,75,1,1,0,19,0,0,59,0,66
CHATHAM3-11 SOUTHSIDE BAPT CHURCH,223,0,58,0,1,9,0,27,0,0,0,7,0,0,19,1,39
CHATHAM3-12 THUNDERBOLT MUNI. COMPLEX,176,1,82,0,2,17,0,50,1,0,0,19,0,3,71,0,133
CHATHAM3-13 NEW COV 7 DAY ADV CH,249,0,99,1,1,12,0,60,0,0,1,22,0,1,58,0,100
CHATHAM3-14 RIVERVIEW HEALTH REH,422,1,66,0,2,10,0,55,0,0,0,23,0,1,47,0,51
