precinct,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_MESSINA,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP
ADAMS007 ABSENTEE,0.0,1.0,2.0,12.0,0.0,0.0,0.0,3.0,0.0,2.0,7.0,0.0,30.0
BANNOCKABSENTEE,5.0,34.0,1.0,156.0,0.0,0.0,4.0,27.0,0.0,1.0,110.0,2.0,138.0
BOISEABSENTEE,0.0,5.0,0.0,22.0,0.0,0.0,0.0,13.0,0.0,0.0,9.0,0.0,46.0
CARIBOUABSENTEE,6.0,1.0,1.0,14.0,0.0,0.0,0.0,5.0,0.0,1.0,12.0,0.0,12.0
CASSIA121 STARRAH'S FERRY,4.0,12.0,0.0,190.0,1.0,0.0,1.0,16.0,0.0,1.0,58.0,0.0,90.0
CLEARWATERABSENTEE,0.0,2.0,0.0,20.0,0.0,0.0,0.0,6.0,1.0,0.0,9.0,0.0,31.0
ELMOREABSENTEE,2.0,11.0,3.0,49.0,1.0,0.0,1.0,21.0,0.0,1.0,47.0,0.0,125.0
FRANKLINABSENTEE,1.0,3.0,0.0,14.0,0.0,0.0,0.0,2.0,0.0,0.0,14.0,0.0,12.0
JEFFERSONABSENTEE,0.0,13.0,0.0,68.0,0.0,0.0,0.0,7.0,0.0,1.0,46.0,0.0,30.0
JEROMEABSENTEE,0.0,15.0,0.0,44.0,0.0,0.0,0.0,16.0,0.0,0.0,31.0,0.0,79.0
KOOTENAIABS KELL LEVY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KOOTENAIABS LAKE LEVY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KOOTENAIABS PRIMARY ONLY,23.0,97.0,9.0,803.0,0.0,0.0,3.0,166.0,0.0,9.0,511.0,0.0,988.0
KOOTENAIABS PRIMARY-KELL LEVY,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,5.0
KOOTENAIABS PRIMARY-LAKE LEVY,5.0,34.0,0.0,198.0,0.0,0.0,1.0,36.0,0.0,6.0,71.0,0.0,202.0
LATAHABSENTEE,2.0,5.0,2.0,65.0,1.0,0.0,0.0,12.0,0.0,2.0,37.0,0.0,40.0
MADISON#1PLANO,0.0,3.0,0.0,92.0,0.0,0.0,0.0,8.0,0.0,1.0,54.0,1.0,38.0
MINIDOKAABSENTEE,1.0,4.0,0.0,24.0,0.0,0.0,0.0,2.0,0.0,0.0,31.0,0.0,52.0
NEZ PERCERIM ROCK 23,0.0,6.0,0.0,6.0,1.0,0.0,0.0,6.0,0.0,0.0,12.0,0.0,18.0
OWYHEE009 GRANDVIEW,0.0,2.0,0.0,69.0,0.0,0.0,0.0,4.0,0.0,0.0,24.0,0.0,85.0
OWYHEEABSENTEE,0.0,0.0,0.0,21.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,22.0
POWERABSENTEE,3.0,2.0,0.0,17.0,0.0,0.0,0.0,2.0,0.0,0.0,14.0,0.0,23.0
SHOSHONEABSENTEE,1.0,2.0,0.0,15.0,0.0,0.0,0.0,6.0,0.0,1.0,10.0,0.0,25.0
TETONABSENTEE,1.0,7.0,1.0,40.0,0.0,0.0,0.0,12.0,0.0,0.0,22.0,1.0,37.0
TWIN FALLSABSENTEE,7.0,38.0,5.0,220.0,0.0,1.0,3.0,52.0,0.0,4.0,132.0,1.0,267.0
