precinct,gen_con_CASTLE,gen_dem_CLINTON,gen_dem_FUENTE,gen_grn_STEIN,gen_ind_HOEFLING,gen_ind_MCMULLIN,gen_lib_JOHNSON,gen_rep_TRUMP
ADAIRA102,0,10,0,3,0,2,1,215
ADAIRA104,0,28,0,3,0,3,6,359
ADAIRA105,0,30,1,0,0,2,2,288
ADAIRAB,0,97,0,0,0,8,9,436
ADAIRB102,0,148,1,6,0,9,14,422
ADAIRB104,0,49,0,1,0,1,8,387
ADAIRC102,0,89,0,1,0,13,13,341
ADAIRC104,0,88,0,5,0,11,8,456
ADAIRD101,0,44,0,0,0,1,1,328
ADAIRD103,0,44,0,3,0,2,3,306
ADAIRD104,0,103,0,3,0,1,5,275
ADAIRE101,0,40,0,0,0,3,6,420
ADAIRE104,0,152,0,3,0,10,12,473
ADAIRF101,0,130,0,4,0,5,11,585
ADAIRF103,0,63,0,1,0,2,11,349
ADAIRG101,0,95,1,0,0,10,13,443
ADAIRG102,0,113,0,2,0,9,18,554
ALLENA101,0,150,0,7,0,3,13,411
ALLENA102,0,85,0,4,0,2,21,513
ALLENAB,0,112,1,3,0,4,13,345
ALLENB101,0,104,2,0,0,7,8,545
ALLENB102,0,67,1,4,0,2,8,468
ALLENB103,0,49,0,4,0,0,5,230
ALLENC101,0,144,1,4,0,7,21,576
ALLENC102,0,136,0,2,0,11,22,710
ALLEND101,0,152,0,7,0,10,14,739
ALLEND102,0,57,0,0,0,4,6,325
ALLEND103,0,109,0,1,0,3,4,529
ALLENE101,0,41,0,0,0,1,3,235
ALLENE102,0,104,1,8,0,3,15,510
ALLENE103,0,39,0,2,0,6,8,330
ANDERSONA101,0,223,0,5,0,14,22,435
ANDERSONA102,0,153,2,4,0,9,25,568
ANDERSONAB,0,165,1,3,0,14,20,362
ANDERSONB101,0,200,0,4,0,5,20,524
ANDERSONB102,0,275,0,4,0,20,43,839
ANDERSONC101,0,211,0,2,0,9,24,550
ANDERSONC102,0,211,0,5,0,21,15,588
ANDERSOND101,0,129,0,1,0,12,17,601
ANDERSOND102,0,238,0,2,0,16,26,744
ANDERSONE101,0,290,2,11,0,14,40,1040
ANDERSONE103,0,135,0,8,0,9,20,524
ANDERSONF101,0,115,0,3,0,5,15,430
ANDERSONF102,0,75,1,0,0,4,10,313
ANDERSONF103,0,56,0,0,0,1,6,205
ANDERSONF104,0,158,0,2,0,12,16,519
BALLARDA101,0,37,0,1,0,0,3,224
BALLARDA102,0,151,1,4,0,8,8,457
BALLARDA103,0,11,0,0,0,0,2,103
BALLARDAB,0,27,0,0,0,4,4,115
BALLARDB101,0,143,0,5,0,3,10,338
BALLARDB102,0,25,0,0,0,0,4,116
BALLARDC101,0,40,0,0,0,2,2,162
BALLARDC102,0,48,0,1,0,0,8,194
BALLARDC103,0,27,0,1,0,2,2,135
BALLARDC104,0,51,1,0,0,1,9,211
BALLARDD101,0,123,0,6,0,1,14,401
BALLARDD102,0,36,1,0,0,1,3,205
BALLARDE101,0,69,1,2,0,1,5,293
BALLARDE102,0,28,0,0,0,0,3,207
BARRENA101,0,257,0,4,0,7,12,436
BARRENA102,0,218,0,5,0,9,13,226
BARRENA103,0,183,0,5,0,5,28,510
BARRENA104,0,36,0,3,0,2,6,156
BARRENAB,0,305,0,4,0,13,23,725
BARRENB101,0,152,0,3,0,7,24,738
BARRENB102,0,144,1,0,0,6,21,604
BARRENB103,0,57,0,0,0,8,16,338
BARRENB104,0,150,0,5,0,5,16,577
BARRENC101,0,86,1,0,0,4,16,363
BARRENC102,0,120,0,2,0,8,12,534
BARRENC103,0,130,0,2,0,7,18,508
BARRENC104,0,109,0,4,0,2,17,613
BARREND101,0,109,0,2,0,2,21,587
BARREND102,0,196,2,3,0,8,23,898
BARREND103,0,272,0,3,0,11,14,581
BARRENE101,0,145,0,3,0,5,13,454
BARRENE102,0,120,0,2,0,3,12,366
BARRENE103,0,125,0,4,0,4,17,574
BARRENE104,0,131,1,2,0,5,21,610
BARRENF101,0,143,0,1,0,7,12,418
BARRENF102,0,185,1,4,0,8,29,542
BARRENF103,0,261,0,5,0,2,19,717
BARRENG101,0,253,3,13,0,15,21,613
BARRENG102,0,178,0,6,0,3,15,327
BARRENG103,0,210,1,8,0,11,16,468
BATHA101,0,66,0,4,0,4,3,115
BATHA102,0,89,0,0,0,3,4,138
BATHA103,0,42,0,1,0,1,5,142
BATHA104,0,40,0,0,0,1,2,113
BATHA105,0,170,0,2,0,3,5,404
BATHAB,0,112,0,0,0,2,0,221
BATHB102,0,118,2,3,0,1,9,237
BATHB103,0,188,0,4,0,4,16,463
BATHB104,0,96,1,3,0,3,7,347
BATHC101,0,131,1,3,0,2,8,291
BATHC102,0,112,1,2,0,8,10,279
BATHC103,0,103,1,2,0,1,3,154
