precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP
KALAMAZOOALAMO 1,60,0,0,94,4,2,1,131,0,0,1,80,0,1,32,0,92
KALAMAZOOALAMO 2,99,1,0,114,3,6,0,185,1,0,2,114,0,0,73,1,115
KALAMAZOOBRADY 1,100,0,1,132,7,8,5,116,0,0,3,95,0,3,35,0,136
KALAMAZOOBRADY 2,39,0,0,93,6,9,0,152,0,1,0,94,0,2,38,1,134
KALAMAZOOCHARLESTON 1,74,0,1,108,3,8,0,133,0,0,0,71,0,0,45,0,126
KALAMAZOOCLIMAX 1,65,1,2,108,5,5,0,148,0,0,1,73,0,1,39,0,177
KALAMAZOOCOMSTOCK 1,106,0,2,147,4,12,1,96,3,0,0,80,0,1,34,2,158
KALAMAZOOCOMSTOCK 2,113,0,0,176,6,6,0,64,0,0,0,46,0,0,7,0,119
KALAMAZOOCOMSTOCK 3,60,0,0,71,2,3,0,26,0,0,0,7,0,0,10,2,58
KALAMAZOOCOMSTOCK 4,88,0,0,98,4,4,1,115,0,1,0,133,0,1,42,1,97
KALAMAZOOCOMSTOCK 5,66,0,0,96,4,10,0,115,0,0,1,74,0,0,28,0,100
KALAMAZOOCOMSTOCK 6,126,0,0,175,3,10,4,95,2,0,0,77,0,0,40,0,93
KALAMAZOOCOMSTOCK 7,51,0,0,120,2,0,0,39,0,0,1,24,0,1,12,1,24
KALAMAZOOCOMSTOCK 8,123,0,1,119,3,9,1,99,0,0,0,82,0,0,36,1,97
KALAMAZOOCOOPER 1,57,1,0,104,1,9,0,64,0,0,0,65,0,0,32,0,73
KALAMAZOOCOOPER 2,64,0,0,104,2,6,3,86,0,0,0,101,0,1,40,0,105
KALAMAZOOCOOPER 3,174,0,1,267,0,12,1,146,1,0,2,110,0,1,55,0,124
KALAMAZOOCOOPER 4,116,1,0,178,9,23,3,201,1,0,4,131,0,1,87,1,475
KALAMAZOOCOOPER 5,35,0,0,97,0,1,0,22,0,0,0,19,0,1,9,0,24
KALAMAZOOKAIAMAZOO TWP 3,278,1,1,324,3,17,1,129,1,0,3,130,1,3,72,2,109
KALAMAZOOKALAMAZOO TWP 1,30,0,0,41,2,0,0,15,0,0,0,8,0,0,3,0,19
KALAMAZOOKALAMAZOO TWP 10,154,0,0,179,1,1,0,42,0,0,0,30,0,0,12,0,56
KALAMAZOOKALAMAZOO TWP 11,94,1,9,171,1,i,0,34,0,0,2,22,0,1,2,0,45
KALAMAZOOKALAMAZOO TWP 12,148,0,0,228,1,6,0,49,0,0,1,44,0,1,16,0,59
KALAMAZOOKALAMAZOO TWP 2,78,0,0,134,1,2,0,37,0,0,0,19,0,1,12,0,40
KALAMAZOOKALAMAZOO TWP 4,80,0,2,206,1,2,0,26,0,0,1,25,0,0,1,0,29
KALAMAZOOKALAMAZOO TWP 5,173,0,9,319,3,2,0,70,0,0,0,76,0,0,40,2,45
KALAMAZOOKALAMAZOO TWP 7,141,0,1,227,6,3,0,72,i,0,1,56,0,1,27,0,42
KALAMAZOOKALAMAZOO TWP 8,69,0,0,89,1,0,2,15,0,0,0,25,0,0,7,0,24
KALAMAZOOKALAMAZOO TWP 9,205,0,1,239,10,7,2,151,0,0,1,14,0,3,59,0,118
KALAMAZOOOSHTEMO 1,82,0,0,94,3,6,1,130,1,0,0,105,1,1,35,0,101
KALAMAZOOOSHTEMO 10,72,1,0,82,4,3,1,48,9,0,0,§2,0,0,14,Q,60
KALAMAZOOOSHTEMO 2,126,0,1,230,3,3,0,157,2,0,1,160,0,1,57,0,109
KALAMAZOOOSHTEMO 4,184,0,0,208,8,8,1,98,1,0,0,80,0,1,53,1,90
KALAMAZOOOSHTEMO 5,101,0,9,201,2,8,i,25,0,0,1,15,0,3,18,1,27
KALAMAZOOOSHTEMO 6,132,0,0,165,6,10,2,66,0,0,1,69,0,1,43,0,56
KALAMAZOOOSHTEMO 7,133,1,0,167,7,Hi,1,74,0,0,1,73,0,1,40,0,78
KALAMAZOOOSHTEMO 8,14,0,0,116,3,5,0,35,0,0,0,37,0,0,17,0,55
KALAMAZOOOSHTEMO 9,156,0,0,235,3,5,1,74,0,0,0,96,1,1,47,0,73
KALAMAZOOOSHTENO 3,191,0,0,155,3,3,1,74,0,0,0,157,1,0,55,0,72
KALAMAZOOPARCHMENT CITY 4,91,0,0,151,1,4,1,67,1,1,1,57,0,1,27,0,53
KALAMAZOOPAVILION 1,1,0,0,149,4,18,3,145,0,0,2,114,0,1,41,1,142
KALAMAZOOPAVILION 2,53,0,1,68,2,3,0,78,1,0,0,69,0,0,22,0,108
KALAMAZOOPAVILION 3,83,0,1,1,i,3,0,59,0,0,0,57,1,0,13,1,74
KALAMAZOOPRAIRIE RONDE 1,7,0,1,120,6,11,3,146,0,0,2,122,2,1,48,0,139
KALAMAZOORICHLAND 1,113,0,2,198,6,7,1,172,0,0,2,143,1,3,68,0,162
KALAMAZOORICHLAND 2,81,0,0,107,0,5,1,102,1,0,2,114,0,1,51,0,113
KALAMAZOORICHLAND 3,163,0,1,198,1,4,4,148,0,0,0,205,0,2,44,0,141
KALAMAZOOROSS 1,86,0,0,190,4,11,3,148,0,1,1,117,0,2,59,0,166
KALAMAZOOROSS 2,103,0,0,149,8,19,2,145,2,0,0,187,0,1,89,2,166
KALAMAZOOSCHOOLCRAFT 1,87,0,2,105,1,6,0,92,0,0,0,87,0,1,42,0,98
KALAMAZOOSCHOOLCRAFT 2,48,0,2,98,0,1,1,68,0,0,1,58,0,0,28,0,62
KALAMAZOOSCHOOLCRAFT 3,104,0,0,210,1,7,1,135,0,0,2,129,0,1,54,1,140
KALAMAZOOSCHOOLCRAFT 4,41,0,1,65,3,6,0,101,0,0,1,86,0,2,32,0,80
KALAMAZOOTEXAS 1,87,0,0,152,5,14,1,152,2,0,0,146,0,0,53,0,124
KALAMAZOOTEXAS 2,94,0,0,108,2,5,1,120,1,0,0,183,1,1,50,0,125
