precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_O'MAILEY,pri_dem_SANDERS,pri_dem_WILSON,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FLORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_amd_FUENTE,gen_con_CASTLE,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_pro_HEDGES,gen_rep_TRUMP,dem_primary_total,general_total
"ADAMSDIST. 1, BELLEMONT",163,1,0,49,2,6,4,0,224,0,0,2,88,0,0,52,0,281,1,6,442,4,20,1,1090,215,1564
"ADAMSDIST. 1, BY-PASS FIRE",205,0,2,29,1,1,1,0,38,0,0,0,11,0,0,4,0,75,3,2,504,1,4,2,241,237,757
"ADAMSDIST. 1, COURTHOUSE",61,0,0,31,0,3,2,1,47,0,0,1,55,0,0,37,0,99,0,1,171,2,18,0,402,92,594
"ADAMSDIST. 2, BEAU PRE",106,0,0,14,0,1,0,0,80,0,0,0,20,0,0,15,0,118,0,3,285,1,9,0,468,120,766
"ADAMSDIST. 2, DUNCAN PARK",112,0,1,30,0,3,7,1,77,1,0,0,38,0,1,21,0,97,0,2,338,3,21,0,461,143,825
"ADAMSDIST. 2, KINGSTON",45,0,0,10,0,5,1,0,92,0,0,0,10,0,0,4,0,164,0,3,99,1,5,0,548,55,656
"ADAMSDIST. 2, LIBERTY PARK",54,0,1,14,0,1,4,1,118,0,1,2,18,0,0,23,0,136,1,1,161,1,6,1,572,69,743
"ADAMSDIST. 3, CONCORD",212,0,0,19,0,0,0,0,5,0,0,0,1,0,0,0,0,4,0,1,523,2,4,0,29,231,559
"ADAMSDIST. 3, NPS MULTI PURPOSE BLDG.",111,0,1,18,0,0,0,0,33,0,0,0,13,0,0,5,0,37,0,0,251,0,5,0,160,130,416
"ADAMSDIST. 3, PALESTINE",179,1,0,22,2,3,1,1,57,0,0,0,2,0,0,2,0,90,0,1,479,1,3,1,382,204,867
"ADAMSDIST. 4, CARPENTER",126,0,0,18,0,1,0,0,21,0,0,0,14,0,1,7,0,33,0,0,288,3,5,1,119,144,416
"ADAMSDIST. 4, MORGANTOWN",129,0,2,19,0,0,0,0,18,0,0,0,2,0,0,0,1,44,3,0,323,1,1,0,117,150,445
"ADAMSDIST. 4, NORTHSIDE",491,1,2,39,1,0,1,1,4,0,0,0,1,0,0,1,0,13,0,1,1118,1,5,2,46,534,1173
"ADAMSDIST. 4, PINE RIDGE",185,0,0,12,0,0,2,0,12,0,0,0,5,0,0,6,0,11,0,0,350,3,2,0,87,197,442
"ADAMSDIST. 5, AIRPORT",181,0,1,17,0,1,0,0,46,0,0,0,5,1,0,4,0,43,2,0,419,2,3,0,192,199,618
"ADAMSDIST. 5, FOSTER MOUND",381,0,2,36,3,1,0,0,3,0,0,0,2,0,0,2,0,11,0,1,868,1,3,0,47,422,920
"ADAMSDIST. 5, OAKLAND",194,2,0,43,1,3,4,0,111,0,0,0,14,0,1,20,0,139,1,2,466,2,7,0,539,240,1017
"ADAMSDIST. 5, WASHINGTON",60,0,0,17,0,0,1,0,66,0,1,0,15,0,1,3,0,90,1,1,168,2,3,0,348,77,523
ADAMSNAN,3215,5,13,451,11,29,30,5,1053,1,2,5,314,1,4,206,1,1489,12,27,7757,32,125,9,5874,3695,13836
ALCORNBETHEL,1,0,0,2,0,0,0,0,11,0,0,0,1,0,0,2,1,24,0,0,1,0,0,0,82,3,83
ALCORNBIGGERSVILLE,28,1,0,15,0,0,10,0,106,0,0,0,20,0,0,10,0,141,1,3,134,0,11,1,605,44,755
ALCORNCOLLEGE HILL,70,0,0,24,1,2,1,0,63,1,0,0,16,0,0,24,1,116,1,3,243,5,13,1,419,95,685
ALCORNEAST CORINTH,70,0,0,34,1,1,10,1,169,0,0,1,88,0,0,41,0,228,0,3,317,2,16,0,884,105,1222
ALCORNFIVE POINTS 1ST DIST,56,0,1,24,0,0,8,0,238,0,0,1,33,0,2,24,1,398,0,5,157,6,12,1,1286,81,1467
ALCORNGLEN,26,1,1,26,2,0,4,1,102,1,0,1,20,0,0,15,0,256,1,5,112,2,11,0,826,56,957
ALCORNJACINTO,9,0,1,3,1,0,3,0,65,0,0,0,5,0,0,3,0,74,0,0,23,0,2,3,289,14,317
ALCORNKOSSUTH,29,0,0,26,0,1,8,0,231,0,0,3,48,0,1,37,0,288,0,4,97,1,9,0,1310,55,1421
ALCORNNORTH CORINTH,29,0,1,23,4,1,2,0,155,0,0,0,46,0,0,42,1,161,0,2,133,2,22,0,773,57,932
ALCORNPINECREST,31,0,0,12,0,0,1,0,78,0,0,0,16,0,0,17,0,94,1,1,120,1,7,0,363,43,493
ALCORNRIENZI,63,0,1,10,4,0,4,0,147,1,0,0,17,0,1,27,0,162,1,7,145,2,6,1,724,78,886
ALCORNSHADY GROVE,26,0,1,18,1,1,2,0,115,0,0,3,20,0,0,24,0,153,0,1,108,0,7,1,648,46,765
ALCORNSOUTH CORINTH,213,1,0,29,1,0,6,0,82,0,1,0,12,0,0,16,0,125,1,6,629,4,15,3,479,244,1137
ALCORNUNION CENTER,41,0,2,11,3,2,1,1,111,0,0,3,6,0,0,18,0,211,1,1,80,1,7,0,832,57,922
ALCORNWENASOGA,59,0,0,21,0,0,3,0,104,0,0,1,16,0,1,16,0,152,0,3,147,1,11,0,665,80,827
ALCORNWEST CORINTH,37,0,0,18,0,1,5,1,64,0,0,0,25,0,2,14,0,102,0,9,107,4,10,0,418,55,548
AMITEAMITE RIVER,93,0,0,5,1,3,0,0,23,0,0,1,1,0,0,1,0,44,0,0,185,1,2,0,131,99,319
AMITEARIEL,113,0,0,12,0,0,0,0,12,0,0,0,0,0,0,0,0,17,0,0,221,0,1,0,72,125,294
AMITEBERWICK,127,0,2,4,0,0,0,0,19,0,0,0,0,0,0,0,0,28,0,0,244,2,0,0,109,133,355
AMITECROSBY,58,0,0,4,2,0,0,0,20,0,0,0,1,0,0,2,0,39,0,1,98,0,0,1,92,64,192
AMITEEAST FORK,28,0,0,12,0,5,1,0,61,0,0,0,9,0,0,5,0,102,2,0,83,1,2,0,332,40,420
AMITEEAST GLOSTER,36,0,0,3,1,2,1,0,34,0,0,0,8,0,0,5,0,60,1,2,69,0,1,0,182,40,255
AMITEEAST LIBERTY,32,0,2,5,0,0,0,0,60,0,0,0,3,0,0,5,0,40,0,0,62,0,3,0,185,39,250
AMITEGLOSTER,240,2,0,12,1,1,0,0,16,0,0,0,0,0,0,4,0,26,0,1,493,2,4,0,125,255,625
AMITEHOMOCHITTO,2,0,0,2,1,0,0,0,16,0,0,1,3,0,0,0,0,26,0,1,7,0,0,0,67,5,75
AMITELIBERTY,59,0,0,14,2,1,5,0,91,0,0,1,24,0,2,7,0,111,1,0,143,1,6,1,406,75,558
AMITENEW ZION,26,0,0,4,0,2,2,1,76,0,0,1,9,0,0,6,0,70,0,0,45,0,2,0,281,30,328
AMITERICEVILLE,60,0,0,5,1,0,2,0,41,0,0,0,12,0,0,5,0,53,0,1,149,0,4,0,171,66,325
AMITESMITHDALE,60,0,0,15,1,1,1,0,53,0,0,0,7,0,0,1,0,73,0,0,135,0,1,0,236,76,372
AMITESOUTH LIBERTY,94,0,0,9,0,0,0,0,15,0,0,0,1,0,0,1,0,32,0,0,193,1,3,1,111,103,309
AMITETANGIPAHOA,21,0,1,2,1,0,0,0,81,0,1,0,25,0,1,11,0,121,0,0,54,0,1,0,392,25,447
AMITETICKFAW,64,1,0,4,1,0,0,0,16,0,0,0,2,0,0,2,0,38,0,2,114,0,1,2,122,70,241
AMITEVANCE PARK,14,0,0,3,0,5,1,0,27,0,0,0,0,0,0,7,0,35,0,0,30,0,1,0,172,17,203
AMITEWALLS,81,0,0,2,2,0,2,1,52,1,0,1,15,0,0,5,0,107,0,0,176,0,4,0,359,85,539
AMITEZION HILL,35,0,2,5,0,0,0,0,80,0,0,0,5,0,0,3,0,85,0,1,61,0,2,0,303,42,367
ATTALABEREA,4,0,0,1,0,1,3,0,23,0,1,0,3,0,0,0,0,30,0,2,4,0,0,0,110,5,116
ATTALACARMACK,2,0,0,2,0,0,3,0,40,0,0,3,4,0,0,2,0,66,0,2,9,1,3,0,192,4,207
ATTALAEAST,36,0,1,12,0,0,1,0,129,0,0,0,47,0,0,30,0,131,1,0,127,2,11,0,556,49,697
ATTALAETHEL,46,2,1,6,1,1,3,1,34,0,0,2,1,0,0,4,0,64,0,0,98,0,3,1,207,56,309
ATTALAHESTERVILLE,11,0,0,3,0,0,1,0,23,0,0,2,9,0,0,10,0,54,0,4,26,0,1,0,175,14,206
