precinct,gen_amd_FUENTE,gen_con_CASTLE,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_pro_HEDGES,gen_rep_TRUMP
"ADAMSDIST. 3, MARYLAND HGTS",0,2,504,1,1,1,26
ALCORN2ND DISTRICT CENTRAL,0,3,131,7,8,1,1216
ALCORNNAN,7,56,2684,38,167,12,11819
AMITEEAST CENTREVILLE,0,0,128,0,0,0,223
AMITENAN,4,9,2697,8,38,5,4289
AMITEONEIL,0,0,7,0,0,0,218
ATTALAMCCOOL,0,2,105,1,3,0,169
ATTALANAN,3,32,3242,17,57,8,4897
BENTONASHLAND DISTRICT 3,0,2,366,1,12,0,469
BENTONCANAAN DISTRICT 1,0,0,475,1,2,0,299
BENTONFLOYD DISTRICT 4,0,1,179,3,8,0,573
BENTONHICKORY FLAT DISTRICT 5,1,0,105,2,3,0,724
BENTONLAMAR DISTRICT 2,0,2,594,2,3,0,186
CALHOUNCALHOUN CITY 4,2,7,246,0,2,0,775
CARROLLCARROLLTON,0,2,58,0,4,0,306
CARROLLNAN,3,6,1680,9,29,2,3799
CARROLLNORTH CARROLLTON,0,1,71,0,4,0,368
CHICKASAWNAN,6,25,3649,12,61,10,4127
CLAIBORNENAN,4,6,3708,5,7,2,540
CLARKEMANASSA,0,0,6,0,0,0,100
CLARKENAN,3,21,2585,15,29,1,5137
CLARKEOAKGROVE,0,1,216,0,1,0,35
CLARKESNELL,0,0,2,0,0,0,152
CLAYNAN,8,25,5722,20,69,9,4150
COAHOMACLARKSDALE #2,0,4,600,4,11,1,597
COAHOMACLARKSDALE #3,0,1,412,0,4,1,54
COAHOMACLARKSDALE #4,0,7,1199,5,5,2,51
COAHOMACLARKSDALE #4 NORTH,0,0,100,0,3,0,74
COAHOMACLARKSDALE #5,1,6,1105,1,6,1,226
COAHOMANAN,4,31,6378,13,53,7,2426
COPIAHCRYSTAL SPRINGS EAST,0,6,683,2,15,3,1214
COPIAHCRYSTAL SPRINGS NORTH,1,1,266,2,2,0,76
COPIAHCRYSTAL SPRINGS SOUTH,0,3,1145,1,10,1,455
COPIAHCRYSTAL SPRINGS WEST,0,3,359,0,8,0,493
COPIAHNAN,7,26,6741,16,73,16,6103
COVINGTONNAN,4,20,3276,12,61,3,5435
DESOTOALPHABA-COCKRUM,0,1,79,3,9,0,720
DESOTOBEAKER'S CHAPEL,0,3,95,1,7,0,498
DESOTOELMONE,0,10,563,4,31,0,1129
DESOTONAN,31,335,20591,308,1329,12,43089
DESOTONORTHWEST COMMUNITY COLLEGE,0,6,880,5,48,0,1032
DESOTOWALLS,2,6,717,14,27,1,1028
FORRESTNAN,9,115,11716,149,598,16,15461
FORRESTWESTSIDE,1,2,416,7,28,0,313
FRANKLINLUCIEN,0,0,23,1,0,0,145
FRANKLINNAN,2,23,1502,16,22,4,2721
FRANKLINWHITTINGTON,0,4,31,1,2,0,244
GEORGEDAVIS,0,3,22,0,1,1,316
GEORGENAN,6,44,1027,20,91,7,8696
GEORGEROCKY CREEK,2,6,65,1,10,1,1109
GREENENAN,4,21,974,4,28,3,4335
GRENADABOX 1,0,3,506,4,16,2,1100
GRENADABOX 2 GRENADA CO OFFICE,0,0,212,1,2,0,349
GRENADABOX 3 CITY AUDITORIUM,0,2,1045,6,10,2,396
GRENADABOX 4,2,6,1378,2,5,0,114
GRENADABOX 5,0,2,277,3,12,0,1155
GRENADAELLIOTT VOL FIRE STATION,0,0,73,3,2,2,388
GRENADAFUTHEYVILLE 1ST PENTECOST,0,0,171,0,7,0,551
GRENADAGEESLIN,0,0,94,0,6,1,560
GRENADAGORE SPRINGS COMM CENTER,0,1,68,0,6,0,425
GRENADAHOLCOMB COMMUNITY CENTER,1,0,185,2,2,1,540
GRENADANAN,3,17,4424,22,69,8,5970
GRENADAPLEASANT GROVE COMMUN CEN,0,3,308,1,1,0,166
GRENADASWEETHOME HOL #2 FIRE STAT,0,0,107,0,0,0,226
HANCOCKBAYOU PHILLIP,0,1,70,1,1,0,137
HANCOCKNAN,9,68,3344,83,312,10,13811
HARRISONBILOXY CENTRAL,0,1,415,10,23,1,524
HARRISONCOUNTY FARM/GULF HAVEN,1,4,232,5,22,0,1215
HARRISONDELISE,1,5,438,9,19,0,677
HARRISONINVALID ADDRESSES 9999,0,0,0,0,0,0,0
HARRISONMAGNOLLA GROVE,1,1,512,4,6,0,128
HARRISONNAN,28,184,21169,330,1230,18,40354
HARRISONSAUCER,2,3,152,2,19,0,948
HARRISONSOUTH BEL-ALRE,2,5,750,6,36,0,584
HARRISONVLDALLA,0,1,35,1,9,0,404
HINDSBOLTON,0,2,731,2,3,1,253
HINDSBROWNSVILLE,0,0,172,3,2,0,212
HINDSBYRAM 1,1,4,1515,7,15,1,514
HINDSBYRAM 2,2,3,726,4,21,0,950
HINDSBYRAM 3,0,3,869,5,8,1,391
HINDSCAYUGA,0,2,158,0,2,0,79
HINDSCHAPEL HILL,0,1,317,1,4,1,290
HINDSCLINTON 1,0,12,433,6,33,0,668
HINDSCLINTON 2,2,10,662,7,40,0,1314
HINDSCLINTON 3,1,10,777,9,28,0,978
HINDSCLINTON 4,0,1,402,7,18,0,397
HINDSNAN,36,270,67594,470,1013,23,25275
HINDSPRECINCT 01,1,4,430,10,24,1,113
HINDSPRECINCT 02,0,0,136,1,1,0,1
HINDSPRECINCT 04,0,0,319,3,1,1,2
HINDSPRECINCT 06,1,1,367,6,10,0,56
HINDSPRECINCT 08,0,4,285,2,24,0,176
HINDSPRECINCT 09,1,3,430,7,46,0,353
HINDSSPRINGRIDGE,1,3,1295,11,19,1,927
HOLMESBEAT 3 COXBURG,0,1,40,0,1,1,124
HOLMESBEAT 3 EBENEZER,0,1,198,1,2,1,67
HOLMESBEAT 4 THORNTON,0,0,264,0,1,0,25
HOLMESBEAT 4 WALDEN CHAPEL,0,2,164,0,0,0,13
HOLMESBEAT 5 CRUGER,0,0,180,0,1,0,66
HOLMESBEAT 5 LEXINGTON,0,0,203,0,3,0,171
HOLMESBEAT 5 TCHULA,0,0,1001,2,3,1,78
HOLMESNAN,4,20,6689,19,25,10,1309
HUMPHREYSBELZONI - 4010,0,1,580,0,1,0,267
HUMPHREYSBELZONI NORTH - 1BN 1020,2,4,703,2,1,1,164
HUMPHREYSBELZONI NORTH - 2BN 2020,0,0,76,1,0,0,4
HUMPHREYSBELZONI SOUTH - 3BS 3010,0,0,322,0,0,0,8
HUMPHREYSBELZONI SOUTH - 5BS 5010,0,0,301,0,0,0,5
