precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_O'MAILEY,pri_dem_SANDERS,pri_dem_WILSON,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FLORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP
"ADAMSDIST. 3,MARYLAND HGTS",220.0,0.0,1.0,14.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
ALCORN2ND DISTRICT CENTRAL PRECINCT,41.0,0.0,0.0,22.0,3.0,2.0,13.0,0.0,212.0,0.0,0.0,1.0,39.0,0.0,1.0,22.0,0.0,287.0
AMITEEAST CENTERVILLE,59.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,3.0,0.0,0.0,8.0,0.0,51.0
AMITEONELL,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,1.0,72.0
ATTALAAPONAUG,22.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,32.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,36.0
ATTALAMCCOL,62.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,50.0
BAND BUILDINGKEMPER,87.0,1.0,0.0,12.0,0.0,0.0,1.0,0.0,27.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,51.0
BENTONASHLAND PRECINCT DISTRICT 3,146.0,0.0,0.0,26.0,2.0,2.0,1.0,0.0,95.0,0.0,0.0,2.0,15.0,0.0,0.0,9.0,0.0,125.0
BENTONCANAAN PRECINCT DISTRICT 1,163.0,0.0,0.0,16.0,0.0,0.0,3.0,1.0,41.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,1.0,89.0
BENTONFLOYD PRECINCT DIST 4,67.0,0.0,0.0,32.0,1.0,1.0,1.0,0.0,98.0,1.0,0.0,2.0,5.0,0.0,0.0,13.0,0.0,155.0
