precinct,pri_dem_CLINTON,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_KASICH,pri_rep_TRUMP,gen_con_CASTLE,gen_dem_CLINTON,gen_grn_STEIN,gen_ind_FUENTE,gen_ind_MCMULLIN,gen_ind_RIVA,gen_lib_JOHNSON,gen_rep_TRUMP,rep_primary_total,dem_primary_total,general_total
BERNALILLO1,60,93,3,6,15,0,9,64,0,346,9,0,6,0,61,311,97,153,733
BERNALILLO10,65,65,1,5,9,2,7,35,1,287,9,0,1,1,78,223,59,130,600
BERNALILLO101,35,186,2,1,3,0,2,10,0,341,28,1,2,6,59,57,18,221,494
BERNALILLO102,27,105,0,0,2,1,1,6,1,231,14,0,1,1,28,35,10,132,311
BERNALILLO103,91,96,1,1,5,0,1,15,0,490,10,0,2,0,48,125,23,187,675
BERNALILLO104,20,25,0,0,0,0,0,1,0,115,3,1,0,0,9,14,1,45,142
BERNALILLO105,33,23,0,0,1,0,0,1,0,151,1,0,0,2,12,30,2,56,196
BERNALILLO106,116,71,2,2,3,0,6,11,1,396,9,0,1,0,51,91,24,187,549
BERNALILLO107,89,101,3,1,6,1,3,11,1,336,9,1,3,5,37,61,25,190,453
BERNALILLO108,50,36,5,1,1,1,7,30,0,161,4,0,0,0,28,131,45,86,324
BERNALILLO109,9,7,0,0,0,0,0,2,0,25,1,0,0,0,5,16,2,16,47
BERNALILLO11,179,145,5,2,7,1,12,52,0,495,9,0,1,1,84,201,79,324,791
BERNALILLO110,87,82,6,2,16,1,6,46,3,337,8,0,3,1,78,249,77,169,679
BERNALILLO111,132,129,5,2,18,1,6,68,0,521,13,1,10,2,140,377,100,261,1064
BERNALILLO112,141,130,1,7,24,4,10,112,1,513,16,0,15,1,158,469,158,271,1173
BERNALILLO113,77,91,4,3,5,5,10,66,0,309,7,0,14,2,84,288,93,168,704
BERNALILLO114,196,161,12,14,28,6,31,164,7,675,18,1,26,2,189,750,255,357,1668
BERNALILLO115,203,177,10,5,36,0,15,186,5,885,19,0,39,3,187,873,252,380,2011
BERNALILLO116,66,69,1,3,10,1,3,63,1,238,5,0,6,3,65,278,81,135,596
BERNALILLO117,175,152,4,6,49,6,14,156,7,698,18,0,34,0,182,777,235,327,1716
BERNALILLO118,82,100,3,8,11,1,9,114,7,454,11,2,29,0,129,528,146,182,1160
BERNALILLO119,193,199,3,3,21,0,12,101,3,763,17,0,7,0,149,468,140,392,1407
BERNALILLO12,120,120,1,0,10,1,7,44,0,394,9,0,4,3,51,184,63,240,645
BERNALILLO120,167,132,1,3,11,0,5,69,2,586,10,1,3,1,110,359,89,299,1072
BERNALILLO121,191,129,5,1,7,1,9,34,0,488,8,0,1,3,43,141,57,320,684
BERNALILLO122,65,108,2,0,0,0,3,6,1,217,7,0,3,1,24,44,11,173,297
BERNALILLO123,80,171,1,2,4,0,2,12,0,383,25,2,1,1,50,65,21,251,527
BERNALILLO124,47,105,0,1,1,1,3,1,0,251,11,0,0,0,34,37,7,152,333
BERNALILLO125,84,128,0,0,4,1,1,11,1,307,8,1,2,3,35,68,17,212,425
BERNALILLO127,121,141,6,1,13,1,9,102,2,598,12,1,27,0,135,602,132,262,1377
BERNALILLO128,64,82,3,1,9,1,9,59,0,246,11,1,6,1,82,277,82,146,624
BERNALILLO129,47,54,0,1,4,1,5,46,0,217,3,1,4,0,56,234,57,101,515
BERNALILLO13,149,104,3,2,6,5,12,45,1,348,2,0,2,0,89,166,73,253,608
BERNALILLO131,38,65,2,2,2,1,1,8,1,179,9,0,0,1,20,47,16,103,257
BERNALILLO132,38,98,1,0,0,0,5,4,0,255,21,1,2,4,32,54,10,136,369
BERNALILLO133,44,55,0,1,0,0,1,5,1,202,5,2,2,1,22,42,7,99,277
BERNALILLO134,200,227,4,5,20,2,12,108,2,870,19,0,12,3,212,577,151,427,1695
BERNALILLO135,79,90,0,0,3,0,1,9,0,295,14,0,0,4,27,56,13,169,396
BERNALILLO136,114,103,2,3,13,0,3,35,1,487,8,2,1,0,100,231,56,217,830
BERNALILLO137,43,74,2,6,10,2,1,12,0,293,5,0,3,0,60,154,33,117,515
BERNALILLO138,95,74,1,0,5,0,4,33,1,443,10,1,2,2,85,168,43,169,712
BERNALILLO139,79,44,0,0,3,1,1,16,0,220,6,0,0,0,25,114,21,123,365
BERNALILLO14,71,93,1,4,5,0,5,42,0,317,12,0,3,4,68,186,57,164,590
