precinct,gen_con_CASTLE,gen_dem_CLINTON,gen_ind_FUENTE,gen_lib_JOHNSON,gen_rep_TRUMP
CARSON CITY997,0,6,0,0,3
CARSON CITY998,0,6,0,0,6
CARSON CITY999,0,0,0,0,0
CHURCHILL01,1,139,2,31,461
CHURCHILL02,4,186,1,37,370
CHURCHILL03,8,115,2,20,305
CHURCHILL04,1,132,0,35,340
CHURCHILL05,2,115,4,19,276
CHURCHILL06,1,101,1,30,318
CHURCHILL07,2,120,2,16,510
CHURCHILL08,4,78,2,20,245
CHURCHILL09,10,86,0,10,282
CHURCHILL88,0,0,0,0,0
CHURCHILL99,0,0,0,0,0
CLARK1309,0,0,0,0,0
CLARK1361,0,0,0,0,0
CLARK1363,0,0,0,0,0
CLARK1370,0,0,0,0,0
CLARK1375,0,0,0,0,0
CLARK1376,0,0,0,0,0
CLARK1378,0,0,0,0,0
CLARK1379,0,0,0,0,0
CLARK1380,0,0,0,0,0
CLARK1382,0,0,0,0,0
CLARK1385,0,0,0,0,0
CLARK1387,0,0,0,0,0
CLARK1533,0,0,0,0,0
CLARK1553,0,0,0,0,0
CLARK1673,0,0,0,0,0
CLARK1691,0,0,0,0,0
CLARK1694,0,0,0,0,0
CLARK1711,0,0,0,0,0
CLARK2078,0,0,0,0,0
CLARK2356,0,0,0,0,0
CLARK2436,0,0,0,0,0
CLARK2445,0,0,0,0,0
CLARK2447,0,0,0,0,0
CLARK2458,0,0,0,0,0
CLARK2468,0,0,0,0,0
CLARK2478,0,0,0,0,0
CLARK2486,0,0,0,0,0
CLARK2487,0,0,0,0,0
CLARK2488,0,0,0,0,0
CLARK2489,0,0,0,0,0
CLARK2608,0,0,0,0,0
CLARK2612,0,0,0,0,0
CLARK2623,0,0,0,0,0
CLARK2625,0,0,0,0,0
CLARK2640,0,0,0,0,0
CLARK2646,0,0,0,0,0
CLARK2694,0,0,0,0,0
CLARK2712,0,0,0,0,0
CLARK2715,0,0,0,0,0
CLARK2720,0,0,0,0,0
CLARK2721,0,0,0,0,0
CLARK2723,0,0,0,0,0
CLARK3151,0,0,0,0,0
CLARK3191,0,0,0,0,0
CLARK3414,0,0,0,0,0
CLARK3439,0,0,0,0,0
CLARK3537,0,0,0,0,0
CLARK3545,0,0,0,0,0
CLARK3552,0,0,0,0,0
CLARK3553,0,0,0,0,0
CLARK3559,0,0,0,0,0
CLARK3560,0,0,0,0,0
CLARK3562,0,0,0,0,11
CLARK3566,0,0,0,0,0
CLARK3571,0,0,0,0,0
CLARK3574,0,0,0,0,0
CLARK3578,0,7,0,3,20
CLARK3580,0,0,0,0,0
CLARK3581,0,0,0,0,0
CLARK3611,0,0,0,0,0
CLARK3612,0,0,0,0,0
CLARK3701,0,0,0,0,0
CLARK3712,0,0,0,0,0
CLARK3737,0,0,0,0,0
CLARK3744,0,0,0,0,0
CLARK3745,0,0,0,0,0
CLARK3750,0,0,0,0,0
CLARK3763,0,0,0,0,0
CLARK3776,0,0,0,0,0
CLARK3777,0,0,0,0,0
CLARK3821,0,0,0,0,0
CLARK3875,0,0,0,0,0
CLARK3881,0,0,0,0,0
CLARK4075,0,0,0,0,0
CLARK4511,0,0,0,0,0
CLARK4572,0,0,0,0,0
CLARK4574,0,0,0,0,0
CLARK4613,0,0,0,0,0
CLARK4615,0,0,0,0,0
CLARK4637,0,0,0,0,0
CLARK4638,0,0,0,0,0
CLARK4645,0,0,0,0,0
CLARK4651,0,0,0,0,0
CLARK5014,0,0,0,0,0
CLARK5500,0,0,0,0,0
CLARK5502,0,0,0,0,0
CLARK5503,0,0,0,0,0
CLARK5506,0,0,0,0,0
CLARK5643,0,0,0,0,0
CLARK5644,0,0,0,0,0
CLARK6496,0,0,0,0,0
CLARK6617,0,0,0,0,0
CLARK6711,0,0,0,0,0
CLARK7505,0,0,0,0,0
CLARK7514,0,0,0,0,0
CLARK7533,0,0,0,0,0
CLARK7535,0,0,0,0,0
CLARK7541,0,0,0,0,0
CLARK7543,0,0,0,0,0
CLARK7720,0,0,0,0,0
CLARK7734,0,0,0,0,0
CLARK7743,0,0,0,0,0
CLARK7745,0,0,0,0,0
CLARK9991,9,586,7,24,147
CLARK9993,4,288,0,15,258
CLARK9994,2,400,1,9,120
CLARK9995,0,0,0,0,0
DOUGLAS01,1,155,2,9,467
DOUGLAS02,6,297,4,36,773
DOUGLAS03,3,332,5,35,536
DOUGLAS04,0,207,2,25,434
DOUGLAS05,0,184,0,32,498
DOUGLAS06,6,376,0,54,625
DOUGLAS07,2,256,1,21,400
DOUGLAS08,8,288,4,50,638
DOUGLAS09,2,247,2,37,502
DOUGLAS30,0,0,0,0,0
DOUGLAS88,0,0,0,0,0
DOUGLAS99,0,0,0,0,0
ELKO88,0,0,0,0,0
ELKO99,0,0,0,0,0
ESMERALDA88,0,0,0,0,0
ESMERALDA99,0,0,0,0,0
EUREKA88,0,0,0,0,0
EUREKA99,0,0,0,0,0
HUMBOLDT88,0,0,0,0,0
HUMBOLDT99,0,0,0,0,0
LANDER01,2,81,1,14,277
LANDER02,3,107,2,23,328
LANDER03,0,25,1,0,107
LANDER04,4,66,1,14,483
LANDER05,4,86,3,18,413
LANDER06,2,6,0,2,70
LANDER07,1,15,1,5,79
LANDER08,0,2,0,0,12
LANDER09,0,15,1,3,59
LANDER88,0,0,0,0,0
LANDER99,0,0,0,0,0
LINCOLN88,0,0,0,0,0
LINCOLN99,0,0,0,0,0
LYON88,0,0,0,0,0
LYON99,0,0,0,0,0
LYONNAN,6,312,4,36,802
MINERAL10,0,0,0,0,0
MINERAL88,0,0,0,0,0
MINERAL99,0,0,0,0,0
NYE01,4,79,0,10,258
NYE02,0,1,0,0,41
NYE03,3,20,2,0,13
NYE04,1,20,0,2,57
NYE05,1,11,0,0,3
NYE06,6,100,1,6,239
NYE07,0,10,0,3,43
NYE08,0,0,0,0,0
NYE09,15,354,2,24,892
NYE23,6,105,1,12,232
NYE24,2,191,1,22,545
NYE25,1,89,0,5,263
NYE26,3,139,4,18,397
NYE27,10,199,4,25,515
NYE28,7,301,3,30,755
NYE29,15,321,2,32,715
NYE30,12,245,0,24,651
NYE31,15,262,1,20,789
NYE32,5,404,4,42,899
NYE35,1,24,0,19,249
NYE88,0,25,0,1,35
NYE99,0,0,0,0,0
PERSHING88,0,0,0,0,0
PERSHING99,0,0,0,0,0
STOREY10,0,0,0,0,0
STOREY12,0,0,0,0,0
STOREY13,0,0,0,0,0
STOREY14,0,0,0,0,0
STOREY7,0,0,0,0,0
STOREY8,0,0,0,0,0
STOREY88,0,0,0,0,0
STOREY9,0,0,0,0,0
STOREY99,0,0,0,0,0
