precinct,pri_dem_CLINTON,pri_dem_SANDERS
CHURCHILL1,3,3
CHURCHILL2,4,2
CHURCHILL3,3,2
CHURCHILL4,4,2
CHURCHILL5,3,3
CHURCHILL6,1,3
CHURCHILL7,4,1
CHURCHILL8,2,2
CHURCHILL9,1,2
CLARKCAESARS,28,12
CLARKHARRAHS,25,11
CLARKNEW YORK NEW YORK,23,11
CLARKPARIS,13,6
CLARKRIO,5,3
CLARKWYNN,15,9
DOUGLAS1,1,2
DOUGLAS2,3,3
DOUGLAS3,4,2
DOUGLAS4,3,2
DOUGLAS5,2,1
DOUGLAS6,4,3
DOUGLAS7,2,2
DOUGLAS8,3,3
DOUGLAS9,3,2
LANDER1,4,8
LANDER2,5,14
LANDER3,0,5
LANDER4,2,11
LANDER5,6,10
LANDER6,1,0
LANDER7,1,0
LANDER8,1,0
LANDER9,0,0
LYON15,3,3
LYON16,4,3
LYON17,1,3
LYON18,1,1
LYON19,2,2
LYON20,1,1
LYON21,2,4
LYON22,1,1
LYON23,2,3
LYON24,2,2
LYON25,2,3
LYON26,1,2
LYON27,3,3
LYON28,2,1
LYON29,1,1
LYON30,3,2
LYON31,2,2
LYON32,2,4
LYON33,3,5
LYON34,0,1
LYON35,1,1
LYON36,1,1
LYON37,2,2
LYON38,3,3
LYON39,4,2
LYON40,2,4
NYE1,1,3
NYE2,0,0
NYE7,1,0
NYE8,0,0
NYE9,5,4
WASHOE100000,3,2
WASHOE100200,2,6
WASHOE100300,5,8
WASHOE100600,1,2
WASHOE100700,5,4
WASHOE100800,1,2
WASHOE101000,4,6
WASHOE101100,3,9
WASHOE101200,1,1
WASHOE101400,5,5
WASHOE101500,0,1
WASHOE101600,4,5
WASHOE101800,2,9
WASHOE102000,5,4
WASHOE102200,4,2
WASHOE102300,3,2
WASHOE102400,6,4
WASHOE102600,3,3
WASHOE102700,2,1
WASHOE102900,6,4
WASHOE103100,3,2
WASHOE103200,3,1
WASHOE103300,4,4
WASHOE103500,2,3
WASHOE103600,3,4
WASHOE103800,3,1
WASHOE103900,3,4
WASHOE104000,0,0
WASHOE104300,3,5
WASHOE104400,4,6
WASHOE104500,2,3
WASHOE104600,0,1
WASHOE104700,1,0
WASHOE105300,1,1
WASHOE105500,4,5
WASHOE105600,3,4
WASHOE105700,5,6
WASHOE200000,1,2
WASHOE200400,4,5
WASHOE200600,3,3
WASHOE200700,0,1
WASHOE200900,2,2
WASHOE201000,1,1
WASHOE201300,2,1
WASHOE201600,1,2
WASHOE201700,3,4
WASHOE201800,5,6
WASHOE201900,2,2
WASHOE202000,1,3
WASHOE202100,2,2
WASHOE202200,2,1
WASHOE202300,3,6
WASHOE202500,2,1
WASHOE202600,1,2
WASHOE202700,2,2
WASHOE202800,3,2
WASHOE202900,2,2
WASHOE203000,2,2
WASHOE203100,3,3
WASHOE203200,4,4
WASHOE203300,3,2
WASHOE203400,1,1
WASHOE203500,4,1
WASHOE203600,3,3
WASHOE203700,2,1
WASHOE203900,2,4
WASHOE204000,2,2
WASHOE204100,3,2
WASHOE204200,5,3
WASHOE204300,0,0
WASHOE204700,2,3
WASHOE204900,3,5
WASHOE205000,3,1
WASHOE205800,3,4
WASHOE206000,1,1
WASHOE206200,1,0
WASHOE206500,0,0
WASHOE206800,3,3
WASHOE207300,0,0
WASHOE208000,3,4
WASHOE208100,3,4
WASHOE300100,1,5
WASHOE300400,3,3
WASHOE300500,0,1
WASHOE300600,1,2
WASHOE300700,5,7
WASHOE300800,3,3
WASHOE300900,0,14
WASHOE301000,4,8
WASHOE301100,1,3
WASHOE301200,3,8
WASHOE301300,0,0
WASHOE301400,1,0
WASHOE301500,0,0
WASHOE301600,4,9
WASHOE301700,6,5
WASHOE301800,5,7
WASHOE301900,3,5
WASHOE302000,2,4
WASHOE302100,0,0
WASHOE302200,4,5
WASHOE302300,2,3
WASHOE302400,4,5
WASHOE302500,0,0
WASHOE302600,5,6
WASHOE302700,0,0
WASHOE302800,2,2
WASHOE302900,1,2
WASHOE303000,2,2
WASHOE303100,2,4
WASHOE303200,2,3
WASHOE303600,0,2
WASHOE303800,2,3
WASHOE304000,2,4
WASHOE400000,3,5
WASHOE400300,3,3
WASHOE400500,2,5
WASHOE400700,0,0
WASHOE400900,2,2
WASHOE401200,1,6
WASHOE401400,3,6
WASHOE401600,3,7
WASHOE401700,4,5
WASHOE401900,3,4
WASHOE402000,0,3
WASHOE402100,0,2
WASHOE402200,1,0
WASHOE402300,3,2
WASHOE402400,1,3
WASHOE402500,2,3
WASHOE402600,0,0
WASHOE403200,5,4
WASHOE403300,4,4
WASHOE403500,3,9
WASHOE403600,3,3
WASHOE403700,3,5
WASHOE403800,1,4
