precinct,pri_dem_CLINTON,pri_dem_SANDERS,pri_rep_CARSON,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_TRUMP,gen_con_TRUMP,gen_dem_CLINTON,gen_grn_STEIN,gen_ind_JOHNSON,gen_lib_JOHNSON,gen_rep_TRUMP,gen_wep_CLINTON,gen_wor_CLINTON,dem_primary_total,general_total
"BRONX=""1/77""",40,34,0,0,0,0,0,200,2,1,1,10,0,0,74,214
"BRONX=""1/78""",168,63,0,1,0,1,0,604,3,0,1,16,0,0,231,624
"BRONX=""1/79""",135,62,1,0,1,4,0,599,3,2,0,20,0,0,197,624
"BRONX=""1/80""",52,29,0,1,3,12,0,226,8,1,1,60,0,0,81,296
"BRONX=""1/81""",168,52,0,0,0,0,0,404,6,1,0,21,0,0,220,432
"BRONX=""1/82""",50,56,0,4,12,68,0,157,5,8,2,366,0,0,106,538
"BRONX=""1/83""",202,65,0,2,1,3,0,676,11,6,2,35,0,0,267,730
"BRONX=""1/84""",129,53,0,0,0,0,0,550,4,0,1,28,0,0,182,583
"BRONX=""1/85""",163,72,0,3,3,1,0,579,4,5,0,28,0,0,235,616
"BRONX=""1/86""",186,42,0,0,0,0,0,587,4,2,0,14,0,0,228,607
"BRONX=""10/77""",168,54,0,0,0,4,0,522,0,2,1,32,0,0,222,557
"BRONX=""10/78""",115,36,0,0,0,0,0,428,5,2,0,20,0,0,151,455
"BRONX=""10/79""",178,75,0,0,1,1,0,581,6,4,0,17,0,0,253,608
"BRONX=""10/80""",71,48,0,1,2,5,0,324,6,0,0,97,0,0,119,427
"BRONX=""10/81""",27,29,0,1,0,1,0,157,4,0,0,13,0,0,56,174
"BRONX=""10/82""",133,100,0,5,4,36,0,488,7,7,3,187,0,0,233,692
"BRONX=""10/83""",267,59,0,0,1,1,0,692,1,2,0,20,0,0,326,715
"BRONX=""10/84""",145,69,0,0,2,3,0,549,5,0,0,18,0,0,214,572
"BRONX=""10/85""",100,41,0,0,0,2,0,382,1,1,1,19,0,0,141,404
"BRONX=""10/86""",79,38,1,0,0,0,0,333,2,1,0,18,0,0,117,354
"BRONX=""10/87""",185,60,0,1,1,3,0,591,5,2,0,39,0,0,245,637
"BRONX=""100/81""",84,36,0,1,1,1,0,386,9,0,1,18,0,0,120,414
"BRONX=""100/82""",175,67,0,0,0,2,0,386,7,1,1,29,0,0,242,424
"BRONX=""101/82""",165,51,0,1,1,2,0,363,1,2,0,15,0,0,216,381
"BRONX=""102/82""",153,54,1,0,1,1,0,347,5,1,0,18,0,0,207,371
"BRONX=""103/82""",141,37,0,0,1,2,0,310,2,2,1,19,0,0,178,334
"BRONX=""104/82""",191,45,0,1,1,3,0,420,3,1,2,18,0,0,236,444
"BRONX=""105/82""",161,61,1,2,2,3,0,408,5,1,0,25,0,0,222,439
"BRONX=""107/81""",10,2,0,0,0,0,0,84,0,0,0,2,0,0,12,86
"BRONX=""107/82""",31,17,0,3,2,11,0,131,1,3,0,74,0,0,48,209
"BRONX=""108/82""",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"BRONX=""109/82""",59,11,0,0,0,3,0,237,1,4,0,36,0,0,70,278
"BRONX=""11/77""",221,66,0,0,0,1,0,676,3,2,0,32,0,0,287,713
"BRONX=""11/78""",102,39,0,0,0,1,0,429,4,1,1,27,0,0,141,462
"BRONX=""11/79""",36,33,0,1,1,0,0,185,6,1,0,18,0,0,69,210
"BRONX=""11/80""",23,15,0,1,0,1,0,112,1,2,0,16,0,0,38,131
"BRONX=""11/81""",29,7,0,0,0,0,0,104,0,0,0,9,0,0,36,113
"BRONX=""11/82""",89,50,0,5,1,19,0,347,6,4,2,148,0,0,139,507
"BRONX=""11/83""",178,42,0,0,1,4,0,506,6,0,0,20,0,0,220,532
"BRONX=""11/84""",166,64,0,2,0,0,0,571,3,1,0,24,0,0,230,599
"BRONX=""11/85""",165,60,0,0,0,0,0,489,2,2,0,14,0,0,225,507
"BRONX=""11/86""",92,35,0,0,1,0,0,378,5,2,0,17,0,0,127,402
"BRONX=""11/87""",132,35,0,0,0,0,0,357,4,1,0,12,0,0,167,374
"BRONX=""117/82""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRONX=""12/77""",177,52,1,0,0,1,0,590,5,1,0,26,0,0,229,622
"BRONX=""12/78""",128,37,0,0,0,2,0,408,1,1,0,22,0,0,165,432
"BRONX=""12/79""",24,24,0,0,0,3,0,117,2,0,0,7,0,0,48,126
"BRONX=""12/80""",40,23,0,0,0,2,0,211,0,1,0,32,0,0,63,244
"BRONX=""12/81""",153,116,0,4,2,12,0,527,15,3,4,69,0,0,269,618
"BRONX=""12/82""",87,53,0,1,0,2,0,324,5,1,0,16,0,0,140,346
"BRONX=""12/84""",122,55,0,0,0,0,0,416,2,0,0,20,0,0,177,438
"BRONX=""12/85""",174,64,0,1,0,2,0,549,3,2,1,24,0,0,238,579
"BRONX=""12/86""",156,55,0,10,0,1,0,500,5,0,2,38,0,0,211,545
"BRONX=""13/77""",211,84,0,0,0,3,0,660,7,1,1,28,0,0,295,697
"BRONX=""13/78""",162,59,0,0,1,7,0,486,5,2,0,27,0,0,221,520
