precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_SANDERS,pri_dem_STEWART,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_RUBIO,pri_rep_TRUMP,gen_dem_CLINTON,gen_grn_STEIN,gen_ind_FUENTE,gen_lib_JOHNSON,gen_rep_TRUMP,rep_primary_total,dem_primary_total,general_total
BARRINGTON 0101,214,0,251,0,34,92,2,115,1027,23,2,60,522,243,465,1634
BARRINGTON 0102,336,0,347,0,29,119,2,138,1331,21,3,68,683,288,683,2106
BARRINGTON 0103,313,0,216,0,25,153,4,124,1136,17,0,59,469,306,529,1681
BARRINGTON 0104,316,1,299,0,23,158,3,173,1328,25,2,78,611,357,616,2044
BARRINGTON 0105,311,1,286,1,33,178,3,137,1290,24,4,69,590,351,599,1977
BRISTOL 0202,289,0,395,0,44,115,3,181,371,10,1,38,185,343,684,605
BRISTOL 0203,487,0,455,1,53,172,4,305,1152,25,0,79,806,534,943,2062
BRISTOL 0205,389,1,452,2,40,125,5,290,800,18,3,78,727,460,844,1626
BURRILLVILLE 0302,171,1,322,2,48,47,4,302,421,21,4,48,715,401,496,1209
BURRILLVILLE 0303,147,0,296,0,41,74,1,322,564,23,1,59,880,438,443,1527
BURRILLVILLE 0305,133,0,231,2,31,76,4,300,348,16,1,42,579,411,366,986
CENTRAL FALLS 0408,850,2,580,3,14,17,1,93,471,8,0,11,98,125,1435,588
CHARLESTOWN 0501,226,0,444,3,41,91,1,247,581,14,0,68,521,380,673,1184
CHARLESTOWN 0503,187,0,297,0,25,110,3,228,550,16,2,38,453,366,484,1059
COVENTRY 0603,250,0,411,2,47,78,3,380,649,21,4,60,820,508,663,1554
COVENTRY 0605,216,1,379,3,69,122,3,455,398,17,2,43,598,649,599,1058
COVENTRY 0607,230,0,397,0,51,113,3,377,628,21,3,52,706,544,627,1410
COVENTRY 0611,271,2,392,1,63,124,2,513,426,10,0,32,512,702,666,980
COVENTRY 0613,227,2,440,1,41,76,1,333,383,6,3,39,452,451,670,883
CRANSTON 0701,420,2,578,1,46,54,3,335,934,19,2,24,410,438,1001,1389
CRANSTON 0706,540,1,608,1,69,287,4,1078,633,10,1,41,1156,1438,1150,1841
CRANSTON 0726,598,3,852,2,72,122,6,446,643,17,1,36,370,646,1455,1067
CRANSTON 0727,876,2,1255,1,66,177,5,365,507,10,0,18,230,613,2134,765
CRANSTON 0728,509,2,603,1,62,194,10,713,9,0,0,2,2,979,1115,13
CRANSTON 0731,495,1,577,0,77,145,3,774,696,14,2,45,880,999,1073,1637
CUMBERLAND 0801,505,5,694,6,77,188,6,403,512,13,2,38,441,674,1210,1006
CUMBERLAND 0808,667,4,841,4,114,317,5,625,942,18,5,83,942,1061,1516,1990
CUMBERLAND 0812,636,3,879,2,81,145,3,383,687,12,3,38,501,612,1520,1241
EAST GREENWICH 0903,762,0,735,1,105,616,11,824,920,15,0,60,559,1556,1498,1554
EAST PROVIDENCE 1004,780,3,826,6,66,171,4,383,864,18,2,42,549,624,1615,1475
EAST PROVIDENCE 1007,574,2,684,4,58,90,2,281,100,2,1,2,56,431,1264,161
EAST PROVIDENCE 1008,470,4,593,1,34,35,1,197,955,29,3,45,409,267,1068,1441
EAST PROVIDENCE 1015,665,1,975,2,87,165,2,410,369,5,0,14,219,664,1643,607
EXETER 1103,239,1,450,1,80,164,3,484,565,15,1,68,762,731,691,1411
FEDERAL PRECINCT #1,1499,6,1191,18,156,249,13,499,376,11,0,15,30,917,2714,432
FEDERAL PRECINCT #2,1089,4,1084,16,150,249,11,613,261,6,0,1,23,1023,2193,291
FOSTER 1201,144,2,341,0,50,105,1,357,523,17,1,54,705,513,487,1300
GLOCESTER 1303,306,2,694,1,118,150,3,684,136,6,1,13,233,955,1003,389
HOPKINTON 1401,243,1,549,4,89,99,4,431,727,23,2,62,986,623,797,1800
JAMESTOWN 1501,542,1,686,0,53,230,3,319,1112,21,3,51,547,605,1229,1734
