precinct,pri_dem_CLINTON,pri_dem_O'MAILEY,pri_dem_SANDERS,pri_dem_WILSON,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_RUBIO,pri_rep_TRUMP,gen_amc_SKEWES,gen_ame_SKEWES,gen_amr_SKEWES,gen_con_CASTLE,gen_dem_CLINTON,gen_grn_STEIN,gen_ind_MCMULLIN,gen_lib_JOHNSON,gen_rep_TRUMP,dem_primary_total,general_total
ABBEVILLEABBEVILLE NO. 1,104,1,28,1,29,39,103,22,134,165,0,0,2,2,245,1,4,21,610,134,885
ABBEVILLEABBEVILLE NO. 2,193,0,24,1,8,18,46,5,45,75,0,0,1,1,373,0,2,7,303,218,687
ABBEVILLEABBEVILLE NO. 3,105,1,25,0,14,22,42,6,33,49,0,0,2,3,214,2,3,5,284,131,513
ABBEVILLEABBEVILLE NO. 4,53,0,5,0,8,11,36,6,22,69,0,0,0,2,131,1,2,5,279,58,420
ABBEVILLEABSENTEE,354,0,52,4,20,22,101,16,92,117,0,0,2,12,1270,7,8,29,1439,410,2767
ABBEVILLEANTREVILLE,47,0,10,0,19,30,55,7,57,137,0,0,0,1,105,1,3,7,496,57,613
ABBEVILLEBROADMOUTH,27,0,8,2,4,9,31,6,11,60,0,0,0,0,62,1,3,3,215,37,284
ABBEVILLECALHOUN FALLS,260,2,38,3,16,31,39,8,49,98,0,0,2,3,514,2,3,6,407,303,937
ABBEVILLECOLD SPRINGS,34,0,9,0,13,23,53,17,50,75,0,0,0,1,88,3,1,6,396,43,495
ABBEVILLEDONALDS,23,0,10,0,16,11,47,1,23,54,0,0,0,2,44,2,3,2,254,33,307
ABBEVILLEDUE WEST,124,1,41,3,24,30,95,26,73,92,0,0,2,7,233,7,11,13,520,169,793
ABBEVILLEFAILSAFE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ABBEVILLEFAILSAFE PROVISIONAL,7,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,1,9,7,24
ABBEVILLEHALL'S STORE,46,0,15,1,13,13,43,11,32,75,0,0,0,0,136,1,4,2,255,62,398
ABBEVILLEKEOWEE,46,1,20,0,21,15,66,11,42,92,0,0,0,1,109,4,6,4,491,67,615
ABBEVILLELEBANON,48,0,7,0,11,18,42,6,32,72,0,0,1,1,107,2,2,10,309,55,432
ABBEVILLELOWNDESVILLE,37,0,20,0,20,13,77,9,45,123,0,0,0,2,81,2,1,8,483,57,577
ABBEVILLEPROVISIONAL,0,0,0,0,0,3,2,1,1,5,0,0,0,0,15,0,0,0,12,0,27
AIKENABSENTEE,997,3,292,4,187,175,622,298,730,916,0,0,25,27,6217,60,126,242,10117,1296,16814
AIKENAIKEN NO. 1,52,0,41,0,24,39,65,72,109,74,0,0,1,1,164,11,15,30,394,93,616
AIKENAIKEN NO. 2,142,0,37,1,2,7,18,13,21,35,0,0,0,2,402,4,2,11,122,180,543
AIKENAIKEN NO. 3,180,0,52,5,5,10,14,3,15,20,0,0,1,2,560,4,6,10,106,237,689
AIKENAIKEN NO. 4,102,0,37,2,3,2,4,2,9,7,0,0,0,1,255,4,2,3,36,141,301
AIKENAIKEN NO. 47,54,1,41,0,23,39,72,47,99,65,0,0,3,2,182,3,15,24,331,96,560
AIKENAIKEN NO. 5,121,1,49,1,10,9,23,27,58,35,0,0,5,1,274,8,4,13,215,172,520
AIKENAIKEN NO. 6,53,0,49,0,49,38,76,55,138,91,0,0,1,3,195,7,7,28,432,102,673
AIKENANDERSON POND NO. 69,75,0,24,0,36,24,91,103,253,148,0,0,4,2,191,4,12,24,563,99,800
AIKENASCAUGA LAKE NO. 63,61,0,23,0,2,33,53,9,47,98,0,0,0,3,160,2,9,20,364,84,558
AIKENASCAUGA LAKE NO. 84,50,0,19,0,10,47,102,12,70,87,0,0,1,2,158,1,8,13,443,69,626
AIKENBATH,83,0,3,0,3,5,43,2,11,57,0,0,3,0,196,0,3,8,242,86,452
AIKENBEECH ISLAND,118,0,31,0,7,37,82,1,34,94,0,0,1,2,459,6,6,9,414,149,897
AIKENBELVEDERE NO. 44,56,0,29,0,6,26,58,9,53,121,0,0,1,7,257,3,8,23,483,85,782
AIKENBELVEDERE NO. 62,90,0,33,0,9,24,67,12,47,70,0,0,1,5,312,9,3,3,272,123,605
AIKENBELVEDERE NO. 74,34,0,14,0,4,14,44,2,18,54,0,0,0,1,99,1,4,4,230,48,339
AIKENBELVEDERE NO. 9,73,0,38,0,7,34,89,3,57,90,0,0,2,2,395,9,9,28,447,111,892
AIKENBREEZY HILL,88,1,39,1,17,56,130,7,92,146,0,0,1,1,390,11,15,33,807,129,1258
AIKENCAROLINA HEIGHTS,131,0,22,0,5,8,23,3,26,48,0,0,2,2,388,1,9,13,169,153,584
AIKENCEDAR CREEK NO. 64,68,0,20,0,33,33,66,91,232,145,0,0,1,0,147,7,8,14,489,88,666
AIKENCHINA SPRINGS,184,0,35,0,4,18,38,5,19,36,0,0,2,1,465,1,1,8,210,219,688
AIKENCLEARWATER,59,0,12,0,8,11,32,0,15,39,0,0,0,1,147,0,1,3,173,71,325
AIKENCOLLEGE ACRES,54,0,61,0,14,55,97,17,123,128,0,0,3,2,238,9,13,41,590,115,896
AIKENCOUCHTON,88,0,29,1,20,33,81,20,73,97,0,0,0,3,223,3,1,19,420,118,669
AIKENEUREKA,47,0,26,0,11,29,88,14,47,113,0,0,0,3,174,6,7,24,592,73,806
AIKENFAILSAFE,10,0,8,0,1,4,13,0,11,24,0,0,0,0,87,0,0,2,82,18,171
AIKENFAILSAFE PROVISIONAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,1,2,31,0,51
AIKENFOX CREEK NO. 58,48,0,26,0,13,33,126,12,108,121,0,0,1,0,179,2,12,19,610,74,823
AIKENFOX CREEK NO. 73,48,0,16,0,15,60,150,23,136,147,0,0,2,0,158,4,6,32,651,64,853
AIKENGEM LAKES NO. 60,34,0,45,0,18,46,126,44,141,87,0,0,1,2,153,7,18,22,489,79,692
AIKENGEM LAKES NO. 77,58,0,41,0,29,67,113,52,148,90,0,0,0,5,171,8,23,29,543,99,779
AIKENGLOVERVILLE,27,0,15,2,4,27,67,4,55,100,0,0,2,4,111,3,6,15,434,44,575
AIKENGRANITEVILLE,49,0,16,1,11,25,68,5,33,72,0,0,3,2,209,6,4,7,343,66,574
AIKENHAMMOND NO. 48,45,0,22,0,1,17,82,11,45,90,0,0,2,0,165,2,6,8,370,67,553
AIKENHAMMOND NO. 81,58,0,24,0,3,23,79,3,33,94,0,0,0,2,178,1,3,8,360,82,552
AIKENHITCHCOCK NO. 66,44,0,38,0,19,37,63,41,104,107,0,0,1,1,164,4,5,12,375,82,562
AIKENHOLLOW CREEK,50,0,31,0,26,30,55,90,189,97,0,0,0,0,160,4,15,15,422,81,616
AIKENJACKSON,48,0,17,1,11,31,148,10,92,201,0,0,1,2,158,1,3,12,673,66,850
AIKENLANGLEY,19,0,10,0,3,22,90,13,34,103,0,0,2,3,143,5,5,14,457,29,629
AIKENLEVELS NO. 52,68,0,66,1,11,35,61,19,57,82,0,0,0,2,273,5,4,31,372,135,687
AIKENLEVELS NO. 72,48,0,37,0,12,23,43,10,57,44,0,0,0,0,188,10,7,33,282,85,520
AIKENLEVELS NO. 83,22,1,24,0,7,15,18,8,32,22,0,0,0,0,127,5,6,18,150,47,306
AIKENLYNWOOD,28,0,16,0,8,10,82,6,20,93,0,0,2,2,118,5,3,5,359,44,494
AIKENMIDLAND VALLEY NO. 51,83,1,45,1,14,47,125,12,113,156,0,0,0,6,295,7,10,21,734,130,1073
AIKENMIDLAND VALLEY NO. 71,79,0,37,0,10,45,144,11,88,166,0,0,0,4,260,6,7,18,732,116,1027
AIKENMILLBROOK,97,0,42,1,23,55,120,62,153,146,0,0,1,1,243,9,11,40,573,140,878
AIKENMISTY LAKES,109,1,31,0,7,29,123,24,58,149,0,0,0,4,311,5,6,22,585,141,933
AIKENMONETTA,115,0,15,0,26,28,59,11,35,67,0,0,1,2,305,3,5,9,330,130,655
AIKENMONTMORENCI NO. 22,74,1,33,0,18,59,93,27,99,151,0,0,1,4,273,5,9,27,565,108,884
AIKENMONTMORENCI NO. 78,40,0,19,0,8,13,56,23,61,74,0,0,0,2,172,0,6,17,307,59,504
AIKENN. AUGUSTA NO. 25,53,0,35,1,10,25,79,11,61,106,0,0,1,1,264,6,7,28,391,89,698
AIKENN. AUGUSTA NO. 26,64,0,32,0,5,22,68,4,50,65,0,0,2,2,238,5,5,14,293,96,559
AIKENN. AUGUSTA NO. 27,20,0,27,0,21,65,145,34,195,178,0,0,0,2,132,5,9,31,720,47,899
AIKENN. AUGUSTA NO. 28,23,0,34,0,12,40,95,38,118,119,0,0,0,1,147,7,9,28,485,57,677
AIKENN. AUGUSTA NO. 29,43,1,36,1,19,22,88,31,90,92,0,0,1,1,189,10,10,27,422,81,660
AIKENN. AUGUSTA NO. 54,78,0,39,0,7,22,50,5,28,49,0,0,0,2,311,2,9,18,262,117,604
AIKENN. AUGUSTA NO. 55,30,0,30,0,10,25,107,23,73,97,0,0,0,2,142,9,15,25,416,60,609
AIKENN. AUGUSTA NO. 67,31,1,36,0,19,32,106,21,135,136,0,0,1,6,141,5,13,24,511,68,701
AIKENN. AUGUSTA NO. 68,58,0,32,0,20,63,145,33,159,210,0,0,2,1,230,10,19,39,865,90,1166
AIKENN. AUGUSTA NO. 80,14,0,13,0,10,21,59,12,53,48,0,0,0,0,98,4,6,14,322,27,444
AIKENNEW ELLENTON,119,0,31,1,11,20,75,6,49,107,0,0,1,1,394,6,4,16,438,151,860
AIKENNEW HOLLAND,38,0,13,1,4,16,87,7,39,77,0,0,1,5,89,2,3,9,338,52,447
AIKENOAK GROVE,32,0,17,0,7,26,69,5,38,95,0,0,1,2,110,4,5,14,415,49,551
AIKENPERRY,66,0,8,0,8,14,58,7,16,68,0,0,2,1,146,2,9,10,337,74,507
AIKENPINE FOREST,44,0,36,0,6,33,122,11,68,171,0,0,3,1,185,1,17,20,759,80,986
AIKENPROVISIONAL,0,1,3,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,4,4,6
AIKENREDDS BRANCH,48,0,37,0,3,31,77,5,35,90,0,0,1,2,176,3,6,25,388,85,601
AIKENSALLEY,85,1,16,0,6,7,28,5,15,55,0,0,0,2,220,0,3,5,167,102,397
AIKENSANDSTONE NO. 70,78,0,59,1,9,45,66,33,94,111,0,0,0,6,213,4,15,39,443,138,720
AIKENSANDSTONE NO. 79,32,0,26,0,8,18,24,18,46,35,0,0,0,0,125,3,4,18,215,58,365
AIKENSHAWS FORK,33,1,16,0,13,14,35,12,44,57,0,0,1,3,88,2,1,18,271,50,384
AIKENSHILOH,67,1,31,1,9,41,150,10,79,147,0,0,2,5,227,8,5,15,682,100,944
AIKENSILVER BLUFF,187,0,32,0,5,21,64,12,27,103,0,0,0,1,474,5,3,16,391,219,890
AIKENSIX POINTS NO. 35,70,0,36,0,17,28,63,25,80,83,0,0,1,1,236,7,8,22,365,106,640
AIKENSIX POINTS NO. 46,236,1,58,1,2,16,12,1,4,11,0,0,0,1,490,3,1,7,48,296,550
AIKENSLEEPY HOLLOW NO. 65,76,0,40,1,35,77,164,50,175,164,0,0,1,4,218,4,23,31,804,117,1085
AIKENSOUTH AIKEN NO. 75,69,0,45,0,17,33,88,20,142,107,0,0,0,5,262,10,18,19,604,114,918
AIKENSOUTH AIKEN NO. 76,82,0,57,0,39,48,93,77,232,158,0,0,0,4,254,6,31,52,705,139,1052
AIKENTABERNACLE,54,0,12,2,3,20,34,9,15,50,0,0,1,3,171,2,2,9,201,68,389
AIKENTALATHA,88,0,40,0,9,27,106,20,61,115,0,0,0,2,304,4,4,17,524,128,855
AIKENVAUCLUSE,57,0,54,0,15,31,74,9,61,112,0,0,0,3,265,9,9,22,500,111,808
AIKENWAGENER,172,0,35,0,22,32,93,15,53,135,0,0,1,5,447,6,7,11,589,207,1066
AIKENWARD,101,1,24,0,19,26,90,14,59,100,0,0,1,0,298,4,10,15,472,126,800
AIKENWARRENVILLE,44,0,19,0,9,39,118,7,64,195,0,0,3,1,191,6,6,20,692,63,919
AIKENWHITE POND,77,0,20,0,3,3,32,3,21,67,0,0,0,1,193,0,2,5,240,97,441
AIKENWILLOW SPRINGS,39,0,21,0,9,26,106,5,60,140,0,0,1,8,135,7,2,6,527,60,686
AIKENWINDSOR NO. 43,5,0,1,0,11,15,54,7,32,127,0,0,1,1,179,3,8,10,354,6,556
AIKENWINDSOR NO. 82,115,1,46,0,9,13,36,4,25,86,0,0,2,3,206,4,8,13,375,162,611
ALLENDALEABSENTEE,346,1,30,3,2,0,3,1,12,18,0,0,2,5,1203,3,4,7,186,380,1410
ALLENDALEALLENDALE #1,110,1,17,0,2,3,9,2,12,22,0,0,2,3,255,2,2,3,66,128,333
ALLENDALEALLENDALE #2,149,0,11,1,1,0,1,0,0,0,0,0,1,0,302,2,0,3,10,161,318
ALLENDALEFAIRFAX #1,55,0,5,0,5,4,2,0,17,22,0,0,3,0,144,0,4,1,83,60,235
ALLENDALEFAIRFAX #2,178,0,15,1,4,2,6,0,11,10,0,0,2,2,385,2,0,3,56,194,450
ALLENDALEMARTIN,62,1,3,0,0,6,7,3,6,7,0,0,2,1,128,0,1,0,33,66,165
ALLENDALEPROVISIONAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,0,14
ALLENDALESYCAMORE,28,0,3,0,2,8,6,3,10,36,0,0,0,0,49,0,1,2,156,31,208
ALLENDALEULMER,18,0,4,0,2,2,6,0,3,17,0,0,0,0,46,0,0,2,71,22,119
ALLENDALEWOODS,76,0,7,0,3,7,4,3,21,28,0,0,0,0,210,2,0,1,127,83,340
ANDERSONANDERSON 1/1,50,0,44,0,20,19,58,31,64,101,0,0,0,1,257,7,10,18,391,94,684
ANDERSONANDERSON 1/2,46,0,35,0,53,41,92,48,105,100,0,0,2,4,171,4,5,14,479,81,679
ANDERSONANDERSON 2/1,59,0,28,0,43,44,87,42,104,98,0,0,0,3,174,10,20,22,441,87,670
ANDERSONANDERSON 2/2,99,0,68,1,53,58,139,52,126,168,0,0,1,3,399,6,21,36,691,168,1157
ANDERSONANDERSON 3/1,64,0,21,0,4,16,13,3,15,22,0,0,1,0,198,2,6,11,123,85,341
ANDERSONANDERSON 3/2,329,0,57,3,12,19,62,3,42,86,0,0,1,3,773,4,6,9,309,389,1105
ANDERSONANDERSON 4/1,83,1,15,1,5,4,6,2,9,8,0,0,1,1,242,1,2,8,51,100,306
ANDERSONANDERSON 4/2,76,1,22,0,2,1,1,0,8,4,0,0,1,0,288,4,0,3,33,99,329
ANDERSONANDERSON 5/A,60,0,18,0,6,9,10,1,4,16,0,0,0,0,217,3,2,5,78,78,305
ANDERSONANDERSON 5/B,157,0,31,1,6,2,12,0,5,18,0,0,0,1,414,2,6,1,92,189,516
ANDERSONANDERSON 6/1,75,1,60,1,44,46,104,32,91,119,0,0,2,3,284,9,17,35,510,137,860
ANDERSONANDERSON 6/2,46,0,11,0,0,2,5,0,2,5,0,0,0,0,153,1,0,2,21,57,177
ANDERSONAPPLETON-EQUINOX,31,0,6,0,8,4,22,0,8,30,0,0,1,1,171,4,1,9,161,37,348
ANDERSONBARKER'S CREEK-MCADAMS,5,1,3,0,12,18,33,15,25,29,0,0,0,0,24,0,0,1,218,9,243
