precinct,gen_amc_SKEWES,gen_ame_SKEWES,gen_amr_SKEWES,gen_con_CASTLE,gen_dem_CLINTON,gen_grn_STEIN,gen_ind_MCMULLIN,gen_lib_JOHNSON,gen_rep_TRUMP
ANDERSONABSENTEE 1,0,0,6,10,1071,19,36,49,2109
ANDERSONABSENTEE 2,0,0,8,11,1520,24,40,67,3969
ANDERSONABSENTEE 3,0,0,3,9,719,13,28,34,1661
ANDERSONABSENTEE 4,0,0,3,5,1035,14,15,41,1596
ANDERSONFAILSAFE / PROVISIONAL 1,0,0,0,1,53,2,1,3,101
ANDERSONFAILSAFE 1,0,0,0,0,24,1,0,0,21
ANDERSONFAILSAFE 2,0,0,0,0,27,1,0,1,46
ANDERSONFAILSAFE 3,0,0,0,0,17,0,0,2,22
ANDERSONFAILSAFE 4,0,0,1,0,34,0,1,1,14
ANDERSONPROVISIONAL 1,0,0,0,0,1,0,0,0,10
ANDERSONPROVISIONAL 2,0,0,0,0,2,0,0,0,3
ANDERSONPROVISIONAL 3,0,0,0,0,0,0,0,0,4
ANDERSONPROVISIONAL 4,0,0,0,0,1,0,0,0,5
BEAUFORTBLUFFTON 1A,2,0,0,3,311,11,9,28,355
BEAUFORTBLUFFTON 1B,0,0,0,1,156,1,6,19,315
BEAUFORTBLUFFTON 1C,1,0,0,3,216,8,5,24,472
BEAUFORTBLUFFTON 1D,1,0,0,1,284,7,6,28,314
BEAUFORTBLUFFTON 2A,0,0,0,0,190,2,6,13,261
BEAUFORTBLUFFTON 2B,0,0,0,0,211,7,5,25,293
BEAUFORTBLUFFTON 2C,0,0,0,4,333,7,19,44,756
BEAUFORTBLUFFTON 2D,1,0,0,3,340,13,17,33,766
BEAUFORTBLUFFTON 2E,3,0,0,0,310,6,7,21,251
BEAUFORTBLUFFTON 3,0,0,0,0,103,2,2,19,292
BEAUFORTBLUFFTON 4A,1,0,0,0,102,0,5,9,290
BEAUFORTBLUFFTON 4B,0,0,0,1,187,6,7,11,431
BEAUFORTBLUFFTON 4C,2,0,0,0,314,10,11,27,476
BEAUFORTBLUFFTON 4D,0,0,0,0,180,1,1,17,428
BEAUFORTBLUFFTON 5A,0,0,0,0,160,1,1,16,380
BEAUFORTBLUFFTON 5B,0,0,0,0,175,5,7,13,285
BEAUFORTLADYS ISLAND 1A,1,0,0,0,233,4,9,37,411
BEAUFORTLADYS ISLAND 1B,0,0,0,0,282,1,4,23,404
BEAUFORTLADYS ISLAND 2A,3,0,0,4,192,7,7,28,580
BEAUFORTLADYS ISLAND 2B,0,0,0,0,178,6,9,18,380
BEAUFORTLADYS ISLAND 2C,2,0,0,0,151,6,5,23,298
BEAUFORTLADYS ISLAND 3A,0,0,0,2,128,4,6,9,290
BEAUFORTLADYS ISLAND 3B,1,0,0,1,146,11,4,14,364
BEAUFORTLADYS ISLAND 3C,1,0,0,2,128,1,14,12,297
BEAUFORTMOSSY OAKS 1A,0,0,0,2,162,4,4,16,306
BEAUFORTMOSSY OAKS 1B,0,0,0,1,166,3,12,21,383
BEAUFORTMOSSY OAKS 2,1,0,0,1,203,7,5,28,314
BEAUFORTSAINT HELENA 1A,0,0,0,0,406,2,1,14,101
BEAUFORTSAINT HELENA 1B,0,0,0,0,449,2,1,12,137
BEAUFORTSAINT HELENA 1C,2,0,0,1,252,5,9,25,494
BEAUFORTSAINT HELENA 2A,1,0,0,1,340,2,6,7,232
BEAUFORTSAINT HELENA 2B,2,0,0,2,434,3,6,4,148
BEAUFORTSAINT HELENA 2C,0,0,0,4,180,2,5,12,406
BERKELEYABSENTEE 2,0,0,4,5,1164,12,14,61,1221
BERKELEYEMERGENCY 2,0,0,0,0,42,1,2,0,87
BERKELEYFAILSAFE 2,0,0,0,0,3,0,0,2,2
BERKELEYPROVISIONAL 2,0,0,0,0,15,0,0,1,14
DORCHESTERABSENTEE 2,0,0,5,6,1891,15,25,80,1864
DORCHESTEREMERGENCY 2,0,0,0,0,4,0,0,0,8
DORCHESTERPROVISIONAL 2,0,0,0,0,11,0,0,0,10
FLORENCEABSENTEE 2,0,0,9,15,4713,29,42,98,4251
FLORENCEABSENTEE 3,0,0,1,2,1450,8,9,32,1280
FLORENCEABSENTEE 4,0,0,7,6,1007,9,12,20,625
FLORENCEFAILSAFE 2,0,0,0,1,26,0,0,1,11
FLORENCEFAILSAFE 3,0,0,0,0,12,0,0,0,5
FLORENCEFAILSAFE 4,0,0,0,0,22,0,0,0,3
FLORENCEPROVISIONAL 2,0,0,0,0,12,0,0,1,5
FLORENCEPROVISIONAL 3,0,0,0,0,7,0,0,0,8
FLORENCEPROVISIONAL 4,0,0,0,0,2,0,0,0,1
GREENVILLEABSENTEE 1,0,35,0,55,8828,78,221,421,9725
GREENVILLEABSENTEE 2,0,15,0,30,4310,56,130,203,6117
GREENVILLEFAILSAFE 1,0,0,0,0,162,2,4,16,79
GREENVILLEFAILSAFE 2,0,0,0,0,66,0,5,5,41
GREENVILLEFAILSAFE PR,0,1,0,3,386,9,13,41,542
GREENVILLEPROVISIONAL 1,0,0,0,0,45,0,1,9,70
GREENVILLEPROVISIONAL 2,0,0,0,0,25,1,3,1,49
HORRYABSENTEE 2,0,0,2,1,1122,7,7,26,1427
HORRYBROOKSVILLE #1,0,0,3,2,437,8,13,25,1028
HORRYBROOKSVILLE #2,0,0,1,0,184,2,3,9,355
HORRYCAROLINA BAYS,0,0,0,0,272,6,8,19,728
HORRYEMERGENCY 2,0,0,0,0,6,0,0,0,18
HORRYFAILSAFE 2,0,0,0,0,13,0,0,1,6
HORRYNIXONS XROADS #3,0,0,2,2,280,4,4,11,638
KERSHAWABSENTEE 1,0,0,9,16,3002,26,38,71,2854
KERSHAWABSENTEE 2,0,0,2,0,499,3,15,21,815
KERSHAWEMERGENCY 1,0,0,0,0,13,0,0,0,27
KERSHAWEMERGENCY 2,0,0,0,0,1,0,0,0,2
KERSHAWFAILSAFE 1,0,0,0,0,48,2,2,1,69
KERSHAWFAILSAFE 2,0,0,0,0,6,0,0,1,14
LANCASTERGOOCH'S CROSS ROADS,0,0,4,0,363,5,4,7,323
LANCASTERPOSSUM HOLLOW,0,0,0,6,462,3,21,42,828
LANCASTERSHELLEY MULLIS,0,0,0,3,383,7,21,49,637
LANCASTERUNIVERSITY,0,0,0,3,239,4,7,34,447
LAURENSABSENTEE 2,0,0,5,9,720,6,7,13,987
LAURENSEMERGENCY 2,0,0,0,0,7,1,0,0,5
LAURENSFAILSAFE 2,0,0,0,0,16,0,0,1,17
LEEEMERGENCY,0,0,0,0,18,0,0,2,10
LEEFAILSAFE,0,0,0,0,1,0,0,0,0
LEEFAILSAFE PROVISIONAL,0,0,0,0,7,0,1,0,1
LEXINGTONBARR ROAD #1,0,0,2,3,165,5,11,20,557
LEXINGTONBARR ROAD #2,0,0,1,10,312,8,35,53,1045
LEXINGTONCAYCE WARD 2-A,0,0,3,2,239,5,7,27,429
LEXINGTONCAYCE WARD NO.1,0,0,3,3,356,14,10,49,307
LEXINGTONCAYCE WARD NO.2,0,0,2,4,511,10,12,27,327
LEXINGTONCAYCE WARD NO.3,0,0,0,0,160,6,10,19,244
LEXINGTONCONGAREE #1,0,0,2,2,175,7,4,18,733
LEXINGTONCONGAREE #2,0,0,2,0,161,1,5,13,421
LEXINGTONEDMUND #1,0,0,2,4,147,4,9,15,370
LEXINGTONEDMUND #2,0,0,3,7,115,6,9,22,688
LEXINGTONFAILSAFE PROVISIONAL,0,0,0,0,43,1,2,4,78
LEXINGTONGASTON #1,0,0,4,1,113,6,5,15,547
LEXINGTONGASTON #2,0,0,1,1,242,4,12,18,574
LEXINGTONLAKE MURRAY #1,0,0,4,2,194,10,27,42,921
LEXINGTONLAKE MURRAY #2,0,0,2,8,323,8,27,67,1144
LEXINGTONLEAPHART ROAD,0,0,2,3,203,5,16,26,285
LEXINGTONLEXINGTON #3,0,0,1,6,282,7,38,48,837
LEXINGTONLEXINGTON #4,0,0,2,3,449,10,26,78,1017
LEXINGTONMT HEBRON,0,0,0,2,226,9,10,27,473
LEXINGTONOLD BARNWELL RD,0,0,2,3,273,7,17,33,497
LEXINGTONPARK ROAD #1,0,0,0,3,241,9,24,45,616
LEXINGTONPARK ROAD #2,0,0,1,3,139,2,14,17,359
LEXINGTONPELION #1,0,0,0,3,94,8,6,12,586
LEXINGTONPELION #2,0,0,1,0,143,7,7,15,615
LEXINGTONPILGRIM CHURCH,0,0,1,5,317,9,40,65,985
LEXINGTONPINERIDGE #1,0,0,1,2,169,7,8,31,459
LEXINGTONPINERIDGE #2,0,0,1,4,350,8,9,24,681
LEXINGTONRED BANK SOUTH #1,0,0,0,3,213,8,12,26,828
LEXINGTONREDBANK SOUTH #2,0,0,1,5,224,13,11,29,587
LEXINGTONSANDHILL,0,0,2,1,238,7,4,15,522
LEXINGTONST DAVIDS,0,0,0,9,352,20,23,62,1026
LEXINGTONSWANSEA #1,0,0,2,2,304,5,2,16,402
LEXINGTONSWANSEA #2,0,0,1,5,290,5,4,10,473
LEXINGTONW COLUMBIA NO 1,0,0,0,3,197,8,4,17,174
LEXINGTONW COLUMBIA NO 2,0,0,1,0,294,4,0,6,65
LEXINGTONW COLUMBIA NO 3,0,0,0,1,107,4,7,20,225
LEXINGTONW COLUMBIA NO 4,0,0,1,5,305,7,18,27,489
PICKENSABSENTEE 2,0,0,0,1,14,1,0,1,67
PICKENSFAILSAFE 2,0,0,0,0,0,0,0,0,2
RICHLANDABSENTEE 2,0,0,25,37,16497,95,141,247,5545
RICHLANDFAILSAFE 2,0,0,0,0,124,2,1,0,14
RICHLANDPROVISIONAL 2,0,0,0,0,23,0,2,0,18
SPARTANBURGABSENTEE 2,0,0,12,17,3140,29,53,125,5514
SPARTANBURGABSENTEE 3,0,0,3,11,2757,20,23,45,1566
SPARTANBURGABSENTEE 4,0,0,2,4,402,7,4,21,718
SPARTANBURGEMERGENCY 2,0,0,0,0,20,0,0,0,19
SPARTANBURGEMERGENCY 3,0,0,0,0,2,0,0,0,1
SPARTANBURGEMERGENCY 4,0,0,0,0,0,0,0,0,1
SPARTANBURGFAILSAFE 2,0,0,0,0,39,0,0,0,19
SPARTANBURGFAILSAFE 3,0,0,0,1,59,0,1,0,10
SPARTANBURGFAILSAFE 4,0,0,0,0,2,0,1,0,2
SPARTANBURGRIVER RIDGE ELEMENTARY,0,0,1,4,372,13,13,32,726
SUMTERABSENTEE 1,0,0,11,23,7370,36,52,136,4366
SUMTERABSENTEE 2,0,0,1,3,1426,10,10,28,767
SUMTEREMERGENCY 1,0,0,0,0,34,0,0,2,19
SUMTERFAILSAFE 1,0,0,0,0,52,0,0,0,30
SUMTERFAILSAFE 2,0,0,0,0,4,0,0,0,4
UNIONABSENTEE 1,0,0,4,2,522,1,5,19,867
UNIONABSENTEE 2,0,0,0,1,303,3,0,4,287
UNIONFAILSAFE 1,0,0,0,1,53,1,0,0,57
UNIONFAILSAFE 2,0,0,1,0,36,0,0,0,16
UNIONPROVISIONAL 1,0,0,0,0,1,0,0,0,0
UNIONPROVISIONAL 2,0,0,0,0,1,0,0,0,3
YORKABSENTEE 1,13,0,0,23,3428,35,68,204,6044
YORKABSENTEE 2,12,0,0,14,4421,26,73,171,4366
YORKABSENTEE 3,12,0,0,6,3265,28,62,156,3815
YORKABSENTEE 4,3,0,0,2,506,4,8,39,890
YORKFAILSAFE 1,0,0,0,1,39,1,0,6,74
YORKFAILSAFE 2,0,0,0,0,14,0,2,1,17
YORKFAILSAFE 3,0,0,0,0,19,0,0,0,14
YORKFAILSAFE 4,0,0,0,0,1,0,0,0,4
YORKFAILSAFE PROV 1,1,0,0,2,235,7,6,24,310
YORKPROVISIONAL 1,0,0,0,0,26,0,0,3,57
YORKPROVISIONAL 2,0,0,0,0,38,0,0,4,38
YORKPROVISIONAL 3,0,0,0,0,23,1,0,1,32
YORKPROVISIONAL 4,0,0,0,0,1,1,0,0,19
