precinct,pri_dem_CLINTON,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GILMORE,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_NICOLL,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_dem_CASTLE,gen_dem_CLINTON,gen_dem_FOX,gen_dem_FUENTE,gen_dem_HOEFLING,gen_dem_JOHNSON,gen_dem_KENNEDY,gen_dem_KOTLIKOFF,gen_dem_LIMBAUGH,gen_dem_MCMULLIN,gen_dem_SMITH,gen_dem_STEIN,gen_dem_TRUMP,gen_rep_CASTLE,gen_rep_CLINTON,gen_rep_FOX,gen_rep_FUENTE,gen_rep_HOEFLING,gen_rep_JOHNSON,gen_rep_KENNEDY,gen_rep_KOTLIKOFF,gen_rep_LIMBAUGH,gen_rep_MCMULLIN,gen_rep_SCHOENKE,gen_rep_SMITH,gen_rep_STEIN,gen_rep_TRUMP,rep_primary_total,dem_primary_total,general_total
ANDERSONANDERSONVILLE,64,1,39,2,55,3,170,0,0,0,4,24,0,0,1,120,0,304,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,227.0,0.0,0.0,0.0,32.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1222.0,683,104,1500.0
ANDERSONBRICEVILLE,11,1,10,0,4,0,44,0,0,0,0,2,0,0,0,10,0,58,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,243.0,118,22,294.0
ANDERSONBULL RUN,106,5,102,7,79,1,196,1,1,0,1,31,0,0,3,162,1,316,0.0,424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1397.0,7.0,0.0,0.0,3.0,0.0,76.0,2.0,0.0,0.0,2.0,0.0,13.0,6.0,0.0,799,213,1930.0
ANDERSONCLAXTON,94,3,58,5,40,2,187,2,0,0,2,23,0,0,1,118,1,282,3.0,387.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1319.0,0.0,0.0,0.0,2.0,0.0,53.0,0.0,0.0,0.0,5.0,0.0,8.0,5.0,0.0,663,155,1782.0
ANDERSONCLINTON,159,2,94,10,77,0,154,2,0,0,4,44,0,0,3,201,1,326,0.0,0.0,0.0,5.0,0.0,47.0,0.0,0.0,0.0,0.0,19.0,8.0,0.0,0.0,556.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,1330.0,822,255,1971.0
ANDERSONCLINTON HIGH,87,2,39,2,23,0,98,2,0,0,4,23,0,1,1,98,0,191,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,279.0,0.0,2.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,792.0,443,128,1133.0
ANDERSONCLINTON MIDDLE,19,1,26,1,17,1,66,0,0,0,0,5,0,0,0,47,0,107,0.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,453.0,244,46,554.0
ANDERSONDUTCH VALLEY,23,1,21,1,10,1,30,1,0,0,0,3,0,0,1,28,0,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,271.0,150,45,358.0
ANDERSONEMORY VALLEY,216,4,166,19,43,0,141,1,0,0,0,81,0,0,2,218,0,189,0.0,894.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,1034.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,17.0,0.0,15.0,19.0,0.0,694,386,2072.0
ANDERSONFAIRVIEW,25,1,27,2,21,0,78,0,0,0,1,6,0,0,0,53,0,128,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,1.0,117.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,543.0,289,53,682.0
