precinct,gen_dem_CLINTON,gen_ind_CASTLE,gen_ind_FOX,gen_ind_FUENTE,gen_ind_HOEFLING,gen_ind_JOHNSON,gen_ind_KENNEDY,gen_ind_KOTLIKOFF,gen_ind_MCMULLIN,gen_ind_SCHOENKE,gen_ind_SMITH,gen_ind_STEIN,gen_rep_TRUMP,gen_unk_LIMBAUGH
ANDERSONROCKY TOP,91.0,0.0,0.0,4.0,0.0,14.0,2.0,0.0,0.0,0.0,4.0,3.0,303.0,0.0
BEDFORDEARLY VOTING - WRITE-INS,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
BLOUNTPROSPECT,270.0,2.0,0.0,6.0,0.0,39.0,1.0,0.0,6.0,0.0,8.0,7.0,1286.0,0.0
BRADLEYEARLY VOTING - WRITE-INS,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0
CAMPBELL2-2 EAST LAFOLLETTE,185.0,0.0,0.0,5.0,0.0,13.0,1.0,0.0,0.0,0.0,7.0,8.0,542.0,0.0
CAMPBELL2-3 LAFOLLETTE ES,190.0,3.0,0.0,4.0,0.0,23.0,0.0,0.0,0.0,0.0,3.0,0.0,874.0,0.0
CANNONEARLY VOTING - WRITE-INS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
CARTEREARLY VOTING - WRITE-INS,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
CHESTER4-1 WEST CHESTER - CITY,152.0,0.0,0.0,2.0,0.0,19.0,0.0,0.0,9.0,0.0,3.0,2.0,589.0,0.0
CHESTER5-1 EAST CHESTER - CITY,249.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0,3.0,0.0,0.0,0.0,325.0,0.0
COFFEE17 NATIONAL GUARD ARMORY,183.0,0.0,0.0,1.0,0.0,21.0,0.0,0.0,0.0,0.0,2.0,2.0,285.0,0.0
CROCKETT01,47.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,350.0,0.0
CROCKETT02,70.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,384.0,0.0
CROCKETT03,112.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,332.0,0.0
CROCKETT04,69.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,365.0,0.0
CROCKETT05,242.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,0.0
