precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_HAWES,pri_dem_JUDD,pri_dem_LOCKE,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_WILSON,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_GRAY,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_con_CASTLE,gen_dem_CLINTON,gen_dem_GALLEGO,gen_green_STEIN,gen_grn_BARAKA,gen_grn_STEIN,gen_ind_CASTLE,gen_ind_CUBBLER,gen_ind_FOX,gen_ind_HOEFLING,gen_ind_KOTLIKOFF,gen_ind_LEE,gen_ind_MATUREN,gen_ind_MCMULLIN,gen_ind_MOOREHEAD,gen_ind_MORROW,gen_ind_SOLTYSIK,gen_ind_STEFFES,gen_ind_STEIN,gen_ind_VALDIVIA,gen_lib_CORVALAN,gen_lib_JOHNSON,gen_rep_ARRINGTON,gen_rep_HURD,gen_rep_TRUMP,gen_unk_BARRIERE,gen_unk_CASE,gen_unk_CHRISTIE,gen_unk_CRUZ,gen_unk_ERSKINE,gen_unk_KUSHNER,gen_unk_LEAMER,gen_unk_LILLY,gen_unk_RODRIGUEZ,gen_unk_RUBIO,gen_unk_SANDERS,gen_unk_SCHULIN,gen_unk_WALKER,dem_primary_total,general_total
ANDERSON1,54,0,0,0,0,0,20,0,10,23,0,258,0,0,0,4,16,3,72,1,143,1,262,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,18,0,0,742,0,0,0,0,0,0,0,0,0,0,0,0,0,74,1030
ANDERSON10,13,0,0,0,0,0,3,0,1,7,0,103,0,0,0,0,1,0,18,0,56,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,296,0,0,0,0,0,0,0,0,0,0,0,0,0,16,336
ANDERSON11,51,0,0,0,0,0,12,0,2,16,0,193,0,0,0,0,7,1,31,0,98,0,130,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,592,0,0,0,0,0,0,0,0,0,0,0,0,0,63,739
ANDERSON15,20,0,0,0,0,0,13,0,0,12,0,190,0,0,0,0,10,1,41,0,103,0,84,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,514,0,0,0,0,0,0,0,0,0,0,0,0,0,33,606
ANDERSON16,32,0,0,1,0,0,6,0,3,14,0,145,0,0,0,0,3,0,25,0,77,2,78,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,413,0,0,0,0,0,0,0,0,0,0,0,0,0,39,511
ANDERSON17,39,0,0,0,0,0,10,0,3,9,0,126,0,0,0,0,8,0,20,0,89,0,119,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,374,0,0,0,0,0,0,0,0,0,0,0,0,0,49,505
ANDERSON18,48,0,0,0,0,0,15,1,3,33,1,347,1,0,0,4,8,0,51,0,195,2,185,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,0,0,1090,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1297
ANDERSON19,81,1,0,1,0,1,34,3,2,28,1,364,0,0,0,0,4,0,48,0,176,1,264,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,27,0,0,995,0,0,0,0,0,0,0,0,0,0,0,0,0,121,1289
ANDERSON2,50,0,1,0,0,0,18,0,3,38,0,432,0,0,0,1,6,0,62,0,222,1,181,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,22,0,0,1318,0,0,0,0,0,0,0,0,0,0,0,0,0,69,1532
ANDERSON20,39,0,0,0,1,0,14,0,5,13,0,197,0,0,0,1,14,1,39,1,108,0,154,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,0,0,488,0,0,0,0,0,0,0,0,0,0,0,0,0,54,664
ANDERSON21,42,0,0,0,0,0,19,1,5,29,0,314,0,0,0,0,11,1,66,0,186,0,138,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,31,0,0,940,0,0,0,0,0,0,0,0,0,0,0,0,0,62,1121
ANDERSON22,25,0,0,0,0,1,18,1,3,18,0,229,0,0,0,1,1,1,37,0,107,2,107,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,584,0,0,0,0,0,0,0,0,0,0,0,0,0,45,703
ANDERSON23,31,0,0,0,1,0,15,0,0,17,0,259,0,0,1,0,11,1,33,0,161,0,91,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,31,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,47,899
ANDERSON24,10,0,0,0,0,0,4,0,2,14,0,193,0,0,0,2,2,0,24,0,88,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,501,0,0,0,0,0,0,0,0,0,0,0,0,0,14,547
ANDERSON3,38,0,0,0,0,1,7,1,5,16,0,224,1,0,0,0,5,0,57,0,119,0,94,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,0,0,663,0,0,0,0,0,0,0,0,0,0,0,0,0,47,776
ANDERSON4,33,0,0,0,0,0,15,1,0,22,0,284,0,0,0,1,10,0,41,0,129,0,96,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,0,0,869,0,0,0,0,0,0,0,0,0,0,0,0,0,49,985
ANDERSON5,3,0,0,0,0,0,1,0,2,6,0,69,0,1,0,0,0,0,6,0,44,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,4,191
ANDERSON6,96,0,0,0,0,0,15,0,7,8,0,115,0,0,0,0,7,0,36,0,45,0,334,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,348,0,0,0,0,0,0,0,0,0,0,0,0,0,111,698
ANDERSON7,140,0,0,1,0,0,17,1,1,2,0,35,0,0,0,1,2,0,5,0,22,0,452,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,159,588
ANDERSON8,40,0,0,0,0,1,3,0,0,3,0,16,0,0,0,0,0,0,4,0,9,0,98,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,44,150
ANDERSON9,46,0,0,1,0,0,22,0,2,15,1,207,2,1,0,1,7,0,32,1,102,0,146,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,0,0,605,0,0,0,0,0,0,0,0,0,0,0,0,0,69,774
