precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GILMORE,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,pri_rep_WILLIAMS,gen_con_CASTLE,gen_dem_CLINTON,gen_grn_STEIN,gen_ind_FOX,gen_ind_FUENTE,gen_ind_HOEFLING,gen_ind_KENISTON,gen_ind_KOTLIKOFF,gen_ind_MALDONADO,gen_ind_MATUREN,gen_ind_MCMULLIN,gen_ind_MOOREHEAD,gen_ind_SCHOENKE,gen_ind_SOLTYSIK,gen_lib_JOHNSON,gen_rep_TRUMP,dem_primary_total,general_total
"ADAMSCITY OF WISCONSIN DELLS WARDS 5,9",1,0,0,5,0,0,0,0,0,0,0,2,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,14,6,22
ADAMSTOWN OF ADAMS WARDS 1-3,79,0,3,81,0,0,0,86,0,0,1,14,2,3,1,164,0,3,207,4,0,0,0,0,0,0,0,3,1,0,0,22,377,163,617
ADAMSTOWN OF BIG FLATS WARD 1-2,56,0,0,89,0,2,0,66,0,0,2,6,0,3,0,117,0,4,169,4,0,0,0,0,0,0,0,0,0,0,0,10,300,145,487
ADAMSTOWN OF COLBURN WARD 1,6,0,0,17,0,1,0,13,0,0,1,4,0,0,0,37,0,0,42,2,0,0,0,0,0,0,0,0,0,0,0,1,85,23,130
ADAMSTOWN OF DELL PRAIRIE WARD 1-3,93,0,0,146,0,2,1,106,0,0,0,31,0,3,0,187,0,3,303,10,0,0,0,0,0,0,0,1,1,0,0,27,478,239,823
ADAMSTOWN OF JACKSON WARD 1-2,93,0,1,88,0,3,1,82,0,0,0,28,1,1,0,130,0,0,224,3,0,0,0,0,0,0,0,3,0,0,0,15,312,182,557
ADAMSTOWN OF LEOLA WARD 1,6,0,0,13,0,0,0,37,0,0,0,2,1,2,0,39,0,0,18,0,0,0,0,0,0,0,0,0,1,0,0,2,117,19,138
ADAMSTOWN OF LINCOLN WARD 1,25,0,0,24,0,0,0,33,0,0,0,7,0,1,1,40,0,1,77,1,0,1,0,0,0,0,0,0,1,0,0,2,98,49,181
ADAMSTOWN OF MONROE WARD 1,46,0,0,31,0,1,0,25,0,0,0,11,0,0,0,59,0,0,102,0,0,0,0,0,0,0,0,2,0,0,0,4,129,77,237
ADAMSTOWN OF NEW CHESTER WARD 1-3,55,0,0,55,1,2,0,44,0,0,0,9,0,1,0,109,0,1,138,0,0,0,0,0,0,0,0,0,0,0,0,14,247,110,400
ADAMSTOWN OF NEW HAVEN WARD 1,48,0,0,62,0,1,0,38,0,0,2,26,0,1,0,58,0,3,145,4,0,0,0,0,0,0,0,0,0,0,0,9,177,110,338
ADAMSTOWN OF PRESTON WARD 1-2,99,0,2,115,0,1,0,79,0,1,0,25,2,2,0,166,0,3,270,10,0,1,0,0,0,0,0,1,0,0,0,9,397,216,691
ADAMSTOWN OF QUINCY WARD 1-3,97,0,0,95,0,1,0,57,1,0,0,17,0,2,0,143,0,3,272,6,0,0,0,0,0,0,0,0,1,0,0,12,358,192,652
ADAMSTOWN OF RICHFIELD WARD 1,15,0,0,11,0,0,0,8,0,0,0,2,0,0,0,23,0,0,27,0,0,1,0,0,0,0,0,0,0,0,0,2,56,26,86
ADAMSTOWN OF SPRINGVILLE WARD 1-2,72,0,2,98,2,0,0,83,0,0,0,33,1,3,1,155,0,1,223,8,0,0,0,0,0,0,0,0,2,0,0,1,418,172,653
ADAMSTOWN OF STRONGS PRAIRIE WARDS 1-3,68,0,0,102,0,0,0,93,0,0,0,11,1,2,0,138,0,2,212,6,0,0,0,0,0,0,0,0,0,0,0,11,378,170,609
ADAMSVILLAGE OF FRIENDSHIP WARD 1,34,0,1,54,0,1,0,26,0,0,0,7,0,1,0,68,0,1,117,2,0,0,0,0,0,0,0,0,0,0,0,10,155,89,285
