precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GILMORE,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,pri_rep_WILLIAMS
ADAMSCITY OF ADAMS WARD 1,27,0,1,35,1,1,0,27,0,0,1,4,0,1,0,41,0
ADAMSCITY OF ADAMS WARD 2,37,0,0,55,0,0,0,32,0,0,0,5,0,0,0,51,0
ADAMSCITY OF ADAMS WARD 3,31,0,0,18,1,0,0,10,0,0,0,3,0,2,0,20,0
ADAMSCITY OF ADAMS WARD 4,35,0,0,15,1,0,0,14,0,0,1,4,2,1,0,28,0
ADAMSTOWN OF EASTON WARD 1-2,67,0,0,58,0,0,0,71,0,1,0,16,0,0,0,116,0
ADAMSTOWN OF ROME WARDS 1-5,285,0,0,248,0,5,1,330,2,0,2,107,0,1,0,386,0
ASHLANDTOWN OF GORDON WARD 1,7,0,0,5,0,0,0,3,0,0,0,5,0,0,0,13,0
ASHLANDTOWN OF GORDON WARD 2,12,0,0,10,0,0,0,20,0,0,0,5,0,0,0,30,0
ASHLANDTOWN OF MARENGO WARD 1,13,0,0,42,0,0,0,8,0,0,0,6,0,0,0,10,0
ASHLANDTOWN OF MARENGO WARD 2,15,0,0,29,1,3,0,19,0,0,0,5,0,1,0,24,0
ASHLANDTOWN OF MORSE WARD 1,31,0,0,50,0,1,0,25,0,0,0,7,0,0,0,39,0
ASHLANDTOWN OF MORSE WARD 2,4,0,0,8,0,0,0,4,0,0,0,1,0,0,0,14,0
ASHLANDTOWN OF MORSE WARD 3,4,0,0,6,0,0,0,1,0,0,0,2,0,0,0,5,0
ASHLANDTOWN OF PEEKSVILLE WARD 1,1,0,0,14,0,0,0,9,0,0,2,3,0,0,0,11,0
ASHLANDTOWN OF PEEKSVILLE WARD 2,9,0,0,8,0,0,0,7,0,0,0,4,0,0,0,15,0
ASHLANDTOWN OF SANBORN WARD 1,35,0,1,47,0,1,0,2,0,0,0,1,0,0,0,7,0
ASHLANDTOWN OF SANBORN WARD 2,59,0,1,90,0,0,0,12,1,0,0,4,0,0,0,19,0
ASHLANDTOWN OF WHITE RIVER WARD 1,42,0,0,82,4,3,1,106,0,0,1,16,0,3,0,78,0
ASHLANDTOWN OF WHITE RIVER WARD 2,0,0,0,3,0,0,0,25,0,0,0,3,0,0,0,8,0
ASHLANDVILLAGE OF BUTTERNUT WARD 1,2,0,0,4,0,0,0,4,0,0,0,0,0,0,0,8,0
ASHLANDVILLAGE OF BUTTERNUT WARD 2,34,0,0,25,0,0,0,13,0,0,0,3,0,0,0,26,0
BARRONTOWN OF CHETEK WARD 1-2,114,0,0,122,1,0,1,160,0,0,1,41,1,3,1,213,0
BARRONVILLAGE OF NEW AUBURN WARDS 2-3,1,0,0,3,0,0,0,2,0,0,0,0,0,0,0,3,0
BAYFIELDCITY OF BAYFIELD WARDS 1-4,92,0,0,145,1,0,0,13,1,0,1,17,0,3,0,27,0
BAYFIELDCITY OF WASHBURN WARD 1,87,0,1,146,0,0,1,34,0,0,1,26,0,1,0,31,0
BAYFIELDCITY OF WASHBURN WARD 2,26,0,0,87,0,1,1,9,0,0,0,6,0,1,0,17,0
BAYFIELDCITY OF WASHBURN WARD 3,22,0,0,81,0,1,1,8,0,0,0,7,0,1,0,18,0
BAYFIELDCITY OF WASHBURN WARD 4,67,0,0,150,0,0,1,35,0,0,0,19,0,2,0,36,0
BAYFIELDTOWN OF EILEEN WARD 1,44,0,0,56,0,3,0,67,0,0,0,14,0,3,0,60,0
BAYFIELDTOWN OF EILEEN WARD 2,23,0,0,21,0,1,0,19,0,0,0,0,0,3,0,15,0
BROWNCITY OF DE PERE WARD 13,154,0,1,191,1,1,0,214,0,0,0,67,2,6,1,147,0
BROWNCITY OF DE PERE WARD 16,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0
BROWNCITY OF DE PERE WARD 17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BROWNCITY OF DE PERE WARD 18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BROWNCITY OF DE PERE WARD 9,92,0,2,104,1,1,0,134,0,0,1,19,0,3,0,85,0
"BROWNCITY OF DE PERE WARDS 1-2,4",451,0,1,502,4,4,0,577,0,1,2,163,1,11,1,341,0
BROWNCITY OF DE PERE WARDS 14-15,247,0,1,298,2,4,0,452,0,0,2,98,1,6,0,329,0
"BROWNCITY OF DE PERE WARDS 3,5",174,0,0,184,0,0,0,171,1,0,2,75,3,3,0,91,0
BROWNTOWN OF EATON WARD 1-2,108,0,1,134,1,1,0,217,0,0,1,25,0,6,0,199,0
BROWNTOWN OF GLENMORE WARD 1,43,0,1,50,0,3,0,111,0,0,0,8,0,2,0,76,0
BROWNTOWN OF GLENMORE WARD 2,16,0,1,25,1,0,0,58,1,0,0,2,0,0,0,41,0
BROWNTOWN OF GREEN BAY WARD 1-3,119,0,0,143,0,2,0,283,0,0,0,38,1,3,1,256,0
BROWNTOWN OF HOLLAND WARD 1-2,108,0,1,104,2,3,0,235,0,0,0,33,2,7,0,122,0
BROWNTOWN OF HUMBOLDT WARD 1-2,75,0,2,109,0,1,0,182,0,0,0,11,0,2,0,153,0
BROWNTOWN OF LAWRENCE WARD 1-3,170,0,2,189,2,2,1,315,1,0,2,70,1,3,0,222,0
BROWNTOWN OF LAWRENCE WARD 4-6,144,0,1,159,1,5,1,430,0,0,1,73,1,6,0,261,0
BROWNTOWN OF LEDGEVIEW WARD 1,7,0,0,17,0,0,0,20,0,0,0,1,0,0,0,16,0
BROWNTOWN OF LEDGEVIEW WARDS 2-10,468,0,1,499,1,4,1,953,1,0,0,287,4,7,0,570,0
BROWNTOWN OF MORRISON WARD 1-2,46,0,1,100,2,1,0,306,0,0,1,25,0,5,1,149,0
BROWNTOWN OF NEW DENMARK WARD 1-2,86,0,0,117,0,0,1,152,0,0,0,19,1,1,1,139,0
BROWNTOWN OF NEW DENMARK WARD 3,29,0,0,31,0,0,0,55,0,0,0,8,0,0,0,36,0
BROWNTOWN OF PITTSFIELD WARD 1-3,166,0,0,210,0,3,1,396,0,0,0,57,1,7,0,322,0
BROWNTOWN OF ROCKLAND WARD 1,29,0,0,34,0,0,0,96,0,0,1,20,1,1,0,69,0
BROWNTOWN OF ROCKLAND WARD 2-3,88,0,1,97,1,0,0,211,2,0,0,38,2,4,0,127,0
BROWNTOWN OF WRIGHTSTOWN WARD 1,67,0,0,61,1,3,0,185,0,0,0,19,1,3,0,74,0
BROWNTOWN OF WRIGHTSTOWN WARD 2-3,64,0,0,97,1,0,1,196,1,0,0,22,0,1,0,108,0
BROWNVILLAGE OF ALLOUEZ WARD 3,67,0,0,124,0,0,0,97,0,0,0,14,1,3,0,83,0
BROWNVILLAGE OF ALLOUEZ WARD 4,208,0,2,234,1,1,2,254,2,0,0,82,3,4,1,174,0
BROWNVILLAGE OF ASHWAUBENON WARD 7,101,0,1,126,1,1,1,177,1,0,0,48,0,3,0,148,0
BROWNVILLAGE OF ASHWAUBENON WARD 8,142,0,0,144,1,1,0,187,0,0,0,38,0,3,0,166,0
BROWNVILLAGE OF BELLEVUE WARDS 1-4,307,0,2,358,0,2,0,319,0,0,0,60,4,10,0,300,0
BROWNVILLAGE OF BELLEVUE WARDS 5-6,197,0,0,204,1,2,0,347,0,0,1,57,0,11,1,223,0
BROWNVILLAGE OF DENMARK WARD 1-3,111,0,1,179,0,4,0,248,0,1,0,28,0,5,0,163,0
BROWNVILLAGE OF HOBART WARD 1-5,285,0,1,335,0,5,1,615,1,0,0,183,1,8,0,496,0
BROWNVILLAGE OF HOBART WARD 6-9,162,0,2,252,3,0,0,286,0,2,1,58,0,9,1,235,0
BROWNVILLAGE OF HOWARD WARD 1-2,113,0,1,137,2,0,0,188,3,0,0,27,0,1,0,140,0
BROWNVILLAGE OF HOWARD WARD 11-12,194,0,1,201,2,2,1,321,0,1,0,66,0,9,0,258,0
BROWNVILLAGE OF HOWARD WARD 13,101,0,1,112,0,2,0,141,1,0,0,23,0,7,0,117,0
BROWNVILLAGE OF HOWARD WARD 14,25,0,0,23,1,0,2,111,0,0,0,25,0,2,0,49,0
BROWNVILLAGE OF HOWARD WARD 15,117,0,2,109,0,1,0,257,0,0,1,39,1,6,0,138,0
BROWNVILLAGE OF HOWARD WARD 16,42,0,0,37,0,1,0,115,0,0,0,24,0,1,0,74,0
BROWNVILLAGE OF HOWARD WARD 18,40,0,0,71,0,0,0,63,0,0,0,15,0,0,0,56,0
BROWNVILLAGE OF HOWARD WARD 3-4,93,0,1,143,0,1,1,102,0,0,1,14,0,1,0,100,0
BROWNVILLAGE OF HOWARD WARD 5-6,120,0,0,164,2,1,0,180,0,0,0,21,0,2,0,159,0
BROWNVILLAGE OF HOWARD WARD 7-8,208,0,0,220,1,1,0,389,0,0,0,69,0,9,0,263,0
BROWNVILLAGE OF HOWARD WARD 9-10,184,0,0,249,1,2,2,337,0,0,1,52,1,5,0,227,0
"BROWNVILLAGE OF PULASKI WARD 1-3,6",191,0,1,231,2,4,0,297,0,0,0,67,2,6,0,284,0
BROWNVILLAGE OF SUAMICO WARD 5,124,0,0,132,1,2,0,267,0,0,2,49,2,8,0,229,0
BROWNVILLAGE OF SUAMICO WARD 6-8,314,0,0,304,3,5,0,621,0,0,2,117,0,8,1,504,0
BUFFALOCITY OF MONDOVI WARD 1-3,171,0,2,198,4,3,2,171,0,1,1,53,1,3,2,262,0
CALUMETCITY OF BRILLION WARD 1,37,0,0,63,0,0,1,82,0,0,1,9,1,0,0,66,0
CALUMETCITY OF BRILLION WARDS 2-4,115,0,1,148,6,5,1,287,1,0,0,42,3,3,0,171,0
CALUMETCITY OF CHILTON WARD 1,54,0,0,46,1,1,0,95,0,0,0,9,0,0,0,58,0
CALUMETCITY OF CHILTON WARD 3,56,0,0,44,0,1,0,95,0,0,1,16,1,4,0,60,0
CALUMETCITY OF CHILTON WARD 4,57,0,0,49,0,0,1,75,0,0,0,4,0,4,0,53,0
"CALUMETCITY OF CHILTON WARDS 2,5",118,0,0,92,1,0,1,183,0,0,5,23,0,7,0,130,0
CALUMETCITY OF NEW HOLSTEIN WARD 3,73,0,0,75,0,2,0,91,0,0,0,11,0,2,0,48,0
CALUMETCITY OF NEW HOLSTEIN WARD 4,58,0,0,63,0,2,0,109,0,0,0,14,0,1,0,66,0
CALUMETCITY OF NEW HOLSTEIN WARD 5,46,0,1,57,0,2,0,98,0,0,0,16,2,2,0,50,0
CALUMETCITY OF NEW HOLSTEIN WARDS 1-2,68,0,1,52,0,1,1,99,0,0,2,22,1,0,0,66,0
CALUMETTOWN OF CHILTON WARD 1,19,0,0,29,0,0,0,63,0,0,0,10,0,1,0,35,0
CALUMETTOWN OF CHILTON WARD 2,24,0,1,54,0,1,0,117,0,0,0,20,1,2,0,75,0
CALUMETTOWN OF CHILTON WARD 3,2,0,0,5,0,0,0,23,0,0,0,0,0,1,0,9,0
CALUMETTOWN OF HARRISON WARD 10,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,7,0
CALUMETTOWN OF HARRISON WARD 11,47,0,1,106,0,0,0,98,0,0,0,25,0,2,0,43,0
CALUMETTOWN OF HARRISON WARD 12,15,0,0,13,0,0,0,18,0,0,0,1,0,0,0,18,0
CALUMETTOWN OF HARRISON WARDS 7-8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0
CALUMETTOWN OF NEW HOLSTEIN WARD 2,21,0,0,22,1,2,0,55,0,0,0,8,0,1,0,19,0
"CALUMETTOWN OF NEW HOLSTEIN WARDS 1,3",54,0,0,67,1,1,0,167,0,0,0,18,0,2,0,118,0
CALUMETTOWN OF STOCKBRIDGE WARD 3,25,0,0,16,0,0,0,36,0,0,0,5,0,2,1,37,0
CALUMETTOWN OF STOCKBRIDGE WARDS 1-2,72,0,0,87,4,3,2,184,0,0,0,23,1,3,1,156,0
CALUMETVILLAGE OF SHERWOOD WARD 1,23,0,0,29,0,0,0,61,0,0,1,9,1,0,0,25,0
CALUMETVILLAGE OF SHERWOOD WARD 5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
CALUMETVILLAGE OF SHERWOOD WARDS 2-4,190,0,0,246,1,1,0,388,0,0,1,111,0,2,0,235,1
CHIPPEWATOWN OF BLOOMER WARD 1-2,44,0,0,68,1,2,0,158,0,0,1,22,0,2,1,119,0
CHIPPEWATOWN OF EAGLE POINT WARD 1-5,229,0,1,273,0,4,0,324,2,0,0,88,1,4,0,384,0
CHIPPEWATOWN OF EDSON WARD 1-2,69,0,0,50,0,1,0,85,0,0,0,11,0,2,0,70,0
CHIPPEWATOWN OF GOETZ WARD 1-2,46,0,0,75,0,2,1,49,0,0,0,6,0,0,0,100,0
CHIPPEWATOWN OF LAKE HOLCOMBE WARD 1-2,85,0,1,90,0,1,0,133,0,0,0,21,0,4,0,159,0
CHIPPEWATOWN OF SIGEL WARD 1-2,46,0,0,91,1,1,0,102,0,0,1,12,0,0,0,94,0
CHIPPEWATOWN OF TILDEN WARD 1-3,104,0,0,128,0,2,0,202,0,0,1,31,0,2,1,173,0
CHIPPEWATOWN OF WHEATON WARD 1-3,192,0,2,259,2,3,0,293,1,0,1,57,0,5,0,312,1
CHIPPEWAVILLAGE OF CADOTT WARD 1-3,80,0,0,100,2,0,1,87,0,0,0,23,0,2,0,120,0
CLARKCITY OF ABBOTSFORD WARD 2,27,0,0,16,0,0,0,31,0,0,0,5,0,2,0,29,0
CLARKCITY OF ABBOTSFORD WARD 3,11,0,0,26,0,0,0,23,0,0,0,3,0,0,0,32,0
CLARKCITY OF ABBOTSFORD WARD 4,42,0,0,38,0,1,0,56,0,0,0,11,0,0,1,62,0
CLARKCITY OF ABBOTSFORD WARD 5,21,0,0,12,0,0,0,28,0,0,1,4,0,1,0,23,0
CLARKCITY OF COLBY WARD 2,16,0,0,15,1,0,0,35,0,0,0,8,0,1,0,35,0
CLARKCITY OF COLBY WARD 3,19,0,0,20,0,2,0,44,0,0,0,4,0,2,0,38,0
CLARKCITY OF COLBY WARD 4,20,0,0,15,1,1,0,27,1,0,0,9,0,3,0,21,0
CLARKCITY OF GREENWOOD WARD 1,45,0,0,51,1,0,0,57,0,0,0,15,1,3,0,57,0
CLARKCITY OF GREENWOOD WARD 2,40,0,0,34,0,2,0,59,0,1,0,5,0,1,1,49,0
CLARKCITY OF LOYAL WARD 1,24,0,1,30,0,0,1,70,0,0,0,8,0,0,0,47,0
CLARKCITY OF LOYAL WARD 2,33,0,2,52,0,0,1,63,1,0,0,8,0,0,0,59,0
CLARKCITY OF OWEN WARD 1,25,0,0,37,0,3,0,34,1,0,0,6,2,0,1,36,0
CLARKCITY OF OWEN WARD 2,8,0,0,28,0,0,0,13,0,0,0,3,0,0,0,19,0
CLARKCITY OF OWEN WARD 3,21,0,0,32,0,1,0,33,0,1,0,0,0,0,0,24,0
CLARKCITY OF THORP WARD 1,24,0,0,14,1,0,0,35,0,0,0,8,0,1,0,30,0
CLARKCITY OF THORP WARD 2,21,0,0,25,1,1,0,38,0,0,0,2,1,0,0,38,0
CLARKCITY OF THORP WARD 3,34,0,0,20,0,1,0,44,0,0,0,1,1,0,0,32,0
CLARKCITY OF THORP WARD 4,25,0,0,26,1,0,0,34,0,0,2,3,0,1,0,32,0
CLARKTOWN OF COLBY WARD 1,0,0,0,3,0,0,0,5,0,0,0,1,0,0,0,4,0
CLARKTOWN OF COLBY WARD 2,10,0,0,24,0,0,0,60,0,0,0,3,0,2,0,46,0
CLARKTOWN OF COLBY WARD 3,3,0,0,10,0,0,0,7,0,0,0,2,0,1,0,11,0
CLARKTOWN OF EATON WARD 1,20,0,0,35,0,2,0,41,0,0,1,7,0,0,0,49,0
CLARKTOWN OF EATON WARD 2,4,0,0,12,0,0,0,8,0,0,0,1,0,0,0,7,0
CLARKTOWN OF FREMONT WARD 1,27,0,0,50,0,2,0,86,0,0,0,4,0,0,0,65,0
CLARKTOWN OF FREMONT WARD 2,8,0,0,18,0,0,0,29,0,0,0,3,0,0,0,38,0
CLARKTOWN OF GRANT WARD 1,32,0,1,44,1,0,0,42,0,0,0,10,0,1,0,94,0
CLARKTOWN OF GRANT WARD 2,9,0,0,12,0,0,0,15,0,0,0,1,0,0,0,22,0
CLARKTOWN OF GREEN GROVE WARD 1,16,0,0,30,0,1,0,34,0,0,0,3,0,0,0,43,0
CLARKTOWN OF GREEN GROVE WARD 2,1,0,0,4,0,1,0,5,0,0,0,1,0,0,0,5,0
CLARKTOWN OF HEWETT WARD 1,15,0,0,18,0,0,0,19,0,0,0,3,0,1,0,35,0
CLARKTOWN OF HEWETT WARD 2,4,0,0,8,0,1,0,4,0,0,0,1,0,0,0,12,0
CLARKTOWN OF HIXON WARD 1,19,0,0,41,0,0,0,33,0,0,1,5,0,2,0,26,0
CLARKTOWN OF HIXON WARD 2,1,0,0,3,0,0,0,9,0,0,0,0,0,0,0,3,0
CLARKTOWN OF HOARD WARD 1,10,0,0,15,0,0,0,26,0,0,0,3,1,1,0,30,0
CLARKTOWN OF HOARD WARD 2,25,0,0,14,0,0,0,20,0,0,0,3,0,0,0,16,0
CLARKTOWN OF LEVIS WARD 1,12,0,0,10,1,0,0,18,0,0,0,7,0,2,0,35,0
CLARKTOWN OF LEVIS WARD 2,13,0,0,15,0,0,0,19,0,0,0,2,0,0,0,26,0
CLARKTOWN OF LONGWOOD WARD 1,8,0,0,12,0,0,0,19,0,0,0,1,0,0,0,31,0
CLARKTOWN OF LONGWOOD WARD 2,14,0,0,20,0,0,0,23,0,0,0,1,0,0,0,26,0
CLARKTOWN OF LOYAL WARD 1,0,0,0,3,0,0,0,13,0,0,0,1,0,1,0,7,0
CLARKTOWN OF LOYAL WARD 2,7,0,0,36,1,0,0,50,0,0,0,6,2,0,0,47,0
CLARKTOWN OF LYNN WARD 1,13,0,0,14,0,0,0,27,0,0,0,2,0,0,0,22,0
CLARKTOWN OF LYNN WARD 2,13,0,0,21,0,0,0,22,0,0,0,6,0,1,0,30,0
CLARKTOWN OF MAYVILLE WARD 1,18,0,0,25,1,1,0,45,0,0,0,6,1,1,0,42,0
CLARKTOWN OF MAYVILLE WARD 2,10,0,0,8,0,0,0,30,0,0,0,7,0,1,0,38,0
CLARKTOWN OF RESEBURG WARD 1,26,0,0,18,0,0,0,32,0,0,0,8,0,0,0,33,0
CLARKTOWN OF RESEBURG WARD 2,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,1,0
CLARKTOWN OF SHERMAN WARD 1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0
CLARKTOWN OF SHERMAN WARD 2,25,0,0,53,0,0,0,81,0,0,0,4,0,2,0,67,0
CLARKTOWN OF WARNER WARD 1,23,0,0,28,1,1,0,50,0,0,0,13,1,0,0,65,0
CLARKTOWN OF WARNER WARD 2,1,0,0,3,0,0,0,7,0,0,0,2,0,0,0,3,0
CLARKTOWN OF WESTON WARD 1,22,0,0,23,0,0,0,28,0,0,0,4,0,0,0,32,0
CLARKTOWN OF WESTON WARD 2,15,0,0,20,0,0,0,44,0,0,0,6,0,1,0,31,0
CLARKTOWN OF YORK WARD 1,22,0,0,33,0,1,0,42,0,0,0,8,0,0,0,36,0
CLARKTOWN OF YORK WARD 2,11,0,0,10,0,0,0,19,0,0,0,6,0,0,0,24,0
"COLUMBIACITY OF COLUMBUS WARD 1-8,10",362,0,2,687,2,6,1,371,0,0,1,169,3,10,0,287,0
"COLUMBIACITY OF WISCONSIN DELLS WARDS 1-3,6,11",155,0,0,237,0,4,1,107,0,0,0,75,1,3,1,199,0
CRAWFORDTOWN OF CLAYTON WARD 1,15,0,0,50,0,0,0,21,0,0,0,8,0,1,0,24,0
CRAWFORDTOWN OF CLAYTON WARD 2,34,0,0,84,0,0,0,33,0,0,1,9,0,0,0,21,0
CRAWFORDTOWN OF CLAYTON WARD 3,8,0,0,22,0,0,0,5,0,0,0,1,0,0,0,4,0
CRAWFORDTOWN OF EASTMAN WARD 1,26,0,0,30,0,1,0,29,0,0,1,24,1,1,0,31,0
CRAWFORDTOWN OF EASTMAN WARD 2,14,0,1,11,0,1,0,31,0,0,0,7,0,0,0,22,0
CRAWFORDTOWN OF PRAIRIE DU CHIEN WARD 1,53,0,0,54,1,1,1,80,0,0,0,18,0,0,0,79,0
CRAWFORDTOWN OF PRAIRIE DU CHIEN WARD 2,3,0,0,13,0,0,0,7,0,0,0,0,1,0,0,9,0
CRAWFORDTOWN OF WAUZEKA WARD 1,17,0,0,26,0,0,0,9,0,0,1,5,2,0,0,25,0
CRAWFORDTOWN OF WAUZEKA WARD 2,7,0,0,15,0,0,0,17,0,0,0,4,0,0,0,8,0
DANECITY OF FITCHBURG WARD 1-4,445,0,1,864,0,4,2,151,1,0,0,126,3,9,0,136,0
DANECITY OF FITCHBURG WARD 10-14,633,0,2,1034,3,4,0,222,1,0,1,196,0,3,0,144,0
DANECITY OF FITCHBURG WARD 5-9,1013,0,0,1150,2,3,2,344,0,0,3,440,3,8,1,302,0
DANECITY OF FITCHBURG WARDS 15-20,837,0,0,1038,1,2,0,367,0,0,2,346,2,9,0,318,0
"DANECITY OF MIDDLETON WARDS 1-4,9,19-20",691,0,0,895,1,6,0,253,0,0,0,261,2,0,0,229,0
DANECITY OF STOUGHTON WARD 1-2,335,0,3,524,1,5,1,178,0,0,0,130,2,5,1,173,0
"DANECITY OF STOUGHTON WARD 3-4,10-12",299,0,3,493,1,2,0,167,0,0,0,83,1,10,1,127,0
DANECITY OF STOUGHTON WARD 5-6,303,0,1,601,0,3,0,191,2,0,1,84,0,4,1,120,0
DANECITY OF STOUGHTON WARD 7-9,357,0,2,453,1,6,0,211,0,0,2,133,0,8,1,170,0
DANECITY OF SUN PRAIRIE WARD 1-5,697,0,2,1104,7,8,1,474,1,0,2,276,5,21,0,327,0
"DANECITY OF SUN PRAIRIE WARD 10-14,20",599,0,3,1037,3,2,0,371,1,0,2,228,10,7,0,272,0
DANECITY OF SUN PRAIRIE WARD 15-19,660,0,1,950,2,1,0,558,0,0,0,406,2,13,1,345,0
DANECITY OF SUN PRAIRIE WARD 6-9,685,0,1,1005,4,8,1,482,2,0,1,258,3,13,0,353,0
DANECITY OF VERONA WARD 1-5,670,0,1,894,0,1,1,411,0,1,1,332,6,5,1,260,0
DANECITY OF VERONA WARD 6-9,712,0,1,1069,2,4,2,426,1,0,2,274,6,11,0,303,0
DANETOWN OF COTTAGE GROVE WARDS 1-7,419,0,2,656,3,5,2,328,0,1,1,159,1,5,1,297,0
DANETOWN OF CROSS PLAINS WARD 1-3,166,0,3,240,1,1,1,152,0,0,0,89,0,3,0,108,0
DANETOWN OF DUNKIRK WARD 1-6,225,0,1,326,0,1,0,178,0,0,0,82,1,2,0,133,0
DANETOWN OF OREGON WARDS 1-4,392,0,2,588,0,2,0,311,1,0,0,193,5,6,1,209,0
DANETOWN OF SPRINGFIELD WARDS 1-3,250,0,0,340,1,0,2,225,0,0,1,162,0,4,0,177,0
DANETOWN OF VERONA WARD 1-4,227,0,0,325,1,6,0,146,0,0,0,114,0,1,0,175,0
DANETOWN OF VIENNA WARD 1-2,151,0,0,182,0,1,0,154,0,0,0,76,1,1,0,110,0
"DANEVILLAGE OF BROOKLYN WARDS 1,3",66,0,0,156,0,0,0,56,0,0,0,19,1,0,0,50,0
DANEVILLAGE OF DEFOREST WARD 7-13,338,0,2,621,3,4,2,274,0,0,2,125,4,2,0,234,0
"DANEVILLAGE OF DEFOREST WARDS 1-6,14-17",384,0,2,660,0,3,3,337,0,0,2,157,1,8,0,239,0
DANEVILLAGE OF WINDSOR WARDS 1-10,592,0,1,980,3,10,1,543,0,0,1,291,5,11,0,476,0
"DODGECITY OF BEAVER DAM WARD 1,3,5",231,0,1,343,3,1,0,220,1,0,2,64,1,2,0,181,0
"DODGECITY OF BEAVER DAM WARD 2,6",168,0,1,197,1,0,0,174,1,0,0,52,0,3,0,136,0
"DODGECITY OF BEAVER DAM WARD 4,10",99,0,0,211,1,0,0,134,0,0,0,33,1,4,0,99,0
"DODGECITY OF BEAVER DAM WARD 7,12-13",183,0,2,334,1,2,0,174,0,1,0,61,0,6,0,181,0
"DODGECITY OF BEAVER DAM WARD 8,14",129,0,0,200,0,4,0,156,0,0,0,59,0,2,0,116,0
"DODGECITY OF BEAVER DAM WARD 9,11",239,0,0,236,3,2,0,233,1,0,0,115,1,2,0,178,0
DODGECITY OF FOX LAKE WARD 1-3,81,0,1,120,1,4,0,122,0,0,0,32,1,6,0,124,0
DODGECITY OF WAUPUN WARD 1-8,213,0,0,367,5,5,1,449,1,0,0,110,3,15,0,309,0
DODGETOWN OF ASHIPPUN WARD 1-4,115,0,2,165,0,0,0,531,0,1,0,84,2,8,0,232,0
"DODGETOWN OF BEAVER DAM WARD 1-4,7-11",146,0,0,175,1,1,0,253,1,0,0,96,0,4,0,188,0
DODGETOWN OF BEAVER DAM WARD 5-6,128,0,0,143,0,3,0,170,0,0,0,73,0,0,0,168,0
DODGETOWN OF BURNETT WARD 1-2,40,0,0,72,0,1,2,135,0,0,0,32,0,2,0,98,0
DODGETOWN OF CALAMUS WARD 1-2,73,0,1,76,0,0,0,109,0,1,0,35,0,1,0,91,0
DODGETOWN OF CHESTER WARD 1-2,32,0,1,46,0,1,1,98,0,0,0,24,0,0,0,63,0
DODGETOWN OF EMMET WARD 1-2,72,0,0,64,0,2,1,242,0,0,0,59,0,4,0,134,0
DODGETOWN OF FOX LAKE WARD 1-4,79,0,0,77,3,0,0,183,0,0,0,45,1,3,1,150,0
DODGETOWN OF HUBBARD WARD 1-4,112,0,0,120,2,2,0,258,0,0,0,66,1,2,0,186,0
DODGETOWN OF HUBBARD WARD 5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DODGETOWN OF HUSTISFORD WARD 1-2,52,0,0,91,1,4,0,271,0,0,0,37,1,4,0,131,0
