precinct,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP
APACHECORONADO,57,5,13,582
APACHEFLAT TOP,83,2,12,559
APACHEFT. DEFIANCE,1306,39,90,251
APACHEOAK SPRINGS,218,10,17,24
APACHEROUND ROCK,407,5,23,25
APACHEST. JOHNS,195,19,31,761
APACHEWINDOW ROCK,705,34,62,144
LA PAZ064 QUARTZSITE THREE,66,2,9,273
MOHAVE220-LAKE HAVASU SOUTH,3735,145,532,14009
PIMA176,521,13,93,761
PIMA177,1235,51,131,1158
PIMA178,911,31,84,1025
PIMA179,1242,22,91,1549
PIMA180,1125,32,123,1137
PIMA181,1186,28,88,1357
PIMA182,1230,51,110,1316
PIMA183,826,19,76,908
PIMA184,805,12,101,1342
PIMA185,560,18,62,694
PIMA186,131,3,6,109
PIMA187,1213,37,93,1327
PIMA188,786,25,64,1220
PIMA189,744,12,43,349
PIMA190,772,12,28,242
PIMA191,396,9,38,422
PIMA192,1097,29,89,1073
PIMA193,602,6,24,607
PIMA194,1089,18,94,1400
PIMA195,588,12,36,814
PIMA196,6,0,0,0
PIMA197,751,22,73,854
PIMA198,510,20,79,985
PIMA199,820,18,83,1174
PIMA200,341,13,49,601
PIMA201,977,27,84,969
PIMA202,1054,31,114,1280
PIMA203,585,7,26,367
PIMA204,57,1,9,313
PIMA205,938,14,60,1242
PIMA206,146,6,10,194
PIMA207,1115,13,47,1064
PIMA208,423,22,38,534
PIMA209,945,19,60,1141
PIMA210,1225,6,61,593
PIMA211,951,11,62,761
PIMA212,522,12,47,661
PIMA213,108,4,11,83
PIMA214,1209,25,62,879
PIMA215,386,15,42,583
PIMA216,788,17,65,948
PIMA217,1091,23,121,1340
PIMA218,1530,35,159,1408
PIMA219,850,32,102,945
PIMA220,1046,25,91,1291
PIMA221,446,25,58,1099
PIMA222,438,25,54,801
PIMA223,387,5,38,451
PIMA224,1089,48,158,1362
PIMA225,1507,58,134,1433
PIMA226,370,5,31,387
PIMA227,1532,66,201,1825
PIMA228,540,8,36,440
PIMA229,1429,47,235,2841
PIMA230,443,10,29,284
PIMA231,1345,24,133,1327
PIMA232,542,14,38,391
PIMA233,1471,43,77,891
PIMA234,835,35,44,526
PIMA235,1100,23,53,360
PIMA236,445,15,6,88
PIMA237,856,9,41,453
PIMA238,1284,21,82,786
PIMA239,1730,37,86,1093
PIMA240,35,0,3,57
PIMA241,844,10,55,691
PIMA242,719,14,83,883
PIMA243,625,15,40,901
PIMA244,379,12,4,52
PIMA245,927,31,22,165
PIMA246,1144,37,41,118
PIMA247,212,9,7,38
PIMA248,417,6,13,71
PINALAPACHE TRAIL,27,1,4,57
PINALCASA GRANDE N CENTRAL,46,1,5,58
PINALCASA GRANDE SE,57,1,3,34
PINALCOPPER BASIN SOUTHEAST,42,1,5,72
PINALCRUZ PARK,29,0,2,15
PINALEAGLE CREST,115,1,7,156
PINALELOY SOUTH,44,0,1,9
PINALFLORENCE SOUTH,35,0,4,54
PINALGOLD CANYON NORTH,27,1,2,53
PINALORACLE SOUTH,47,1,3,44
PINALQUEEN CREEK SOUTH,36,2,5,73
PINALRANDOLPH,17,0,2,29
PINALSADDLEBROOKE EAST,83,1,5,131
PINALSADDLEBROOKE WEST,95,2,4,134
PINALSILVERBELL,27,1,3,65
YAVAPAI202,2037,95,216,2735
YAVAPAI203,1397,61,130,1992
YAVAPAI204,2268,83,223,3022
YAVAPAI205,115,6,39,518
YAVAPAI206,3,0,1,69
YAVAPAI207,231,7,19,796
YAVAPAI208,176,10,11,441
YAVAPAI209,53,2,5,237
YAVAPAI210,15,0,2,30
YAVAPAI211,3,1,0,23
YAVAPAI212,0,0,0,0
YAVAPAI213,70,0,8,231
YAVAPAI214,113,3,19,344
YAVAPAI215,957,34,105,2437
YAVAPAI216,757,44,81,1049
YAVAPAI218,678,40,74,1290
YAVAPAI219,1181,46,163,3202
YAVAPAI220,9,1,0,14
YAVAPAI221,65,6,4,226
YAVAPAI222,521,44,77,1823
YAVAPAI223,261,20,40,1010
YAVAPAI224,8,2,7,64
YAVAPAI225,1069,46,130,3420
YAVAPAI226,22,2,2,27
YAVAPAI227,2801,143,120,1681
YAVAPAI228,2205,73,101,1762
YAVAPAI229,2209,85,227,3263
YAVAPAI230,1914,139,212,2884
YAVAPAI231,86,5,12,200
YAVAPAI232,909,52,84,888
YAVAPAI233,24,0,0,30
YAVAPAI234,2132,61,273,4514
YAVAPAI235,806,25,99,2636
YAVAPAI236,113,1,9,319
YAVAPAI237,862,45,154,3676
