precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_RUBIO,pri_rep_TRUMP,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP,dem_primary_total,rep_primary_total,dem_general_total,rep_general_total
KENT01-28,119,4,72,2,2,25,9,1,78,513,18,55,435,195,117,513,435
KENT01-29,273,7,156,0,2,53,33,1,162,1190,22,74,857,436,251,1190,857
KENT01-30,32,9,26,1,4,22,9,1,104,149,10,39,487,67,141,149,487
KENT01-31,33,0,27,0,0,5,2,0,21,183,6,19,69,60,28,183,69
KENT01-32,281,5,205,3,4,58,30,2,147,616,9,33,248,491,244,616,248
KENT01-33,45,1,26,1,2,12,6,0,56,184,5,15,182,72,77,184,182
KENT01-34,116,1,114,0,9,43,43,4,144,556,19,66,651,231,243,556,651
KENT02-28,95,2,63,2,1,19,8,2,38,453,16,34,308,160,70,453,308
KENT02-30,24,0,14,0,1,10,6,1,43,108,3,10,154,38,61,108,154
KENT02-31,147,0,83,3,4,23,49,4,137,558,16,44,531,230,220,558,531
KENT02-32,52,0,56,1,3,22,15,3,48,354,14,22,216,108,92,354,216
KENT02-33,80,2,41,2,1,26,27,2,133,410,12,46,474,123,191,410,474
KENT02-34,56,0,35,2,2,22,27,0,93,258,9,21,372,91,146,258,372
KENT03-28,216,3,175,3,6,48,41,6,149,505,16,37,659,394,253,505,659
KENT03-29,625,6,318,6,10,111,93,7,440,846,19,38,684,949,667,846,684
KENT03-30,187,9,153,5,8,67,43,4,287,333,14,31,645,349,414,333,645
KENT03-31,418,9,244,5,5,66,50,8,209,689,18,38,303,671,343,689,303
KENT03-32,255,3,172,7,9,90,37,1,177,464,13,31,334,430,321,464,334
KENT03-33,127,3,97,2,8,55,37,2,201,517,16,71,849,227,305,517,849
KENT03-34,166,2,91,4,5,38,31,2,176,725,23,64,720,259,256,725,720
KENT04-28,285,3,150,1,4,43,29,1,160,773,24,39,518,438,238,773,518
KENT04-31,99,0,45,3,5,24,27,1,65,522,15,43,294,144,125,522,294
KENT04-32,6,0,4,0,0,0,0,0,1,31,0,2,3,10,1,31,3
KENT04-33,192,6,146,5,8,105,68,1,374,465,13,78,870,344,561,465,870
KENT04-34,30,1,25,1,1,20,17,1,62,173,11,24,312,56,102,173,312
KENT05-11,87,1,77,0,4,44,15,4,126,399,19,61,800,165,193,399,800
KENT05-30,51,2,59,1,4,47,17,0,265,194,15,35,849,112,334,194,849
KENT05-34,346,5,192,2,8,152,94,6,474,572,18,53,733,543,736,572,733
KENT06-11,93,7,117,1,2,67,25,0,250,309,20,46,883,217,345,309,883
KENT06-31,403,2,253,3,6,67,50,4,149,813,12,39,238,658,279,813,238
KENT06-32,27,1,22,1,0,2,8,0,35,60,0,9,120,50,46,60,120
KENT06-33,14,0,6,0,0,8,11,0,33,45,5,8,141,20,52,45,141
