precinct,gen_dem_CLINTON,gen_lib_JOHNSON,gen_rep_TRUMP
BARROW08 FIRST BAPTIST CHURCH WINDER,328,79,1444
BROOKSBARWICK,52,2,173
BROOKSBRIGGS,234,22,1003
BROOKSNANKIN,58,8,389
BROOKSPAVO,85,5,249
BRYANPUBLIC SAFETY,392,58,737
BRYANRH RECREATION,512,74,871
CHARLTONFOLKSTON FIRE,48,10,411
CHATHAM1-05 J E A BUILDING,735,89,559
CHATHAM1-06 CENTRAL CHURCH OF CHRIST,563,53,793
CHATHAM1-08 GRACE UNITED METHODIST CHURCH,437,38,599
CHATHAM1-09 IMMANUEL BAPTIST CHURCH,217,10,160
CHATHAM1-10 ST. THOMAS EPISCOPAL CHURCH,199,27,568
CHATHAM1-12 ISLE OF HOPE BAPTIST CENTER,417,54,978
CHATHAM1-14 ST. LUKE UNITED METHODIST CHURCH,391,32,734
CHATHAM1-16 FERGUSON AVE BAPTIST CHURCH,448,59,1329
CHATHAM2-02 BLACKSHEAR COMMUNITY CENTER,634,25,149
CHATHAM2-04 FELLOWSHIP OF LOVE COMMUNITY CHURCH,1537,31,64
CHATHAM2-05 HOLY SPIRIT LUTHERAN CHURCH,953,35,108
CHATHAM2-06 ELI WHITNEY COMPLEX,245,10,37
CHATHAM2-07 CHRIST COMMUNITY CHURCH AT MORNINGSIDE,1278,52,197
CHATHAM2-09 SALVATION ARMY,1553,55,202
CHATHAM2-11 STILLWELL TOWERS,768,29,153
CHATHAM2-12 WILLIAMS COURT,657,40,96
CHATHAM3-03 SAVANNAH HIGH SCHOOL,472,7,58
CHATHAM3-04 1ST AFRICAN BAPTIST CHURCH,772,8,44
CHATHAM3-05 ALDERSGATE YOUTH CENTER,733,48,257
CHATHAM3-09 COKESBURY METHODIST CHURCH,171,12,273
CHATHAM3-11 SOUTHSIDE BAPTIST CHURCH,609,19,152
CHATHAM3-12 THUNDERBOLT MUNICIPAL COMPLEX,552,41,449
CHATHAM3-13 NEW COVENANT SEVENTH DAY ADVENTIST CHURCH,1289,35,455
CHATHAM3-14 OGLETHORPE CHARTER ACADEMY,1063,34,277
CHATHAM4-02 FRANK MURRAY COMMUNITY CENTER,485,57,871
CHATHAM4-04 LIGHTHOUSE BAPTIST CHURCH,423,54,1076
CHATHAM4-05 SAINT FRANCIS EPISCOPAL,437,65,1052
CHATHAM4-06 FIRST BAPTIST CHURCH OF ISLAND,383,60,1023
CHATHAM4-07 WILMINGTON ISLAND METHODIST CHURCH,629,88,1396
CHATHAM4-08 WILMINGTON ISLAND PRESBYTERIAN CHURCH,473,60,1326
CHATHAM4-10 GUARD HOUSE COMMUNITY CENTER,362,32,653
CHATHAM4-11 TYBEE SCHOOL CAFETERIA,446,26,692
CHATHAM4-12 ST. PETERS EPISCOPAL CHURCH,519,45,1213
CHATHAM4-13 SKIDAWAY ISLAND PRESBYTERIAN CHURCH,524,36,1301
CHATHAM5-01 BARTLETT MIDDLE SCHOOL,396,10,133
CHATHAM5-02 SENIOR CITIZENS CENTER,360,8,34
CHATHAM5-03 BUTLER PRESBYTERIAN ED. BUILDING,517,8,11
CHATHAM5-05 LIBERTY CITY COMMUNITY CENTER,1444,14,22
CHATHAM5-06 SEED CHURCH,1010,27,165
CHATHAM5-08 SAVANNAH PRIMITIVE BAPTIST CHURCH,662,32,303
CHATHAM5-10 JONESVILLE BAPTIST CHURCH,1744,17,65
CHATHAM5-11 LARGO TIBET SCHOOL,1107,34,347
CHATHAM6-01 WHITE BLUFF PRESBYTERIAN CHURCH,586,57,375
CHATHAM6-02 WINDSOR FOREST BAPTIST SCHOOL,669,46,914
CHATHAM6-03 CRUSADER COMMUNITY CENTER,871,54,647
CHATHAM6-05 WINDSOR ELEM./ GOLDEN AGE,617,38,387
CHATHAM6-09 TRINITY LUTHERAN CHURCH,1187,94,935
CHATHAM6-10 GEORGETOWN ELEMENTARY,1202,82,1193
CHATHAM6-11 COASTAL GEORGIA BOTANICAL GARDENS,1342,88,779
CHATHAM7-01 GARDEN CITY SENIOR CENTER,318,12,460
CHATHAM7-03 PRESTON B. EDWARDS GYMNASIUM,208,28,521
CHATHAM7-04 LAKESHORE COMMUNITY CENTER,1439,62,700
CHATHAM7-05 WOODLAWN BAPTIST CHURCH,330,21,273
