precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_con_CASTLE,gen_dem_CLINTON,gen_grn_STEIN,gen_ind_FOX,gen_ind_HARTNELL,gen_ind_HOEFLING,gen_ind_KOTLIKOFF,gen_ind_MATUREN,gen_ind_MCMULLIN,gen_ind_MOOREHEAD,gen_lib_JOHNSON,gen_nlp_SOLTYSIK,gen_rep_TRUMP,dem_primary_total,general_total
ALCONAALCONA TOWNSHIP 1,48,0,0,42,3,4,1,61,2,0,1,44,0,0,18,1,141,4,199,2,0,0,0,0,0,0,0,13,0,500,90,718
ALCONACALEDONIA TOWNSHIP 1,53,0,1,34,0,1,1,40,0,0,0,32,1,0,15,0,112,5,178,4,0,0,0,0,0,0,0,14,0,441,88,642
ALCONACURTIS TOWNSHIP 1,72,0,0,63,3,5,0,46,2,0,1,24,0,0,11,0,128,3,214,13,0,0,0,0,0,0,0,8,0,401,135,639
ALCONAGREENBUSH TOWNSHIP 1,67,0,1,66,1,5,1,39,0,0,0,46,0,2,17,1,121,2,256,4,0,0,0,0,0,0,0,22,0,501,134,785
ALCONAGUSTIN TOWNSHIP 1,27,0,0,24,0,0,0,23,0,0,0,18,1,0,5,0,55,1,80,6,0,0,0,0,0,0,0,16,0,249,51,352
ALCONAHARRISVILLE CITY 1 WARD 1,24,1,0,28,1,1,0,17,0,0,0,24,0,0,6,0,21,0,98,4,0,0,0,0,0,0,0,16,0,137,53,255
ALCONAHARRISVILLE TOWNSHIP 1,47,0,0,60,0,5,0,74,0,0,0,61,0,1,20,0,134,3,216,6,0,0,0,0,0,0,0,21,0,541,107,787
ALCONAHAWES TOWNSHIP 1,27,0,0,39,1,1,0,35,0,0,0,15,0,1,9,0,120,2,160,4,0,0,0,0,0,0,0,22,0,417,66,605
ALCONAHAYNES TOWNSHIP 1,26,0,1,33,0,3,0,52,0,0,0,28,0,2,10,1,91,3,121,3,0,0,0,0,0,0,0,14,0,318,60,459
ALCONAMIKADO TOWNSHIP 1,29,0,0,27,3,1,2,38,0,0,0,21,0,0,15,1,103,1,96,4,0,0,0,0,0,0,0,11,0,382,56,494
ALCONAMILLEN TOWNSHIP 1,29,0,2,29,1,1,0,19,0,0,0,8,0,2,6,0,38,2,72,3,0,0,0,0,0,0,0,2,0,135,60,214
ALCONAMITCHELL TOWNSHIP 1,14,0,0,10,0,0,0,16,0,0,0,19,0,0,6,0,47,2,42,1,0,0,0,0,0,0,0,5,0,179,24,229
ALGERAU TRAIN TOWNSHIP 1,56,0,0,70,2,3,0,56,0,0,0,47,0,0,11,0,77,2,199,6,0,0,0,0,0,0,0,28,1,396,126,632
ALGERBURT TOWNSHIP 1,28,0,0,51,0,6,0,16,0,0,0,45,0,0,7,0,53,3,101,6,0,0,0,0,0,0,0,16,0,200,79,326
ALGERGRAND ISLAND TOWNSHIP 1,6,0,0,7,0,0,0,2,0,0,0,0,0,0,1,0,1,0,15,0,0,0,0,0,0,0,0,2,0,9,13,26
ALGERLIMESTONE TOWNSHIP 1,23,0,0,28,0,0,0,18,0,0,0,11,0,0,6,0,33,1,75,3,0,0,0,0,0,0,0,7,0,135,51,221
ALGERMATHIAS TOWNSHIP 1,18,0,0,42,0,1,0,14,1,0,1,13,0,0,4,0,25,1,111,3,0,0,0,0,0,0,0,11,1,108,60,235
ALGERMUNISING CITY 1,100,0,3,161,2,3,0,51,0,0,0,55,0,2,23,0,88,3,441,23,0,0,0,0,0,0,0,42,0,518,264,1027
ALGERMUNISING TOWNSHIP 1,47,0,0,56,0,0,1,40,0,0,0,24,0,0,17,0,69,2,166,6,0,0,0,0,0,0,0,18,0,345,103,537
ALGERMUNISING TOWNSHIP 2,38,0,0,77,0,5,1,39,0,0,0,40,0,2,11,0,94,4,158,6,0,0,0,0,0,0,0,13,0,422,115,603
ALGERONOTA TOWNSHIP 1,23,1,0,32,0,0,0,28,0,0,2,8,0,0,7,0,17,1,121,4,0,0,0,0,0,0,0,13,0,138,56,277
ALGERROCK RIVER TOWNSHIP 1,45,0,0,98,0,2,0,54,0,0,1,38,0,1,12,0,61,2,276,10,0,0,0,0,0,0,0,27,0,314,143,629
ALLEGANALLEGAN CITY 1,60,0,0,83,1,3,0,49,1,0,1,47,0,0,12,0,53,5,283,10,0,0,0,0,0,0,0,32,1,274,143,605
ALLEGANALLEGAN CITY 2,92,1,2,165,2,9,1,124,0,0,2,76,0,2,36,1,115,4,475,32,0,0,0,0,0,1,0,69,3,667,260,1251
