precinct,gen_con_CASTLE,gen_dem_CLINTON,gen_grn_STEIN,gen_ind_FOX,gen_ind_HARTNELL,gen_ind_HOEFLING,gen_ind_KOTLIKOFF,gen_ind_MATUREN,gen_ind_MCMULLIN,gen_ind_MOOREHEAD,gen_lib_JOHNSON,gen_nlp_SOLTYSIK,gen_rep_TRUMP
ALCONA9999,0,0,0,0,0,0,0,16,3,0,0,0,0
ALGER9999,0,0,0,0,0,0,0,0,5,0,0,0,0
ALPENA9999,0,0,0,0,0,0,0,5,5,0,0,10,0
ALPENAALPENA CITY 1,7,488,27,0,0,0,0,0,0,0,60,0,676
ALPENAALPENA CITY 3,3,355,9,0,0,0,0,0,0,0,17,0,406
ALPENAALPENA CITY 4,1,329,15,0,0,0,0,0,0,0,30,0,502
ALPENAALPENA CITY 5,2,390,16,0,0,0,0,0,0,0,33,0,466
ALPENAALPENA CITY 6,5,375,22,0,0,0,0,0,0,0,43,0,549
ALPENAALPENA TOWNSHIP 1,2,280,8,0,0,0,0,0,0,0,22,0,582
ALPENAALPENA TOWNSHIP 2,4,394,10,0,0,0,0,0,0,0,37,0,669
ALPENAALPENA TOWNSHIP 3,3,407,5,0,0,0,0,0,0,0,56,0,680
ALPENAALPENA TOWNSHIP 4,6,230,4,0,0,0,0,0,0,0,20,0,387
ALPENAALPENA TOWNSHIP 5,0,366,8,0,0,0,0,0,0,0,38,0,625
ALPENAGREEN TOWNSHIP 1,5,158,3,0,0,0,0,0,0,0,7,0,454
ALPENALONG RAPIDS TOWNSHIP 1,1,158,0,0,0,0,0,0,0,0,27,0,338
ALPENAMAPLE RIDGE TOWNSHIP 1,5,217,10,0,0,0,0,0,0,0,19,0,569
ALPENAOSSINEKE TOWNSHIP 1,4,181,6,0,0,0,0,0,0,0,26,0,661
ALPENASANBORN TOWNSHIP 1,3,303,10,0,0,0,0,0,0,0,25,0,657
ALPENAWELLINGTON TOWNSHIP 1,0,33,0,0,0,0,0,0,0,0,4,0,89
ALPENAWILSON TOWNSHIP 1,2,213,7,0,0,0,0,0,0,0,34,0,780
ANTRIM9999,0,0,0,0,0,0,0,0,10,0,0,3,0
ANTRIMBANKS TOWNSHIP 1,4,269,12,0,0,0,0,0,0,0,27,0,681
ANTRIMCENTRAL LAKE TOWNSHIP 1,4,404,16,0,0,0,0,0,0,0,47,0,806
ANTRIMCHESTONIA TOWNSHIP 1,2,72,3,0,0,0,0,0,0,0,6,0,158
ANTRIMCUSTER TOWNSHIP 1,6,182,4,0,0,0,0,0,0,0,23,0,447
ANTRIMECHO TOWNSHIP 1,4,144,5,0,0,0,0,0,0,0,23,0,327
ANTRIMELK RAPIDS TOWNSHIP 1,8,719,16,0,0,0,0,0,0,0,59,0,976
ANTRIMFOREST HOME TOWNSHIP 1,4,450,11,0,0,0,0,0,0,0,53,0,723
ANTRIMHELENA TOWNSHIP 1,2,228,4,0,0,0,0,0,0,0,17,0,391
ANTRIMJORDAN TOWNSHIP 1,0,161,6,0,0,0,0,0,0,0,19,0,286
ANTRIMKEARNEY TOWNSHIP 1,1,358,14,0,0,0,0,0,0,0,21,0,636
ANTRIMMANCELONA TOWNSHIP 1,5,236,13,0,0,0,0,0,0,0,34,0,656
ANTRIMMANCELONA TOWNSHIP 2,3,201,4,0,0,0,0,0,0,0,19,0,498
ANTRIMMILTON TOWNSHIP 1,0,549,17,0,0,0,0,0,0,0,53,0,900
ANTRIMSTAR TOWNSHIP 1,3,116,5,0,0,0,0,0,0,0,19,0,361
ANTRIMTORCH LAKE TOWNSHIP 1,1,324,13,0,0,0,0,0,0,0,31,0,489
ANTRIMWARNER TOWNSHIP 1,0,35,3,0,0,0,0,0,0,0,8,0,134
ARENAC9999,0,0,0,0,0,0,0,0,3,0,0,3,0
ARENACADAMS TOWNSHIP 1,1,54,2,0,0,0,0,0,0,0,9,0,185
ARENACARENAC TOWNSHIP 1,0,123,4,0,0,0,0,0,0,0,16,0,280
ARENACAU GRES CITY 1,0,141,1,0,0,0,0,0,0,0,16,0,310
ARENACAU GRES TOWNSHIP 1,0,170,3,0,0,0,0,0,0,0,21,0,376
ARENACCLAYTON TOWNSHIP 1,3,135,5,0,0,0,0,0,0,0,16,0,290
ARENACDEEP RIVER TOWNSHIP 1,3,337,6,0,0,0,0,0,0,0,48,0,644
ARENACLINCOLN TOWNSHIP 1,5,106,1,0,0,0,0,0,0,0,14,0,276
ARENACMASON TOWNSHIP 1,2,86,3,0,0,0,0,0,0,0,9,0,221
ARENACMOFFATT TOWNSHIP 1,4,212,14,0,0,0,0,0,0,0,29,0,442
ARENACOMER CITY 1 WARD 1,0,45,1,0,0,0,0,0,0,0,4,0,79
ARENACSIMS TOWNSHIP 1,0,222,7,0,0,0,0,0,0,0,9,0,415
ARENACSTANDISH CITY 1,0,56,3,0,0,0,0,0,0,0,7,0,101
ARENACSTANDISH CITY 2,1,81,1,0,0,0,0,0,0,0,6,0,137
ARENACSTANDISH CITY 3,1,62,5,0,0,0,0,0,0,0,9,0,107
ARENACSTANDISH TOWNSHIP 1,4,314,2,0,0,0,0,0,0,0,37,0,500
ARENACTURNER TOWNSHIP 1,1,62,1,0,0,0,0,0,0,0,8,0,209
ARENACWHITNEY TOWNSHIP 1,1,178,1,0,0,0,0,0,0,0,12,0,378
BARAGA9999,0,0,0,0,0,1,0,1,2,0,0,2,0
BARAGAARVON TOWNSHIP 1,2,77,3,0,0,0,0,0,0,0,10,0,203
BARAGABARAGA TOWNSHIP 1,3,243,8,0,0,0,0,0,0,0,19,0,280
BARAGABARAGA TOWNSHIP 2,1,64,3,0,0,0,0,0,0,0,6,0,150
BARAGABARAGA TOWNSHIP 3,0,55,1,0,0,0,0,0,0,0,5,0,124
BARAGABARAGA TOWNSHIP 4,1,75,2,0,0,0,0,0,0,0,3,0,157
BARAGACOVINGTON TOWNSHIP 1,1,76,2,0,0,0,0,0,0,0,10,0,158
BARAGALANSE TOWNSHIP 1,7,491,2,0,0,0,0,0,0,0,49,0,1003
BARAGASPURR TOWNSHIP 1,0,75,28,0,0,0,0,0,0,0,4,0,83
BARRY9999,0,0,0,0,0,2,0,0,50,0,0,10,0
BAY9999,0,0,0,0,0,1,0,2,40,0,0,23,0
BAYAUBURN CITY 1,11,392,13,0,0,0,0,0,0,0,52,0,616
BAYBANGOR TOWNSHIP 1,3,381,4,0,0,0,0,0,0,0,27,0,615
BAYBANGOR TOWNSHIP 2,1,511,9,0,0,0,0,0,0,0,44,0,733
BAYBANGOR TOWNSHIP 3,3,507,7,0,0,0,0,0,0,0,47,0,641
BAYBANGOR TOWNSHIP 4,2,459,15,0,0,0,0,0,0,0,24,0,579
BAYBANGOR TOWNSHIP 5,3,675,21,0,0,0,0,0,0,0,63,0,934
BAYBANGOR TOWNSHIP 6,1,562,11,0,0,0,0,0,0,0,63,0,716
BAYBAY CITY 1 WARD 1,8,787,26,0,0,0,0,0,0,0,63,0,644
BAYBAY CITY 1 WARD 2,3,907,25,0,0,0,0,0,0,0,69,0,623
BAYBAY CITY 1 WARD 3,4,746,27,0,0,0,0,0,0,0,57,0,524
BAYBAY CITY 1 WARD 4,5,747,20,0,0,0,0,0,0,0,82,0,559
BAYBAY CITY 1 WARD 5,6,895,17,0,0,0,0,0,0,0,64,0,848
BAYBAY CITY 1 WARD 6,6,667,18,0,0,0,0,0,0,0,63,0,676
BAYBAY CITY 1 WARD 7,3,726,21,0,0,0,0,0,0,0,85,0,735
