precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP
KALAMAZOOKAIAMAZOO 3,278,1,1,324,3,17,1,129,1,0,3,130,1,3,72,2,109
KALAMAZOOPARCHMENT 4,91,0,0,151,1,4,1,67,1,1,1,57,0,1,27,0,53
KALAMAZOOWAKESHMA 2,25,0,1,45,0,3,0,87,0,0,2,41,1,2,16,0,96
MONTCALMGREENVILLE CITY 1-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONTCALMGREENVILLE CITY 1-4,57,0,1,141,2,7,0,88,0,0,1,23,1,1,13,0,55
MONTCALMGREENVILLE CITY 2-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONTCALMGREENVILLE CITY 2-4,78,0,1,137,3,2,1,68,0,1,0,52,0,1,20,0,71
OAKLANDNOVI TWP 1,13,0,0,13,0,0,0,8,0,0,0,21,0,0,7,0,11
OAKLANDROYAL OAK TWP 1,257,0,0,97,0,1,0,0,0,0,0,2,0,0,0,0,0
OAKLANDROYAL OAK TWP 2,263,0,1,96,0,1,0,2,0,0,0,0,0,0,2,0,1
OAKLANDSOUTHFIELD TWP 1,94,0,0,103,3,3,1,30,0,0,1,84,0,0,24,0,52
OAKLANDSOUTHFIELD TWP 10,141,0,0,69,5,2,1,35,0,0,0,119,0,0,43,0,89
OAKLANDSOUTHFIELD TWP 2,129,0,0,127,3,1,0,39,0,0,0,110,0,0,21,0,78
OAKLANDSOUTHFIELD TWP 3,96,0,0,91,3,1,1,48,0,0,1,94,1,0,28,0,55
OAKLANDSOUTHFIELD TWP 4,134,0,0,95,8,1,2,43,3,0,0,243,0,1,40,0,94
OAKLANDSOUTHFIELD TWP 5,209,0,0,153,5,3,1,51,1,0,0,148,1,2,33,0,68
OAKLANDSOUTHFIELD TWP 6,229,0,2,169,12,4,3,78,1,0,2,289,0,0,72,1,147
OAKLANDSOUTHFIELD TWP 7,109,1,1,100,5,2,3,50,0,0,0,145,0,0,29,0,100
OAKLANDSOUTHFIELD TWP 8,201,0,1,102,2,0,0,30,0,0,0,180,1,2,39,0,135
OAKLANDSOUTHFIELD TWP 9,141,0,0,100,3,0,0,40,2,0,0,123,0,1,37,0,86
