precinct,gen_con_TRUMP,gen_dem_CLINTON,gen_grn_STEIN,gen_ind_JOHNSON,gen_lib_JOHNSON,gen_rep_TRUMP,gen_wep_CLINTON,gen_wor_CLINTON
"ALBANY=""100ALBANYW12ED4""",3,235,9,7,2,45,1,1
"ALBANY=""101ALBANYW12ED5""",8,265,11,7,10,103,10,13
"ALBANY=""102ALBANYW12ED6""",5,253,10,1,2,77,2,5
"ALBANY=""103ALBANYW12ED7""",0,2,0,0,0,0,0,0
"ALBANY=""104ALBANYW12ED8""",6,349,13,15,3,80,6,18
"ALBANY=""105ALBANYW13ED1""",3,110,4,5,2,24,0,2
"ALBANY=""106ALBANYW13ED2""",5,246,7,5,4,72,2,14
"ALBANY=""107ALBANYW13ED3""",8,299,14,5,7,52,3,17
"ALBANY=""108ALBANYW13ED4""",6,240,13,8,7,82,6,23
"ALBANY=""109ALBANYW13ED5""",9,269,15,4,5,63,7,19
"ALBANY=""10ALBANYW1ED10""",1,29,0,0,0,4,0,0
"ALBANY=""110ALBANYW13ED6""",7,283,12,6,7,61,7,10
"ALBANY=""111ALBANYW13ED7""",0,17,1,0,0,3,0,0
"ALBANY=""112ALBANYW14ED1""",10,208,3,4,1,86,4,11
"ALBANY=""113ALBANYW14ED2""",21,470,11,17,7,151,5,19
"ALBANY=""114ALBANYW14ED3""",7,314,5,7,2,94,4,14
"ALBANY=""115ALBANYW14ED4""",14,314,6,4,4,93,5,31
"ALBANY=""116ALBANYW14ED5""",8,322,10,10,7,74,5,27
"ALBANY=""117ALBANYW14ED6""",9,338,10,13,4,79,7,20
"ALBANY=""118ALBANYW14ED7""",10,362,14,5,6,58,5,22
"ALBANY=""119ALBANYW14ED8""",6,221,8,1,6,45,3,9
"ALBANY=""11ALBANYW2ED1""",3,306,5,2,2,24,2,3
"ALBANY=""120ALBANYW14ED9""",0,41,2,0,0,6,1,3
"ALBANY=""121ALBANYW15ED1""",1,393,7,2,4,60,0,2
"ALBANY=""122ALBANYW15ED2""",0,16,0,0,0,2,0,0
"ALBANY=""123ALBANYW15ED3""",5,138,0,4,2,49,2,9
"ALBANY=""124ALBANYW15ED4""",5,210,4,2,3,73,1,7
"ALBANY=""125ALBANYW15ED5""",10,262,9,6,1,127,2,7
"ALBANY=""126ALBANYW15ED6""",2,112,4,2,2,42,0,7
"ALBANY=""127ALBANYW15ED7""",6,249,9,12,10,118,8,6
"ALBANY=""128COHOESW1ED1""",15,139,7,4,3,87,0,0
"ALBANY=""129COHOESW1ED2""",11,183,10,3,6,102,1,7
"ALBANY=""12ALBANYW2ED2""",1,152,8,0,0,9,2,5
"ALBANY=""130COHOESW1ED3""",12,151,6,14,6,106,3,7
"ALBANY=""131COHOESW2ED1""",9,170,3,4,5,61,2,9
"ALBANY=""132COHOESW2ED2""",8,151,4,8,2,119,2,10
"ALBANY=""133COHOESW2ED3""",3,33,4,2,1,42,0,2
"ALBANY=""134COHOESW2ED4""",1,1,1,0,1,2,0,0
"ALBANY=""135COHOESW2ED5""",0,0,0,0,0,0,0,0
"ALBANY=""136COHOESW2ED6""",3,73,1,0,1,21,0,1
"ALBANY=""137COHOESW3ED1""",6,113,4,7,2,122,2,2
"ALBANY=""138COHOESW3ED2""",8,129,9,4,0,84,1,4
"ALBANY=""139COHOESW3ED3""",11,125,2,4,3,96,2,2
"ALBANY=""13ALBANYW2ED3""",0,145,2,1,0,3,2,3
"ALBANY=""140COHOESW3ED4""",3,15,0,0,1,18,0,4
"ALBANY=""141COHOESW4ED1""",11,85,3,7,2,94,1,4
"ALBANY=""142COHOESW4ED2""",25,256,6,10,1,170,2,9
"ALBANY=""143COHOESW4ED3""",3,59,1,3,1,37,1,2
"ALBANY=""144COHOESW4ED4""",35,266,11,15,14,236,3,13
"ALBANY=""145COHOESW5ED1""",10,105,3,10,1,90,2,1
"ALBANY=""146COHOESW5ED2""",16,229,8,22,3,192,3,5
"ALBANY=""147COHOESW5ED3""",8,121,3,7,3,112,1,3
"ALBANY=""148COHOESW5ED4""",20,152,3,12,2,138,3,3
"ALBANY=""149COHOESW5ED5""",5,69,3,7,0,42,0,5
"ALBANY=""14ALBANYW2ED4""",3,328,8,3,1,36,2,6
"ALBANY=""150COHOESW6ED1""",10,228,5,7,3,114,2,9
"ALBANY=""151COHOESW6ED2""",6,111,3,8,3,90,2,5
"ALBANY=""152COHOESW6ED3""",13,124,3,7,5,124,1,4
"ALBANY=""153COHOESW6ED4""",10,151,4,7,7,110,1,6
"ALBANY=""154WATERVLIETW1ED1""",27,233,9,17,8,121,3,7
"ALBANY=""155WATERVLIETW1ED2""",12,157,8,6,5,106,1,2
"ALBANY=""156WATERVLIETW1ED3""",14,115,4,11,4,99,1,3
"ALBANY=""157WATERVLIETW2ED1""",7,143,4,5,4,96,2,3
"ALBANY=""158WATERVLIETW2ED2""",9,120,3,3,3,83,1,1
"ALBANY=""159WATERVLIETW2ED3""",2,88,0,1,0,46,0,1
"ALBANY=""15ALBANYW2ED5""",1,223,8,2,3,23,1,12
"ALBANY=""160WATERVLIETW3ED1""",7,82,3,1,0,74,0,2
"ALBANY=""161WATERVLIETW3ED2""",6,105,4,3,1,101,1,2
"ALBANY=""162WATERVLIETW3ED3""",12,165,7,11,4,120,3,5
"ALBANY=""163WATERVLIETW4ED1""",12,131,3,7,5,116,3,3
"ALBANY=""164WATERVLIETW4ED2""",17,91,3,6,0,69,3,6
"ALBANY=""165WATERVLIETW4ED3""",13,167,6,4,2,98,1,2
"ALBANY=""166WATERVLIETW4ED4""",9,178,6,9,7,133,4,0
"ALBANY=""167BERNEED1""",46,173,12,18,5,224,3,8
"ALBANY=""168BERNEED2""",47,288,20,23,17,316,10,16
"ALBANY=""169BERNEED3""",35,109,5,11,2,141,2,6
"ALBANY=""16ALBANYW2ED6""",1,169,33,5,3,22,4,35
"ALBANY=""170BETHLEHEMED1""",19,372,10,25,4,204,6,15
"ALBANY=""171BETHLEHEMED2""",26,635,4,13,10,253,5,18
"ALBANY=""172BETHLEHEMED3""",10,286,8,14,9,121,4,11
"ALBANY=""173BETHLEHEMED4""",17,446,6,19,12,103,7,22
"ALBANY=""174BETHLEHEMED5""",20,426,11,19,11,246,10,11
"ALBANY=""175BETHLEHEMED6""",31,540,20,19,15,240,5,25
"ALBANY=""176BETHLEHEMED7""",12,381,9,11,2,131,8,27
"ALBANY=""177BETHLEHEMED8""",17,446,15,11,5,160,10,32
"ALBANY=""178BETHLEHEMED9""",18,318,9,14,6,138,5,19
"ALBANY=""179BETHLEHEMED10""",7,262,6,9,5,112,3,11
"ALBANY=""17ALBANYW2ED7""",0,3,0,0,0,0,0,1
"ALBANY=""180BETHLEHEMED11""",24,402,17,23,8,167,12,34
"ALBANY=""181BETHLEHEMED12""",37,428,18,20,12,123,10,32
"ALBANY=""182BETHLEHEMED13""",15,436,7,12,15,162,8,25
"ALBANY=""183BETHLEHEMED14""",23,432,3,10,10,75,9,29
"ALBANY=""184BETHLEHEMED15""",25,473,5,6,9,134,3,26
"ALBANY=""185BETHLEHEMED16""",17,240,7,9,13,135,2,15
"ALBANY=""186BETHLEHEMED17""",30,394,18,19,8,254,4,11
"ALBANY=""187BETHLEHEMED18""",44,199,14,13,5,243,4,11
"ALBANY=""188BETHLEHEMED19""",17,382,7,12,8,189,6,19
"ALBANY=""189BETHLEHEMED20""",26,376,14,12,9,215,7,11
"ALBANY=""18ALBANYW2ED8""",1,62,0,0,0,2,1,1
"ALBANY=""190BETHLEHEMED21""",38,373,13,18,6,292,6,9
"ALBANY=""191BETHLEHEMED22""",28,303,6,9,5,165,5,9
"ALBANY=""192BETHLEHEMED23""",30,629,14,31,8,262,4,25
"ALBANY=""193BETHLEHEMED24""",36,547,17,28,17,268,5,17
"ALBANY=""194BETHLEHEMED25""",22,507,14,10,10,173,14,37
"ALBANY=""195BETHLEHEMED26""",24,582,11,28,17,213,10,33
"ALBANY=""196BETHLEHEMED27""",26,264,12,10,10,173,4,6
"ALBANY=""197BETHLEHEMED28""",55,310,8,29,10,292,4,12
"ALBANY=""198BETHLEHEMED29""",10,147,3,7,6,116,2,8
"ALBANY=""199BETHLEHEMED30""",9,126,8,6,4,111,4,4
"ALBANY=""19ALBANYW2ED9""",1,208,5,0,0,8,3,1
"ALBANY=""1ALBANYW1ED1""",2,39,2,5,1,22,0,2
"ALBANY=""200COEYMANSED1""",22,123,4,13,2,117,2,5
"ALBANY=""201COEYMANSED2""",52,234,11,18,5,248,7,14
"ALBANY=""202COEYMANSED3""",85,421,14,28,10,409,8,19
"ALBANY=""203COEYMANSED4""",36,129,6,13,6,208,3,9
"ALBANY=""204COEYMANSED5""",46,161,4,19,9,298,7,3
"ALBANY=""205COEYMANSED6""",59,155,10,14,3,266,3,13
"ALBANY=""206COLONIEED1""",16,426,20,16,11,152,5,12
"ALBANY=""207COLONIEED2""",32,425,10,24,9,199,4,18
"ALBANY=""208COLONIEED3""",13,320,16,19,8,144,3,10
"ALBANY=""209COLONIEED4""",32,436,14,20,11,247,8,16
"ALBANY=""20ALBANYW2ED10""",0,0,0,0,0,0,0,0
"ALBANY=""210COLONIEED5""",15,252,12,13,12,170,9,11
"ALBANY=""211COLONIEED6""",27,405,14,18,9,280,4,13
"ALBANY=""212COLONIEED7""",17,357,8,17,10,278,6,7
"ALBANY=""213COLONIEED8""",24,301,7,21,5,256,4,14
"ALBANY=""214COLONIEED9""",12,291,15,19,4,212,2,8
"ALBANY=""215COLONIEED10""",12,227,8,10,5,178,1,13
"ALBANY=""216COLONIEED11""",36,389,11,14,10,297,8,13
"ALBANY=""217COLONIEED12""",28,240,5,8,3,261,1,6
"ALBANY=""218COLONIEED13""",30,470,6,14,7,275,6,19
"ALBANY=""219COLONIEED14""",21,328,6,17,2,213,2,13
"ALBANY=""21ALBANYW3ED1""",5,262,12,2,8,36,5,13
"ALBANY=""220COLONIEED15""",21,379,13,11,5,199,2,13
"ALBANY=""221COLONIEED16""",22,333,11,13,6,246,3,12
"ALBANY=""222COLONIEED17""",23,218,6,13,1,191,5,11
"ALBANY=""223COLONIEED18""",29,379,10,18,8,329,6,7
"ALBANY=""224COLONIEED19""",27,236,6,22,6,233,6,10
"ALBANY=""225COLONIEED20""",13,227,3,12,7,176,2,14
"ALBANY=""226COLONIEED21""",46,425,8,15,8,267,10,12
