precinct,pri_dem_CLINTON,pri_dem_SANDERS,pri_rep_CARSON,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_TRUMP
ALBANY100ALBANYW12ED4,8,79,0,1,1,10
ALBANY101ALBANYW12ED5,90,87,1,5,7,4
ALBANY102ALBANYW12ED6,101,78,0,0,2,4
ALBANY103ALBANYW12ED7,0,0,0,0,0,0
ALBANY104ALBANYW12ED8,123,148,0,1,11,7
ALBANY105ALBANYW13ED1,50,32,0,2,4,3
ALBANY106ALBANYW13ED2,84,85,0,1,6,5
ALBANY107ALBANYW13ED3,113,127,1,1,8,9
ALBANY108ALBANYW13ED4,76,111,0,3,11,6
ALBANY109ALBANYW13ED5,90,117,0,1,7,8
ALBANY10ALBANYW1ED10,4,3,0,1,0,1
ALBANY110ALBANYW13ED6,63,144,1,2,4,6
ALBANY111ALBANYW13ED7,0,15,0,0,1,0
ALBANY112ALBANYW14ED1,91,85,1,2,7,9
ALBANY113ALBANYW14ED2,153,154,0,12,4,9
ALBANY114ALBANYW14ED3,127,115,0,0,0,1
ALBANY115ALBANYW14ED4,144,128,0,5,12,9
ALBANY116ALBANYW14ED5,137,126,0,4,11,7
ALBANY117ALBANYW14ED6,124,140,0,3,5,7
ALBANY118ALBANYW14ED7,128,123,0,5,8,6
ALBANY119ALBANYW14ED8,68,90,0,2,3,6
ALBANY11ALBANYW2ED1,95,50,0,0,0,1
ALBANY120ALBANYW14ED9,10,17,0,0,1,1
ALBANY121ALBANYW15ED1,20,225,2,1,6,14
ALBANY122ALBANYW15ED2,4,5,0,0,1,0
ALBANY123ALBANYW15ED3,64,52,0,0,3,5
ALBANY124ALBANYW15ED4,71,71,0,1,2,3
ALBANY125ALBANYW15ED5,107,119,0,1,2,7
ALBANY126ALBANYW15ED6,51,41,1,0,1,3
ALBANY127ALBANYW15ED7,116,94,0,3,5,5
ALBANY128COHOESW1ED1,34,52,0,0,1,5
ALBANY129COHOESW1ED2,46,64,0,6,4,6
ALBANY12ALBANYW2ED2,39,21,0,0,1,0
ALBANY130COHOESW1ED3,42,58,1,3,6,10
ALBANY131COHOESW2ED1,46,45,0,2,3,7
ALBANY132COHOESW2ED2,37,57,0,3,7,10
ALBANY133COHOESW2ED3,16,20,0,2,0,1
ALBANY134COHOESW2ED4,0,0,0,0,0,0
ALBANY135COHOESW2ED5,0,0,0,0,0,0
ALBANY136COHOESW2ED6,40,17,0,2,1,2
ALBANY137COHOESW3ED1,68,41,0,3,2,14
ALBANY138COHOESW3ED2,44,41,0,3,5,4
ALBANY139COHOESW3ED3,47,52,0,1,1,2
ALBANY13ALBANYW2ED3,38,15,0,1,0,0
ALBANY140COHOESW3ED4,9,12,0,1,2,1
ALBANY141COHOESW4ED1,44,49,0,3,1,13
ALBANY142COHOESW4ED2,77,73,0,6,9,18
ALBANY143COHOESW4ED3,14,15,0,0,0,0
ALBANY144COHOESW4ED4,86,135,0,11,8,20
ALBANY145COHOESW5ED1,44,47,0,1,3,9
ALBANY146COHOESW5ED2,86,109,0,7,5,11
ALBANY147COHOESW5ED3,42,56,0,4,6,6
ALBANY148COHOESW5ED4,78,74,0,2,4,8
ALBANY149COHOESW5ED5,21,31,0,1,1,3
ALBANY14ALBANYW2ED4,104,54,2,1,2,7
ALBANY150COHOESW6ED1,48,68,0,8,10,9
ALBANY151COHOESW6ED2,35,41,1,2,2,3
ALBANY152COHOESW6ED3,45,71,1,2,1,7
ALBANY153COHOESW6ED4,52,43,0,11,7,13
ALBANY154WATERVLIETW1ED1,53,72,0,6,7,9
ALBANY155WATERVLIETW1ED2,37,69,0,3,3,8
ALBANY156WATERVLIETW1ED3,34,64,0,1,4,7
ALBANY157WATERVLIETW2ED1,38,48,0,2,1,5
ALBANY158WATERVLIETW2ED2,27,45,0,7,2,4
ALBANY159WATERVLIETW2ED3,22,23,0,2,1,2
ALBANY15ALBANYW2ED5,42,61,0,1,3,1
ALBANY160WATERVLIETW3ED1,25,26,0,5,1,5
ALBANY161WATERVLIETW3ED2,31,48,0,2,0,7
ALBANY162WATERVLIETW3ED3,39,44,0,9,4,6
ALBANY163WATERVLIETW4ED1,36,59,0,1,2,4
ALBANY164WATERVLIETW4ED2,26,35,0,4,2,5
ALBANY165WATERVLIETW4ED3,43,59,0,0,3,4
ALBANY166WATERVLIETW4ED4,45,60,0,8,4,8
ALBANY167BERNEED1,34,69,0,14,5,18
ALBANY168BERNEED2,75,105,0,18,11,31
ALBANY169BERNEED3,24,63,0,8,7,12
ALBANY16ALBANYW2ED6,36,96,0,2,3,6
ALBANY170BETHLEHEMED1,96,123,2,6,30,31
ALBANY171BETHLEHEMED2,192,131,1,12,62,41
ALBANY172BETHLEHEMED3,103,75,0,7,39,24
ALBANY173BETHLEHEMED4,129,92,2,14,42,15
ALBANY174BETHLEHEMED5,100,98,1,19,49,40
ALBANY175BETHLEHEMED6,145,143,1,25,45,36
ALBANY176BETHLEHEMED7,92,109,3,15,41,24
ALBANY177BETHLEHEMED8,98,121,2,12,41,27
ALBANY178BETHLEHEMED9,86,104,0,10,23,27
ALBANY179BETHLEHEMED10,59,68,1,7,27,24
ALBANY17ALBANYW2ED7,1,1,0,0,0,0
ALBANY180BETHLEHEMED11,89,142,1,8,31,27
ALBANY181BETHLEHEMED12,125,125,0,12,39,27
ALBANY182BETHLEHEMED13,145,115,2,23,52,37
ALBANY183BETHLEHEMED14,149,140,0,8,24,20
ALBANY184BETHLEHEMED15,145,93,1,6,44,22
ALBANY185BETHLEHEMED16,53,57,1,6,18,18
ALBANY186BETHLEHEMED17,71,103,1,11,25,39
ALBANY187BETHLEHEMED18,30,49,1,11,23,27
ALBANY188BETHLEHEMED19,108,93,2,7,41,37
ALBANY189BETHLEHEMED20,89,102,1,17,27,47
ALBANY18ALBANYW2ED8,15,9,1,0,1,0
ALBANY190BETHLEHEMED21,60,71,1,11,34,47
ALBANY191BETHLEHEMED22,62,49,1,10,30,27
ALBANY192BETHLEHEMED23,156,114,1,20,56,64
ALBANY193BETHLEHEMED24,131,130,1,15,59,59
ALBANY194BETHLEHEMED25,167,141,3,15,56,44
ALBANY195BETHLEHEMED26,170,174,0,13,56,42
ALBANY196BETHLEHEMED27,49,63,0,17,38,43
ALBANY197BETHLEHEMED28,66,68,2,17,42,47
ALBANY198BETHLEHEMED29,39,37,0,6,19,28
ALBANY199BETHLEHEMED30,19,30,0,2,7,22
ALBANY19ALBANYW2ED9,50,24,0,1,0,3
ALBANY1ALBANYW1ED1,14,12,0,2,3,2
ALBANY200COEYMANSED1,14,38,0,7,8,11
ALBANY201COEYMANSED2,44,45,0,13,16,36
ALBANY202COEYMANSED3,74,95,1,17,23,31
ALBANY203COEYMANSED4,26,36,0,14,12,24
ALBANY204COEYMANSED5,33,45,2,12,12,56
ALBANY205COEYMANSED6,35,57,1,12,8,35
ALBANY206COLONIEED1,92,114,0,16,27,15
ALBANY207COLONIEED2,122,93,0,14,18,32
ALBANY208COLONIEED3,83,64,3,10,18,16
ALBANY209COLONIEED4,124,99,2,19,70,61
ALBANY20ALBANYW2ED10,0,0,0,0,0,0
ALBANY210COLONIEED5,54,63,0,16,55,35
ALBANY211COLONIEED6,94,80,1,25,53,47
ALBANY212COLONIEED7,75,84,0,18,26,40
ALBANY213COLONIEED8,60,77,1,8,24,53
ALBANY214COLONIEED9,65,71,0,9,10,43
ALBANY215COLONIEED10,45,57,0,9,15,30
ALBANY216COLONIEED11,71,75,3,17,20,63
ALBANY217COLONIEED12,48,56,0,12,24,43
ALBANY218COLONIEED13,109,72,1,17,47,64
ALBANY219COLONIEED14,61,66,0,5,29,36
ALBANY21ALBANYW3ED1,43,71,0,0,4,7
ALBANY220COLONIEED15,97,80,0,10,30,43
ALBANY221COLONIEED16,50,71,1,13,27,45
ALBANY222COLONIEED17,35,43,1,13,22,33
ALBANY223COLONIEED18,69,62,0,22,36,67
ALBANY224COLONIEED19,31,37,2,7,27,63
ALBANY225COLONIEED20,37,37,1,5,21,38
ALBANY226COLONIEED21,78,70,1,15,31,54
ALBANY227COLONIEED22,88,63,1,14,29,54
ALBANY228COLONIEED23,62,45,0,17,18,61
ALBANY229COLONIEED24,70,61,0,28,23,69
ALBANY22ALBANYW3ED2,1,4,0,0,0,0
ALBANY230COLONIEED25,60,52,1,18,16,54
ALBANY231COLONIEED26,61,59,2,12,37,69
ALBANY232COLONIEED27,42,48,1,12,45,52
ALBANY233COLONIEED28,61,84,2,28,32,69
ALBANY234COLONIEED29,35,45,2,10,27,55
ALBANY235COLONIEED30,70,63,1,19,39,74
ALBANY236COLONIEED31,100,88,2,19,53,61
ALBANY237COLONIEED32,29,47,0,13,21,31
ALBANY238COLONIEED33,23,31,0,15,20,31
ALBANY239COLONIEED34,77,96,0,18,64,74
ALBANY23ALBANYW3ED3,1,4,0,0,0,1
ALBANY240COLONIEED35,89,74,0,21,35,71
ALBANY241COLONIEED36,106,96,3,16,59,90
ALBANY242COLONIEED37,65,46,0,12,27,32
ALBANY243COLONIEED38,58,56,0,9,40,41
ALBANY244COLONIEED39,70,67,0,17,33,52
ALBANY245COLONIEED40,68,24,1,16,36,42
ALBANY246COLONIEED41,123,86,0,12,36,39
ALBANY247COLONIEED42,82,65,2,14,37,65
ALBANY248COLONIEED43,71,85,1,13,40,54
ALBANY249COLONIEED44,55,73,4,11,26,58
ALBANY24ALBANYW3ED4,30,31,1,1,3,0
ALBANY250COLONIEED45,38,70,1,14,18,51
ALBANY251COLONIEED46,74,74,2,17,45,60
ALBANY252COLONIEED47,37,39,1,10,22,26
ALBANY253COLONIEED48,79,86,0,23,34,66
ALBANY254COLONIEED49,41,70,0,8,30,34
ALBANY255COLONIEED50,53,66,0,6,29,49
ALBANY256COLONIEED51,82,104,0,13,54,85
ALBANY257COLONIEED52,50,79,1,17,36,57
ALBANY258COLONIEED53,64,61,0,22,53,43
ALBANY259COLONIEED54,76,74,1,14,59,49
ALBANY25ALBANYW3ED5,23,27,1,0,2,1
ALBANY260COLONIEED55,62,78,1,10,39,51
ALBANY261COLONIEED56,41,41,0,16,21,42
ALBANY262COLONIEED57,77,53,0,14,48,56
ALBANY263COLONIEED58,51,58,0,23,41,46
ALBANY264COLONIEED59,55,72,1,9,48,76
ALBANY265COLONIEED60,34,38,0,16,19,52
ALBANY266COLONIEED61,67,58,1,16,33,31
ALBANY267GREENISLANDED1,62,60,0,2,4,6
ALBANY268GREENISLANDED2,30,43,0,1,0,3
ALBANY269GREENISLANDED3,43,25,0,3,0,1
ALBANY26ALBANYW3ED6,33,17,0,0,1,0
ALBANY270GREENISLANDED4,72,55,0,0,3,2
ALBANY271GUILDERLANDED1,0,1,0,0,0,0
ALBANY272GUILDERLANDED2,5,82,0,1,1,4
ALBANY273GUILDERLANDED3,96,121,0,8,23,23
ALBANY274GUILDERLANDED4,141,175,2,5,41,42
ALBANY275GUILDERLANDED5,54,64,1,13,11,22
ALBANY276GUILDERLANDED6,68,95,0,16,23,27
ALBANY277GUILDERLANDED7,115,107,0,26,36,52
ALBANY278GUILDERLANDED8,81,88,1,9,25,28
ALBANY279GUILDERLANDED9,69,95,1,20,32,38
ALBANY27ALBANYW3ED7,77,42,0,2,1,0
ALBANY280GUILDERLANDED10,97,138,0,12,23,38
ALBANY281GUILDERLANDED11,112,115,0,7,29,34
ALBANY282GUILDERLANDED12,113,85,4,14,54,66
ALBANY283GUILDERLANDED13,100,43,1,9,38,47
ALBANY284GUILDERLANDED14,110,120,2,17,30,39
ALBANY285GUILDERLANDED15,92,80,0,21,30,47
ALBANY286GUILDERLANDED16,51,60,1,12,18,51
ALBANY287GUILDERLANDED17,106,77,1,25,40,38
ALBANY288GUILDERLANDED18,88,96,1,18,51,52
ALBANY289GUILDERLANDED19,59,55,1,12,31,46
ALBANY28ALBANYW3ED8,34,19,0,1,0,0
ALBANY290GUILDERLANDED20,49,55,0,15,24,29
ALBANY291GUILDERLANDED21,68,90,0,9,22,32
ALBANY292GUILDERLANDED22,95,102,2,26,63,65
ALBANY293GUILDERLANDED23,42,35,0,9,32,23
ALBANY294GUILDERLANDED24,62,54,0,20,33,40
ALBANY295GUILDERLANDED25,66,48,1,11,30,39
ALBANY296GUILDERLANDED26,59,60,1,15,31,67
ALBANY297GUILDERLANDED27,33,47,5,12,16,19
ALBANY298GUILDERLANDED28,77,96,0,23,38,54
ALBANY299GUILDERLANDED29,86,95,0,16,40,41
ALBANY29ALBANYW3ED9,16,16,0,1,0,3
ALBANY2ALBANYW1ED2,77,73,0,0,1,3
ALBANY300GUILDERLANDED30,47,57,1,12,18,17
ALBANY301KNOXED1,34,68,1,6,24,33
ALBANY302KNOXED2,36,86,0,16,18,47
ALBANY303KNOXED3,17,45,1,14,10,25
ALBANY304NEWSCOTLANDED1,99,113,0,27,49,53
ALBANY305NEWSCOTLANDED2,33,78,1,17,10,39
ALBANY306NEWSCOTLANDED3,16,33,1,13,18,23
ALBANY307NEWSCOTLANDED4,54,93,0,11,22,27
ALBANY308NEWSCOTLANDED5,74,86,1,14,42,45
ALBANY309NEWSCOTLANDED6,72,70,1,8,12,32
ALBANY30ALBANYW3ED10,44,33,0,2,0,0
ALBANY310NEWSCOTLANDED7,108,101,0,15,23,52
ALBANY311NEWSCOTLANDED8,103,117,2,18,42,39
ALBANY312RENSSELAERVILLEED1,37,73,0,5,10,23
ALBANY313RENSSELAERVILLEED2,24,42,1,13,10,20
ALBANY314RENSSELAERVILLEED3,21,55,0,12,13,23
ALBANY315WESTERLOED1,43,97,1,20,18,49
ALBANY316WESTERLOED2,35,60,0,15,3,24
ALBANY317WESTERLOED3,19,94,1,33,8,23
ALBANY31ALBANYW4ED1,53,20,0,0,0,0
ALBANY32ALBANYW4ED2,26,13,0,0,0,0
ALBANY33ALBANYW4ED3,69,56,1,1,0,4
ALBANY34ALBANYW4ED4,134,96,0,7,2,7
ALBANY35ALBANYW4ED5,105,92,0,7,12,20
ALBANY36ALBANYW4ED6,48,21,0,0,1,0
ALBANY37ALBANYW5ED1,55,19,1,3,1,0
ALBANY38ALBANYW5ED2,38,14,0,0,0,1
ALBANY39ALBANYW5ED3,44,30,0,0,0,0
ALBANY3ALBANYW1ED3,93,84,0,2,3,4
ALBANY40ALBANYW5ED4,22,14,0,0,0,0
ALBANY41ALBANYW5ED5,148,57,0,2,3,2
ALBANY42ALBANYW5ED6,58,38,0,1,0,1
ALBANY43ALBANYW5ED7,47,39,0,1,0,0
ALBANY44ALBANYW6ED1,19,21,0,0,0,3
ALBANY45ALBANYW6ED2,37,67,1,0,2,2
ALBANY46ALBANYW6ED3,70,102,0,1,5,5
ALBANY47ALBANYW6ED4,127,182,0,2,11,8
ALBANY48ALBANYW6ED5,121,180,0,1,11,3
ALBANY49ALBANYW6ED6,78,84,0,0,4,2
ALBANY4ALBANYW1ED4,98,91,1,2,3,1
ALBANY50ALBANYW6ED7,2,4,0,0,0,0
ALBANY51ALBANYW6ED8,106,115,0,1,10,8
ALBANY52ALBANYW7ED1,85,106,1,3,3,3
ALBANY53ALBANYW7ED2,1,0,0,0,0,0
ALBANY54ALBANYW7ED3,59,107,1,3,0,7
ALBANY55ALBANYW7ED4,48,62,0,1,2,1
ALBANY56ALBANYW7ED5,92,112,1,1,1,3
ALBANY57ALBANYW7ED6,15,29,0,1,0,1
ALBANY58ALBANYW7ED7,51,65,1,1,1,3
ALBANY59ALBANYW7ED8,58,72,0,1,1,0
ALBANY5ALBANYW1ED5,3,3,0,0,0,0
ALBANY60ALBANYW8ED1,122,97,1,5,5,12
ALBANY61ALBANYW8ED2,128,143,0,3,5,10
ALBANY62ALBANYW8ED3,32,34,0,0,4,4
ALBANY63ALBANYW8ED4,162,133,1,3,5,7
ALBANY64ALBANYW8ED5,147,107,0,8,6,7
ALBANY65ALBANYW8ED6,162,177,0,3,6,11
ALBANY66ALBANYW8ED7,106,125,0,1,14,5
ALBANY67ALBANYW8ED8,138,122,0,5,10,6
ALBANY68ALBANYW8ED9,32,45,0,4,2,6
ALBANY69ALBANYW9ED1,49,113,0,4,5,2
ALBANY6ALBANYW1ED6,79,70,2,0,0,0
ALBANY70ALBANYW9ED2,40,45,0,0,1,3
ALBANY71ALBANYW9ED3,36,44,0,2,3,5
ALBANY72ALBANYW9ED4,51,103,0,4,3,1
ALBANY73ALBANYW9ED5,102,149,0,5,13,5
ALBANY74ALBANYW9ED6,55,129,0,0,5,4
ALBANY75ALBANYW9ED7,124,144,0,6,8,9
ALBANY76ALBANYW9ED8,81,107,0,2,4,8
ALBANY77ALBANYW9ED9,6,14,0,3,1,3
ALBANY78ALBANYW10ED1,20,49,0,0,3,1
ALBANY79ALBANYW10ED2,23,49,0,2,1,5
ALBANY7ALBANYW1ED7,84,58,0,0,0,2
ALBANY80ALBANYW10ED3,49,83,0,2,4,7
ALBANY81ALBANYW10ED4,24,56,0,0,2,5
ALBANY82ALBANYW10ED5,22,39,0,0,2,3
ALBANY83ALBANYW10ED6,15,48,0,0,2,2
ALBANY84ALBANYW10ED7,51,128,0,2,6,3
ALBANY85ALBANYW10ED8,66,60,0,1,3,7
ALBANY86ALBANYW10ED9,19,39,0,0,2,3
ALBANY87ALBANYW11ED1,0,0,0,0,0,0
ALBANY88ALBANYW11ED2,23,17,0,1,1,3
ALBANY89ALBANYW11ED3,22,55,0,1,2,1
ALBANY8ALBANYW1ED8,12,7,0,0,0,0
ALBANY90ALBANYW11ED4,27,34,0,4,0,4
ALBANY91ALBANYW11ED5,27,56,0,2,0,0
ALBANY92ALBANYW11ED6,87,86,0,4,3,3
ALBANY93ALBANYW11ED7,8,22,0,0,0,3
ALBANY94ALBANYW11ED8,21,32,0,2,0,2
ALBANY95ALBANYW11ED9,3,10,0,1,0,0
ALBANY96ALBANYW11ED10,2,10,0,0,0,1
ALBANY97ALBANYW12ED1,91,81,0,2,5,3
ALBANY98ALBANYW12ED2,129,77,0,7,18,11
ALBANY99ALBANYW12ED3,56,25,1,5,17,8
ALBANY9ALBANYW1ED9,83,78,0,3,2,4
"BRONX=""118/82""",0,0,0,0,0,0
"BRONX=""12/83""",0,0,0,0,0,0
CHENANGONOWRICH CITY WARD 4,21,26,1,14,12,33
"NEW YORK=""40/66""",18,18,0,0,2,1
"NEW YORK=""92/66""",7,0,0,0,1,3
"QUEENS=""31/31""",2,5,0,0,0,2
