precinct,gen_con_CASTLE,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP
10ADAMSPRECINCT1,7,956,9,73,1893
10ADAMSPRECINCT2,4,668,11,61,1572
10ADAMSPRECINCT3,9,751,7,58,1708
10BUFFALOPRECINCT1,2,399,5,37,985
10BUFFALOPRECINCT2,1,368,10,32,988
10BUFFALOPRECINCT3,6,344,4,39,819
10BUTLER11,5,549,26,42,1060
10BUTLER12,5,351,11,36,783
10BUTLER2,2,203,3,32,306
10BUTLER3,5,218,7,21,429
10BUTLER4,5,504,11,61,1158
10BUTLER5,1,412,4,31,715
10BUTLER6NORTH,5,331,10,23,633
10BUTLER6SOUTH,3,359,4,24,812
10BUTLERWARD1,5,473,12,67,683
10BUTLERWARD2,2,194,7,29,294
10BUTLERWARD3,10,265,14,31,398
10BUTLERWARD4-1,3,233,11,24,284
10BUTLERWARD4-2,5,256,6,23,336
10BUTLERWARD5,7,514,18,69,711
10CENTER1,3,469,10,43,1049
10CENTER2,5,474,6,50,1090
10CENTER3,6,379,12,39,1038
10CRANBERRYEAST1,7,663,6,55,1298
10CRANBERRYEAST2,3,503,6,39,1103
10CRANBERRYEAST3,4,647,8,54,1018
10CRANBERRYWEST1,3,685,3,53,1229
10CRANBERRYWEST2,5,645,7,56,877
10CRANBERRYWEST3,10,826,7,66,1354
10CRANBERRYWEST4,6,672,10,69,1008
10CRANBERRYWEST5,7,601,9,64,909
10CRANBERRYWEST6,5,690,9,65,1018
10JEFFERSONI,5,301,8,36,1056
10JEFFERSONII,5,298,4,31,959
10MIDDLESEXNORTH,4,392,7,42,1083
10MIDDLESEXSOUTH,4,503,6,49,1205
10PENNEAST,8,346,5,37,1128
10PENNWEST,7,361,7,50,1046
10SUMMITNORTH,5,206,2,25,612
10SUMMITSOUTH,7,279,12,33,955
10ZELIENOPLE1,3,220,6,22,419
10ZELIENOPLE2,5,289,6,27,443
10ZELIENOPLE3,3,280,4,39,483
11ADAMS1,5,200,5,18,588
11ADAMSDUNLO,0,113,4,9,283
11ADAMSELTON,3,195,2,10,650
11ADAMSGRAMLINGTON,3,86,5,7,345
11ADAMSST.MICHAEL,4,157,4,7,356
11BARRA(SOUTHCONG9),2,168,5,8,876
11BARRB(SOUTHCONG12),0,0,0,0,0
11CAMBRIA1,3,259,9,25,618
11CAMBRIA4,4,203,5,21,562
11CAMBRIACOLVER,3,138,4,15,484
11CAMBRIAREVLOC,1,106,5,18,261
11CONEMAUGHCENTER,3,139,1,8,383
11CONEMAUGHCOVERHILL,1,105,4,15,357
11CRESSONNORTH,2,188,5,14,438
11CRESSONSOUTH,2,148,4,7,383
11CROYLE1,1,133,1,5,444
11CROYLE2,3,152,3,14,419
11EASTCARROLLNORTH,1,56,2,10,118
11EASTCARROLLSOUTH,5,125,3,9,518
11EASTTAYLOR1,1,57,6,4,198
11EASTTAYLOR2,1,74,5,9,161
11EASTTAYLOR3,1,139,3,12,300
11EASTTAYLOR4,1,49,3,10,219
11EBENSBURGWARDCENTER,2,198,7,14,296
11EBENSBURGWARDEAST,0,227,4,8,362
11EBENSBURGWARDWEST,7,257,0,18,400
11GEISTOWN1,1,158,3,14,340
11GEISTOWN2,1,255,3,13,537
11JACKSON1,0,110,0,12,327
11JACKSON3,5,161,2,10,677
11JACKSONVINCO,2,197,6,16,652
11JOHNSTOWNCAMBRIACITY,0,87,5,8,79
11JOHNSTOWNCENTERTOWN1,1,118,0,4,73
11JOHNSTOWNCENTERTOWN2,1,112,2,2,58
11JOHNSTOWNKERNVILLE,0,159,0,5,95
11JOHNSTOWNOLDCONEMAUGH,1,136,1,6,102
11JOHNSTOWNPROSPECT,1,171,1,1,35
11JOHNSTOWNWARD11,0,102,2,4,86
11JOHNSTOWNWARD17-1,1,191,5,9,168
11JOHNSTOWNWARD17-2,4,223,8,13,248
11JOHNSTOWNWARD17-3,0,152,2,7,189
11JOHNSTOWNWARD17-4,2,109,7,1,126
11JOHNSTOWNWARD18,3,134,3,6,199
11JOHNSTOWNWARD19,1,191,2,10,227
11JOHNSTOWNWARD20-1,6,246,2,9,309
11JOHNSTOWNWARD20-2,0,216,5,7,195
11JOHNSTOWNWARD21,0,99,2,5,171
11JOHNSTOWNWARD7,2,354,5,10,181
11JOHNSTOWNWARD8-1,0,36,0,3,26
11JOHNSTOWNWARD8-2,0,119,1,8,152
11JOHNSTOWNWARD8-3,3,291,4,24,448
11LILLYWARD1,1,43,4,1,103
11LILLYWARD2,0,78,1,7,165
11LOWERYODER1,1,221,8,10,439
11LOWERYODER2,3,237,1,13,454
11NANTYGLOWARD1,4,123,6,7,332
11NANTYGLOWARD2,3,223,1,7,388
11NORTHERNCAMBRIAWARD1,2,76,1,5,228
11NORTHERNCAMBRIAWARD2,0,67,1,8,191
11NORTHERNCAMBRIAWARD3A(CONG9),2,94,4,4,242
11NORTHERNCAMBRIAWARD3B(CONG12),0,0,0,0,0
11NORTHERNCAMBRIAWARD4,2,74,0,3,239
11NORTHERNCAMBRIAWARD5,1,96,3,8,202
11PATTONWARD1,1,124,2,3,262
11PATTONWARD2,0,133,3,11,261
11PORTAGECENTER,2,231,7,13,553
11PORTAGESOUTHWEST,5,243,9,22,575
11PORTAGEWARD1,1,77,3,8,154
11PORTAGEWARD2,2,99,2,7,254
11PORTAGEWARD3,0,97,4,6,249
11READENORTH,2,75,3,10,365
11READESOUTH,1,36,0,2,146
11RICHLAND1,3,195,2,16,543
11RICHLAND2,1,280,7,14,613
11RICHLAND3,0,120,2,11,386
11RICHLAND4,2,201,6,11,464
11RICHLAND5,0,237,2,21,484
11RICHLAND6,4,221,10,18,414
11RICHLAND7,2,200,3,26,622
11RICHLAND8,0,154,1,10,320
11RICHLAND9,3,208,3,14,407
11SOUTHMONT1,2,287,9,31,494
11SOUTHMONT2,4,113,4,6,228
11STONYCREEK1,2,146,2,7,263
11STONYCREEK2,1,55,1,1,131
11STONYCREEK3,0,137,2,9,238
11STONYCREEK4,5,142,4,9,290
11SUMMERHILLNORTH,5,117,3,16,446
11SUMMERHILLSOUTH,7,131,2,12,403
11SUSQUEHANNANORTH,1,98,2,8,426
11SUSQUEHANNASOUTH,1,95,2,5,262
11UPPERYODER1,3,241,3,15,624
11UPPERYODER2,5,155,0,9,315
11UPPERYODER3,1,218,5,8,376
11UPPERYODER4,4,205,0,14,360
11WESTCARROLLNORTH,1,60,2,3,182
11WESTCARROLLSOUTH,3,88,1,6,205
11WESTMONT1,1,303,7,31,501
11WESTMONT2,6,364,9,17,773
11WESTMONT3,1,362,4,16,683
12EMPORIUMEAST,1,43,0,5,112
12EMPORIUMMIDDLE,0,71,0,5,171
12EMPORIUMWEST,3,131,1,11,250
12SHIPPENEAST,1,98,0,10,287
12SHIPPENWEST,1,98,2,13,467
13BANKSDISTRICT4,2,138,7,6,336
13EASTPENNNORTH,1,197,3,19,536
13EASTPENNSOUTH,1,166,5,10,431
13FRANKLINDISTRICTFRANKLININD.,4,120,2,8,361
13FRANKLINDISTRICTHARRITY,5,229,0,20,650
13FRANKLINDISTRICTLONGRUN,3,161,9,28,528
13JIMTHORPEDISTRICT1,1,210,11,23,253
13JIMTHORPEDISTRICT2,2,149,6,11,212
13JIMTHORPEDISTRICT3,2,224,1,9,412
13JIMTHORPEDISTRICT4,5,154,3,10,121
13JIMTHORPEDISTRICT5,1,194,9,7,302
13KIDDERDISTRICTNORTH,0,81,4,7,158
13KIDDERDISTRICTSOUTH,2,180,4,5,456
13LANSFORDDISTRICTFIRST,5,223,6,18,347
13LANSFORDDISTRICTMIDDLE,1,143,2,6,221
13LANSFORDDISTRICTWEST,3,126,2,6,224
13LEHIGHTONDISTRICT1,6,266,6,16,416
13LEHIGHTONDISTRICT2,4,230,4,28,373
13LEHIGHTONDISTRICT3,8,237,4,14,364
13LOWERTOWAMENSINGNORTH,3,223,6,32,549
13LOWERTOWAMENSINGSOUTH,3,152,4,23,414
13MAHONINGDISTRICTMAHONING,5,317,13,24,788
13MAHONINGDISTRICTNEWMAHONING,1,96,2,9,302
13MAHONINGDISTRICTPACKER-JAMESTOWN,2,92,5,13,211
13NESQUEHONINGDISTRICTEAST,1,240,4,18,389
13NESQUEHONINGDISTRICTWEST,1,235,5,3,504
13PALMERTONDISTRICTEASTERN,3,232,7,21,497
13PALMERTONDISTRICTMIDDLE,3,399,12,40,647
