precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_RUBIO,pri_rep_TRUMP
10ADAMS,668,5,425,11,10,614,693,16,1564
10BUFFALO,394,14,344,4,9,270,270,6,870
10BUTLER,1715,35,1484,19,44,932,809,28,2667
10CENTER,463,11,369,10,8,416,277,10,1037
10CRANBERRY,1539,22,1053,25,36,1253,1574,45,2923
10JEFFERSON,195,11,166,8,12,296,178,6,649
10MIDDLESEX,259,16,239,10,9,297,242,9,747
10PENN,220,3,196,4,11,286,263,10,797
10SUMMIT,184,13,194,5,13,181,93,7,464
10ZELIENOPLE,217,4,204,8,9,208,203,10,392
11ADAMS,375,26,419,5,6,209,109,5,581
11BARR,91,7,168,1,1,83,29,0,244
11CAMBRIA,370,39,386,4,7,125,85,6,483
11CONEMAUGH,131,9,157,2,5,55,40,1,169
11CROYLE,124,10,171,1,4,79,39,4,242
11EASTCARROLL,83,15,138,0,2,49,18,0,163
11EASTTAYLOR,165,11,247,0,2,57,22,0,194
11EBENSBURG,264,15,293,5,7,81,74,7,236
11GEISTOWN,187,4,190,0,5,81,50,2,240
11JACKSON,237,18,292,2,4,148,77,1,440
11JOHNSTOWN,1227,42,985,9,14,261,109,17,773
11LILLY,56,4,65,0,0,10,13,2,64
11LOWERYODER,217,13,226,2,4,57,33,1,203
11NANTYGLO,192,10,181,1,4,36,13,1,125
11NORTHERNCAMBRIA,228,17,254,0,0,56,28,3,234
11PATTON,149,5,121,3,1,31,13,1,137
11PORTAGE,354,34,430,4,6,117,56,3,403
11READE,45,0,55,0,3,39,19,0,178
11RICHLAND,771,26,733,16,25,505,286,16,1355
11SOUTHMONT,163,3,146,4,5,60,67,5,231
11STONYCREEK,207,6,185,2,6,115,76,5,264
11SUSQUEHANNA,115,11,146,0,1,29,19,0,169
11UPPERYODER,345,14,354,2,5,190,152,5,477
