precinct,gen_dem_CLINTON,gen_grn_STEIN,gen_ind_FUENTE,gen_lib_JOHNSON,gen_rep_TRUMP
BARRINGTON LIMITED,1,0,0,0,0
BARRINGTON PRESIDENTIAL,40,0,0,6,23
BRISTOL 0201,496,11,2,43,472
BRISTOL 0204,767,16,1,40,498
BRISTOL 0206,695,14,3,39,478
BRISTOL 0207,534,10,1,40,290
BRISTOL 0208,618,17,1,46,398
BRISTOL 0209,129,6,1,12,100
BRISTOL LIMITED,1,0,0,0,0
BRISTOL PRESIDENTIAL,208,7,0,13,126
BURRILLVILLE 0301,443,21,3,56,661
BURRILLVILLE 0304,349,17,1,46,516
BURRILLVILLE 0306,392,9,4,44,703
BURRILLVILLE LIMITED,0,1,0,0,0
BURRILLVILLE PRESIDENTIAL,41,1,0,0,85
CENTRAL FALLS 0401,645,6,2,18,103
CENTRAL FALLS 0402,272,3,0,5,63
CENTRAL FALLS 0403,655,13,1,15,92
CENTRAL FALLS 0404,542,2,0,14,80
CENTRAL FALLS 0405,238,4,0,7,40
CENTRAL FALLS 0406,295,2,0,12,137
CENTRAL FALLS 0407,149,1,0,3,31
CENTRAL FALLS LIMITED,0,0,0,0,0
CENTRAL FALLS PRESIDENTIAL,123,1,0,1,13
CHARLESTOWN 0502,622,16,2,50,531
CHARLESTOWN 0504,425,7,1,26,362
CHARLESTOWN LIMITED,0,0,0,0,0
CHARLESTOWN PRESIDENTIAL,29,3,0,1,39
COVENTRY 0601,375,7,4,46,541
COVENTRY 0602,118,4,2,21,130
COVENTRY 0604,395,16,2,37,527
COVENTRY 0606,220,7,1,18,339
COVENTRY 0608,554,22,2,40,676
COVENTRY 0609,384,15,3,44,609
COVENTRY 0610,268,16,1,25,330
COVENTRY 0612,467,7,0,42,517
COVENTRY 0614,227,2,1,6,213
COVENTRY 0615,456,8,2,38,631
COVENTRY 0616,520,7,6,46,702
COVENTRY 0617,331,22,0,51,509
COVENTRY 0618,185,6,2,25,277
COVENTRY LIMITED,0,0,0,0,2
COVENTRY PRESIDENTIAL,48,1,0,4,108
CRANSTON 0702,667,12,1,34,347
CRANSTON 0703,398,12,1,22,460
CRANSTON 0704,190,5,0,9,107
CRANSTON 0705,178,5,0,7,131
CRANSTON 0707,653,16,3,39,907
CRANSTON 0708,751,27,2,54,896
CRANSTON 0709,927,24,4,67,1132
CRANSTON 0710,778,18,1,35,463
CRANSTON 0711,584,20,2,32,710
CRANSTON 0712,731,13,1,38,893
CRANSTON 0713,690,18,1,37,740
CRANSTON 0714,171,4,2,12,132
CRANSTON 0715,525,11,0,22,401
CRANSTON 0716,645,18,1,30,671
CRANSTON 0717,343,9,0,15,203
CRANSTON 0718,366,11,1,19,322
CRANSTON 0719,583,8,3,28,643
CRANSTON 0720,208,5,0,10,224
CRANSTON 0721,859,21,3,43,490
CRANSTON 0722,460,12,4,22,311
CRANSTON 0723,1281,30,8,40,341
CRANSTON 0724,1030,24,5,37,297
CRANSTON 0725,1230,26,2,52,525
CRANSTON 0730,831,22,2,40,1372
CRANSTON LIMITED,1,0,0,0,3
CRANSTON PRESIDENTIAL,261,4,1,12,165
CUMBERLAND 0802,744,14,1,58,602
CUMBERLAND 0803,820,21,1,50,734
CUMBERLAND 0804,149,5,1,12,183
CUMBERLAND 0805,855,22,3,44,725
CUMBERLAND 0806,855,14,1,51,650
CUMBERLAND 0807,945,21,2,99,978
CUMBERLAND 0809,285,6,2,17,320
CUMBERLAND 0810,744,10,1,37,387
CUMBERLAND 0811,756,14,0,53,612
