precinct,pri_dem_CLINTON,pri_dem_O'MAILEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GILMORE,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP
ANDERSONLAKE CITY CC,35,1,19,3,6,1,36,0,0,1,0,1,0,0,19,0,54
BENTON6 BIG SANDY-7,0,0,0,2,20,0,91,0,0,0,0,15,0,0,56,0,222
BENTON6 BIG SANDY-8,0,0,0,0,0,0,6,0,0,0,0,1,0,0,1,0,4
BLOUNTEAGLETON MS GYM,81,1,51,5,61,0,180,0,0,0,2,32,0,0,176,2,240
BLOUNTSHOOKS GAP,50,0,55,7,65,1,170,1,0,0,3,36,0,0,137,0,254
BRADLEY2-2 WALKER VALLEY-4,112,0,70,10,88,0,264,4,0,1,5,64,0,3,269,0,416
BRADLEY3-2 SENIOR CENTER-4,107,1,91,16,99,2,187,0,0,1,2,58,1,2,297,0,334
BRADLEY4-1 OAK GROVE-4,3,0,4,0,1,0,3,0,0,0,0,2,0,0,10,0,22
BRADLEY4-2 MICHIGAN AVE-4,2,0,1,0,4,0,12,0,0,0,0,2,0,0,6,0,19
BRADLEY5-1 BLYTHE/BOWER-4,95,0,85,10,77,0,187,1,0,1,5,19,0,1,138,0,294
BRADLEY6-2 BLUE SPRINGS-4,21,0,25,3,37,0,61,0,0,0,1,9,0,2,71,0,119
BRADLEY6-3 WATERVILLE-4,25,1,17,2,29,0,54,1,1,0,1,7,0,2,37,1,120
BRADLEY6-4 BLACK FOX-4,8,0,7,0,16,0,17,0,0,0,1,3,0,0,20,0,47
CAMPBELL2-2 DAVIS CHAPEL,18,0,5,3,14,1,32,0,0,0,0,3,0,0,20,1,67
CAMPBELL2-3 EAST LAFOLLETTE,43,0,20,2,27,0,34,1,0,0,1,6,0,0,34,0,117
CAMPBELL2-4 LAFOLLETTE ES,45,1,15,1,15,0,52,0,0,0,1,10,0,0,69,0,141
CHEATHAM2-2-5 EAST CHEATHAM,0,0,0,0,3,0,34,0,0,0,0,5,0,1,24,0,44
CHEATHAM2-2-6 EAST CHEATHAM,0,0,0,3,63,1,252,0,0,0,0,23,0,1,81,0,379
CHEATHAM3-1-5 PLEASANT VIEW,0,0,0,3,24,0,93,0,0,0,1,6,0,0,48,0,95
CHEATHAM3-1-6 PLEASANT VIEW,0,0,0,2,57,0,247,1,0,1,1,32,1,3,116,1,284
COFFEE17 HANDS ON SCIENCE,43,2,27,1,10,0,31,0,0,0,0,2,0,2,12,0,64
CROCKETT1,19,0,3,1,17,1,45,0,0,0,0,0,0,0,25,0,98
CROCKETT2,21,0,7,1,11,0,57,0,0,0,1,9,0,0,35,0,97
CROCKETT3,25,0,12,2,16,0,37,0,0,0,0,3,0,0,18,0,109
CROCKETT4,22,0,11,0,20,1,41,0,0,0,0,4,0,0,29,0,87
CROCKETT5,81,0,5,1,11,0,27,0,0,0,1,3,0,0,9,0,34
CROCKETT6,29,0,10,2,23,0,60,0,0,0,3,5,0,0,13,0,104
CROCKETT7,40,0,12,4,11,0,26,0,0,0,0,5,0,0,10,0,62
CROCKETT8,42,0,11,0,21,0,49,0,0,0,0,8,0,3,35,0,102
CROCKETT9,24,0,5,2,13,1,47,0,0,0,1,6,0,0,20,0,60
DAVIDSON1-APR,419,3,221,18,84,1,319,1,0,0,3,116,0,3,508,4,362
DAVIDSON1-AUG,246,1,104,1,8,0,13,1,0,0,0,4,0,1,15,0,36
DAVIDSON1-DEC,239,2,153,7,45,0,151,1,0,0,0,37,0,2,132,0,209
DAVIDSON1-FEB,959,2,112,1,2,0,2,0,0,0,0,0,1,1,6,0,4
DAVIDSON1-JAN,220,3,153,4,58,0,252,1,0,0,1,36,0,3,112,0,397
DAVIDSON1-JUL,272,1,255,5,12,0,41,0,0,0,0,16,0,0,52,1,65
DAVIDSON1-JUN,314,0,242,0,1,1,21,0,0,0,0,23,0,1,49,0,27
DAVIDSON1-MAR,72,1,58,1,17,0,128,0,0,0,0,9,0,1,55,0,164
DAVIDSON1-MAY,159,1,90,1,3,0,13,1,0,0,1,1,0,0,8,0,42
DAVIDSON1-NOV,318,4,254,6,61,1,201,0,1,0,2,33,0,3,126,1,358
DAVIDSON1-OCT,91,5,30,1,20,0,92,1,0,0,1,16,0,0,37,0,161
DAVIDSON1-SEP,346,4,100,1,22,0,50,1,0,0,0,6,0,1,35,0,99
DAVIDSON13-1,177,0,118,1,11,1,52,0,0,0,0,6,0,3,29,0,80
DAVIDSON13-2,64,0,45,3,7,0,27,0,0,0,0,7,0,1,33,0,40
DAVIDSON13-3,432,4,262,9,55,0,176,3,0,0,1,42,0,0,163,0,266
DAVIDSON13-4,33,0,21,0,2,1,20,1,0,0,0,1,0,0,16,0,28
DAVIDSON14-1,277,0,135,7,33,1,113,1,0,0,0,24,0,0,109,0,166
DAVIDSON14-2,245,2,168,9,66,0,179,0,0,0,3,25,0,1,119,0,258
DAVIDSON14-3,60,0,41,0,6,0,19,0,0,0,0,4,0,0,12,0,17
DAVIDSON14-4,3,0,3,0,0,0,3,0,0,0,0,0,0,0,2,0,1
DAVIDSON14-5,200,0,157,1,32,0,111,0,0,0,0,15,0,1,74,0,161
DAVIDSON15-1,363,1,232,11,76,0,223,2,0,1,2,33,0,2,161,0,268
DAVIDSON15-2,211,0,200,6,48,1,163,0,0,0,2,36,0,2,137,0,193
DAVIDSON15-3,196,3,212,10,42,0,138,0,0,0,0,25,0,5,109,0,225
DAVIDSON15-4,159,0,102,6,37,2,60,1,0,0,0,11,0,1,48,0,92
DAVIDSON15-5,13,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,4
DAVIDSON16-1,95,0,79,2,9,1,26,0,0,0,0,4,0,0,26,0,50
DAVIDSON16-2,54,0,47,0,13,1,32,0,0,0,0,6,0,1,12,0,46
DAVIDSON16-3,432,4,544,4,37,1,187,0,0,0,2,35,0,8,173,1,269
DAVIDSON16-4,55,0,65,0,7,0,17,0,0,0,0,3,0,1,12,1,31
DAVIDSON16-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DAVIDSON17-1,378,0,160,1,5,0,16,0,0,0,0,12,0,0,62,1,28
DAVIDSON17-2,188,0,108,0,5,0,10,1,0,0,0,11,0,0,31,0,12
DAVIDSON17-3,167,1,128,1,6,0,19,0,0,1,0,9,0,0,22,0,16
DAVIDSON17-4,374,1,204,4,9,1,31,0,0,0,0,62,0,2,172,0,44
DAVIDSON17-5,39,1,44,2,4,0,16,0,0,0,0,6,0,1,32,0,25
DAVIDSON17-6,115,1,65,1,13,1,42,1,0,0,0,11,0,4,34,0,56
DAVIDSON17-7,131,0,78,1,5,0,11,0,0,0,0,6,0,0,26,0,27
DAVIDSON18-1,17,0,25,0,0,0,0,0,0,0,0,0,0,0,5,0,5
DAVIDSON18-2,186,0,103,1,5,0,18,0,0,0,1,25,1,1,48,0,11
DAVIDSON18-3,540,1,418,2,18,0,43,0,0,0,1,71,0,5,185,0,76
DAVIDSON18-4,412,2,334,3,20,0,43,1,0,1,1,78,0,0,117,0,64
DAVIDSON18-5,22,0,12,0,1,0,1,0,0,0,0,5,0,0,12,0,0
DAVIDSON19-1,261,0,202,3,19,0,55,0,0,0,1,41,0,0,130,0,114
DAVIDSON19-2,220,0,154,1,7,0,14,0,0,0,1,29,0,1,76,0,33
DAVIDSON19-3,303,1,92,0,3,0,3,0,0,0,0,5,0,0,27,0,10
DAVIDSON19-4,175,0,114,2,7,0,18,0,0,0,0,19,0,1,85,0,29
DAVIDSON19-5,98,1,22,0,0,0,4,1,1,0,0,0,0,0,4,0,1
DAVIDSON19-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAVIDSON2-APR,131,0,108,8,26,0,76,1,0,0,0,13,0,1,94,0,63
DAVIDSON2-AUG,243,1,134,0,7,0,45,0,0,0,1,8,0,2,25,0,63
DAVIDSON2-DEC,437,1,186,16,56,2,308,0,0,0,0,58,1,3,300,0,361
DAVIDSON2-FEB,681,0,101,2,3,0,12,0,0,0,0,2,0,0,12,0,15
DAVIDSON2-JAN,66,0,32,2,7,1,44,0,0,0,1,7,0,1,28,0,93
DAVIDSON2-JUL,228,2,235,2,11,1,62,0,0,0,1,13,0,0,58,0,80
DAVIDSON2-JUN,443,1,470,1,12,0,38,0,0,0,0,45,0,1,121,1,72
DAVIDSON2-MAR,27,0,15,0,5,0,17,0,0,0,0,0,0,1,17,0,20
DAVIDSON2-MAY,441,0,301,0,5,0,22,0,0,0,0,15,0,0,30,0,27
