precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_HAWES,pri_dem_JUDD,pri_dem_LOCKE,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_WILSON,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_GRAY,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP
ANDERSON13,65,0,0,0,0,1,18,0,8,33,0,250,1,1,1,1,15,0,57,0,158
ARMSTRONGMAIL,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,1,0,1,0,7
AUSTIN101,22,0,0,0,0,1,12,0,6,16,1,205,1,0,0,0,15,0,62,0,131
AUSTIN102,43,0,0,0,0,2,16,0,8,7,0,235,1,0,1,1,9,0,37,0,114
AUSTIN103,24,0,0,0,0,0,11,1,5,26,0,315,0,0,0,1,25,1,82,0,155
AUSTIN104,10,0,0,0,0,0,7,0,3,9,0,159,1,0,0,0,12,0,30,0,96
AUSTIN205,45,0,0,0,0,0,19,0,12,33,0,332,0,0,0,2,17,1,104,0,190
AUSTIN206,12,0,0,0,0,0,10,0,6,5,0,102,0,0,0,0,7,0,30,1,72
AUSTIN207,2,0,0,0,0,0,1,0,5,4,0,82,0,0,0,1,4,1,21,0,35
AUSTIN208,18,0,0,0,0,0,1,0,1,3,0,167,0,0,0,0,9,1,20,0,54
AUSTIN209,21,0,0,0,0,0,10,0,2,10,0,121,0,0,0,0,5,0,20,0,65
AUSTIN210,12,0,0,1,0,0,8,0,2,9,0,173,0,0,0,0,7,0,37,0,86
AUSTIN211,4,0,0,0,0,1,2,0,3,4,0,65,0,0,0,0,7,1,12,0,50
AUSTIN312,7,0,0,0,0,0,3,0,2,9,0,140,0,0,0,1,7,0,15,0,62
AUSTIN313,55,0,1,0,0,1,11,0,3,3,0,85,0,0,0,0,5,0,14,0,54
AUSTIN314,54,0,0,0,0,0,20,2,3,26,0,339,0,0,0,1,12,2,68,0,193
