precinct,pri_dem_CLINTON,pri_dem_SANDERS,pri_rep_CARSON,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_TRUMP,gen_con_CASTLE,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP,gen_sol_RIVA,gen_sow_KENNEDY,rep_primary_total,dem_primary_total,general_total
ADAMS111,11,6,2,6,2,45,2,24,1,4,109,0,0,55,17,140
ADAMS112,14,10,2,6,1,41,3,26,0,1,96,0,0,50,24,126
ADAMS113,17,11,8,8,2,59,0,56,1,12,117,0,0,77,28,186
ADAMS114,16,19,1,10,13,44,3,54,1,8,113,1,1,68,35,181
ADAMS115,18,11,4,5,11,53,1,48,1,10,123,0,0,73,29,183
ADAMS121,5,11,8,3,6,76,0,19,2,7,132,0,1,93,16,161
ADAMS122,9,7,3,11,6,55,0,16,0,5,137,0,0,75,16,158
ADAMS123,2,6,5,4,0,34,0,10,2,2,96,0,0,43,8,110
ADAMS211,3,2,0,3,0,14,0,4,0,0,29,0,0,17,5,33
ADAMS212,6,9,0,4,4,51,4,14,2,6,78,0,0,59,15,104
ADAMS221,0,0,2,2,5,27,0,3,0,10,63,0,0,36,0,76
ADAMS222,0,0,3,3,1,15,0,4,0,2,34,0,0,22,0,40
ADAMS311,17,20,0,0,0,0,2,46,0,14,176,0,1,0,37,239
ADAMS313,0,0,0,0,0,0,0,2,0,1,25,0,0,0,0,28
ADAMS321,3,4,2,4,1,32,1,15,0,5,54,0,0,39,7,75
ADAMS322,2,2,0,0,0,0,0,5,0,1,27,0,0,0,4,33
ADAMS323,0,0,2,4,0,17,0,6,1,2,43,0,0,23,0,52
ADAMS324,0,0,0,1,2,12,1,2,0,2,38,0,0,15,0,43
ADAMS325,0,0,0,0,0,0,0,6,0,0,8,0,1,0,0,15
ADAMS411,0,0,0,0,0,0,0,21,1,4,23,1,0,0,0,50
ADAMS412,28,37,10,11,2,55,4,143,0,8,124,1,0,78,65,280
ADAMS413,51,19,1,9,4,46,1,140,1,14,121,1,0,60,70,278
ADAMS414,26,21,3,16,7,53,3,93,1,12,163,0,1,79,47,273
ADAMS415,21,21,4,21,4,60,6,89,2,13,132,1,0,89,42,243
ADAMS416,28,17,3,3,2,29,0,99,3,8,124,2,0,37,45,236
ADAMS511,26,15,0,2,1,16,0,67,0,6,50,0,1,19,41,124
ADAMS512,17,12,2,8,2,49,0,59,1,2,116,0,0,61,29,178
ADAMS513,29,23,4,13,1,83,2,88,1,9,221,0,1,101,52,322
ADAMS514,17,9,1,18,4,60,2,66,1,3,170,0,1,83,26,243
ADAMS515,11,12,1,13,1,48,2,43,0,7,133,3,1,63,23,189
ADAMS516,5,10,4,5,5,88,1,31,0,5,208,0,0,102,15,245
ASOTIN1,7,18,4,13,2,71,3,32,0,15,153,0,0,90,25,203
ASOTIN101,41,29,6,7,0,73,5,91,2,11,157,1,0,86,70,267
ASOTIN102,24,28,3,2,8,73,3,73,6,17,185,0,0,86,52,284
ASOTIN201,31,40,8,4,3,58,6,110,3,21,131,0,0,73,71,271
ASOTIN202,47,58,6,16,12,67,2,144,10,28,179,2,1,101,105,366
ASOTIN203,46,39,3,12,11,55,5,136,6,14,152,0,0,81,85,313
ASOTIN204,38,40,8,5,2,94,7,123,2,12,208,0,0,109,78,352
ASOTIN205,36,30,2,10,8,47,0,102,4,13,130,0,0,67,66,249
ASOTIN206,45,43,8,14,7,82,2,137,5,37,177,0,3,111,88,361
ASOTIN207,41,27,4,7,3,55,0,103,9,23,126,0,0,69,68,261
ASOTIN208,47,39,3,6,6,70,5,118,8,14,194,0,1,85,86,340
ASOTIN3,17,14,3,7,9,84,2,37,0,7,163,0,0,103,31,209
ASOTIN301,40,36,5,8,15,128,3,132,0,22,272,0,0,156,76,429
ASOTIN302,70,52,9,19,15,196,6,189,7,45,415,1,1,239,122,664
ASOTIN303,21,8,1,6,1,43,5,42,1,8,99,0,0,51,29,155
ASOTIN304,53,33,5,15,9,87,2,116,12,25,212,0,1,116,86,368
ASOTIN305,60,65,17,23,7,215,11,181,7,51,486,0,1,262,125,737
ASOTIN306,86,55,18,11,16,171,7,199,2,27,365,0,2,216,141,602
ASOTIN307,58,47,13,18,6,126,1,137,5,46,278,0,2,163,105,469
ASOTIN4,14,9,6,5,4,82,0,35,1,10,182,0,0,97,23,228
ASOTIN401,41,48,1,2,9,112,2,105,2,25,213,0,0,124,89,347
ASOTIN402,66,54,7,7,8,99,2,152,6,28,261,0,2,121,120,451
ASOTIN5,75,38,8,17,24,167,2,186,1,31,315,0,0,216,113,535
ASOTIN501,66,36,5,15,13,85,7,151,5,31,215,2,1,118,102,412
ASOTIN502,51,36,4,19,2,76,4,142,7,34,203,0,0,101,87,390
ASOTIN503,70,59,5,16,11,133,6,161,6,29,270,0,1,165,129,473
BENTON1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BENTON1021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BENTON1022,0,0,0,2,1,10,0,5,1,0,32,1,0,13,0,39
BENTON1023,2,5,1,7,0,12,0,12,0,7,37,0,0,20,7,56
BENTON1060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BENTON1061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BENTON1090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BENTON1091,4,5,0,0,0,0,1,15,2,3,67,0,0,0,9,88
BENTON1240,8,2,0,0,0,0,0,11,1,1,22,0,0,0,10,35
BENTON1241,0,0,3,1,0,12,0,2,0,0,22,0,0,16,0,24
BENTON1290,5,5,2,2,0,32,1,22,1,2,75,0,1,36,10,102
BENTON1291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BENTON1292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BENTON1360,0,0,0,6,0,17,0,3,0,0,43,0,0,23,0,46
BENTON1362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BENTON1363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BENTON1364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BENTON1365,0,0,3,6,3,26,0,13,0,2,64,0,0,38,0,79
BENTON1400,0,0,0,2,1,8,0,5,0,2,23,0,0,11,0,30
BENTON1402,19,14,3,10,0,76,2,56,1,12,168,0,0,89,33,239
BENTON1403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BENTON1404,3,2,0,3,2,21,0,21,0,2,46,0,0,26,5,69
BENTON1406,21,31,13,25,5,82,4,96,1,31,225,0,0,125,52,357
BENTON1407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BENTON1408,0,0,0,0,0,0,0,2,0,2,9,0,0,0,0,13
BENTON1409,0,0,1,5,1,24,4,16,0,4,76,0,0,31,0,100
BENTON1412,21,16,3,12,3,65,5,72,2,15,193,0,0,83,37,287
BENTON1413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BENTON1414,7,8,1,5,4,13,3,23,2,7,72,0,0,23,15,107
BENTON1420,9,14,3,18,6,107,10,65,2,10,267,0,0,134,23,354
BENTON1422,5,6,2,0,0,21,1,26,0,6,51,0,0,23,11,84
BENTON1645,22,22,1,0,2,32,1,77,7,11,74,0,2,35,44,172
BENTON1646,9,23,3,4,1,31,1,106,9,11,146,1,3,39,32,277
BENTON1650,45,46,3,14,7,132,0,191,7,21,341,0,2,156,91,562
BENTON1651,11,13,1,5,0,27,0,56,2,8,83,0,0,33,24,149
BENTON1655,23,16,2,8,3,47,6,81,3,11,156,1,0,60,39,258
BENTON1656,15,25,2,5,2,54,2,128,3,26,149,0,4,63,40,312
BENTON1657,27,17,1,3,3,68,0,94,3,14,187,1,1,75,44,300
BENTON1660,38,37,8,16,6,102,7,165,7,23,293,0,0,132,75,495
BENTON1663,25,31,4,12,13,79,3,119,3,19,270,1,2,108,56,417
BENTON1664,62,53,9,19,25,131,9,284,6,64,428,0,2,184,115,793
BENTON1665,53,43,11,31,22,147,6,238,5,46,484,1,1,211,96,781
BENTON1667,21,33,3,8,5,52,2,66,4,9,104,0,0,68,54,185
BENTON1668,70,55,18,24,17,164,7,246,3,34,431,0,2,223,125,723
BENTON1669,34,29,1,6,6,73,1,130,4,14,220,0,0,86,63,369
BENTON1670,20,35,12,21,14,61,3,128,17,40,258,0,0,108,55,446
