precinct,pri_dem_CLINTON,pri_dem_FARRELL,pri_dem_FUENTE,pri_dem_JUDD,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_HALL,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_TRUMP,gen_con_CASTLE,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP,dem_primary_total,general_total
WEBSTER10,5,1,0,3,1,11,1,0,0,1,0,0,0,3,0,0,7,1,7,1,2,35,21,46
WEBSTER15,53,24,3,8,2,104,1,0,0,3,0,0,1,2,1,0,49,0,69,4,5,248,194,326
WEBSTER18,8,13,0,2,3,28,1,1,0,3,0,0,0,0,0,0,26,1,7,1,6,114,54,129
WEBSTER2,45,20,2,6,5,91,0,0,0,0,0,0,1,0,0,0,40,0,49,1,9,235,169,294
WEBSTER21,24,16,0,3,2,59,1,0,0,2,0,0,0,3,0,0,26,1,36,1,9,145,104,192
WEBSTER22,19,12,0,4,2,52,0,0,0,2,1,0,0,1,1,0,63,1,31,0,11,229,89,272
WEBSTER23,35,43,0,5,5,71,2,0,0,2,0,0,0,1,0,2,43,1,58,3,5,241,159,308
WEBSTER24,38,11,1,2,0,57,1,0,0,2,1,0,0,3,1,1,37,0,56,2,5,146,109,209
WEBSTER27,18,9,0,0,3,39,1,0,0,4,0,0,0,2,0,0,18,1,22,2,2,119,69,146
WEBSTER29,9,5,0,0,1,39,0,2,0,0,0,0,1,0,0,0,10,0,15,0,5,80,54,100
WEBSTER3,20,29,1,6,3,75,1,0,0,3,0,0,0,0,0,0,33,0,39,6,6,191,134,242
WEBSTER4,49,21,1,1,3,76,1,0,0,0,0,0,0,0,0,1,17,0,81,2,7,144,151,234
WEBSTER5,12,19,0,2,0,64,0,1,0,2,0,0,1,2,0,0,19,1,31,5,5,143,97,185
WEBSTER8,57,26,1,2,2,75,0,0,0,6,0,1,0,1,0,0,41,1,53,2,5,232,163,293
