county,precinct,office,district,party,candidate,votes
Anderson,ANDERSONANDERSONVILLE,President,,Republican,Donald J. Trump,1222.0
Anderson,ANDERSONBRICEVILLE,President,,Republican,Donald J. Trump,243.0
Anderson,ANDERSONBULL RUN,President,,Republican,Donald J. Trump,1397.0
Anderson,ANDERSONCLINTON,President,,Republican,Donald J. Trump,1330.0
Anderson,ANDERSONCLINTON HIGH,President,,Republican,Donald J. Trump,792.0
Anderson,ANDERSONCLAXTON,President,,Republican,Donald J. Trump,1319.0
Anderson,ANDERSONCLINTON MIDDLE,President,,Republican,Donald J. Trump,453.0
Anderson,ANDERSONDUTCH VALLEY,President,,Republican,Donald J. Trump,271.0
Anderson,ANDERSONEMORY VALLEY,President,,Republican,Donald J. Trump,1034.0
Anderson,ANDERSONFAIRVIEW,President,,Republican,Donald J. Trump,543.0
Anderson,ANDERSONGLEN ALPINE,President,,Republican,Donald J. Trump,1149.0
Anderson,ANDERSONGLENWOOD,President,,Republican,Donald J. Trump,763.0
Anderson,ANDERSONHENDRIX CREEK,President,,Republican,Donald J. Trump,849.0
Anderson,ANDERSONHIGHLAND VIEW,President,,Republican,Donald J. Trump,299.0
Anderson,ANDERSONLAKE CITY MS,President,,Republican,Donald J. Trump,1219.0
Anderson,ANDERSONMARLOW,President,,Republican,Donald J. Trump,505.0
Anderson,ANDERSONNORTH CLINTON,President,,Republican,Donald J. Trump,809.0
Anderson,ANDERSONNORRIS,President,,Republican,Donald J. Trump,412.0
Anderson,ANDERSONNORWOOD,President,,Republican,Donald J. Trump,915.0
Anderson,ANDERSONOAK RIDGE,President,,Republican,Donald J. Trump,324.0
Anderson,ANDERSONPINE VALLEY,President,,Republican,Donald J. Trump,748.0
Anderson,ANDERSONROBERTSVILLE,President,,Republican,Donald J. Trump,496.0
Anderson,ANDERSONROSEDALE,President,,Republican,Donald J. Trump,53.0
Anderson,ANDERSONROCKY TOP,President,,Republican,Donald J. Trump,303.0
Anderson,ANDERSONSOUTH CLINTON,President,,Republican,Donald J. Trump,674.0
Anderson,ANDERSONWOODLAND,President,,Republican,Donald J. Trump,350.0
Anderson,ANDERSONWEST HILLS,President,,Republican,Donald J. Trump,740.0
