precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_HEWES,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_STEINBERG,pri_grn_MESPLAY,pri_grn_STEIN,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_COOK,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP,dem_primary_total,rep_primary_total,dem_general_total,rep_general_total
APACHEALPINE,15,0,0,2,20,1,0,0,0,0,0,0,37,0,0,0,13,0,0,2,0,55,60,2,13,216,38,107,60,216
APACHECANYON,351,3,4,4,143,9,0,0,2,3,3,1,22,0,1,0,0,0,3,5,0,13,1387,32,72,143,514,53,1387,143
APACHECHINLE,178,0,0,5,79,1,0,0,4,1,0,0,12,0,0,0,7,0,0,2,1,13,678,17,38,93,263,40,678,93
APACHECONCHO,42,3,1,2,73,1,0,4,0,4,0,0,157,1,0,0,16,0,0,8,0,285,228,11,44,1135,122,471,228,1135
APACHECORNFIELDS,129,0,2,2,53,4,0,0,0,1,0,0,5,0,0,1,2,0,0,1,1,1,349,3,16,33,190,12,349,33
APACHECOTTONWOOD,202,0,1,1,52,8,0,0,2,0,3,0,6,1,0,0,0,0,0,0,1,4,589,11,26,47,264,17,589,47
APACHEDENNEHOTSO,135,1,3,3,29,1,0,0,6,2,3,1,10,1,1,1,2,0,1,0,1,5,430,9,16,40,172,34,430,40
APACHEEAGAR,49,3,10,7,78,4,0,0,5,13,0,0,272,1,0,0,48,0,3,24,0,211,141,7,22,762,151,577,141,762
APACHEGANADO,287,3,2,3,93,7,0,0,1,0,0,0,12,0,0,0,2,0,0,1,0,9,801,19,43,88,395,25,801,88
APACHEGREER,7,1,0,0,9,0,0,0,0,0,0,0,13,0,0,0,5,0,0,0,0,23,34,0,1,87,17,41,34,87
APACHEHOUCK,162,4,5,2,72,3,0,0,1,2,0,0,14,0,1,0,0,0,0,1,0,7,407,9,47,102,248,26,407,102
APACHEKINLICHEE,192,1,2,2,61,5,0,0,1,2,2,1,2,0,1,0,0,0,0,0,0,2,520,8,27,42,263,11,520,42
APACHEKLAGETOH,129,3,1,4,55,3,0,0,1,3,0,0,6,1,0,1,0,0,0,1,0,5,359,12,35,54,195,18,359,54
APACHELUKACHUKAI,175,1,2,5,40,1,0,0,1,0,0,0,5,0,2,0,1,0,0,2,0,2,710,14,44,47,224,13,710,47
APACHELUPTON,107,1,0,1,43,1,0,0,1,1,0,0,4,1,0,0,0,0,0,1,0,2,261,8,12,50,153,10,261,50
APACHEMANY,265,3,7,1,69,4,0,0,2,0,0,0,6,0,0,0,0,0,0,2,0,1,732,7,45,51,349,11,732,51
APACHEMCNARY,19,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,3,4,11,23,0,66,11
APACHEMEXICAN,23,0,0,0,1,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,87,1,9,5,24,5,87,5
APACHENAZLINI,139,1,0,10,66,2,0,0,5,2,0,0,2,0,1,0,1,0,1,0,0,2,430,6,28,45,218,14,430,45
APACHENUTRIOSO,13,0,0,2,25,0,1,0,0,0,0,0,24,0,0,0,8,0,0,3,1,51,59,3,4,213,40,87,59,213
APACHEPUERCO,146,1,2,6,99,6,0,0,1,6,0,2,22,0,1,0,6,1,1,6,0,28,478,20,32,223,260,74,478,223
APACHERED,69,6,1,0,42,2,0,0,1,2,1,1,12,0,0,1,3,0,1,6,0,5,357,10,54,91,120,33,357,91
APACHEROCK,167,0,1,2,60,0,4,10,1,2,0,1,5,0,0,1,0,0,1,0,1,1,557,8,28,38,230,13,557,38
APACHEROUGH,93,1,2,0,39,3,0,0,1,1,1,0,4,0,1,0,0,0,0,0,0,1,381,1,12,25,138,9,381,25
APACHEROUND,135,1,1,3,27,2,0,0,2,0,2,0,2,0,0,0,0,0,1,0,1,1,66,5,14,470,169,9,66,470
APACHESAWMILL,114,0,0,1,52,6,0,0,2,2,0,0,3,1,0,0,0,0,0,4,0,3,337,16,28,39,173,15,337,39
APACHESPRINGERVILLE,63,8,5,8,73,5,0,0,3,8,0,0,135,0,0,1,17,0,1,11,2,176,145,5,28,521,162,354,145,521
APACHEST.,348,19,4,11,267,11,1,1,12,11,2,1,239,0,0,1,18,1,6,20,2,188,854,39,62,124,660,501,854,124
APACHESTEAMBOAT,218,0,3,2,69,4,0,0,0,1,0,0,4,0,0,0,0,0,0,1,1,4,630,11,22,38,296,11,630,38
APACHESWEETWATER,70,0,0,2,37,4,0,0,1,2,1,1,10,0,1,0,1,0,0,0,0,3,228,7,36,61,113,20,228,61
APACHETACHEE,71,1,3,1,32,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,4,245,6,5,22,110,7,245,22
APACHETEEC,65,0,1,2,22,1,0,0,0,0,0,0,5,0,1,0,3,0,0,3,1,4,303,7,27,61,91,17,303,61
APACHEVERNON,58,2,0,2,50,0,0,0,2,7,0,0,135,1,0,1,21,1,0,9,0,227,175,16,30,838,112,404,175,838
APACHEWHEATFIELDS,226,3,4,6,62,5,0,0,0,0,0,0,2,0,0,2,2,0,0,1,0,4,693,17,30,42,306,11,693,42
APACHEWIDE,121,1,1,1,34,4,0,0,0,2,0,0,2,0,0,0,1,0,0,1,0,3,335,5,19,37,162,9,335,37
COCHISE01 BE BENSON,105,2,3,1,84,2,0,0,5,20,0,0,92,0,1,3,24,1,1,22,0,172,304,24,48,630,197,341,304,630
COCHISE02 BE J-SIX,102,0,1,2,81,2,0,0,1,13,0,0,192,0,0,0,20,0,0,31,1,240,320,20,59,992,188,498,320,992
COCHISE03 BE SAN PEDRO,114,4,4,7,88,2,0,0,4,11,0,1,93,1,0,1,27,0,1,39,0,218,376,26,65,727,219,396,376,727
COCHISE04 BI BISBEE,190,2,4,4,272,2,1,2,1,6,0,0,16,2,0,0,7,0,0,4,0,34,699,58,26,179,474,70,699,179
COCHISE05 BI DON LUIS,169,4,0,11,142,2,0,1,1,4,1,0,26,0,0,0,13,0,2,11,0,101,499,27,41,397,328,159,499,397
COCHISE06 BI WARREN,168,2,2,8,239,0,0,3,0,3,0,0,45,1,0,0,16,0,0,12,0,81,577,40,50,330,419,158,577,330
COCHISE07 BOWIE,19,1,2,0,26,0,0,0,0,1,0,0,20,0,1,0,0,0,0,1,0,33,81,7,7,126,48,56,81,126
COCHISE08 COCHISE STRONGHOLD,107,1,1,1,98,0,0,1,0,13,0,0,137,1,0,2,32,0,0,18,0,284,292,29,40,883,208,487,292,883
COCHISE09 DO CALVARY,213,4,0,1,52,1,0,0,2,4,0,0,11,0,0,0,3,0,1,4,0,16,605,23,21,117,271,41,605,117
COCHISE10 DO CARLSON,290,4,0,6,91,3,0,0,6,8,1,0,32,0,0,0,6,0,0,29,0,30,795,20,34,272,394,112,795,272
COCHISE11 DO CASTRO PARK,277,5,0,5,71,1,0,0,1,1,0,0,13,0,0,0,2,0,0,5,1,11,815,24,21,104,359,34,815,104
COCHISE12 DO GADSDEN,180,4,2,3,67,1,0,0,0,1,0,0,12,0,0,0,0,0,0,12,1,19,561,17,22,119,257,45,561,119
COCHISE13 DO SUNNYSIDE,164,1,3,4,62,1,0,0,0,3,0,0,23,0,0,0,11,0,0,6,0,47,553,27,22,201,235,90,553,201
COCHISE14 GREATER SAN PEDRO,86,3,0,1,72,3,0,1,2,8,0,0,156,0,1,2,15,1,1,23,1,221,241,28,81,869,165,431,241,869
