precinct,pri_dem_CLINTON,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_STEINBERG,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP
BIBBVINEVILLE 7,157,0,57,0,3,19,0,46,0,0,0,22,0,1,63,0,80
FULTON01G,276,2,153,1,0,1,0,4,0,0,1,2,0,2,10,0,11
FULTON06H,303,0,150,0,0,8,0,24,1,0,0,56,0,1,164,0,69
FULTON06S,623,0,286,0,2,11,1,34,0,0,0,95,0,0,252,0,84
FULTONJC13B,9,0,7,0,0,1,0,14,0,0,0,10,0,1,56,0,33
FULTONJC15,62,0,40,0,0,7,0,24,1,0,0,3,0,1,27,0,49
FULTONSC13A,1216,1,326,1,0,12,0,18,0,0,0,8,0,1,26,0,42
FULTONSC13B,446,1,108,0,0,2,0,11,0,0,0,4,0,0,8,0,19
GWINNETTCATES D - 07,39,1,39,0,0,4,1,38,0,0,0,7,0,0,28,0,43
HALL214-BIG HICKORY,52,0,48,0,2,93,0,447,0,0,2,68,0,3,297,2,528
HANCOCKDEVEREUX 1A,155,0,32,2,0,7,0,18,0,0,2,7,0,1,19,0,95
HANCOCKDEVEREUX 1B,110,1,15,0,0,2,0,3,0,0,0,0,0,0,10,0,7
HANCOCKDEVEREUX 3C,28,1,10,0,0,6,1,10,0,0,1,4,0,0,13,0,15
HANCOCKLINTON A,190,1,27,0,0,7,0,5,0,0,2,0,0,0,3,0,25
HANCOCKLINTON B,109,1,10,0,0,2,0,1,0,0,0,1,0,0,2,0,10
HANCOCKMAYFIELD 3A,80,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,8
HANCOCKMAYFIELD 3B,143,3,10,2,0,2,1,2,0,0,0,3,0,0,6,0,17
HANCOCKSPARTA 4A,193,2,25,1,0,0,0,6,0,0,0,4,0,0,4,0,25
HANCOCKSPARTA 4B,89,0,6,2,0,3,2,6,0,0,0,0,0,1,6,0,26
LOWNDESNAYLOR,88,0,35,2,0,25,0,71,0,0,0,2,0,0,21,0,166
LOWNDESSOUTH,95,0,67,0,8,57,0,189,0,1,3,24,0,0,123,0,535
LOWNDESTRINITY,672,2,284,3,7,157,1,553,3,0,5,50,1,4,299,0,665
LUMPKINEAST,63,1,62,3,5,45,0,206,1,2,1,36,0,3,105,0,308
LUMPKINNORTH,79,0,78,0,2,70,1,222,0,0,3,47,0,2,130,0,337
LUMPKINNORTH EAST,43,0,53,1,5,53,1,187,1,0,2,33,0,3,103,0,289
LUMPKINSOUTH EAST,81,0,40,0,3,54,1,234,0,0,0,38,0,3,119,1,381
LUMPKINSOUTH WEST,101,0,96,3,2,68,1,301,0,0,2,28,0,4,183,0,408
LUMPKINWEST,89,0,113,1,3,62,1,332,1,0,0,48,0,1,186,1,471
OGLETHORPECRAWFORD,162,0,113,2,9,53,0,214,0,1,1,41,0,2,95,0,301
RANDOLPHFOUNTAIN BRIDGE-5TH,8,1,1,0,0,2,0,10,0,0,0,1,0,0,4,0,15
RICHMOND606,172,1,34,0,1,17,0,77,0,0,1,6,0,0,26,0,144
SCREVENFOY'S STORE,45,0,2,0,0,2,0,6,0,0,0,1,0,0,4,0,12
SPALDINGGA EXP STATION,315,1,76,3,7,36,0,112,0,0,1,27,0,1,105,0,225
SPALDINGMEMORIAL DR PLAZA,50,1,31,1,6,42,2,97,0,0,2,39,0,1,165,1,196
SPALDINGSUN CITY,301,1,86,0,8,62,2,236,4,0,0,105,0,2,306,0,469
TALIAFERROCRAWFORDVILLE,195,1,23,1,2,6,0,28,0,0,0,7,0,0,21,0,79
