precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_O'MAILEY,pri_dem_SANDERS,gen_con_CASTLE,gen_dem_CLINTON,gen_dem_FUENTE,gen_grn_STEIN,gen_ind_HOEFLING,gen_ind_MCMULLIN,gen_lib_JOHNSON,gen_rep_TRUMP,dem_primary_total,general_total
BREATHITTA101,29,1,0,31,0,31,0,0,0,0,1,83,61,115
BREATHITTA102,49,3,4,98,0,58,0,2,0,1,6,257,154,324
BREATHITTA103,90,4,6,159,0,102,2,2,0,3,9,407,259,525
BREATHITTA104,71,1,5,109,0,90,1,3,0,6,7,208,186,315
BREATHITTA105,57,3,5,63,0,64,0,1,0,1,3,159,128,228
BREATHITTB101,38,4,6,50,0,51,0,0,0,5,4,142,98,202
BREATHITTB102,27,0,4,96,0,47,0,4,0,1,4,192,127,248
BREATHITTB103,71,2,1,95,0,90,0,0,0,3,9,264,169,366
BREATHITTB104,93,1,1,78,0,109,0,3,0,1,6,155,173,274
BREATHITTB105,48,1,2,52,0,63,0,0,0,0,5,104,103,172
BREATHITTC101,86,0,3,109,0,138,1,1,0,8,13,275,198,436
BREATHITTC102,35,0,1,71,0,58,0,1,0,0,2,129,107,190
BREATHITTC103,66,4,0,102,0,88,1,0,0,3,9,238,172,339
BREATHITTC104,27,1,3,84,0,45,1,2,0,2,3,204,115,257
BREATHITTC105,43,1,2,68,0,53,0,2,0,1,4,126,114,186
BREATHITTD101,37,0,0,41,0,34,0,1,0,2,1,71,78,109
BREATHITTD102,58,2,1,80,0,84,1,2,0,5,7,173,141,272
BREATHITTD103,54,0,7,128,0,85,0,3,0,0,3,260,189,351
BREATHITTD104,37,3,0,66,0,45,0,1,0,0,4,145,106,195
BREATHITTD105,10,0,1,24,0,13,0,0,0,1,4,55,35,73
BREATHITTD106,48,1,1,65,0,75,0,4,0,1,4,136,115,220
CLAYA101,31,0,1,17,0,86,0,1,0,1,6,293,49,387
CLAYA106,9,0,0,10,0,37,0,1,0,1,5,418,19,462
CLAYA107,12,0,0,8,0,36,0,0,0,1,3,145,20,185
CLAYB101,4,1,1,15,0,41,0,0,0,1,6,326,21,374
CLAYB103,17,0,0,7,0,52,0,1,0,1,6,208,24,268
CLAYB104,10,1,0,13,0,37,0,1,0,6,2,482,24,528
CLAYC101,4,0,0,5,0,14,0,2,0,0,1,144,9,161
CLAYC102,1,0,0,5,0,18,0,1,0,0,4,252,6,275
CLAYC103,5,0,0,3,0,16,1,2,0,9,5,230,8,263
