precinct_code,gen_dem_ADAMS,gen_dem_CLINTON,gen_dem_PENDLETON,gen_dem_TERRY,gen_dem_THOMAS,gen_grn_STEIN,gen_ind_BOLAR,gen_ind_BOYLES,gen_ind_BROWN,gen_ind_BUCHANAN,gen_ind_CARLISLE,gen_ind_CASTLE,gen_ind_DUNCAN,gen_ind_EDGELL,gen_ind_FLIPPIN,gen_ind_FOX,gen_ind_FUENTE,gen_ind_HARTNELL,gen_ind_HEDGES,gen_ind_HOEFLING,gen_ind_II,gen_ind_JR.,gen_ind_KAHN,gen_ind_KEITA,gen_ind_KOTLIKOFF,gen_ind_LASH,gen_ind_LIBRACE,gen_ind_LOCKE,gen_ind_MALDANADO,gen_ind_MATUREN,gen_ind_MCMULLIN,gen_ind_MOREAU,gen_ind_OLKOWSKI,gen_ind_PUSKAR,gen_ind_RIVA,gen_ind_SCHOENKE,gen_ind_SCHRINER,gen_ind_SMITH,gen_ind_SOLDJAH,gen_ind_SOLTYSIK,gen_ind_SR,gen_ind_SYMONETTE,gen_ind_VAKIL,gen_ind_VALDIVIA,gen_ind_VOGEL-WALCUTT,gen_ind_WHITE,gen_ind_WILLIAMS,gen_ind_WYSINGER,gen_lib_JOHNSON,gen_rep_BORING,gen_rep_BREIVOGEL,gen_rep_GATES,gen_rep_MCCARTHY,gen_rep_REID,gen_rep_TRUMP,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_total,rep_pri_total,dem_pri_total
ALLEGANY_001-000,0,43,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,350,36,0,44,4,2,0,80,0,0,42,0,0,0,236,402,364,80
ALLEGANY_002-000,0,53,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,380,34,0,48,0,10,4,80,0,2,34,0,6,0,252,456,388,82
ALLEGANY_003-000,0,55,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,370,24,4,52,0,0,0,58,0,0,52,0,2,0,226,434,338,80
ALLEGANY_004-002,0,86,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,166,44,0,82,2,0,0,20,0,2,2,0,2,2,96,274,126,126
ALLEGANY_004-003,0,143,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,305,110,2,116,0,6,2,36,0,6,22,4,0,0,218,474,294,228
ALLEGANY_004-004,0,169,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,465,162,0,162,0,14,0,64,0,0,68,0,4,0,296,666,446,324
ALLEGANY_004-005,0,105,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,257,58,2,68,0,4,0,30,2,0,28,2,2,2,140,384,210,128
ALLEGANY_004-008,0,151,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,409,134,6,144,4,8,2,94,0,0,38,2,6,2,244,600,400,284
ALLEGANY_005-004,0,147,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,341,114,0,142,0,2,2,28,2,0,50,0,0,0,238,523,322,256
ALLEGANY_005-006,0,46,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,232,38,2,52,0,6,4,42,0,0,10,0,4,0,142,291,208,92
