precinct,gen_amd_FUENTE,gen_con_CASTLE,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_pro_HEDGES,gen_rep_TRUMP
ALCORNNAN,7,56,2684,38,167,12,11819
AMITENAN,4,9,2697,8,38,5,4289
ATTALANAN,3,32,3242,17,57,8,4897
CARROLLNAN,3,6,1680,9,29,2,3799
CHICKASAWNAN,6,25,3649,12,61,10,4127
CLAIBORNENAN,4,6,3708,5,7,2,540
CLARKENAN,3,21,2585,15,29,1,5137
CLAYNAN,8,25,5722,20,69,9,4150
COAHOMANAN,4,31,6378,13,53,7,2426
COPIAHNAN,7,26,6741,16,73,16,6103
COVINGTONNAN,4,20,3276,12,61,3,5435
DESOTONAN,31,335,20591,308,1329,12,43089
FORRESTNAN,9,115,11716,149,598,16,15461
FRANKLINNAN,2,23,1502,16,22,4,2721
GEORGENAN,6,44,1027,20,91,7,8696
GREENENAN,4,21,974,4,28,3,4335
GRENADABOX 1,0,3,506,4,16,2,1100
GRENADABOX 2 GRENADA CO OFFICE,0,0,212,1,2,0,349
GRENADABOX 3 CITY AUDITORIUM,0,2,1045,6,10,2,396
GRENADABOX 4,2,6,1378,2,5,0,114
GRENADABOX 5,0,2,277,3,12,0,1155
GRENADAELLIOTT VOL FIRE STATION,0,0,73,3,2,2,388
GRENADAFUTHEYVILLE 1ST PENTECOST,0,0,171,0,7,0,551
GRENADAGEESLIN,0,0,94,0,6,1,560
GRENADAGORE SPRINGS COMM CENTER,0,1,68,0,6,0,425
GRENADAHOLCOMB COMMUNITY CENTER,1,0,185,2,2,1,540
GRENADANAN,3,17,4424,22,69,8,5970
GRENADAPLEASANT GROVE COMMUN CEN,0,3,308,1,1,0,166
GRENADASWEETHOME HOL #2 FIRE STAT,0,0,107,0,0,0,226
HANCOCKNAN,9,68,3344,83,312,10,13811
HARRISONINVALID ADDRESSES 9999,0,0,0,0,0,0,0
HARRISONNAN,28,184,21169,330,1230,18,40354
HINDSBOLTON,0,2,731,2,3,1,253
HINDSBROWNSVILLE,0,0,172,3,2,0,212
HINDSBYRAM 1,1,4,1515,7,15,1,514
HINDSBYRAM 2,2,3,726,4,21,0,950
HINDSBYRAM 3,0,3,869,5,8,1,391
HINDSCAYUGA,0,2,158,0,2,0,79
HINDSCHAPEL HILL,0,1,317,1,4,1,290
HINDSCLINTON 1,0,12,433,6,33,0,668
HINDSCLINTON 2,2,10,662,7,40,0,1314
HINDSCLINTON 3,1,10,777,9,28,0,978
HINDSCLINTON 4,0,1,402,7,18,0,397
HINDSNAN,36,270,67594,470,1013,23,25275
HOLMESBEAT 5 LEXINGTON,0,0,203,0,3,0,171
HOLMESBEAT 5 TCHULA,0,0,1001,2,3,1,78
HOLMESNAN,4,20,6689,19,25,10,1309
HUMPHREYSBELZONI - 4010,0,1,580,0,1,0,267
HUMPHREYSBELZONI NORTH - 1BN 1020,2,4,703,2,1,1,164
HUMPHREYSBELZONI NORTH - 2BN 2020,0,0,76,1,0,0,4
HUMPHREYSBELZONI SOUTH - 3BS 3010,0,0,322,0,0,0,8
HUMPHREYSBELZONI SOUTH - 5BS 5010,0,0,301,0,0,0,5
HUMPHREYSFOURMILE NORTH - 1FN 1010,0,0,2,0,0,0,34
HUMPHREYSGOODEN LAKE NORTH - 2GN 2030,0,0,6,0,0,0,39
HUMPHREYSISOLA NORTH - 2IN 2010,0,0,416,0,1,2,142
HUMPHREYSLAKE CITY SOUTH - 3LS 3030,0,1,12,0,0,0,83
HUMPHREYSLOUISE SOUTH - 5LS 5030,2,0,322,0,6,1,103
HUMPHREYSMIDNIGHT SOUTH - 5MS 5020,0,0,68,0,1,0,65
HUMPHREYSNAN,4,8,3071,3,12,4,1151
HUMPHREYSPUTNAM SOUTH - 4PS 4030,0,0,42,0,1,0,132
HUMPHREYSSILVER CITY SOUTH - 3SS 3020,0,2,221,0,1,0,105
ISSAQUENANAN,1,0,395,0,4,1,298
ITAWAMBANAN,5,36,1117,20,84,5,8470
JACKSONNAN,26,168,14657,162,901,24,33629
JASPERNAN,6,22,4368,6,28,7,4038
JEFFERSON DAVISNAN,2,20,3720,3,21,5,2466
JEFFERSONNAN,1,7,3337,7,13,5,490
JONESNAN,16,81,7791,53,268,10,20133
KEMPERBAND BUILDING,0,1,262,0,2,1,144
KEMPERCOURTHOUSE,0,3,458,1,2,0,172
KEMPERFARMERS MARKET,0,0,63,0,0,0,50
KEMPERFORT STEVENS,0,2,37,0,2,0,103
KEMPERKELLIS STORE,1,0,134,0,1,0,27
KEMPERLYNVILLE,0,2,124,0,4,0,192
KEMPERLYNWOOD,0,1,88,0,3,0,235
KEMPERMOUNT NEBO,0,0,191,0,1,0,122
KEMPERNAN,1,11,2827,1,18,3,1778
KEMPERPORTERVILLE,0,1,380,0,0,1,114
KEMPERPRESTON,0,0,210,0,0,0,159
KEMPERSATELLITE,0,0,312,0,2,0,205
KEMPERSCOOBA A-L,0,0,232,0,0,1,114
KEMPERSCOOBA M-Z,0,1,217,0,0,0,125
LAFAYETTENAN,15,68,7969,134,577,8,10872
LAMARNAN,13,104,5190,75,452,7,18751
LAUDERDALENAN,11,90,11269,71,307,17,17741
LAWRENCENAN,3,13,2195,15,40,7,4091
LEAKENAN,2,24,3584,13,40,4,4782
LEFLORENAN,7,25,7787,25,78,6,3212
LINCOLNNAN,12,50,4458,26,89,8,10550
LOWNDESEAST COLUMBUS GYM,2,5,1158,5,12,0,683
LOWNDESIMMANUEL,0,4,234,1,9,0,413
LOWNDESNAN,14,72,11819,95,295,9,13271
MADISONNAN,24,268,20343,133,842,27,28265
MARIONBALLS MILL,0,1,113,1,5,0,422
MARIONGOSS,0,0,54,1,7,1,339
MARIONNAN,4,29,3677,32,107,8,7836
MARSHALLNAN,9,58,8023,55,95,12,6587
MONROENAN,6,38,5524,28,110,11,10167
MONTGOMERYNAN,3,14,2115,8,32,6,2818
NESHOBANAN,10,31,2715,20,83,15,7679
NESHOBANORTH BEND,1,4,21,1,1,0,402
NESHOBAPEARL RIVER,1,2,178,2,7,0,51
NEWTONNAN,6,31,2756,22,67,8,6548
NOXUBEENAN,0,6,4347,6,12,3,1200
PANOLANORTH SARDIS,2,3,668,2,3,3,347
YAZOOMOUND ST. BUILDING,0,1,331,0,0,0,3
YAZOON.D. TAYLOR GYM,1,3,1169,0,1,0,21
YAZOOOLD JR. HIGH,0,0,437,1,2,1,87
YAZOOTEEN CENTER,0,4,877,0,4,1,341
YAZOOWASHINGTON ST. FIRE STATION,0,0,180,0,0,0,185
YAZOOWELFARE OFFICE,0,1,209,0,1,1,287
