precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_O'MAILEY,pri_dem_SANDERS,pri_dem_WILSON,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FLORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP
ATTALAAPONAUG,22.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,32.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,36.0
BAND BUILDINGKEMPER,87.0,1.0,0.0,12.0,0.0,0.0,1.0,0.0,27.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,51.0
COURTHOUSEKEMPER,153.0,2.0,0.0,24.0,2.0,0.0,2.0,0.0,34.0,0.0,0.0,0.0,3.0,0.0,0.0,10.0,0.0,52.0
FARMERS MARKETKEMPER,16.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0
FORT STEVENSKEMPER,11.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,25.0,0.0,0.0,1.0,5.0,0.0,1.0,1.0,0.0,38.0
GRENADAJONATHAN,4.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,66.0,1.0,1.0,0.0,10.0,0.0,0.0,8.0,1.0,93.0
GRENADAJONES,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,42.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,50.0
GRENADALEAF,10.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,1.0,19.0
GRENADALEAKESVILLE,28.0,0.0,0.0,12.0,1.0,2.0,8.0,1.0,146.0,0.0,0.0,2.0,28.0,0.0,1.0,25.0,0.0,287.0
GRENADAMAPLES,11.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,100.0,0.0,0.0,4.0,1.0,0.0,0.0,9.0,0.0,100.0
GRENADAMCLAIN,66.0,0.0,0.0,9.0,2.0,2.0,0.0,0.0,21.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,44.0
GRENADAMUTUAL RIGHTS,2.0,0.0,0.0,4.0,0.0,1.0,4.0,0.0,38.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,51.0
GRENADANORTH LEAKESVILLE,73.0,3.0,0.0,6.0,0.0,0.0,1.0,1.0,18.0,0.0,0.0,0.0,6.0,0.0,0.0,7.0,0.0,39.0
GRENADAPIAVE,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,77.0,0.0,0.0,1.0,2.0,0.0,0.0,9.0,0.0,57.0
GRENADASTATE LINE,152.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,1.0,7.0,0.0,0.0,5.0,0.0,59.0
GRENADAVERNAL,18.0,0.0,0.0,4.0,2.0,2.0,4.0,0.0,85.0,1.0,1.0,0.0,11.0,0.0,0.0,13.0,0.0,114.0
GRENADAWADE,7.0,0.0,0.0,2.0,0.0,3.0,3.0,1.0,113.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,107.0
GRENADAWASHINGTON NEELY,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,65.0,0.0,0.0,0.0,9.0,0.0,0.0,6.0,0.0,72.0
HARRISONBILOXI #11,218.0,2.0,0.0,132.0,2.0,4.0,13.0,137.0,302.0,0.0,1.0,0.0,0.0,0.0,3.0,71.0,1.0,597.0
HARRISONBILOXI 12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HARRISONBILOXI 13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HARRISONBILOXI 14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HARRISONBILOXI 15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HARRISONBILOXI 16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HARRISONBILOXI 17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HARRISONBILOXI 18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HARRISONBILOXI 19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
HARRISONBILOXI 20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0
HARRISONBILOXI 21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HARRISONBILOXI 22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0
HARRISONBILOXI 23,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HARRISONBILOXI 24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HARRISONBILOXI 25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HARRISONBILOXI 26,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
