precinct,gen_amd_FUENTE,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP
JUDITH BASINPRECINCT 1,0,26,1,10,69
JUDITH BASINPRECINCT 2,0,36,2,7,110
JUDITH BASINPRECINCT 3,2,86,6,31,348
JUDITH BASINPRECINCT 4,1,87,3,31,345
LAKEARL 1 HD93,2,365,18,31,320
LAKEBEA 1 HD10,1,197,6,17,321
LAKEBEA 2 HD12,0,49,1,5,75
LAKECHA 1 HD93,3,184,10,26,383
LAKEDAY 1 HD12,0,139,2,21,359
LAKEFER 1 HD10,3,203,9,20,459
LAKEPOL 1 HD12,1,273,6,29,478
LAKEPOL 2 HD12,4,308,8,35,539
LAKEPOL 3 HD12,1,220,5,21,251
LAKEPOL 4 HD12,0,403,20,44,588
LAKEPOL 5 HD12,5,525,30,65,797
LAKEPOL 6 HD93,0,48,2,11,177
LAKEPOL 7 HD93,3,170,1,14,290
LAKEPOL 8 HD15,0,10,0,1,15
LAKERON 1 HD93,6,570,34,88,990
LAKERON 2 HD15,8,517,44,49,683
LAKESTI 1 HD93,0,267,11,18,344
LAKESTI 2 HD15,4,279,22,34,308
LAKESWA 1 HD10,0,18,0,1,72
LAKESWA 2 HD15,0,31,0,4,81
