precinct,pri_dem_CLINTON,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_RUBIO,pri_rep_TRUMP
JUDITH BASIN01-71,0,7,2,12,0,0,0
JUDITH BASIN02-75,0,13,4,31,0,0,0
JUDITH BASIN03-75,0,24,8,0,2,0,0
JUDITH BASIN04-75,0,25,7,0,2,0,0
JUDITH BASIN05-75,5,0,0,0,31,0,38
JUDITH BASIN06-75,15,0,0,0,15,0,51
JUDITH BASIN07-75,26,0,0,0,0,2,175
JUDITH BASIN08-75,23,0,0,0,0,2,157
JUDITH BASIN09-75,0,0,0,3,0,9,0
JUDITH BASIN10-75,0,0,0,8,0,12,0
LAKE01-71,66,131,6,12,15,5,121
LAKE02-75,109,140,5,18,23,11,328
LAKE03-75,156,178,12,41,47,17,393
LAKE04-75,187,228,12,27,19,10,352
LAKE05-75,61,67,3,18,13,5,190
LAKE06-75,189,236,8,27,22,3,306
LAKE07-75,129,106,4,34,22,15,268
LAKE08-75,154,201,11,38,31,12,313
LAKE09-75,234,249,10,61,61,20,461
LAKE10-75,65,93,5,36,15,5,215
LEWIS & CLARK01-71,0,0,14,0,0,0,0
LEWIS & CLARK02-75,0,0,24,0,0,0,0
LEWIS & CLARK03-75,0,0,35,0,0,0,0
LEWIS & CLARK04-75,0,0,23,0,0,0,0
LEWIS & CLARK05-75,101,0,16,0,0,0,0
LEWIS & CLARK06-75,133,0,27,0,0,0,0
LEWIS & CLARK07-75,126,0,24,0,0,0,0
LEWIS & CLARK08-75,113,0,17,0,0,0,0
LEWIS & CLARK09-75,159,0,26,0,0,0,0
LEWIS & CLARK10-75,150,0,14,0,0,0,0
