precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_RUBIO,pri_rep_TRUMP
13MAHONINGPACKER-JAMESTOWN,32,1,51,0,2,10,13,1,67
14FERGUSONNORTHEAST1,178,1,280,3,4,67,96,8,103
15WESTBRANDYWINEEAST,300,1,201,7,8,181,250,7,416
29VALLEY-HI,0,0,0,0,0,1,0,0,5
3KISKIMINETASORCH.HILLS-NORTH,25,3,36,0,2,21,6,0,57
3KISKIMINETASORCH.HILLS-SOUTH,89,7,101,0,1,54,23,1,148
40WILKES-BARRE1,250,7,220,1,1,27,22,0,297
40WILKES-BARRE10,99,1,85,0,0,8,4,0,64
40WILKES-BARRE11,151,2,109,0,2,11,8,0,72
40WILKES-BARRE12,115,2,93,0,0,9,2,0,58
40WILKES-BARRE13,108,2,121,0,0,8,16,0,57
40WILKES-BARRE14,98,0,118,1,0,9,13,0,63
40WILKES-BARRE15,172,6,152,1,0,13,14,1,83
40WILKES-BARRE16,167,1,144,0,2,13,16,0,128
40WILKES-BARRE17,93,2,76,0,1,10,10,1,60
40WILKES-BARRE18,85,2,87,0,0,9,4,0,69
40WILKES-BARRE19,126,0,103,0,1,18,7,0,81
40WILKES-BARRE2,282,7,229,0,2,25,15,1,229
40WILKES-BARRE20,151,6,128,0,0,12,8,1,104
40WILKES-BARRE3,88,3,83,0,0,8,9,1,75
40WILKES-BARRE4,177,2,130,0,1,20,9,0,81
40WILKES-BARRE5,121,3,116,0,0,18,4,1,90
40WILKES-BARRE6,130,2,113,1,0,24,6,0,79
40WILKES-BARRE7,102,1,73,0,0,13,17,1,48
40WILKES-BARRE8,96,2,73,2,1,11,3,2,65
40WILKES-BARRE9,68,0,56,1,0,12,3,0,35
58SUSQUEHANNADEPOT1,31,0,25,0,1,4,3,1,39
58SUSQUEHANNADEPOT2,51,0,24,3,0,31,9,1,42
59UNIONNORTH,13,0,14,0,4,26,23,2,59
59UNIONSOUTH,20,2,10,0,0,19,2,1,40
6STRAUSSTOWN,16,0,25,0,1,11,5,0,36
